longitude,latitude,Co_value(mol/m^2)
72.6506958007813,15.60459995269781,
72.6506958007813,15.79933929443365,0.02424960397183895
72.6506958007813,15.99407863616949,0.023685134947299957
72.6506958007813,16.18881797790533,
72.6506958007813,16.38355731964117,0.024100834503769875
72.6506958007813,16.57829666137701,0.024141855537891388
72.6506958007813,16.77303600311285,0.026720449328422546
72.6506958007813,16.96777534484869,0.025578580796718597
72.6506958007813,17.16251468658453,0.024726491421461105
72.6506958007813,17.357254028320366,
72.6506958007813,17.551993370056206,
72.6506958007813,17.746732711792045,0.026564225554466248
72.6506958007813,17.941472053527885,0.023886915296316147
72.6506958007813,18.136211395263725,0.026291854679584503
72.6506958007813,18.330950736999565,0.02625810168683529
72.6506958007813,18.525690078735405,
72.6506958007813,18.720429420471245,0.028751272708177567
72.6506958007813,18.915168762207085,0.027385089546442032
72.6506958007813,19.109908103942924,0.021916361525654793
72.6506958007813,19.304647445678764,
72.6506958007813,19.499386787414604,0.02527403086423874
72.6506958007813,19.694126129150444,
72.6506958007813,19.88886547088628,0.025903601199388504
72.6506958007813,20.08360481262212,0.021741915494203568
72.6506958007813,20.27834415435796,0.02495182678103447
72.6506958007813,20.4730834960938,0.024331826716661453
72.6506958007813,20.66782283782964,0.027763662859797478
72.6506958007813,20.86256217956548,0.026745762676000595
72.6506958007813,21.05730152130132,
72.6506958007813,21.25204086303716,
72.6506958007813,21.446780204773,0.024711858481168747
72.6506958007813,21.64151954650884,0.026501506567001343
72.6506958007813,21.83625888824468,0.025626609101891518
72.6506958007813,22.03099822998052,
72.8406958007813,15.60459995269781,
72.8406958007813,15.79933929443365,0.026581186801195145
72.8406958007813,15.99407863616949,0.02873329631984234
72.8406958007813,16.18881797790533,0.022959480062127113
72.8406958007813,16.38355731964117,0.026390574872493744
72.8406958007813,16.57829666137701,0.024423789232969284
72.8406958007813,16.77303600311285,0.02516959048807621
72.8406958007813,16.96777534484869,0.026385461911559105
72.8406958007813,17.16251468658453,
72.8406958007813,17.357254028320366,0.02637760154902935
72.8406958007813,17.551993370056206,0.02301882952451706
72.8406958007813,17.746732711792045,
72.8406958007813,17.941472053527885,0.025710148736834526
72.8406958007813,18.136211395263725,0.02539043314754963
72.8406958007813,18.330950736999565,0.020641330629587173
72.8406958007813,18.525690078735405,0.027259137481451035
72.8406958007813,18.720429420471245,0.02544471062719822
72.8406958007813,18.915168762207085,0.023853113874793053
72.8406958007813,19.109908103942924,0.02570279873907566
72.8406958007813,19.304647445678764,0.025709161534905434
72.8406958007813,19.499386787414604,0.02369796670973301
72.8406958007813,19.694126129150444,
72.8406958007813,19.88886547088628,0.02508564479649067
72.8406958007813,20.08360481262212,0.023512398824095726
72.8406958007813,20.27834415435796,
72.8406958007813,20.4730834960938,0.028218669816851616
72.8406958007813,20.66782283782964,0.028145814314484596
72.8406958007813,20.86256217956548,
72.8406958007813,21.05730152130132,0.025741009041666985
72.8406958007813,21.25204086303716,
72.8406958007813,21.446780204773,0.02496504597365856
72.8406958007813,21.64151954650884,0.02410929463803768
72.8406958007813,21.83625888824468,0.025399144738912582
72.8406958007813,22.03099822998052,
73.0306958007813,15.60459995269781,0.025847092270851135
73.0306958007813,15.79933929443365,0.024768231436610222
73.0306958007813,15.99407863616949,0.023144548758864403
73.0306958007813,16.18881797790533,0.02739321067929268
73.0306958007813,16.38355731964117,0.024658681824803352
73.0306958007813,16.57829666137701,0.02872490882873535
73.0306958007813,16.77303600311285,0.0274809543043375
73.0306958007813,16.96777534484869,0.025745892897248268
73.0306958007813,17.16251468658453,0.024601832032203674
73.0306958007813,17.357254028320366,
73.0306958007813,17.551993370056206,0.02512226067483425
73.0306958007813,17.746732711792045,0.02494397945702076
73.0306958007813,17.941472053527885,0.026609940454363823
73.0306958007813,18.136211395263725,
73.0306958007813,18.330950736999565,0.024817125871777534
73.0306958007813,18.525690078735405,0.021707504987716675
73.0306958007813,18.720429420471245,0.025630837306380272
73.0306958007813,18.915168762207085,0.023777607828378677
73.0306958007813,19.109908103942924,0.026809893548488617
73.0306958007813,19.304647445678764,
73.0306958007813,19.499386787414604,0.025612227618694305
