longitude,latitude,No2_value(mol/m^2)
68.18624877929699,20.120798110961918,2.2824735424364917e-05
68.18624877929699,20.26407909393311,1.5574212739011273e-05
68.18624877929699,20.407360076904304,2.29385586862918e-05
68.18624877929699,20.5506410598755,2.301051608810667e-05
68.18624877929699,20.69392204284669,1.094704566639848e-05
68.18624877929699,20.837203025817885,1.4111067685007583e-05
68.18624877929699,20.98048400878908,2.8943648430868052e-05
68.18624877929699,21.123764991760275,1.0552941603236832e-05
68.18624877929699,21.26704597473147,2.8274173018871807e-05
68.18624877929699,21.410326957702665,2.790560756693594e-05
68.18624877929699,21.55360794067386,2.2865877326694317e-05
68.18624877929699,21.69688892364505,1.7126349121099338e-05
68.18624877929699,21.840169906616246,-3.603591039791354e-06
68.18624877929699,21.98345088958744,2.3970829715835862e-05
68.18624877929699,22.12673187255864,1.3557600141211879e-05
68.18624877929699,22.27001285552983,1.4255572750698775e-05
68.18624877929699,22.413293838501023,1.855501250247471e-05
68.18624877929699,22.55657482147222,1.69002541952068e-05
68.18624877929699,22.699855804443416,2.6944224373437464e-05
68.18624877929699,22.84313678741461,2.5023316993610933e-05
68.18624877929699,22.98641777038581,1.6570362276979722e-05
68.18624877929699,23.129698753357,7.051907687127823e-06
68.18624877929699,23.272979736328196,1.5037735465739388e-05
68.18624877929699,23.416260719299387,1.5816531231394038e-05
68.18624877929699,23.559541702270582,1.732247619656846e-05
68.18624877929699,23.702822685241777,2.131360088242218e-05
68.18624877929699,23.84610366821297,8.660351340950001e-06
68.18624877929699,23.989384651184167,1.5606890883645974e-05
68.18624877929699,24.13266563415536,1.4290625585999805e-05
68.18624877929699,24.27594661712656,1.4970185475249309e-05
68.18624877929699,24.41922760009775,2.2506774257635698e-05
68.18624877929699,24.562508583068944,1.0475010640220717e-05
68.18624877929699,24.70578956604014,1.8191023627878167e-05
68.32624877929699,20.120798110961918,2.7659203624352813e-05
68.32624877929699,20.26407909393311,2.3734593924018554e-05
68.32624877929699,20.407360076904304,1.7093603673856705e-05
68.32624877929699,20.5506410598755,1.810451976780314e-05
68.32624877929699,20.69392204284669,3.007995655934792e-05
68.32624877929699,20.837203025817885,2.2854545022710226e-05
68.32624877929699,20.98048400878908,1.3029670299147256e-05
68.32624877929699,21.123764991760275,2.1700266188418027e-06
68.32624877929699,21.26704597473147,2.2042655473342165e-05
68.32624877929699,21.410326957702665,9.679931281425525e-06
68.32624877929699,21.55360794067386,2.951358510472346e-05
68.32624877929699,21.69688892364505,1.6589878214290366e-05
68.32624877929699,21.840169906616246,8.685728971613571e-06
68.32624877929699,21.98345088958744,2.000150016101543e-05
68.32624877929699,22.12673187255864,6.537513399962336e-06
68.32624877929699,22.27001285552983,8.903824891604017e-06
68.32624877929699,22.413293838501023,2.322153932254878e-06
68.32624877929699,22.55657482147222,1.433691522834124e-05
68.32624877929699,22.699855804443416,1.608255297469441e-05
68.32624877929699,22.84313678741461,6.475918780779466e-06
68.32624877929699,22.98641777038581,1.691201214271132e-05
