longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
68.18624877929699,20.120798110961918,1.1296198863419704e-05,5.83176915824879e-06
68.18624877929699,20.26407909393311,1.0258559086651076e-05,1.9853081539622508e-05
68.18624877929699,20.407360076904304,3.3855176297947764e-05,3.237751116103027e-06
68.18624877929699,20.5506410598755,1.294886078540003e-05,9.122966730501504e-06
68.18624877929699,20.69392204284669,3.670589285320602e-05,1.2635850907827262e-05
68.18624877929699,20.837203025817885,1.7264732377952896e-05,1.0788899089675397e-05
68.18624877929699,20.98048400878908,2.109001070493832e-05,1.0188315172854344e-05
68.18624877929699,21.123764991760275,1.7080905308830552e-05,4.475589594221674e-05
68.18624877929699,21.26704597473147,1.093141963792732e-05,2.8638796720770188e-05
68.18624877929699,21.410326957702665,2.3890677766758017e-05,4.715524482890032e-06
68.18624877929699,21.55360794067386,3.148347241221927e-05,2.873857010854408e-05
68.18624877929699,21.69688892364505,1.7406153347110376e-05,-1.2148292626079638e-05
68.18624877929699,21.840169906616246,-1.195418917632196e-05,1.117847318710119e-06
68.18624877929699,21.98345088958744,0.0001914784370455,1.592478292877786e-05
68.18624877929699,22.12673187255864,1.3490461242327e-05,2.2177453047333984e-06
68.18624877929699,22.27001285552983,1.1377930604794528e-05,2.0214938558638096e-06
68.18624877929699,22.413293838501023,6.521917384816334e-06,4.198843453195877e-05
68.18624877929699,22.55657482147222,6.629762083321111e-06,-2.519489953556331e-06
68.18624877929699,22.699855804443416,3.3799624361563474e-05,1.7535523511469364e-05
68.18624877929699,22.84313678741461,0.0001641951530473,7.925947102194186e-06
68.18624877929699,22.98641777038581,0.000164315366419,1.6236215742537752e-05
68.18624877929699,23.129698753357,2.8773136364179663e-05,1.895101559057366e-05
68.18624877929699,23.272979736328196,2.050946750387084e-05,2.841958666977007e-05
68.18624877929699,23.416260719299387,7.435885345330462e-05,3.66908989235526e-06
68.18624877929699,23.559541702270582,2.089528425130993e-05,7.404733423754806e-06
