longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,,2.5387180357938632e-05,0.0001002932549454,1.1639957847364713e-05,4.540968802757561e-05,,,-4.0326667658519e-06,1.6679632608429529e-06,,-1.471833365940256e-05,-5.067467100161593e-06,,7.061558335408336e-06
77.181,28.414,,3.299888703622855e-05,0.0002141525328624,-5.1137034461135045e-05,,,-8.110588169074617e-06,-6.9647899181291e-07,0.0001287410996155,,-1.3105628568155224e-05,1.2732239156321157e-05,,1.0597046866678284e-06
77.192,28.414,,1.1942296623601578e-05,0.0001694063685135,1.0397584446764084e-05,5.470387986861169e-05,,,-4.427674582530017e-07,7.594878115924075e-05,,-1.0060030035674572e-06,6.000936991767958e-07,,1.194798096548766e-05
77.202,28.414,,2.4082733943942003e-05,1.844993676058948e-05,1.1953261491726153e-05,3.820436540991068e-05,,,-1.662983777350746e-06,,,,1.0614100574457552e-05,,7.818319318175782e-06
77.213,28.414,,-8.933517165132798e-06,5.965552645648131e-06,6.620429303438868e-06,6.639103958150372e-05,,,1.120418914979382e-06,3.464455949142575e-05,,,-9.344701084046392e-07,,-1.8066880329570267e-06
77.223,28.414,,4.982511200068984e-06,7.446872041327879e-05,1.7417271010344848e-05,3.127181116724387e-05,,-3.779889766519773e-06,1.5019344573374838e-05,2.060429096673033e-06,,,6.34454909231863e-06,,9.713582585391125e-06
77.171,28.424,,1.8615315639181063e-05,0.0002421473618596,1.3350631888897624e-05,3.1325602321885526e-05,,-5.62718378205318e-06,9.828940164879896e-06,0.0001087173368432,,,9.747825060912874e-06,,1.794155286916066e-05
77.181,28.424,,5.261137994239107e-05,-1.4480826393992174e-05,2.0213742573105264e-06,,,,4.555315626930678e-06,,,-6.3273437262978405e-06,3.23330255014298e-06,,2.1917594494880177e-06
77.192,28.424,,2.079557270917576e-05,0.0001440308114979,1.665320451138541e-05,4.064373570145108e-05,,-3.779889766519773e-06,-1.5296028550437768e-06,-9.539967322780283e-06,,2.0688576114480384e-06,1.1722058843588457e-05,,-1.8066880329570267e-06
77.202,28.424,,3.994700819021091e-05,0.0001161326435976,2.539293927839026e-05,,,,4.191820607957197e-06,-4.3126765376655385e-06,,-1.0471033419889864e-05,-7.012789637883543e-07,,4.161439392191824e-06
