longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.181,28.443,3.866639417537954e-06,,,-4.338066901254933e-06,1.8267377527081408e-05,,,1.8401538909529336e-05,,4.8426682042190805e-06,,1.1967354112130124e-05,2.133527004843927e-06,,2.093834700644948e-05
77.192,28.443,1.6557884009671398e-05,,,1.1675911082420498e-05,,,,,,6.838318768132012e-06,,6.709364242851734e-06,6.198346454766579e-06,0.0001187231173389,4.3602220102911815e-05
77.202,28.443,-7.577535399150294e-08,,,,1.5944064216455445e-05,,,,,5.535006494028494e-06,,-4.94500409331522e-06,1.824349601520225e-05,0.0004285725590307,1.9167249774909575e-05
77.213,28.443,2.4484719688189216e-05,,,-2.179583361794357e-06,,,,,,-3.058968331970391e-06,,5.261199021333596e-06,-5.888833584322128e-06,4.8577076086075976e-05,1.340090784651693e-05
77.223,28.443,6.983113053138368e-06,,,7.645520236110315e-05,2.1557742002187297e-05,4.6382134314626455e-05,,,,8.88947761268355e-06,,-3.963702965847915e-06,-2.4590374323452124e-06,0.0003854483948089,2.3201198928290975e-05
77.233,28.443,3.891765300068073e-05,,,0.0003011402441188,1.739588515192736e-05,,,2.178537215513643e-05,,1.1127305697300471e-05,,1.795077696442604e-05,3.226117769372649e-06,8.719316247152165e-05,1.20591676022741e-05
77.244,28.443,-5.964981028228067e-06,,,0.0002023242122959,1.576850081619341e-05,3.225970795028843e-05,,,,2.677742850210052e-05,,9.594344192009883e-06,1.7811480574891903e-05,0.0006123728235252,5.010068889532704e-06
77.129,28.453,6.164007936604321e-05,,,2.5839042791631076e-05,2.001198117795866e-05,,,,,2.861824668798363e-06,,-3.2064383503893623e-06,5.631209660350578e-06,3.9340939110843465e-05,2.332199801458046e-05
77.14,28.453,1.1378103863535216e-06,,,3.244928302592598e-05,2.084421066683717e-05,,,,,1.5196573031062144e-06,,7.746992878310266e-07,1.2449810128600802e-05,0.0001090303267119,1.940729998750612e-05
77.15,28.453,1.3750378457189072e-05,,,3.783087322517531e-06,,,,,,1.1592635928536764e-05,,1.1855835509777536e-05,2.992541794810677e-06,0.0002364434185437,1.480015544075286e-05
77.161,28.453,3.918313450412825e-05,,,-4.338066901254933e-06,,2.9968527087476104e-05,,2.700899676710833e-05,,1.8356622604187575e-05,,8.497929229633883e-06,8.945349691202864e-06,1.9790260921581648e-05,2.624020999064669e-05
77.171,28.453,2.0765726276295027e-06,,,1.1675911082420498e-05,,,,,,-7.468968760804273e-06,,2.5540995920891877e-05,1.450776198907988e-05,0.0005031424807384,3.187455149600282e-05
77.181,28.453,5.271201189316344e-06,,,-6.270352059800644e-06,,2.3998774850042537e-05,,,,-5.551180493057473e-06,,-1.9936616808990948e-05,1.8156071746489036e-05,0.0001394000428263,4.596907672294037e-07
77.192,28.453,2.404852011750336e-06,,,7.622360135428607e-05,,,,,,5.98546102992259e-06,,4.514714419201482e-06,5.540081474464387e-06,0.0007504952955059,1.4569759514415637e-05
77.202,28.453,-7.036838269414147e-06,,,,1.8614910004544072e-05,,,,,1.8208832841537517e-07,,1.21194952953374e-05,6.52229232400714e-07,0.0001812368718674,1.3769777979177888e-05
77.213,28.453,4.784516568179242e-05,,,4.49523504357785e-05,,2.727558785409201e-05,,1.8401538909529336e-05,,9.755319297255484e-06,,5.069035523774801e-06,8.532145329809282e-06,-5.582761332334485e-06,-6.677075361949392e-06
77.223,28.453,2.6508469090913422e-05,,,,,,,,,4.192774213152006e-06,,2.2841836653242358e-06,1.2395672456477769e-05,0.0006288518779911,1.862799581431318e-05
77.233,28.453,3.720818494912237e-05,,,,,,,,,-1.7584101215106784e-06,,-1.094207436835859e-05,6.081584160710918e-06,7.181530236266553e-05,4.434890433913097e-05
77.119,28.463,6.187777671584627e-06,,,5.291921115713194e-05,,,,,,-2.7507094273460098e-06,,1.0488723091839349e-05,4.806627657671925e-06,0.0002749109407886,2.8285792723181657e-05
77.129,28.463,3.2221373658103403e-06,,,3.783087322517531e-06,,3.5510605812305585e-05,,,,-5.194089681026526e-06,,7.607887255289825e-06,1.0633740203047635e-05,2.964839586638845e-05,4.076269397046417e-05
77.14,28.463,4.171337423031218e-05,,,-4.338066901254933e-06,,,,,,3.324045337649295e-06,,1.2408066140778828e-05,1.201759459945606e-06,0.0006020972505211,2.039647370111197e-05
77.15,28.463,1.4479575838777237e-05,,,1.1675911082420498e-05,,,,,,1.6747873814892955e-05,,3.225130058126524e-06,6.947150268388214e-06,0.0001015768430079,-3.1982337986846687e-06
77.161,28.463,-1.1870138223457616e-06,,,2.611579293443356e-05,,,,,,-1.0956211554002948e-05,,3.2109244330058573e-06,6.064526132831816e-06,0.000297516118735,3.0785864510107785e-05
77.171,28.463,9.927726205205543e-05,,,,6.752982153557241e-05,3.279120574006811e-05,,,,-8.732417882129084e-06,,1.162141234090086e-05,-9.594907169230282e-06,0.0004779466253239,1.8057060515275225e-05
77.181,28.463,2.8924232537974603e-05,,,-1.3765483345196117e-05,,,,1.0965024557663128e-05,,-1.4573194675904231e-05,,6.694682724628365e-06,3.0101873562671244e-06,0.0006632732111029,1.2628540389414413e-05
77.192,28.463,1.7818003470893018e-05,,,-1.611568222870119e-05,,,,,,7.341383820858027e-07,,2.8439314974093577e-06,3.817326160060475e-06,0.0003025134501513,0.0001125910057453
77.202,28.463,7.692611688980833e-06,,,0.0002348183625144,,,,,,-2.343664618820185e-06,,1.1063091733376496e-05,1.6841933074829285e-06,0.000143628931255,1.0659107829269487e-05
77.213,28.463,1.261968100152444e-05,,,8.094827353488654e-05,,,,,,-5.881392098672222e-06,,1.5225970855681226e-05,-1.5712130334577523e-06,2.535964631533716e-05,2.435832902847324e-05
77.223,28.463,1.028159385896288e-05,,,4.528305362327956e-05,,,,2.634546945046168e-05,,5.006013452657498e-06,,6.012660378473811e-06,4.882439839093422e-07,3.043187280127313e-05,1.7508822566014715e-05
77.119,28.473,3.581531564122997e-05,,,-7.21915102985804e-06,,3.1320701964432374e-05,,,,2.163678118449752e-06,,7.113494120858377e-06,6.947150268388214e-06,0.0004000589833594,9.392155334353448e-05
77.129,28.473,4.1663872252684087e-05,,,,,,,3.0497423722408712e-05,,-6.642815151280956e-06,,8.292815437016543e-06,6.440165634558071e-06,0.0004704620805568,-2.340942273804103e-06
77.14,28.473,-1.1265075954725036e-05,,,0.0002607354253996,5.4617779824184254e-05,,,2.975164170493372e-05,,1.192097261082381e-05,,-4.31627859143191e-06,-9.594907169230282e-06,-2.4299228243762627e-05,5.832973329233937e-06
77.15,28.473,-2.9212394565547584e-06,,,0.0005910310428589,1.3491757272277027e-05,,,,,-3.0346443509188248e-06,,1.529643668618519e-05,2.2605759113503154e-06,0.0005382123054005,1.4237595678423531e-05
77.161,28.473,3.309518433525227e-06,,,-3.6194217045704136e-06,5.183795292396098e-05,,,1.4253674635256177e-05,,-1.8451657979312584e-06,,3.482231477391906e-06,9.183208021568134e-06,,1.4095800906943625e-05
77.171,28.473,1.0639146239554975e-05,,,1.534313014417421e-07,,,,1.6216155927395448e-05,,1.0548763384576889e-05,,-1.394601554238761e-06,2.829564436979126e-06,9.734108607517555e-05,2.288559699081816e-05
77.181,28.473,1.6077256077551283e-05,,,1.705188515188638e-05,2.001198117795866e-05,,,,,-2.076310192933306e-05,,5.408861397881992e-06,-7.460191682184813e-06,-4.433094727573916e-05,2.771916115307249e-05
77.192,28.473,1.1658038602035958e-05,,,,2.084421066683717e-05,,,,,-3.200695743998949e-07,,-7.952635314723011e-06,5.24881261299015e-06,4.06489270972088e-05,2.115362985932734e-05
77.202,28.473,1.9155286281602457e-05,,,-1.3822459550283384e-05,,3.279120574006811e-05,,,,-8.282552698801737e-06,,1.5040146536193788e-05,1.776217141014058e-05,7.181530236266553e-05,1.7121012206189334e-05
77.213,28.473,1.5264507737811073e-06,,,2.076943746942561e-05,,,,,,-8.792472385721339e-07,,2.194648686781875e-06,4.666769200412091e-06,6.316773942671716e-05,1.441463791707065e-05
77.223,28.473,3.418855158088263e-06,,,0.0009644958190619,,,,,,5.044445515522966e-06,,2.3611182768945582e-06,1.682342917774804e-05,2.4112681785481985e-05,1.021700427372707e-05
77.233,28.473,1.2159470315964429e-05,,,3.686931086122058e-05,,,,2.8526865207822997e-05,,1.140384756581625e-05,,2.06575487027294e-06,7.011934940237552e-06,0.0004678861005231,2.205982673331164e-05
77.119,28.482,-2.9325278774194885e-06,,,-6.270352059800644e-06,2.5959323465940543e-05,,,1.7683392798062414e-05,,5.062200216343626e-06,,-1.9936616808990948e-05,8.146783329721075e-06,0.0003560213081073,1.529242035758216e-05
77.129,28.482,1.9025668734684587e-05,,,2.4407379896729253e-05,,4.097677083336748e-05,,,,1.866708885245316e-06,,-3.144573565805331e-05,9.98485575109953e-06,0.0004410881083458,7.497998467442812e-06
77.14,28.482,1.748812064761296e-05,,,1.5130629435589071e-05,,,,1.568823790876195e-05,,-2.3848774617363237e-06,,-6.069655000828789e-07,8.532145329809282e-06,0.0001004989826469,2.127554216713179e-05
77.15,28.482,2.126316030626185e-05,,,1.534313014417421e-07,,3.1320701964432374e-05,,,,-7.860446203267202e-06,,2.967929140140768e-05,1.3710263374377972e-05,0.0002860774111468,2.552455225668382e-05
