longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.306,28.551,2.996993134729564e-05,,,,,,,1.7683392798062414e-05,,-3.310674401291181e-07,,-1.459696022720891e-06,-5.932872682024026e-07,-1.953985020008986e-06,2.0660638256231323e-05
77.316,28.551,1.35225736812572e-05,,,6.271417805692181e-05,1.8067792552756146e-05,,,1.6177280485862866e-05,,7.385666776826838e-06,,5.8887089835479856e-06,9.740062523633242e-06,0.0005451367469504,1.3103679521009326e-05
76.849,28.561,1.3953967027191538e-05,,,1.8165859728469517e-05,,,,,,-1.5248357158270665e-05,,4.6643885980302e-06,1.2535338100860828e-05,9.533012780593708e-05,2.930801383627113e-05
76.86,28.561,4.292847734177485e-05,,,,,2.1362035113270395e-05,,,,1.1532056305441074e-05,,-4.871400960837491e-06,9.36294691200601e-06,2.230333484476432e-05,0.0001447795511921
76.87,28.561,1.7888865841086954e-05,,,0.0009220380452461,,,,3.165666203130968e-05,,8.78261198522523e-06,,1.7306017980445176e-05,1.7481748727732338e-05,2.17550914385356e-05,1.25376845971914e-06
76.88,28.561,1.30942780742771e-05,,,0.0003025608602911,1.4531826309394091e-05,,,,,1.2363125279080124e-05,,6.05874174652854e-06,5.4796578297100496e-06,1.443743531126529e-05,1.7330115952063352e-05
76.891,28.561,1.178906222776277e-05,,,2.4106147975544445e-05,,,,,,5.163577952771448e-06,,9.728512395668076e-07,7.227100923046237e-06,0.0006368558970279,1.2686124136962462e-05
76.901,28.561,4.767682548845187e-05,,,8.49262869451195e-06,,,,,,1.046044417307712e-05,,1.6783756109362002e-06,3.171401431245613e-06,2.2845659259473905e-05,1.450224135624012e-05
76.911,28.561,6.572104757651687e-05,,,,4.611389158526436e-05,,,,,1.3590869457402732e-05,,5.699387656932231e-06,7.3977330430352595e-06,0.0001024572411552,3.207934059901163e-05
76.922,28.561,0.0001756942656356,,,4.300080490793334e-06,,,,,,4.057429123349721e-06,,9.434697858523576e-07,1.1974728977293123e-06,3.647946505225264e-05,1.3898230463382788e-05
76.932,28.561,1.1177548003615811e-05,,,-9.621613571653144e-06,,,,,,3.574452421162277e-06,,4.7210187403834425e-06,-4.008980795333628e-06,5.127739859744906e-05,2.0245459381840192e-05
76.943,28.561,2.847221003321465e-05,,,-1.611568222870119e-05,4.266625182935968e-05,,,,,1.3131672176314169e-06,,2.965796511489316e-06,8.2746337284334e-06,3.3791642636060715e-05,3.837198528344743e-05
76.953,28.561,0.0001072306404239,,,-9.61946807365166e-06,,2.106487227138132e-05,,,,-3.3736876048351405e-06,,9.229465831595007e-06,1.4294889297161715e-05,7.020417979219928e-05,-7.712169463047758e-06
76.963,28.561,3.856014882330783e-05,,,0.0006507157231681,,,,,,-2.384986146353185e-06,,-1.1502381312311629e-05,4.259624802216422e-06,0.0001314736000495,2.0863402824033983e-05
76.974,28.561,2.91076758003328e-05,,,,,,,,,1.993952764678397e-06,,1.569392225064803e-05,3.11856706503022e-06,0.0005476360674947,-9.87730913948326e-07
76.984,28.561,2.01366055989638e-05,,,,,,,1.4019043192092797e-05,,6.645152097917162e-06,,6.012660378473811e-06,1.2518419680418448e-05,3.235779149690643e-05,0.0001911187428049
76.994,28.561,1.1939474461541977e-05,,,0.0001503864041296,,3.4180811780970544e-05,,2.5035866201506e-05,,4.3600365984275413e-07,,-1.1650637361526606e-06,6.401232440111926e-06,1.5564550267299637e-05,9.84075086307712e-05
77.005,28.561,3.918313450412825e-05,,,,,,,2.5035866201506e-05,,5.268812401482137e-06,,1.4917539374437185e-05,1.1150429600093048e-05,1.968485776160378e-05,1.8103337424690835e-05
77.015,28.561,4.94468622491695e-05,,,-1.3822459550283384e-05,,,,,,9.507688446319662e-06,,3.113420234512887e-06,4.089883077540435e-06,-2.719110489124432e-05,8.729598448553588e-06
77.026,28.561,3.950343671021983e-05,,,4.290041397325695e-05,2.2470459953183308e-05,,,,,1.1830896937681246e-06,,2.428600964776706e-06,4.623107543011429e-06,0.0004773764521814,1.8487357010599222e-05
77.036,28.561,4.011318378616125e-05,,,7.807082874933258e-05,,2.9182441721786745e-05,,2.090071029670071e-05,,5.99719456317871e-08,,-9.83065092441393e-07,4.060399987793062e-06,9.611589484848082e-05,2.100569508911576e-05
77.046,28.561,1.0246273632219529e-05,,,2.632627911225427e-05,3.341196133987978e-05,,,,,2.9156863092794083e-06,,-3.2486886993865483e-06,1.3217556443123613e-05,2.940266494988464e-05,-2.2801586965215392e-06
77.057,28.561,3.422773443162441e-05,,,,2.2869297026772983e-05,,,,,2.654861418704968e-06,,7.313707556022564e-06,2.502402367099421e-06,3.016950176970568e-05,2.288559699081816e-05
77.067,28.561,6.556876087415731e-06,,,8.016246283659711e-05,1.4206473679223564e-05,1.7920061509357765e-05,,3.136060695396736e-05,,1.65719920914853e-05,,1.35657285227353e-06,6.861699148430489e-06,0.0005813477328047,2.285447408212349e-06
77.078,28.561,1.1589197129069362e-05,,,0.0001375968422507,4.2800791561603546e-05,,,1.7606049368623644e-05,,2.51706546805508e-06,,-1.190638045045489e-06,9.591138223186135e-06,0.0004254602536093,1.1851680937979836e-05
77.088,28.561,2.869872730570933e-07,,,0.0001485667598899,1.5666879335185513e-05,,,,,9.14346946956357e-06,,8.650716154079419e-06,4.022531356895343e-06,0.0005414393381215,3.117588130407967e-05
77.098,28.561,6.0633185057668015e-05,,,,,,,,,2.093645161949098e-05,,5.90248509979574e-06,6.436684088839684e-06,5.148901618667878e-05,2.540982495702337e-05
77.109,28.561,-2.591514771665971e-07,,,0.0001399842731188,,,,,,9.4144970717025e-06,,8.189806067093741e-06,7.74993714003358e-06,0.0007177515653893,2.596227386675309e-05
77.119,28.561,-1.3615617717732675e-05,,,2.378389945079107e-05,,2.225388197985012e-05,,2.273819518450182e-05,,2.9830557650711853e-06,,4.928353973809863e-06,2.9554662432929035e-06,0.0006745918653905,1.6663485439494252e-05
77.129,28.561,1.9780767615884542e-05,,,3.523448640407878e-06,1.7612554074730724e-05,2.8685308279818852e-05,,3.14116186928004e-05,,5.028065515944036e-06,,-4.648054527933709e-06,,0.0004580674576573,3.4800370485754684e-05
77.14,28.561,8.897478437575046e-06,,,4.798303416464478e-05,,2.8685308279818852e-05,,,,2.313832055733656e-06,,3.6211606584402034e-06,5.845419309480349e-06,0.0001318311697104,2.995125760207884e-05
77.15,28.561,0.0001567965373396,,,2.3560909539810385e-05,,,,,,-1.8697230188990943e-05,,-1.3803478395857384e-05,8.307622920256108e-06,0.0006152789574116,1.0792829016281758e-05
77.161,28.561,-6.2755229919275735e-06,,,0.0001421322667738,,,,,,-2.08422761716065e-06,,8.939019608078524e-06,6.1578307395393495e-06,0.0006387499161064,8.286472439067438e-05
77.171,28.561,1.958874418050982e-05,,,0.0005320635391399,,,,,,6.845329608040629e-06,,4.244469437253429e-06,1.503992734797066e-05,0.0003177987528033,3.9926722820382565e-05
77.181,28.561,-1.7716472484607948e-06,,,,5.12899860041216e-05,,,1.1044997336284725e-05,,5.498283826455008e-06,,-1.841267334157237e-07,8.494381290802266e-06,8.122253348119557e-05,1.7390890207025222e-05
77.192,28.561,5.465365029522218e-05,,,2.386063351877965e-05,,,,1.7676718925940804e-05,,3.6339126836537616e-06,,1.1153209925396368e-05,6.057267000869615e-06,2.5061821361305192e-05,1.0986090273945592e-05
77.202,28.561,7.128969627956394e-07,,,-2.744467565207742e-05,1.489161149947904e-05,1.984190748771653e-05,,,,-4.310703843657393e-06,,1.365939255038029e-07,2.4682369712536456e-06,0.00019496375171,6.012530502630398e-05
77.213,28.561,6.436524131459009e-07,,,2.0305717498558806e-06,,,,,,6.535759439429967e-06,,7.099959475453943e-06,1.0247431418974884e-06,0.0004487479454837,1.0684759217838293e-05
77.223,28.561,-5.644805696647381e-06,,,,4.644741420634091e-05,3.961880429415032e-05,,1.3380967175180558e-05,,3.617440825109952e-06,,3.01874410979508e-06,-5.874667294847313e-06,0.0003801782440859,-1.6825299553602235e-06
77.233,28.561,1.5093894944584464e-05,,,,,,,,,5.707955097022932e-06,,9.28711187953013e-07,1.856046219472773e-05,0.0001883796940091,-8.57507166074356e-06
77.244,28.561,7.06638775227475e-06,,,3.4016582503682e-05,,,,2.339935053896625e-05,,1.5911478840280324e-05,,5.212666565057589e-06,8.370636351173744e-06,7.072566222632304e-05,-1.4610201105824672e-05
77.254,28.561,1.3081405995762909e-05,,,-4.30090153713536e-07,,,,1.3147038771421649e-05,,8.398501449846663e-06,,1.4434954209718852e-05,-8.248020094470121e-06,5.075098306406289e-05,
77.264,28.561,-2.94904953079822e-06,,,5.266386506264098e-05,,,,1.5283374523278326e-05,,7.280579250590334e-09,,8.44224814500194e-06,7.706792530370876e-06,,2.1965332052786835e-05
77.275,28.561,2.5011153411469426e-05,,,,1.5895457181613892e-05,3.85067833121866e-05,,3.477887366898358e-05,,-4.58277440884558e-07,,9.114497743212268e-07,1.1533824135767643e-06,-2.311564639967401e-05,1.0393859156465624e-05
77.285,28.561,5.790992418042151e-06,,,-1.1835853001684882e-05,,2.141184631909709e-05,,,,-4.167255156062311e-06,,4.6769559958192986e-06,2.780635895760497e-06,0.0002817250788211,1.109097956941696e-05
77.296,28.561,-3.2085692964756163e-06,,,0.0001099929650081,,,,,,5.0252829169039614e-06,,1.5158519090618938e-05,8.45966405904619e-06,0.0001513247116236,3.49167239619419e-05
77.306,28.561,5.311401764629409e-06,,,0.0001943252573255,,,,,,9.763683010532986e-06,,9.172228601528332e-06,1.5831801647436805e-05,3.3902782888617367e-05,7.497229034925112e-06
76.849,28.571,9.277419849240688e-06,,,0.0007556980708613,,,,3.245896004955284e-05,,-2.627912635944085e-06,,1.200152200908633e-05,1.595457251823973e-05,4.6933058911236e-05,1.33418479890679e-05
76.86,28.571,1.0325954917789204e-06,,,,,,,,,8.378912752959877e-06,,1.1927886589546688e-05,2.4609469164715847e-06,5.617033093585633e-05,8.784871170064434e-06
76.87,28.571,-8.96376874948146e-08,,,,,,,,,-1.1635087275863043e-06,,3.320971472930978e-06,3.3952292088912364e-09,0.0003372546634636,2.077603676298168e-05
76.88,28.571,3.705357448779978e-05,,,2.5995661417255175e-05,,,,,,6.209315870364662e-06,,-6.97242330716108e-06,6.433484031731496e-06,0.0008195079280994,1.681255889707245e-05
76.891,28.571,0.0001094041217584,,,5.986929318169132e-05,,,,1.666805474087596e-05,,-4.53739767181105e-06,,-1.234907813341124e-06,6.854669663880486e-06,0.0003700290690176,4.159859372521169e-07
76.901,28.571,-1.1631329925876344e-06,,,,6.256455526454374e-05,1.4799018572375644e-05,,2.814788604155183e-05,,-4.875394097325625e-06,,-2.325691639271099e-07,1.6589476217632182e-05,0.0001439604820916,2.626115019666031e-05
76.911,28.571,1.0856550943572074e-05,,,6.100220343796536e-05,,,,,,-1.5205531553874607e-06,,6.552709692186909e-06,1.2650210919673556e-05,6.752824992872775e-05,1.2538149348984008e-05
76.922,28.571,,,,5.5362226703437045e-05,,,,,,2.1166462829569355e-05,,2.9121050829417072e-05,-2.7963716675571962e-08,0.0005432878388091,0.0002992886002175
76.932,28.571,,,,-9.443819180887658e-06,2.293810757691972e-05,,,,,5.987783424643567e-06,,9.340061296825295e-06,2.462391648805351e-06,2.517575740057509e-05,1.786679422366433e-05
76.943,28.571,1.8205933884019032e-05,,,,,2.5842477043624967e-05,,,,-2.370225502090761e-06,,2.680577608771273e-06,-3.953309260396054e-06,0.0002939643745776,1.999256892304402e-05
76.953,28.571,5.886585768166697e-06,,,-2.6288284971087705e-07,,,,,,-5.306749244482489e-06,,1.5556386642856523e-05,6.282309641392203e-06,-3.271074820077047e-05,0.0001467844122089
76.963,28.571,1.877971226349473e-05,,,-7.01150293025421e-06,6.140044570202008e-05,,,,,-2.396768877588329e-06,,1.972625341295497e-06,2.4573482733103447e-05,0.0004718142445199,1.9865699869114906e-05
76.974,28.571,6.161915280245012e-06,,,7.622360135428607e-05,,,,,,5.332724413165124e-06,,-3.618783466663445e-06,1.498975689173676e-05,,3.7490390241146088e-06
76.984,28.571,2.825917817972368e-06,,,1.7908218069351278e-05,,2.106487227138132e-05,,,,1.0053259757114574e-05,,3.150778866256587e-06,1.2574105312523898e-05,0.0004779466253239,2.127622065017931e-05
76.994,28.571,0.0001592591579537,,,9.113901614909992e-05,,,,,,1.0455080882820766e-05,,1.9797042114078067e-05,5.651058927469421e-06,9.167326061287896e-05,1.488986163167283e-05
77.005,28.571,5.327927283360623e-06,,,-6.716315965604736e-06,,,,,,1.0192736226599663e-05,,6.208484819580917e-07,1.7299131286563352e-05,0.0003025134501513,1.1325784726068376e-05
77.015,28.571,2.0765726276295027e-06,,,2.7112577299703844e-05,1.9522422007867132e-05,,,,,-2.966351985378424e-06,,-1.0165537787543144e-05,4.807734512723982e-07,0.0003854483948089,3.174867379129864e-05
77.026,28.571,5.517459157999838e-06,,,0.0002023242122959,,3.4180811780970544e-05,,2.5035866201506e-05,,4.242501745466143e-06,,2.3277639229490887e-06,1.7890395611175336e-05,5.3330626542447135e-05,3.7096146115800366e-05
77.036,28.571,1.4124971130513586e-06,,,3.84830818802584e-05,,,,1.5199520930764264e-05,,1.301952579524368e-05,,6.84076940160594e-06,-9.200542081089225e-06,3.098714296356775e-05,-1.066324966814136e-05
77.046,28.571,1.5055764379212633e-05,,,0.0002343136438867,,,,1.5199520930764264e-05,,-3.0899630019121105e-06,,5.508931735676015e-06,1.552604589960538e-05,2.604539076855872e-05,4.081907718500588e-06
77.057,28.571,1.2698160389845723e-05,,,4.385948341223411e-05,,,,,,5.60135958949104e-06,,1.0006881893787067e-05,7.435197630911716e-07,2.316318568773568e-05,1.207822970172856e-05
77.067,28.571,1.917586450872477e-05,,,,,,,2.090071029670071e-05,,-1.0613487575028556e-05,,4.308510597184068e-06,2.5834565349214245e-06,0.0004852046258747,1.6846435755724087e-05
77.078,28.571,9.537565347272904e-05,,,,,,,,,-1.3578120388046957e-06,,1.926999857460032e-06,9.438549568585586e-06,0.000160129595315,0.0005372366285882
77.088,28.571,8.82301465026103e-05,,,1.907381920318585e-05,,1.7920061509357765e-05,,,,1.610788058314938e-05,,8.99442511581583e-06,2.058040627161972e-05,0.0001058594280038,3.1425963243236765e-05
77.098,28.571,2.315086021553725e-06,,,2.378389945079107e-05,,1.7920061509357765e-05,,,,2.820814370352309e-05,,8.50921480832767e-07,7.192112207121681e-06,-4.521371465671109e-06,3.4373410016996786e-05
77.109,28.571,-7.338361683650874e-06,,,2.808871977322269e-05,,4.4182663259562105e-05,,8.729651199246291e-06,,3.762308097066125e-06,,5.5243576753127854e-06,1.279863136005588e-05,0.0001266267063328,1.2707382666121704e-05
77.119,28.571,-1.401997451466741e-06,,,-6.212535481608938e-06,4.4885306124342605e-05,,,,,1.6444095308543183e-05,,-5.032882654631976e-06,6.751296496076975e-06,0.0004959504003636,8.079460712906439e-06
77.129,28.571,7.3137894105457235e-06,,,,,,,1.9185581550118517e-05,,2.1281466615619134e-05,,5.061366437075776e-07,5.1041756705672015e-06,0.000322995649185,2.0903426047880203e-05
77.14,28.571,1.7249500160687603e-05,,,0.0001128614458139,,,,2.9270593586261384e-05,,6.631992619077209e-06,,4.530294063442852e-06,6.895282240293454e-06,3.964729330618866e-05,1.1715677828760818e-05
77.15,28.571,2.7635998776531775e-05,,,0.0002268227544846,2.5845014533842917e-05,2.225388197985012e-05,,1.1422816896811128e-05,,1.2064767361152915e-05,,8.653956683701836e-06,7.055102742015151e-06,7.392122643068433e-05,1.029628674587002e-05
77.161,28.571,9.091277024708688e-05,,,1.962094984264695e-06,1.858916766650509e-05,2.8685308279818852e-05,,,,9.969605343940202e-06,,4.274966158845928e-06,2.1569894670392387e-06,0.0003963902709074,1.6775020412751473e-05
77.171,28.571,2.913289245043416e-05,,,2.670990579645149e-05,,2.4417431632173248e-05,,,,9.097918336919976e-06,,3.5630902857519686e-05,2.376249358349014e-05,3.615196646933328e-06,6.492980901384726e-05
77.181,28.571,2.311919161002152e-05,,,2.0944024072377943e-05,,,,1.0653747267497238e-05,,2.020537431235425e-05,,-1.43719057632552e-06,1.60599265655037e-05,4.312580495025031e-05,6.130000201665098e-06
77.192,28.571,2.777052031888161e-05,,,7.144501978473272e-06,,,,,,5.511452627615654e-07,,1.91201179404743e-05,2.499624258689437e-07,0.0002173027314711,2.4827002562233247e-05
77.202,28.571,5.688677902071504e-06,,,,,3.4575383324408904e-05,,2.0644181859097444e-05,,1.3792002846457765e-06,,2.1553898477577604e-05,7.868625289120246e-06,5.701676127500832e-05,1.939115463756025e-05
77.213,28.571,2.1985440980643037e-05,,,,,,,,,,,3.287925210315734e-05,8.370636351173744e-06,0.0001081553346011,9.670407052908558e-06
77.223,28.571,7.068482955219224e-05,,,0.0001959920627996,3.0165192583808675e-05,,,1.4605698197556194e-05,,2.713012918320601e-06,,1.4640023437095806e-05,-8.974746492640406e-07,0.0003187820839229,2.3503464035457e-05
77.233,28.571,1.3152209248801228e-05,,,-3.046459096367471e-05,,,,,,-1.2415473975124767e-05,,4.361882474768208e-06,1.2009967576886991e-05,5.495332516147755e-05,0.0001306556514464
77.244,28.571,-3.0961532502260525e-06,,,1.7711032342049293e-05,,,,,,2.0782670162589056e-06,,9.664555363997351e-06,3.897755959769711e-06,9.351618064101784e-05,1.9185710698366165e-05
77.254,28.571,1.5180077753029764e-05,,,3.873653622576967e-05,1.6099198546726257e-05,3.961880429415032e-05,,1.512083508714568e-05,,-7.536085036008444e-07,,3.1005131404526765e-06,8.427213288086932e-06,-2.311564639967401e-05,7.982224815350492e-06
77.264,28.571,-3.040679303012439e-06,,,4.989943772670813e-05,,,,2.339935053896625e-05,,9.312440852227157e-06,,-1.1415090739319569e-06,3.573433104975265e-06,0.0001529154978925,1.9017317754332907e-05
77.275,28.571,-2.723123088799184e-06,,,,,,,,,1.0731976544775534e-05,,6.006980584061239e-07,1.1616270967351738e-05,0.000137776180054,7.022666522971122e-06
77.285,28.571,8.962227184383664e-06,,,2.465027318976354e-05,,,,,,4.627197540685302e-06,,8.20614422991639e-06,2.62648632087803e-06,0.0003089631500188,2.440921889501624e-05
77.296,28.571,1.0238815775664987e-05,,,2.3157685063779357e-05,,,,,,2.630217522892053e-06,,3.757952072191984e-06,2.2718093077855883e-06,0.0001192775525851,3.80835663236212e-05
76.849,28.58,4.614103090716526e-06,,,,,2.4536342607461847e-05,,2.2999935026746243e-05,,3.39717962560826e-06,,9.739324923430104e-06,9.98485575109953e-06,0.0001352393446722,1.918866109917872e-05
76.86,28.58,2.443091943860054e-05,,,3.504818960209377e-05,,2.723859324760269e-05,,,,-3.2474054023623466e-07,,5.3832859521207865e-06,1.1974728977293123e-06,0.0001166564543382,1.3759637340626796e-06
76.87,28.58,5.769814833911369e-06,,,,,,,,,4.994091341359308e-06,,5.497496658790624e-06,-1.5106937780728913e-06,0.0003228226851206,2.7689542548614557e-05
76.88,28.58,8.850917220115662e-05,,,0.0001651868515182,,,,1.1216453458473552e-05,,1.3590869457402732e-05,,1.0465804734849373e-05,1.1887408618349582e-05,0.000124951795442,2.318117003596853e-05
76.891,28.58,2.322213549632579e-05,,,2.190585291828029e-05,2.128730557160452e-05,,,,,-7.296759463315539e-07,,1.502128452557372e-05,8.109478585538454e-06,8.125730528263375e-05,2.466256546540535e-06
76.901,28.58,7.35209250706248e-05,,,-1.110258472181158e-05,,,,,,8.695007636561058e-06,,-9.397185749548951e-06,-1.5247901501425076e-06,9.625484381103888e-05,9.909901564242318e-06
76.911,28.58,9.134282663580962e-06,,,4.31384178227745e-05,,2.379774196015205e-05,,,,2.3862168745836243e-05,,4.683339284383692e-06,1.1653142792056316e-05,0.0006015229155309,1.6215506548178382e-05
76.922,28.58,1.1698343769239727e-05,,,4.49523504357785e-05,,,,3.165666203130968e-05,,4.532375896815211e-06,,9.10284052224597e-06,1.4142608051770368e-05,0.0006165464874356,2.119328928529285e-05
76.932,28.58,1.2930810271427615e-06,,,-6.47330989522743e-06,2.8233536795596592e-05,,,,,1.0160731108044274e-05,,6.297446475400649e-08,6.401232440111926e-06,3.528608795022592e-05,4.104486652067863e-05
76.943,28.58,-1.1934371286770329e-06,,,,,,,,,8.305702976940665e-06,,2.6316525691072457e-05,9.528790542390198e-06,0.0005476360674947,1.6710646377759986e-05
76.953,28.58,1.7810272765927948e-05,,,0.0002607354253996,,,,,,7.307215582841309e-06,,1.2222465556988029e-05,6.015587246110954e-07,6.294748891377822e-05,1.0630995348037686e-05
76.963,28.58,2.2423206246457997e-05,,,6.080413004383445e-05,,,,2.985630271723494e-05,,1.1929178072023204e-05,,6.354344350256724e-06,-3.51164567291562e-06,0.0001441218919353,1.2925078408443367e-05
76.974,28.58,-2.545587904023705e-06,,,,,,,,,1.0901566383836324e-05,,-1.191105639009038e-06,1.1067392051700151e-06,8.46458860905841e-05,2.354893331357744e-05
76.984,28.58,3.449616542638978e-06,,,3.686931086122058e-05,,,,,,-5.723883077735081e-06,,1.244436043634778e-05,-1.72408519460987e-07,9.669805149314924e-05,1.2840228009736164e-05
76.994,28.58,-1.1265075954725036e-05,,,5.420743036665954e-06,,,,,,3.5462855976220453e-06,,9.513037184660789e-06,1.3300395039550494e-05,0.0001368875527987,1.0535102774156258e-05
77.005,28.58,5.7230054153478704e-06,,,2.076943746942561e-05,1.820179386413656e-05,2.106487227138132e-05,,,,6.901483175170142e-06,,-1.138793959398754e-05,6.29804162599612e-06,0.0001890068815555,1.4675977581646292e-05
77.015,28.58,2.827316529874224e-05,,,4.1528113797539845e-05,,2.106487227138132e-05,,,,1.779220752951005e-07,,5.2866698752040975e-06,7.061896667437395e-06,7.537141937064007e-05,7.343173638219014e-05
77.026,28.58,3.4236404644616414e-07,,,1.2934241340190056e-06,,,,,,7.156482297432376e-06,,5.493469870998524e-06,1.0566938726697115e-05,3.811741771642119e-05,1.9439159586909227e-05
77.036,28.58,3.725994974956848e-05,,,0.0007544594700448,2.509822843421716e-05,,,1.4019043192092797e-05,,1.3371573004405946e-05,,1.4964954061724711e-05,2.192775809817249e-06,-1.9647328372229825e-05,4.770255691255443e-05
77.046,28.58,,,,-4.910288680548547e-06,,3.4180811780970544e-05,,2.5035866201506e-05,,1.1044563507311976e-05,,8.391803930862807e-06,1.4220341654436195e-05,3.4765329473884776e-05,1.0446506166772451e-05
77.057,28.58,-2.545488769101212e-06,,,-1.0748832210083492e-05,,3.4180811780970544e-05,,,,-8.792472385721339e-07,,1.1388285201974211e-05,5.139412678545341e-06,1.894103661470581e-05,2.610141746117733e-05
77.067,28.58,5.438151674752589e-06,,,1.907381920318585e-05,,,,1.5199520930764264e-05,,-2.9570725018857047e-05,,1.4533608009514865e-05,9.820417290029582e-06,4.5718305045738816e-05,6.222468800842762e-05
77.078,28.58,7.064969395287335e-06,,,2.378389945079107e-05,,,,,,2.8562310035340488e-05,,3.05165531244711e-06,6.700925951008685e-06,0.0003064701741095,6.457257768488489e-06
77.088,28.58,2.6825344320968725e-05,,,,,,,,,6.312234745564638e-06,,-7.422875569318421e-06,1.8017683032667264e-05,0.0006745918653905,9.479282198299188e-06
77.098,28.58,2.663032546479372e-06,,,-6.212535481608938e-06,,,,,,5.760130648013728e-07,,9.077593858819457e-06,-1.3459874708132702e-06,3.60002632078249e-05,1.6623704141238704e-05
77.109,28.58,1.989248085010331e-05,,,,,1.7920061509357765e-05,,,,-1.472823896619957e-05,,7.683563126192894e-06,9.595237315807026e-06,0.0001001969867502,2.9203592930571176e-05
77.119,28.58,2.5624967747717164e-05,,,0.0004420872719492,1.4699176972499116e-05,1.7920061509357765e-05,,,,,,8.939019608078524e-06,-2.0827437765547074e-06,0.0002539378183428,1.4116754982751445e-06
77.129,28.58,2.411960485915188e-05,,,0.0001024058510665,2.496749220881611e-05,,,1.7606049368623644e-05,,4.956200882588746e-06,,1.932095801748801e-05,9.180713277601171e-06,6.738070806022733e-05,0.0001714098179945
77.14,28.58,,,,,,,,1.5060361874930097e-05,,-8.856560270942282e-06,,4.587136118061608e-06,2.697961826925166e-05,1.2378578730931622e-06,2.319777740922291e-05
77.15,28.58,4.131154491915368e-05,,,0.0001346882781945,1.6669027900206856e-05,,,,,6.8018579213458e-07,,1.3080011740385087e-05,3.950405698560644e-06,0.0001639892871025,5.071801933809184e-05
77.161,28.58,2.836056773958262e-05,,,,,,,,,1.6764808606239967e-05,,9.89487125480082e-06,3.5575842503021704e-06,3.851879955618642e-05,2.776776454993524e-05
77.171,28.58,,,,4.30794761996367e-06,,,,2.273819518450182e-05,,5.040094947617035e-06,,5.74939849684597e-06,5.154699920240091e-06,0.0001041986542986,2.0703893824247643e-05
77.181,28.58,,,,1.8335122149437663e-05,,2.8685308279818852e-05,,,,8.925240763346665e-06,,2.2135620838525938e-06,2.2360894945450127e-05,0.0004083405947312,1.3951891560282093e-05
77.192,28.58,-6.03903004048334e-07,,,-2.035140460066032e-05,,2.4417431632173248e-05,,,,1.1087224265793338e-05,,-1.266074013983598e-05,1.7460364460930575e-06,5.2310155297163874e-05,7.092121086316183e-05
77.202,28.58,8.616270861239173e-06,,,0.0002116076357197,,2.4417431632173248e-05,,,,4.522508334048325e-06,,9.939498340827411e-06,,1.1818756320280954e-05,0.0001199972903123
77.213,28.58,4.552381142275408e-05,,,-3.046459096367471e-05,,,,,,-7.869254659453873e-06,,-6.288564691203646e-06,7.706792530370876e-06,0.0005420427187345,1.458558199374238e-05
77.223,28.58,6.302577730821213e-07,,,3.112497506663203e-05,,3.4575383324408904e-05,,,,3.1371764634968717e-06,,5.81016229261877e-06,1.916779547173064e-05,7.010068657109514e-05,1.5274972611223347e-05
77.233,28.58,3.3758237805159297e-06,,,-6.659578048129333e-06,3.290356471552513e-05,,,,,-8.387215530092362e-06,,-3.1802851481188554e-06,6.731301255058497e-06,0.0001408306270604,1.4635871593782213e-05
77.244,28.58,3.2941243262030184e-05,,,,,,,1.4605698197556194e-05,,3.860643573716516e-06,,4.6769559958192986e-06,2.5350529540446587e-05,0.0003326110891066,2.9628065021825023e-05
77.254,28.58,1.4306880984804591e-05,,,3.634273889474571e-05,1.489161149947904e-05,3.476048732409254e-05,,,,8.170228511517053e-07,,1.01402765722014e-05,5.59899490326643e-06,8.045728463912383e-05,1.581622927915305e-05
77.264,28.58,3.445394759182818e-05,,,2.356195545871742e-05,,,,,,-6.2277035794977564e-06,,3.817774086201098e-06,6.914856840012362e-06,0.0003580406191758,9.6794159617275e-05
77.275,28.58,1.513529696239857e-05,,,2.534581108193379e-05,,3.961880429415032e-05,,1.3380967175180558e-05,,3.7783356674481183e-06,,5.62935383641161e-06,2.012187678701593e-06,0.0001727111666696,2.1887351977056824e-05
77.285,28.58,4.5884000428486615e-05,,,1.042363601300167e-05,5.493918069987558e-05,,,,,1.0132829629583284e-05,,6.146788564365124e-06,4.110096142539987e-06,1.515869462309638e-05,1.504530791862635e-05
77.296,28.58,4.130380693823099e-05,,,2.9547014491981827e-05,,,,,,9.0454013843555e-06,,1.598346534592565e-05,1.272812733077444e-05,6.729568121954799e-05,1.1640585398708936e-05
76.87,28.59,1.568439620314166e-05,,,4.991980404156493e-06,,2.6399582566227764e-05,,,,-2.9854793410777347e-06,,-5.419006356532918e-06,6.435546310967766e-06,0.0002183421020163,2.1830779587617144e-05
76.88,28.59,3.42069506586995e-05,,,4.934030948788859e-05,,,,2.2999935026746243e-05,,-1.1409584885768709e-06,,-1.638834191908245e-06,9.004488674690947e-07,8.636516577098519e-05,2.9722621547989547e-05
