longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,,2.200654307671357e-05
77.181,28.414,,7.79846050136257e-06
77.192,28.414,2.1685676983906887e-05,1.3458520697895436e-05
77.202,28.414,,1.2622494978131726e-05
77.213,28.414,,1.582532968313899e-05
77.223,28.414,2.4824636057019237e-05,1.7275757272727787e-05
77.171,28.424,1.0512787412153555e-05,2.367319757468067e-05
77.181,28.424,,8.533210348105058e-06
77.192,28.424,,1.731686461425852e-05
77.202,28.424,3.162804205203429e-05,7.79051970312139e-06
77.213,28.424,4.849989181821002e-06,-1.989608108488028e-06
77.223,28.424,4.045410969411023e-05,5.406267064245185e-06
77.233,28.424,1.686773612163961e-05,1.2397995305946097e-05
77.244,28.424,,1.7572767319506966e-05
77.161,28.434,2.1332165488274768e-05,1.2422508916642984e-05
77.171,28.434,6.3811712607275695e-06,1.305464411416324e-05
77.181,28.434,2.791808219626546e-05,
77.192,28.434,-7.703201845288277e-05,1.41836644615978e-05
77.202,28.434,1.563911428092979e-05,
77.213,28.434,1.7710817701299675e-05,1.1270462891843636e-05
77.223,28.434,1.40503889269894e-05,
77.233,28.434,4.05912687710952e-05,
77.244,28.434,,-2.0498882804531604e-06
77.129,28.443,,8.650205018057022e-06
77.14,28.443,2.5049404939636588e-05,1.5326664652093314e-05
77.15,28.443,5.042224074713886e-06,7.705042662564665e-06
77.161,28.443,3.104668576270342e-05,
77.171,28.443,4.007336883660173e-06,
77.181,28.443,9.55363611865323e-06,
77.192,28.443,,
77.202,28.443,3.0278322810772806e-05,
77.213,28.443,-1.167560753856378e-06,1.1919085409317631e-05
77.223,28.443,9.123176823777612e-06,
77.233,28.443,,
77.244,28.443,,1.986680945265107e-05
77.129,28.453,1.1068784260714892e-05,1.143561166827567e-05
77.14,28.453,1.199159578391118e-05,7.365414603555109e-06
77.15,28.453,,1.660060115682427e-05
77.161,28.453,1.6555830370634794e-05,-1.1675559790091938e-06
77.171,28.453,2.0432245946722105e-05,2.243866583739873e-05
77.181,28.453,2.8568714697030373e-05,4.992034064343898e-06
77.192,28.453,1.0218226634606252e-05,2.9296284083102364e-06
77.202,28.453,2.048816895694472e-05,1.1647990504570773e-05
77.213,28.453,6.354228389682248e-06,
77.223,28.453,1.4879271475365384e-05,1.2120337487431245e-05
77.233,28.453,,2.7204157959204167e-05
77.119,28.463,3.645671677077189e-05,9.10228209249908e-06
77.129,28.463,3.4801745641743764e-05,2.5454759452259168e-05
77.14,28.463,2.6475054255570285e-05,6.071564712328836e-06
77.15,28.463,2.018025952565949e-05,9.437445442017632e-06
77.161,28.463,,2.075469637929928e-06
77.171,28.463,2.5552930310368535e-05,6.519365342683159e-06
77.181,28.463,,8.321010682266206e-06
77.192,28.463,,
77.202,28.463,1.3182007023715414e-05,1.6777728887973353e-05
77.213,28.463,-5.862467151018791e-05,1.6252462955890223e-05
77.223,28.463,,1.4333917533804195e-05
77.119,28.473,1.7259340893360786e-05,
77.129,28.473,,3.5195367672713473e-05
77.14,28.473,2.69073589151958e-05,6.482813205366256e-06
77.15,28.473,3.128145181108266e-05,1.269635686185211e-05
77.161,28.473,2.066387423838023e-05,
77.171,28.473,,8.084964065346867e-06
77.181,28.473,1.5350758985732682e-05,9.032754860527348e-06
77.192,28.473,1.7435582776670344e-05,1.0735188880062196e-05
77.202,28.473,2.468860475346446e-05,1.41558084578719e-05
77.213,28.473,2.1516274500754665e-05,
77.223,28.473,6.055989160813624e-06,
77.233,28.473,2.554206184868235e-05,3.4256436265422963e-06
77.119,28.482,1.2866798897448462e-05,
77.129,28.482,1.5646566680516116e-05,
77.14,28.482,,-2.290691327289096e-06
77.15,28.482,,1.5181552043941338e-05
77.161,28.482,7.751616067253053e-06,1.6632584447506815e-05
77.171,28.482,2.309478259121533e-05,
77.181,28.482,1.948129101947416e-05,
77.192,28.482,1.7337561075692065e-05,
77.202,28.482,,1.0388026566943154e-05
77.213,28.482,3.280354576418176e-05,2.138846684829332e-05
77.223,28.482,,
77.233,28.482,,3.257367097830865e-06
77.244,28.482,2.047674024652224e-05,2.2777676349505786e-05
77.129,28.492,,6.384877451637294e-06
77.14,28.492,1.793275987438392e-05,2.38877946685534e-05
77.15,28.492,,1.1821849511761684e-05
77.161,28.492,4.312811142881401e-06,
77.171,28.492,,
77.181,28.492,5.566750041907653e-05,-1.686930090727401e-06
77.192,28.492,,5.708373009838397e-06
77.202,28.492,,
77.213,28.492,6.529393886012258e-06,1.0399739039712586e-05
77.223,28.492,,5.927969596086768e-06
77.233,28.492,,1.1935174370591994e-05
77.244,28.492,1.4162130355543924e-05,
77.254,28.492,,
77.264,28.492,,1.220586636918597e-05
77.275,28.492,1.7432555978302844e-05,1.1685149729601108e-05
77.306,28.492,2.9610464480356317e-05,1.1260799510637298e-05
77.316,28.492,,2.4128780751198065e-06
77.327,28.492,2.5098757760133598e-05,
76.891,28.502,1.9538407286745496e-05,
77.109,28.502,,1.5211709069262724e-05
77.119,28.502,7.899784577602986e-06,
77.129,28.502,,8.244791388278827e-06
77.14,28.502,2.439243507978972e-05,2.9051197998342104e-05
77.15,28.502,1.829698339861352e-05,1.1499372703838162e-05
