longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.223,28.434,1.3726931683777366e-05,,-2.373636789343436e-06,2.8184813e-05,0.0001484692766098,,3.673029596029664e-06,-8.464891834591981e-06,-1.9828450604109094e-05,5.1368413551244885e-05,1.8827478925231844e-05,1.5447614032382262e-06,5.5361324e-06,2.554195816628635e-05
77.233,28.434,9.214566489390563e-06,,1.36810367621365e-05,7.670499e-06,,-2.256582092741155e-06,-7.111552804417443e-07,-3.888065475621261e-05,-3.227631896152161e-05,5.148960553924553e-05,-2.412098751847225e-07,-9.423263236385536e-07,1.8821706e-06,2.188017788284924e-05
77.244,28.434,3.3188083762070164e-05,5.853621041751467e-05,2.0682133254013024e-05,4.014652e-05,,,1.819923272705637e-05,,-9.874206625681836e-06,3.520526297506876e-05,-5.4496034351814167e-08,-4.753841039928375e-06,6.573317e-06,3.440728323766962e-05
77.129,28.443,7.40240138838999e-05,,1.2833783102905727e-06,1.8947636e-05,,,1.257591702596983e-05,-4.366967459645821e-06,-6.617666713282233e-06,2.9374383302638307e-05,-4.162519417150179e-06,1.082553353626281e-05,1.8283718e-06,2.430055428703781e-05
77.14,28.443,3.055034903809428e-05,2.3398770281346515e-05,9.921488526742904e-06,1.1967414e-05,,2.0382803995744325e-06,-3.145143637084402e-06,-7.512838692491641e-06,-2.334493547095917e-05,4.508631172939204e-05,5.234154286881676e-06,6.09540529694641e-06,-2.125485e-06,2.4738978027016856e-05
77.15,28.443,5.003028127248399e-05,2.3266869902727198e-05,8.885253009793814e-06,0.0002445719,,4.177799837634666e-06,9.26423308555968e-06,-1.536160198156722e-05,-8.143184459186159e-06,5.215638520894572e-05,-4.091845767106861e-06,7.179810836532852e-06,0.00017791484,2.1288809875841253e-05
77.161,28.443,3.899851435562596e-05,2.773263986455277e-05,1.1994639862678014e-05,2.0915071e-05,,1.9004715795745145e-05,2.337934165552724e-05,,-3.5490841128194006e-06,9.23626939766109e-05,1.218301258631982e-05,2.1209332771832123e-05,3.9609124e-05,2.896842852351256e-05
77.171,28.443,8.087122114375234e-05,0.000100501878478,1.5114113921299577e-05,2.3290198e-05,,1.9004715795745145e-05,1.1319205441395752e-05,-1.1968221770075615e-05,-1.9158398572471924e-05,,-3.343012167533743e-06,3.226498165531666e-06,9.6229516e-05,3.628486592788249e-05
77.181,28.443,0.0001521961676189,6.334219506243244e-05,2.139784010068979e-05,2.3356404e-05,1.5736093700979836e-05,,2.114238668582402e-06,-9.303534170612693e-06,-1.983197216759436e-05,,1.6891524410311831e-06,4.988911769032711e-06,0.00016926437,1.6496893294970505e-05
77.192,28.443,3.092587576247752e-05,4.78639267385006e-05,1.3180530913814437e-05,4.1367393e-06,,1.4934570572222585e-05,2.369175490457565e-05,-7.194039881142089e-06,-2.294968544447329e-05,,2.61785146449256e-07,1.7854661564342678e-05,0.00022518668,2.4613131245132536e-05
77.202,28.443,1.8860648197005503e-05,2.969373599626124e-05,6.76433410262689e-06,1.3356031e-05,,2.2808992071077228e-05,8.188652827811893e-06,-4.100841579202097e-06,-1.9828450604109094e-05,9.122697520069778e-05,9.33381397771882e-06,-5.77865921513876e-06,1.8469698e-05,2.0825442334171385e-05
77.213,28.443,5.278206299408339e-05,2.021792533923872e-05,1.3670402950083371e-05,3.419808e-05,1.5736093700979836e-05,-1.5781113233970243e-06,8.88342947291676e-06,-9.8447944765212e-06,-2.281669367221184e-05,,9.280497579311486e-06,6.804602435295237e-06,0.00011780719,2.210251841461286e-05
77.223,28.443,6.348621536744758e-05,3.518145967973396e-05,2.7211719498154707e-05,1.5807449e-05,1.5736093700979836e-05,2.3245242118719037e-05,1.998018706217408e-05,,-1.1039749551855492e-05,,1.9871256426995387e-06,9.164377843262628e-06,0.0002080557,1.9172086467733607e-05
77.233,28.443,6.47958877380006e-05,2.5428917069802992e-05,5.07920276504592e-06,1.6772865e-05,1.5736093700979836e-05,3.091536655119853e-06,6.717433734593215e-06,,-2.2623145923716947e-05,,7.76695833337726e-06,2.5746535357029643e-06,4.9080325e-05,
77.244,28.443,3.726761406142032e-06,9.797565871849656e-05,9.869913810689468e-06,1.1315847e-05,1.5736093700979836e-05,,6.443299298553029e-06,1.3514724059859873e-06,-1.8582481061457656e-05,2.5454039132455364e-05,2.768924787233118e-06,6.883889909659047e-06,-2.9658113e-06,2.554195816628635e-05
77.129,28.453,0.0001146482900367,,1.7301803154623483e-06,2.4523479e-05,7.678649853914976e-05,,5.726938979933038e-06,-1.3169117664801888e-05,-1.2032670383632649e-05,,8.788759373601351e-07,1.3089185813441873e-05,1.29646805e-05,3.175053279846907e-05
77.14,28.453,1.7739328541210853e-05,9.549849346512929e-05,3.599372121243505e-06,2.5891657e-05,,,8.949531547841616e-06,-2.5619776806706795e-06,-3.5490841128194006e-06,6.617718463530764e-05,-3.343012167533743e-06,6.834731266280869e-06,6.042114e-06,1.7457467038184404e-05
77.15,28.453,6.117899465607479e-05,2.5114952222793363e-05,1.7250255041290075e-05,5.653197e-05,,-1.5781113233970243e-06,2.095951458613854e-05,-1.055571556207724e-05,-6.747761744918535e-06,6.33184754406102e-05,1.2616703770618187e-06,1.816219628381077e-05,-3.93022e-07,1.866046841314528e-05
77.161,28.453,6.853094964753836e-05,9.540828614262864e-05,2.304354347870685e-05,1.6611091e-05,,3.109911995125003e-05,1.5905319742159918e-05,-4.841657755605411e-06,-1.983197216759436e-05,,-2.487580559318303e-06,3.1750244033901254e-06,1.1330296e-05,3.500729872030206e-05
77.171,28.453,3.405616735108197e-05,3.0578266887459904e-05,3.338690021337243e-06,2.0820098e-05,,,3.614216620917432e-05,-9.115246029978152e-06,-2.4498966013197787e-05,2.383939136052504e-05,9.33381397771882e-06,1.45447584145586e-05,2.936094e-05,3.77395554096438e-05
77.181,28.453,9.909565960697364e-06,3.685554474941455e-05,8.916810656955931e-06,7.785751e-06,6.894800026202574e-05,5.625786798191257e-06,8.938049177231733e-06,-3.888065475621261e-05,-2.806585325743072e-05,4.3185082176933065e-05,1.01473033282673e-05,-3.1656843475502683e-06,6.736531e-05,2.5809506041696292e-05
