longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,,1.0264921002089976e-05,9.393017535330728e-06,9.07894082047278e-06,,-9.643550583859906e-06,,,,,0.0001801455655368,0.0001011220083455,-1.4277660511652357e-06,-2.151653234250261e-06
77.181,28.414,,5.018391220801277e-06,1.1649840416794175e-05,-6.8154072323523e-06,,1.8027410987997428e-05,,,,,9.121732728090136e-05,0.0001241327845491,3.918860966223292e-05,8.082127897068858e-05
77.192,28.414,2.1349031158024445e-05,-2.9037435069767525e-06,2.4588928226876305e-06,-3.270088427598239e-06,,-1.108886681322474e-05,,,,,1.977811916731298e-05,-3.675162361105322e-06,1.159035491582472e-05,0.0001812934497138
77.202,28.414,1.5370809705927968e-05,-1.4880378103043768e-06,7.690145139349625e-06,-5.881179731659358e-06,,1.318726845056517e-05,,,,,0.0002430139575153,2.4284030587296e-05,1.822692865971476e-05,7.254537649714621e-06
77.213,28.414,,1.4223385733203033e-05,3.079006091866177e-06,,,3.062662290176377e-05,,,,,2.801998016366269e-05,3.953174018533901e-05,2.5315935999969952e-05,6.037500043021282e-06
77.223,28.414,1.4615936379414052e-05,6.779146133339964e-06,7.693623047089204e-06,,,5.268216682452476e-06,,,,,5.754756057285704e-05,3.524656858644448e-05,5.958034762443276e-06,5.5941832215467e-06
77.171,28.424,2.3935403078212403e-05,-2.9679099498025607e-06,7.690145139349625e-06,-3.832724360108841e-06,,4.397000452627253e-07,,,,,3.554756403900683e-05,0.0001491160364821,1.4137439393380191e-05,5.701944701286266e-06
77.181,28.424,,2.5081151306949323e-06,1.0715154530771542e-05,,,3.122897169305361e-06,,,,,3.969209501519799e-05,8.353989687748253e-05,7.342393655562773e-05,2.97815386147704e-05
77.192,28.424,,-2.729794459810364e-06,8.917090781324077e-06,,,2.0695311832241717e-05,,,,,3.7482561310753226e-05,3.5529807064449415e-05,2.366463559155818e-05,0.000168230413692
77.202,28.424,,-1.1999687558272852e-05,4.278125743439887e-06,,,1.2923895155836362e-05,,,,,2.7814667191705663e-05,5.286423765937798e-05,2.9851364161004312e-05,0.0001408547832397
