longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.14,28.473,1.6526904801139608e-05,-1.869759762485046e-05,2.7305486582918093e-05,1.1906168765563052e-05,4.617010290530743e-06,-1.1168091987201478e-05,-4.20624701291672e-06,3.839527198579162e-05,-6.244129508559126e-06,,1.3046158528595695e-05
77.15,28.473,5.00300811836496e-05,-1.869759762485046e-05,-1.167344453278929e-05,7.080543127813144e-06,4.873671059613116e-06,8.766512110014446e-06,-4.71207613372826e-06,2.2930364139028825e-05,-1.162198623205768e-05,,2.689526809263043e-05
77.161,28.473,3.726359636857524e-06,-2.3071037503541447e-05,7.063801490403421e-07,4.236362292431295e-05,1.4947567251510918e-05,,1.9318832755743642e-07,0.0001239967969013,-1.162198623205768e-05,,0.0001896779140224
77.171,28.473,4.407348023960367e-05,-1.970804078155197e-06,-1.5859011455177097e-06,2.864809903257992e-05,1.2006300494249444e-05,,1.0185339306190144e-05,,-9.588973171048565e-07,,-2.509456635380048e-06
77.181,28.473,2.0603008579200832e-06,,1.4275360626925249e-05,6.310858225333504e-06,-1.591606064721418e-06,-2.6367126338300292e-05,2.3612095390035395e-07,-1.4205393199517856e-05,-9.588973171048565e-07,,6.202650638442719e-06
77.192,28.473,2.5483495846856385e-05,-1.805808460630942e-05,8.448062544630375e-06,4.377922959974967e-05,9.862446313491092e-05,-1.5202402209979482e-05,,-1.627185042707424e-06,-5.218780643190257e-06,,2.211336868640501e-05
77.202,28.473,4.60555347672198e-05,,1.8279000869370066e-05,3.3398257073713467e-05,-1.1287471579635169e-06,-1.038365371641703e-05,,0.0003649938735179,-9.588973171048565e-07,,4.7961086238501593e-05
77.213,28.473,-3.476728124951478e-06,,1.1606174666667355e-05,1.6990095900837332e-05,8.457796525362937e-07,-1.4718156307935716e-05,-1.1354362868587486e-05,0.0001377232401864,-4.580154836730799e-06,,2.2587875719182197e-05
77.223,28.473,6.142759048088919e-06,-2.4808594389469363e-05,1.6755544493207708e-05,1.6990095900837332e-05,9.59185945248464e-06,-1.5143062228162307e-05,-1.2474120921979193e-05,5.748087460233364e-06,-3.879772521031555e-06,,7.477025519619929e-06
77.233,28.473,7.18961819075048e-05,-2.3301377950701863e-05,1.4869899587210966e-06,1.828627500799485e-05,2.5223866941814777e-06,-2.379103170824237e-05,2.181404397560982e-06,6.210303126863437e-06,,,6.6428187892597634e-06
77.119,28.482,1.1732159691746348e-05,-1.364480976917548e-05,1.151840388047276e-05,7.080543127813144e-06,5.978165063424967e-06,8.766512110014446e-06,,-9.379693892697104e-07,2.6657766284188256e-05,,2.9604285373352468e-05
77.129,28.482,7.193749297584873e-06,-1.805808460630942e-05,7.133834060368827e-06,-3.999708042101702e-06,1.2296892236918213e-05,-2.355334254389163e-05,-2.4185544589272467e-06,1.100637291528983e-05,1.839816104620695e-05,,4.981187430530554e-06
77.14,28.482,1.8430962882121094e-05,,,3.363922951393761e-05,-1.1883414117619395e-05,-2.0584997400874272e-05,-5.118767148815096e-05,1.7542330169817433e-05,-3.971032583649503e-06,,1.940433503477834e-05
77.15,28.482,2.776464680209756e-05,-7.4067770583496895e-06,8.234414053731598e-06,3.154708610964008e-05,1.2006300494249444e-05,-3.040985757252201e-05,-4.330774027039297e-05,8.895450264390092e-06,-8.954502845881507e-06,,2.881188038372784e-06
77.161,28.482,4.3309384636813775e-05,,1.6069936464191414e-05,4.857975909544621e-06,5.357122518034885e-06,-1.4718156307935716e-05,1.1750276826205663e-05,,-9.023677193908952e-06,,1.1893926057382488e-05
77.171,28.482,2.5413770345039662e-05,,4.726924453279935e-05,,,-1.56024416355649e-05,,-1.680624677646847e-06,1.4786942301725505e-05,,2.478710666764528e-05
77.181,28.482,2.0941028196830302e-05,-2.217414294136688e-05,5.502883595909225e-06,1.3250330994196702e-05,1.7055770513252355e-05,-7.491039468732197e-06,,1.276362490898464e-05,-7.85512020229362e-06,,0.0002237512089777
