longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
77.181,28.463,3.136566738248803e-05,-2.847727728294558e-06
77.192,28.463,,3.0847997550154105e-05
77.202,28.463,1.969734694284853e-05,5.46858245797921e-06
77.213,28.463,3.4795251849573106e-05,1.436838738300139e-05
77.223,28.463,-6.161820920169703e-07,4.007695224572672e-06
77.119,28.473,,7.090707640600158e-06
77.129,28.473,-3.102306891378248e-06,1.3162312825443225e-05
77.14,28.473,3.30198417941574e-05,7.149373686843319e-06
77.15,28.473,-7.648591235920321e-06,8.837822861096356e-06
77.161,28.473,,7.371590527327498e-06
77.171,28.473,,3.7938378227408975e-05
77.181,28.473,3.263630424044095e-05,4.956984412274323e-06
77.192,28.473,3.217772609787062e-05,2.1679155906895176e-05
77.202,28.473,2.8968528567929752e-05,2.0330406186985783e-05
77.213,28.473,7.893485417298507e-06,-1.836488650042156e-06
77.223,28.473,-7.254988076965674e-07,2.889139432227239e-05
77.233,28.473,2.8946364182047543e-05,1.7283937268075533e-05
77.119,28.482,2.6584937586449087e-05,-1.641202652535867e-05
77.129,28.482,1.2823679753637409e-05,5.809411049995106e-06
77.14,28.482,-6.68994562147418e-06,5.443250302050728e-06
77.15,28.482,,1.2495856026362162e-05
77.161,28.482,6.1107398323656525e-06,1.4320615264296066e-05
77.171,28.482,3.334068969707005e-05,7.863192877266556e-06
77.181,28.482,1.7549702533870004e-05,1.1388698339942491e-06
77.192,28.482,1.0313551683793776e-05,2.46012623392744e-05
77.202,28.482,1.853639332694001e-05,1.0272265171806794e-05
77.213,28.482,,1.0234085493721068e-05
77.223,28.482,3.238284625695087e-05,1.1632942914729938e-05
77.233,28.482,,1.5029558198875748e-05
77.244,28.482,8.553003681299742e-06,1.1363738849468064e-05
77.129,28.492,2.178673526032071e-07,4.83216717839241e-06
77.14,28.492,,1.2276405868760776e-05
77.15,28.492,,1.6796186628198484e-06
77.161,28.492,,9.713044164527672e-06
77.171,28.492,,1.908955164253712e-05
77.181,28.492,1.6248899555648677e-05,2.1106367057655007e-05
77.192,28.492,,1.2550886822282337e-05
77.202,28.492,2.1940699298284017e-05,1.1859190180985024e-06
77.213,28.492,,2.591715929156635e-05
77.223,28.492,2.3667957066209052e-05,8.671287105244119e-06
77.233,28.492,1.9486316887196157e-05,1.0215678230451886e-05
77.244,28.492,2.190200029872358e-05,1.2201800018374342e-05
77.254,28.492,2.198964102717582e-05,1.1984630873485004e-05
77.264,28.492,2.4549652152927592e-05,1.949327452166472e-05
77.275,28.492,,8.726320629648399e-06
77.306,28.492,3.784100044867955e-05,7.245851975312689e-06
77.316,28.492,1.7014106560964137e-05,3.530736285028979e-05
77.327,28.492,,5.562489150179317e-06
76.891,28.502,2.6355266527389176e-05,2.243804010504391e-05
77.109,28.502,,5.300933935359353e-06
77.119,28.502,2.05900396395009e-05,3.650442522484809e-05
77.129,28.502,1.421261731593404e-05,-2.5667691261332948e-06
77.14,28.502,9.170398698188365e-06,6.157776169857243e-06
77.15,28.502,1.428065570507897e-05,7.380209012808336e-07
77.161,28.502,2.126237404809217e-06,-9.442916052648798e-06
77.171,28.502,1.2373242498142645e-05,1.3809832125843968e-05
77.181,28.502,-1.7083216334867757e-06,1.860176894297183e-06
77.192,28.502,2.309601586603094e-05,1.1624636499618646e-05
77.202,28.502,-7.133339181564224e-07,1.5710593288531527e-05
77.213,28.502,,2.2525262465933334e-05
77.223,28.502,1.26095546875149e-05,2.45973624259932e-05
77.233,28.502,1.3065703569736796e-05,1.5486322809010744e-05
77.244,28.502,2.4950872102635916e-05,6.321195542113856e-06
77.254,28.502,,2.2067741156206463e-05
77.264,28.502,8.323824658873491e-06,1.5687226550653577e-05
77.275,28.502,,2.048226451734081e-05
77.285,28.502,2.274065263918601e-05,1.2726738532364834e-05
77.296,28.502,-2.8339532946120016e-05,2.5046952032425907e-06
77.306,28.502,,1.4165859283821192e-05
77.316,28.502,1.969598815776408e-05,9.92624154605437e-06
77.327,28.502,,1.4610209291276988e-05
76.891,28.512,1.54336157720536e-05,2.333783595531713e-05
76.901,28.512,,9.2741429398302e-06
76.922,28.512,2.461210351611953e-05,1.8205146261607297e-05
76.932,28.512,,1.5265828778865398e-06
76.943,28.512,1.8986271243193187e-05,7.219704457384067e-06
76.953,28.512,8.349408744834363e-06,6.852396268186567e-07
76.963,28.512,6.918303824932082e-06,2.6671663363231343e-05
77.098,28.512,4.308933057473041e-06,4.110490010589274e-07
77.109,28.512,8.886488103598822e-06,5.535086984309601e-06
77.119,28.512,1.0853545063582716e-05,1.4769343579246195e-05
77.129,28.512,,8.707663255336229e-06
77.14,28.512,2.817151107592508e-05,1.065775995812146e-05
