longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,-3.294216867288924e-06,4.231528873788193e-05,,,,3.614820525399409e-05,,,2.7394551580073312e-05,7.799581908329856e-06,2.406470048299525e-05,,8.90134833753109e-06,0.0001011564672808
77.181,28.414,1.19813457786222e-05,0.0001571031316416,,3.904709228663705e-05,,-3.5798002500087023e-06,,,,4.568865915643983e-05,1.8104936316376552e-05,,6.444750852097059e-06,2.2240761609282345e-05
77.192,28.414,1.0567327990429476e-05,5.097632674733177e-05,,4.1805375076364726e-05,,4.7970498684435376e-08,,,,1.577559123688843e-05,8.634646655991673e-05,,6.5802473727671895e-06,1.0818911505339202e-05
77.202,28.414,-5.868252173968358e-06,1.0366269634687342e-05,,,,1.4280703908298165e-06,,,6.39034406049177e-05,9.442088412470184e-06,3.273782567703165e-06,,1.0495945389266126e-05,1.4171494058246026e-06
77.213,28.414,2.6765172833620454e-07,7.446089875884354e-05,,3.468364957370795e-05,,-1.1679372136086387e-07,,,,1.4893665138515644e-05,4.287403135094792e-05,,3.7666857224394334e-06,8.662990694574546e-06
77.223,28.414,1.153900029748911e-05,1.0373782970418688e-05,,,,8.00921770860441e-06,,,,2.345330358366482e-05,1.2669855095737148e-05,,-2.850370037776884e-06,6.31803268333897e-05
77.171,28.424,1.284926383959828e-05,7.1885202487465e-05,,,,-2.09707286558114e-06,,2.2919708499102853e-05,,2.2654117856291123e-05,1.6767889974289574e-05,,1.79467551788548e-05,8.059878382482566e-06
77.181,28.424,7.884188562456984e-06,3.270831712143263e-06,,3.5461020161164925e-05,,-1.6614031892459025e-06,,,6.39034406049177e-05,1.8748744423646717e-06,2.34045073739253e-05,,1.1738955436157994e-05,8.254996828327421e-06
77.192,28.424,6.1018974520266056e-05,6.768371531507e-05,,,,1.055761367751984e-05,,,-1.0912740435742307e-05,4.816114596906118e-05,,,5.6394983403151855e-06,-6.448851053164617e-08
77.202,28.424,-1.1159562518514576e-06,0.0001273413654416,,2.3885260816314258e-05,,8.174418326234445e-06,,,0.0002663635532371,4.909544713882497e-06,,,1.1246163921896368e-05,7.095703040249646e-05
77.213,28.424,1.0123172842213537e-06,1.904609780467581e-05,,3.904709228663705e-05,,7.639215255039744e-06,,,,1.3637501069752034e-05,0.0001340914022875,,7.059499239403522e-06,9.229474358107836e-07
77.223,28.424,2.7187767045688812e-05,7.560241556348046e-06,,,,2.9277212888700888e-05,,,4.405009804031579e-06,2.6708812583819963e-05,1.5316565622924827e-05,,9.954385859600734e-06,4.0943592466646805e-05
77.233,28.424,2.5814308628469007e-06,9.33212140807882e-05,,,,-1.528750885881891e-07,,5.85176567255985e-05,1.3748403944191525e-06,2.656433207448572e-05,2.1733105313614946e-05,,6.820437647547806e-06,1.6445885194116272e-05
