longitude,latitude,No2_value(mol/m^2)
77.202,28.522,5.927232905378332e-06
77.213,28.522,1.5442657968378626e-05
77.223,28.522,9.915785085468087e-06
77.233,28.522,2.595213481981773e-05
77.244,28.522,1.189699560200097e-05
77.254,28.522,-1.8667209587874822e-05
77.264,28.522,3.5783737985184416e-05
77.275,28.522,
77.285,28.522,1.602262636879459e-05
77.296,28.522,2.5989078494603746e-05
77.306,28.522,1.9787934434134517e-05
77.316,28.522,
77.327,28.522,
77.337,28.522,2.3796661480446343e-05
76.88,28.531,-3.799513251578901e-06
76.891,28.531,4.854342842008919e-05
76.901,28.531,1.518716544524068e-05
76.911,28.531,4.779752634931356e-05
76.922,28.531,2.241805850644596e-05
76.932,28.531,2.8304468287387863e-05
76.943,28.531,
76.953,28.531,1.8921478840638883e-05
76.963,28.531,8.902875379135367e-06
76.974,28.531,
76.984,28.531,
76.994,28.531,
77.036,28.531,-8.602365596743766e-06
77.046,28.531,1.0880135050683748e-05
77.057,28.531,1.1853725482069422e-05
77.067,28.531,
77.078,28.531,-3.18965467158705e-05
77.088,28.531,2.1951513190288097e-05
77.098,28.531,
77.109,28.531,-3.749256211449392e-05
77.119,28.531,-2.148799285350833e-05
77.129,28.531,1.7023481632350013e-05
77.14,28.531,
77.15,28.531,-6.701029633404687e-06
77.161,28.531,
77.171,28.531,
77.181,28.531,5.0182308768853545e-05
77.192,28.531,2.1959900550427847e-05
77.202,28.531,-1.8667209587874822e-05
77.213,28.531,2.1673660739907064e-05
77.223,28.531,6.568658591277199e-06
77.233,28.531,
77.244,28.531,1.9440267351455983e-05
77.254,28.531,-1.0821966498042457e-05
77.264,28.531,2.0873534595011733e-05
77.275,28.531,1.7989308616961353e-05
77.285,28.531,2.0662597307818945e-05
77.296,28.531,-3.062122777919285e-05
77.306,28.531,4.539228029898368e-06
77.316,28.531,6.702565588057041e-05
77.327,28.531,1.7907186702359468e-05
76.87,28.541,-5.26928079125355e-06
76.88,28.541,1.3396328540693505e-05
76.891,28.541,2.3552389393444173e-05
76.901,28.541,1.274187980015995e-05
76.911,28.541,
76.922,28.541,1.1381282092770562e-05
76.932,28.541,1.3817032595397905e-05
76.943,28.541,2.2906402591615915e-05
76.953,28.541,1.7772677892935462e-05
76.963,28.541,1.0864964679058176e-05
76.974,28.541,1.667852484388277e-05
76.984,28.541,2.949317786260508e-05
76.994,28.541,1.626198718440719e-05
77.005,28.541,-7.872058631619439e-06
77.015,28.541,6.9626194090233184e-06
77.026,28.541,1.4262937838793732e-05
77.036,28.541,2.3186992621049285e-05
77.046,28.541,1.120132947107777e-05
77.057,28.541,
77.067,28.541,1.24329687878344e-07
77.078,28.541,1.6442851119791158e-05
77.088,28.541,1.7596388715901412e-05
77.098,28.541,
77.109,28.541,6.588308224309003e-06
77.119,28.541,1.639399488340132e-05
77.129,28.541,2.481729097780772e-05
77.14,28.541,2.1124353224877268e-05
77.15,28.541,1.0292447768733837e-05
77.161,28.541,1.63779277499998e-05
77.171,28.541,4.422485289978795e-05
77.181,28.541,1.2691523807006888e-05
77.192,28.541,1.2140923900005872e-05
77.202,28.541,2.4506884074071426e-05
77.213,28.541,
77.223,28.541,1.0050594028143678e-05
77.233,28.541,-0.0001001555938273
77.244,28.541,8.026056093513034e-06
77.254,28.541,2.565393333497923e-05
77.264,28.541,-3.95394854422193e-05
77.275,28.541,2.296195452800021e-05
77.285,28.541,1.294738126489392e-06
77.296,28.541,4.256298780092038e-05
77.306,28.541,-3.2831427233759314e-05
77.316,28.541,
76.849,28.551,9.978400157706346e-06
76.86,28.551,
76.87,28.551,
76.88,28.551,
76.891,28.551,
76.901,28.551,
76.911,28.551,8.256029104813933e-06
76.922,28.551,1.7242233298020437e-05
76.932,28.551,1.6025860531954095e-05
76.943,28.551,1.3780509107164107e-05
76.953,28.551,
76.963,28.551,3.401839785510674e-05
76.974,28.551,4.516067201620899e-05
76.984,28.551,-2.148799285350833e-05
76.994,28.551,
77.005,28.551,1.974833321582992e-05
77.015,28.551,2.4282651793328117e-05
77.026,28.551,1.385797168040881e-05
77.036,28.551,
77.046,28.551,3.8986898289294913e-05
77.057,28.551,1.041602899931604e-05
77.067,28.551,6.134852355899056e-06
77.078,28.551,1.9310566131025556e-05
77.088,28.551,1.7660186131251976e-05
77.098,28.551,2.56998318945989e-05
77.109,28.551,1.6027317542466335e-05
77.119,28.551,-0.0001001555938273
77.129,28.551,2.372550079599023e-05
77.14,28.551,-8.054363206611015e-06
77.15,28.551,1.802836231945548e-05
77.161,28.551,1.8822863694367695e-06
77.171,28.551,
77.181,28.551,
77.192,28.551,1.6175134078366682e-05
77.202,28.551,1.7220418158103712e-05
77.213,28.551,1.151107335317647e-05
77.223,28.551,
77.233,28.551,
77.244,28.551,
77.254,28.551,3.3356154744978994e-05
77.264,28.551,
77.275,28.551,8.316167622979265e-06
77.285,28.551,2.5421670216019265e-05
77.296,28.551,1.4419925719266756e-05
77.306,28.551,2.0690993551397696e-05
77.316,28.551,
76.849,28.561,1.4802757505094633e-05
76.86,28.561,-2.817426502588205e-05
76.87,28.561,-1.0782115168694872e-05
76.88,28.561,8.958466423791833e-06
76.891,28.561,
76.901,28.561,2.059556754829828e-05
76.911,28.561,3.844263119390234e-05
76.922,28.561,1.699133645161055e-05
76.932,28.561,1.534483271825593e-05
76.943,28.561,
76.953,28.561,1.9787084966083057e-05
76.963,28.561,-1.2642870387935544e-05
76.974,28.561,3.4442949981894344e-05
76.984,28.561,-3.192204894730821e-05
76.994,28.561,-1.460866587876808e-05
77.005,28.561,-0.0001001555938273
77.015,28.561,2.34118433581898e-05
77.026,28.561,-9.60564284469001e-06
77.036,28.561,
77.046,28.561,2.3292590412893333e-05
77.057,28.561,1.832183988881297e-05
77.067,28.561,1.3546219634008594e-05
77.078,28.561,1.410378627042519e-05
77.088,28.561,1.3835512618243229e-05
77.098,28.561,2.953205694211647e-06
77.109,28.561,4.0846687625162303e-05
77.119,28.561,2.1329382434487343e-05
77.129,28.561,
77.14,28.561,5.095547021483071e-05
77.15,28.561,3.194410965079442e-05
77.161,28.561,1.227653137902962e-05
77.171,28.561,-8.823783900879789e-06
77.181,28.561,-1.7533569916849956e-05
77.192,28.561,1.856889502960257e-05
77.202,28.561,
77.213,28.561,-2.8285910957492888e-05
77.223,28.561,6.37590846963576e-06
77.233,28.561,1.6819856682559475e-05
77.244,28.561,2.438942465232685e-05
77.254,28.561,3.323046985315159e-05
77.264,28.561,4.539228029898368e-06
77.275,28.561,1.3073029549559578e-05
77.285,28.561,-6.568482785951346e-05
77.296,28.561,1.3192414371587802e-05
77.306,28.561,
76.849,28.571,9.313913324149324e-06
76.86,28.571,1.1815385732916184e-05
76.87,28.571,2.2951293431106023e-05
76.88,28.571,2.0549818145809692e-05
76.891,28.571,-0.0001001555938273
76.901,28.571,9.017339834826998e-06
76.911,28.571,-1.1385158359189518e-05
76.922,28.571,2.730140113271773e-05
76.932,28.571,
76.943,28.571,2.43959621002432e-05
76.953,28.571,2.2855982024339028e-05
76.963,28.571,-1.8667209587874822e-05
76.974,28.571,1.096382493415149e-05
76.984,28.571,2.8398793801898137e-05
76.994,28.571,1.4689604540762955e-05
77.005,28.571,3.293789995950647e-05
77.015,28.571,
77.026,28.571,1.5127584447327536e-05
77.036,28.571,
77.046,28.571,3.38593490596395e-05
77.057,28.571,1.2199204320495484e-05
77.067,28.571,1.1454063496785238e-05
77.078,28.571,7.580686997243902e-06
77.088,28.571,2.740346826612949e-05
77.098,28.571,1.097588028642349e-05
77.109,28.571,1.6496614989591762e-05
77.119,28.571,1.2775733921444044e-05
77.129,28.571,5.0182308768853545e-05
77.14,28.571,1.2691523807006888e-05
77.15,28.571,1.7295629731961526e-05
77.161,28.571,2.9230848667793907e-05
77.171,28.571,
77.181,28.571,-8.726849046070129e-06
77.192,28.571,
77.202,28.571,3.055725755984895e-05
77.213,28.571,
77.223,28.571,1.852859350037761e-05
77.233,28.571,-2.0264396880520508e-05
77.244,28.571,-7.64140349929221e-05
77.254,28.571,1.5671876099077053e-05
77.264,28.571,2.5608182113501243e-05
77.275,28.571,-1.110760058509186e-05
77.285,28.571,-8.382360101677477e-05
77.296,28.571,1.5591040209983476e-05
76.849,28.58,-3.598004013838363e-06
76.86,28.58,
76.87,28.58,8.882930160325486e-06
76.88,28.58,1.7071668480639346e-05
76.891,28.58,-8.384481770917773e-05
76.901,28.58,2.2144726244732738e-05
76.911,28.58,-7.101965820766054e-06
76.922,28.58,2.991068413393805e-06
76.932,28.58,1.486556175223086e-05
76.943,28.58,
76.953,28.58,2.5760073185665533e-05
76.963,28.58,
76.974,28.58,1.450167746952502e-05
76.984,28.58,1.427544884791132e-05
76.994,28.58,1.7336908058496192e-05
77.005,28.58,9.613400834496131e-06
77.015,28.58,
77.026,28.58,-7.156364881666377e-05
77.036,28.58,1.7596388715901412e-05
77.046,28.58,
77.057,28.58,
77.067,28.58,
77.078,28.58,2.267961281177122e-05
77.088,28.58,3.487903450150043e-05
77.098,28.58,7.055875357764307e-06
77.109,28.58,1.4837325579719618e-05
77.119,28.58,
77.129,28.58,2.9695514967897907e-05
77.14,28.58,-2.0743373170262203e-05
77.15,28.58,1.965801857295446e-05
77.161,28.58,-3.09417191601824e-05
77.171,28.58,1.195811273646541e-05
77.181,28.58,1.366449851047946e-05
77.192,28.58,1.7302758351434022e-05
77.202,28.58,1.8396383893559687e-05
77.213,28.58,1.5029567293822764e-05
77.223,28.58,1.3522069821192416e-05
77.233,28.58,
77.244,28.58,3.673653918667696e-05
77.254,28.58,1.5981187971192412e-05
77.264,28.58,1.888745100586675e-05
77.275,28.58,1.730217809381429e-05
77.285,28.58,1.966818126675207e-05
77.296,28.58,
76.87,28.59,1.6106783732539043e-05
76.88,28.59,
76.891,28.59,
76.901,28.59,1.3830502211931162e-05
76.911,28.59,-2.283009280290571e-06
76.922,28.59,
76.932,28.59,
76.943,28.59,-6.568482785951346e-05
76.953,28.59,4.631150204659207e-06
76.963,28.59,1.2598259672813583e-05
76.974,28.59,2.085432060994208e-05
76.984,28.59,1.4389453099283855e-05
76.994,28.59,-6.789272447349504e-05
77.005,28.59,1.6442851119791158e-05
77.015,28.59,1.5196226740954444e-05
77.026,28.59,1.2001813047390897e-05
77.036,28.59,-8.823783900879789e-06
77.046,28.59,1.799485289666336e-05
77.057,28.59,2.3341424821410328e-05
77.067,28.59,-1.3932303772890007e-05
77.078,28.59,3.0236707971198484e-05
77.088,28.59,3.152687713736668e-05
77.098,28.59,7.160089353419608e-06
77.109,28.59,
77.119,28.59,
77.129,28.59,1.832378802646417e-05
77.14,28.59,6.568658591277199e-06
77.15,28.59,
77.161,28.59,-2.5603792892070487e-05
77.171,28.59,
77.181,28.59,8.24791732156882e-06
77.192,28.59,1.4526375707646366e-05
77.202,28.59,-1.2785272701876238e-05
77.213,28.59,1.8698043277254328e-05
77.223,28.59,4.539228029898368e-06
77.233,28.59,1.4245832971937489e-05
77.244,28.59,-5.589753527601715e-06
77.254,28.59,2.018666964431759e-05
77.264,28.59,2.648035297170281e-05
77.275,28.59,1.4111095879343338e-05
77.285,28.59,
77.296,28.59,-1.882235665107146e-05
77.306,28.59,1.2434392374416348e-05
76.88,28.6,2.4975934138637967e-05
76.891,28.6,2.066197157546412e-05
76.901,28.6,1.645498923608102e-05
76.911,28.6,1.108272044803016e-05
76.922,28.6,-8.509145845891908e-05
76.932,28.6,-8.382360101677477e-05
76.943,28.6,1.7880105588119477e-05
76.953,28.6,1.2442353181540966e-05
76.963,28.6,2.689244865905493e-05
76.974,28.6,1.633797728572972e-05
76.984,28.6,2.282378773088567e-05
76.994,28.6,3.546294101397507e-05
77.005,28.6,-2.0743373170262203e-05
77.015,28.6,2.1001915229135196e-05
77.026,28.6,1.867967512225732e-05
77.036,28.6,
77.046,28.6,5.184264409763273e-06
77.057,28.6,8.68329152581282e-06
77.067,28.6,2.88771389023168e-05
77.078,28.6,1.1672540495055728e-05
77.088,28.6,2.1613275748677552e-05
77.098,28.6,1.6350260921171866e-05
77.109,28.6,6.922451120772166e-06
77.119,28.6,6.964502517803339e-06
77.129,28.6,-1.110760058509186e-05
77.14,28.6,2.4785183995845728e-05
77.15,28.6,
77.161,28.6,1.0208065759798046e-05
77.171,28.6,
77.181,28.6,-5.391901140683331e-06
77.192,28.6,-3.0279661586973816e-05
77.202,28.6,1.1455409548943862e-05
77.213,28.6,1.3727322766499128e-05
77.223,28.6,2.9854591048206203e-05
77.233,28.6,
77.244,28.6,5.7161771110259e-05
77.254,28.6,-2.67220657406142e-05
77.264,28.6,2.621970452310052e-05
77.275,28.6,2.4808507077977996e-05
77.285,28.6,3.240692967665382e-05
77.296,28.6,
77.306,28.6,-4.449824700714089e-06
77.316,28.6,1.6443465938209556e-05
77.327,28.6,
76.88,28.61,-2.283009280290571e-06
76.891,28.61,1.6392341422033496e-05
76.901,28.61,1.9697146854014136e-05
76.911,28.61,1.2986286492377984e-05
76.922,28.61,
76.932,28.61,1.8985618225997317e-05
76.943,28.61,1.4689604540762955e-05
76.953,28.61,1.0870819096453488e-05
76.963,28.61,8.731737580092158e-06
76.974,28.61,1.6121932276291773e-05
76.984,28.61,
76.994,28.61,
77.005,28.61,
77.015,28.61,1.8240674762637354e-05
77.026,28.61,7.040308901196113e-06
77.036,28.61,
77.046,28.61,
77.057,28.61,1.63779277499998e-05
77.067,28.61,1.2775733921444044e-05
77.078,28.61,-1.110760058509186e-05
77.088,28.61,
77.098,28.61,1.6808939108159393e-05
77.109,28.61,-1.7547672541695647e-05
77.119,28.61,
77.129,28.61,1.0050594028143678e-05
77.14,28.61,1.637010973354336e-05
77.15,28.61,3.055725755984895e-05
77.161,28.61,2.9688912036363035e-05
77.171,28.61,
77.181,28.61,-1.882235665107146e-05
77.192,28.61,9.133329513133503e-06
77.202,28.61,-2.0368059267639183e-05
77.213,28.61,2.1905758330831304e-05
77.223,28.61,2.3116082957130857e-05
77.233,28.61,1.806071122700814e-05
77.244,28.61,
77.254,28.61,2.509580372134224e-05
77.264,28.61,1.893104490591213e-05
77.275,28.61,1.8475111573934555e-05
77.285,28.61,
77.296,28.61,2.3472399334423244e-05
77.306,28.61,3.219794234610163e-05
77.316,28.61,2.029333518294152e-05
77.327,28.61,2.6746440198621716e-05
77.337,28.61,1.9635059288702905e-05
76.891,28.619,7.746172741462942e-06
76.901,28.619,-8.823783900879789e-06
76.911,28.619,1.575759415572975e-05
76.922,28.619,3.7590380088659e-05
76.932,28.619,1.595854337210767e-05
