longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.202,28.443,3.428649506531656e-05,2.3261356545845047e-05,4.355480268714018e-05,2.136588227585889e-05
77.213,28.443,2.970810783153865e-06,-1.1555245691852178e-05,-1.431826490261301e-06,1.180053732241504e-05
77.223,28.443,0.0001488094567321,-3.61897332368244e-06,1.459992563468404e-05,2.2113499653642062e-05
77.233,28.443,1.319445527769858e-05,-1.3383063560468145e-05,1.7213923229064676e-06,2.105253588524647e-05
77.244,28.443,4.1283612517872825e-05,3.7122903449926525e-05,1.308918490394717e-05,2.8278780519030988e-05
77.129,28.453,-8.420173571721534e-07,,0.0001785044150892,1.1155828360642772e-05
77.14,28.453,4.784250631928444e-05,,5.878843722939565e-08,1.2381913620629348e-05
77.15,28.453,6.828894402133301e-05,,1.944679388543591e-05,1.887395228550304e-05
77.161,28.453,2.4434821170871143e-05,2.5725241357577037e-05,7.536526481999317e-06,4.5266883716976736e-06
77.171,28.453,1.020866784529062e-05,-6.807547379139578e-06,9.237264021066947e-05,3.808977999142371e-05
77.181,28.453,6.722496618749574e-05,2.3261356545845047e-05,0.000112380432256,-2.3591901481268e-05
77.192,28.453,-1.5131390682654455e-06,3.8142275116115343e-06,0.0002522444701753,2.1459600247908384e-05
77.202,28.453,5.027817223890452e-06,-7.969812941155396e-06,0.0002162871387554,1.428018822480226e-05
77.213,28.453,2.501922972442117e-05,2.46972940658452e-05,2.568538548075594e-05,1.587736369401682e-05
77.223,28.453,0.0001033709413604,-7.995765372470487e-06,6.848626799182966e-05,1.3568769645644352e-05
77.233,28.453,0.0001167141381301,-7.576137477371958e-07,9.751699963089775e-07,1.1895021998498125e-05
77.119,28.463,1.8897803784057032e-06,-1.905364479171112e-05,0.0001576203067088,2.066604338324396e-06
77.129,28.463,7.7216818681336e-06,-2.895919169532135e-05,0.0001312219392275,-2.2700574220380082e-07
77.14,28.463,2.679167664609849e-05,9.02518422662979e-06,,2.3457661882275715e-05
77.15,28.463,5.10668323840946e-05,-9.788875104277396e-06,0.0001000807751552,1.4202812053554226e-05
77.161,28.463,2.0068930552952224e-06,1.3374916306929665e-05,8.591623554821126e-06,1.6311594663420692e-05
77.171,28.463,3.0208955649868585e-05,2.0258173663023622e-06,1.828379390644841e-05,
77.181,28.463,4.917339174426161e-05,,6.583406502613798e-05,1.551249397380161e-06
77.192,28.463,4.1886447434080765e-05,-8.466339750157204e-06,0.000107214313175,2.0687139112851582e-05
77.202,28.463,5.7173579079972114e-06,-2.380808291491121e-05,5.5322587286354974e-05,3.455031037447043e-05
77.213,28.463,4.044960860483116e-06,3.695734221764724e-06,1.2884600437246265e-05,1.5799447282915935e-05
77.223,28.463,1.213079121953342e-05,-4.728363819594961e-06,0.000167537087691,9.521118954580745e-06
77.119,28.473,1.0453726645209828e-05,2.5150739020318724e-05,4.7760153393028304e-05,4.968149369233288e-05
77.129,28.473,4.057597107021138e-05,,4.912382792099379e-05,-5.233819592831424e-06
77.14,28.473,7.569978333776817e-05,3.8142275116115343e-06,2.788875463011209e-05,1.389467706758296e-05
77.15,28.473,9.109819802688436e-05,-3.61897332368244e-06,1.3975412912259344e-05,1.4170916983857753e-05
77.161,28.473,3.588706749724224e-05,-3.0160750611685216e-05,3.998122701887041e-05,1.0849911632249132e-05
77.171,28.473,1.3972160559205804e-05,-2.380808291491121e-05,,1.2653496014536358e-05
77.181,28.473,0.0001179082901217,3.823103907052428e-05,0.0001457341131754,2.225642674602568e-05
77.192,28.473,0.0002595700498204,2.026221864070976e-06,0.0001404825306963,4.926174824504415e-06
77.202,28.473,5.735442755394615e-05,,4.076689947396517e-05,1.99388487089891e-05
77.213,28.473,0.0001176333389594,1.269563881578506e-06,3.1067788768268656e-06,1.9763454474741596e-05
77.223,28.473,8.688682282809168e-05,-1.3538566236093176e-05,5.350524224922992e-05,2.2946707758819684e-05
77.233,28.473,5.441171015263535e-05,,1.415463884768542e-05,2.6015455659944564e-05
77.119,28.482,4.004445145255886e-06,1.079811954696197e-05,5.052888809586875e-06,1.0627655683492776e-05
77.129,28.482,9.253718599211425e-05,-6.413432856788859e-06,-2.345225539102102e-06,2.5674749849713407e-05
77.14,28.482,7.339226431213319e-05,,0.0001110916637117,2.085768210235983e-05
77.15,28.482,6.615827442146838e-05,2.258359563711565e-05,9.06831191969104e-05,1.2358701724224377e-06
77.161,28.482,1.5203695511445405e-05,1.9478469766909257e-05,4.106703636352904e-05,2.0032728571095504e-05
77.171,28.482,1.961896850843914e-05,1.2315218555158935e-05,2.568538548075594e-05,1.1904963912456878e-06
77.181,28.482,1.319445527769858e-05,-1.5609673482686048e-06,1.2884600437246265e-05,2.304736881342251e-05
77.192,28.482,4.11873625125736e-05,9.242919986718334e-06,1.276008060813183e-05,1.274507576454198e-05
77.202,28.482,0.0001179186365334,1.652781429584138e-05,4.135455674258992e-05,1.0912764082604554e-05
77.213,28.482,-5.096719633002067e-07,-3.565212318790145e-05,5.0528715291875415e-06,1.7058946468750946e-05
77.223,28.482,1.482696461607702e-05,-1.1539658771653194e-05,1.6717705875635147e-05,7.506945166824153e-06
77.233,28.482,4.049275230499916e-05,-1.4046261640032752e-05,0.0001564864214742,1.3345691513677592e-05
77.244,28.482,0.0001936079352162,-3.2708464914321667e-06,4.9983063945546746e-05,1.4554292881996389e-08
77.129,28.492,5.587292980635539e-05,,0.0001365464995615,1.4568065125786234e-05
77.14,28.492,2.1917121557635252e-05,,-4.669655027100816e-06,1.910634455271065e-05
77.15,28.492,0.0001938493660418,3.274619666626677e-05,0.0001080613437807,5.914373468840495e-05
77.161,28.492,9.386240890307818e-06,,1.774399970599916e-05,4.762540356750833e-06
77.171,28.492,3.3345331758027896e-05,-1.3538566236093176e-05,2.982419027830474e-05,1.0195794857281726e-05
77.181,28.492,1.4541709560944582e-06,2.2905782316229303e-05,2.410019988019485e-05,1.0878055945795497e-05
77.192,28.492,4.699244527728297e-05,-9.752687219588552e-06,,1.3237708117230795e-05
77.202,28.492,6.0472193581517786e-05,1.3048344271737733e-06,6.946623761905357e-05,1.2285183402127586e-05
77.213,28.492,1.2756549949699549e-05,-7.128523975552525e-06,2.8197588108014315e-05,1.80070819624234e-05
77.223,28.492,2.670579078767332e-06,3.822276994469576e-05,0.0001880086783785,6.31818647889304e-06
77.233,28.492,3.099314199062064e-05,,8.93380001798505e-06,-2.4053360903053544e-07
