longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,,1.661235000938177e-05,0.0001592145417816,,1.739904473652132e-05,,-1.5926836567814462e-05,0.000194667984033,8.524738404958043e-06,,,,,8.204862751881592e-06
77.181,28.414,6.191778811626136e-05,1.3430570106720552e-05,8.191494998754933e-06,,9.439710083825048e-06,2.3327074814005755e-05,8.398193131142762e-06,,5.444434464152437e-06,,6.976640634093201e-06,,,1.1658530638669616e-05
77.192,28.414,,2.07363445952069e-05,4.531295417109504e-05,,6.08146729064174e-06,,-7.7331214924925e-06,,-3.0750913992960704e-07,,8.141918442561291e-06,,,1.7955175280803815e-05
77.202,28.414,3.7187448469921947e-05,1.3313231647771318e-05,0.0001121537134167,,2.1371438378992025e-06,,1.131782937591197e-05,8.538819383829832e-05,-3.61559023076552e-06,,1.0886896234296728e-05,,,7.59585009291186e-06
77.213,28.414,1.973921462194994e-05,3.2124691642820835e-05,7.856257980165537e-06,,-2.53240409620048e-06,,5.268201857688837e-05,,-6.205081263033208e-06,,4.240400812705048e-06,,,-5.987163604004309e-06
77.223,28.414,3.482216197880916e-05,0.0001380781905027,4.91100836370606e-05,,5.375584350986173e-06,1.1544365406734867e-05,1.5327030268963426e-05,3.27136876876466e-05,5.674071871908382e-06,,1.1125469427497592e-05,,,3.348463724250905e-05
77.171,28.424,1.911786966957152e-05,3.3020751288859174e-05,1.8631331840879284e-05,,5.51014500160818e-06,,0.0001060668946593,,6.090486294851871e-06,,1.0886896234296728e-05,,,1.16863775474485e-05
77.181,28.424,-6.68930397296208e-06,1.6969695934676565e-05,3.8219408452278e-05,,5.684948064299533e-06,-1.7019812048602034e-06,-1.4589620604965603e-06,3.426985495025292e-05,-3.687542005081923e-07,,4.240400812705048e-06,,,1.0201392797171138e-05
77.192,28.424,1.973921462194994e-05,0.0001134850972448,0.000197723013116,,6.635386853304226e-06,,7.560662197647616e-06,6.865905015729368e-05,-3.191523546774988e-06,,,,,9.533945558359846e-06
77.202,28.424,1.883517143141944e-05,1.758416874508839e-05,,,4.058011654706206e-06,,0.0001230542256962,,6.827996912761591e-06,,7.467364412150346e-06,,,-5.643384611175861e-06
77.213,28.424,4.402536796987988e-05,4.677945617004298e-05,7.204344001365826e-05,,1.3951158507552464e-05,,-3.528186653056764e-06,6.558206951012835e-05,-1.4005396842264872e-08,,1.1665312740660738e-05,,,5.583852725976612e-06
77.223,28.424,,2.223482442786917e-05,0.0001240346027771,,1.9166775018675253e-05,,6.642674270551652e-05,8.376199548365548e-05,1.247242653334979e-05,,,,,1.090519072022289e-05
77.233,28.424,,9.30629721551668e-06,9.648856212152168e-05,,2.4321002456417773e-06,-1.4316450688056648e-05,-1.2110099305573384e-05,0.0001436675811419,1.4121252206678037e-05,,6.446283350669546e-06,,,1.1534887562447692e-05
77.244,28.424,1.7787731849239208e-05,6.361085979733616e-05,7.733761594863608e-05,,-3.66004605893977e-05,,1.8993190678884275e-05,0.0001436675811419,1.525235074950615e-05,,7.147270025598118e-06,,,-1.8355506199441152e-06
77.161,28.434,5.2003295422764495e-05,3.349581311340444e-05,0.0002303211949765,,1.0379269042459782e-05,,9.321521065430716e-05,0.0002180552255595,4.055532826896524e-06,,1.1125469427497592e-05,,,1.1037697731808294e-05
77.171,28.434,6.903912890265929e-06,1.629681901249569e-05,0.0002014819183386,,2.1371438378992025e-06,,8.939288090914488e-05,0.0001637963723624,-7.099959930201294e-06,,,,,9.52454411162762e-06
77.181,28.434,7.577529322588816e-05,1.4122097127255984e-05,2.657388176885433e-05,,-1.295711444981862e-05,,5.268201857688837e-05,6.750054308213294e-05,1.0417327757750172e-05,,8.107006578939036e-06,,,3.348463724250905e-05
77.192,28.434,-3.3498545235488564e-06,3.406654286663979e-05,9.184231021208689e-05,,-1.825792969611939e-05,,9.118513844441622e-06,2.862131987058092e-05,1.5799479342604172e-06,,2.610463980090572e-06,,,1.3645976650877856e-05
77.202,28.434,,6.715285417158157e-05,0.0001264318125322,,-1.4576297871826682e-05,,-5.857513315277174e-06,9.22743129194714e-05,-7.523153726651799e-06,,6.446283350669546e-06,,,3.249302972108126e-05
77.213,28.434,,8.546583558199927e-06,0.0001171371550299,,-3.842912065010751e-06,7.060490133881103e-06,1.971914571186062e-06,,5.3939561439619865e-06,,7.147270025598118e-06,,,3.899015155184316e-06
77.223,28.434,3.26872566347447e-07,1.8397689927951436e-05,0.0001230606576427,,-1.3798107829643412e-05,,6.331265467451885e-06,0.0001034732849802,5.262817921902752e-06,,6.33491026746924e-06,,,3.5986934108223068e-06
77.233,28.434,-1.2636365681828464e-05,3.589149491745047e-05,6.649098213529214e-05,,7.282866590685444e-06,3.5109339933114825e-06,-2.590388135104149e-07,,1.2810722864742274e-06,,1.135514958150452e-05,,,1.1553462172742002e-05
77.244,28.434,0.0005276905139908,6.512505206046626e-05,,,-1.417200678588415e-06,1.3058915101282764e-05,-2.7231857529841363e-05,0.0002090099587803,8.01708210929064e-06,,,,,-3.3703290682751685e-06
77.129,28.443,,3.252170063205995e-05,0.0001001227210508,,-1.557264113216661e-05,,4.370209808257641e-06,0.00017450802261,5.372377017920371e-06,,,,,1.4461601494986098e-05
77.14,28.443,,1.6936501197051257e-05,9.866496111499146e-05,,-1.082294784282567e-05,,8.398193131142762e-06,7.322709279833362e-05,-6.205081263033208e-06,,9.700357622932644e-06,,,3.181694637532928e-06
77.15,28.443,6.903912890265929e-06,5.38411368324887e-05,6.05146269663237e-05,,1.094274102797499e-05,1.3456779015541542e-05,-9.775590115168598e-06,,1.1609122338995805e-05,,1.349016292806482e-05,,,4.33131589261393e-07
77.161,28.443,0.0001569038722664,2.8174827093607743e-05,9.232097363565116e-05,,1.1274129064986482e-05,,1.131782937591197e-05,0.000140511765494,9.552575647830965e-06,,,,,5.196956863073865e-06
77.171,28.443,-1.0700534403440544e-05,2.069864967779722e-05,4.371395334601402e-05,,4.455039743334055e-06,,-1.0790400665428024e-05,8.6444582848344e-05,1.2003903975710273e-05,,6.446283350669546e-06,,,1.523426271887729e-05
77.181,28.443,,4.231776256347075e-05,5.824036634294316e-06,,-4.773904493049486e-06,,0.0002503636060282,7.166526484070346e-05,4.501652256294619e-06,,7.147270025598118e-06,,,9.66034349403344e-06
77.192,28.443,8.154666829796042e-06,1.6141349988174625e-05,0.0001954437466338,,1.413742847944377e-05,,5.629021870845463e-06,4.604108835337684e-05,9.729373232403304e-06,,,,,1.090519072022289e-05
77.202,28.443,1.1927090781682637e-05,1.0169058441533709e-05,2.545257484598551e-05,,-2.184828645113157e-06,,1.8502203602110967e-05,0.0001774969277903,2.138222407666035e-05,,,,,1.3373767160373973e-06
77.213,28.443,3.878552888636477e-06,-2.94626124741626e-06,,,8.299894034280442e-06,,9.77800227701664e-05,8.183128375094384e-05,1.60223753482569e-05,,,,,2.282635705341818e-06
77.223,28.443,0.0001444035588065,2.407750980637502e-05,9.32845869101584e-05,,1.5336898286477663e-05,,-3.0372208129847426e-05,,3.353723059262848e-07,,,,,9.14751672098646e-06
