longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.233,28.482,1.318516478931997e-05,6.142959705357498e-07,4.25647922384087e-05
77.244,28.482,-2.774203039734857e-06,1.0180574463447556e-05,3.363842188264243e-05
77.129,28.492,1.0012568054662552e-05,9.424991731066257e-06,3.033231405424885e-05
77.14,28.492,2.0320885596447624e-06,,1.6212681657634676e-05
77.15,28.492,9.847242836258374e-06,2.286116250616033e-05,3.244281106162816e-05
77.161,28.492,4.082902250956977e-06,2.657468030520249e-05,4.1153856727760285e-05
77.171,28.492,6.485372068709694e-06,7.86801683716476e-06,2.727273385971785e-05
77.181,28.492,-3.5879431834473507e-06,-1.2501312767199124e-06,
77.192,28.492,4.842515409109183e-06,7.595628176204627e-06,3.2907530112424865e-05
77.202,28.492,2.4680051865288988e-05,1.887737562356051e-05,
77.213,28.492,-1.832376256061252e-05,9.150393452728169e-05,2.4625951482448727e-05
77.223,28.492,5.302862064127112e-06,1.1783831723732874e-05,8.158901437127497e-06
77.233,28.492,1.1006251042999793e-05,5.937634796282509e-06,6.695796037092805e-05
77.244,28.492,-3.1145198136073304e-06,1.307005550188478e-05,
77.254,28.492,4.166747658018721e-06,4.030533091281541e-06,4.525626536633354e-06
77.264,28.492,5.233292995399097e-06,7.520851340814261e-06,2.44727070821682e-05
77.275,28.492,1.6783311366452836e-05,3.7898171285633e-05,1.7399896023562178e-05
77.306,28.492,8.209272891690489e-06,3.491110328468494e-05,2.0088980079435717e-07
77.316,28.492,,6.460535587393679e-06,2.823432623699773e-05
77.327,28.492,1.552150206407532e-05,,2.587751077953726e-05
76.891,28.502,1.0279530215484556e-05,4.2605315684340894e-05,9.200619388138875e-06
77.109,28.502,7.1751010182197206e-06,,1.3434475476969965e-05
77.119,28.502,-6.51978643873008e-06,1.5194282241282052e-05,2.2193977201823145e-05
77.129,28.502,1.5820742191863246e-06,1.386385611112928e-05,2.9324522984097712e-05
77.14,28.502,-8.557621526961157e-07,1.3050215784460306e-05,1.415439783158945e-05
77.15,28.502,5.833772775076795e-06,5.084917575004511e-05,6.75965056871064e-05
77.161,28.502,-3.6630613067245577e-06,2.489572216290981e-05,4.553733106149593e-06
77.171,28.502,8.866140888130758e-06,2.2222900952328928e-05,
77.181,28.502,1.1349479791533668e-05,9.559703357808758e-06,
77.192,28.502,5.370880899135955e-06,,0.0001741934829624
77.202,28.502,7.557671324320836e-06,,2.2433190679294057e-05
77.213,28.502,6.671022674709093e-06,2.450612373650074e-05,
77.223,28.502,1.4547709724865854e-05,1.9272256395197477e-05,8.152745067491196e-06
77.233,28.502,1.95302777683537e-06,7.111943887139205e-06,2.345394022995606e-05
77.244,28.502,6.227640369615983e-06,5.570946086663753e-05,2.219850330220652e-06
77.254,28.502,-7.802793334121816e-06,2.2523143343278207e-05,4.507499852479668e-06
77.264,28.502,1.3604446394310798e-05,-1.4789758324695867e-06,1.540805351396557e-05
77.275,28.502,5.324045105226105e-06,,2.8813421522499997e-05
77.285,28.502,1.0051476238004398e-05,1.591138425283134e-05,1.553312540636398e-05
77.296,28.502,5.816367320221616e-06,9.899910764943344e-06,1.6619716916466132e-05
77.306,28.502,1.344576412520837e-05,1.0050189303001387e-05,
77.316,28.502,4.055797944602091e-06,1.0936493708868513e-05,2.628274705784861e-05
77.327,28.502,3.38970039592823e-06,2.5869263481581584e-05,1.2350754332146607e-05
76.891,28.512,4.61481795355212e-06,2.970098466903437e-05,2.1042247681180012e-05
76.901,28.512,5.778410923085175e-07,1.828261520131491e-05,1.6536941984668374e-05
76.922,28.512,5.107647211843869e-06,9.663491255196275e-06,9.206220966007097e-06
76.932,28.512,1.0742934136942496e-05,7.192867997218855e-06,3.648192068794742e-05
76.943,28.512,9.658529961598106e-06,1.3296173165144864e-05,1.3966267943033016e-05
76.953,28.512,3.028992296094657e-06,2.2500036720884964e-05,
76.963,28.512,1.544378392281942e-05,3.9444116737286095e-06,2.4583545382483862e-05
77.098,28.512,2.861024540834478e-06,,1.3910668712924236e-05
77.109,28.512,4.688051831180928e-06,,
77.119,28.512,1.6838635929161683e-05,1.6167490684892982e-05,2.2158767023938708e-05
77.129,28.512,4.459744559426326e-06,,1.1669280866044572e-05
77.14,28.512,9.57111842581071e-06,1.828241329349112e-05,3.367805402376689e-05
77.15,28.512,4.0167007682612166e-05,1.478738158766646e-05,1.7392021618434228e-05
77.161,28.512,2.608752765809186e-06,1.0812013897520956e-05,1.6530540960957296e-05
77.171,28.512,,1.955922925844789e-05,3.760001345654018e-05
77.181,28.512,1.1908669875992928e-05,,
77.192,28.512,1.8238293932881788e-06,1.4333347280626184e-05,9.32818693399895e-07
77.202,28.512,9.294235496781766e-06,,3.234988253097981e-05
77.213,28.512,-6.22948527961853e-06,,5.799012342322385e-06
77.223,28.512,1.1631986126303673e-05,,3.0243139917729422e-05
77.233,28.512,1.5366264051408507e-05,3.207795089110732e-05,1.803648774512112e-05
77.244,28.512,7.246361747093033e-06,3.217849098291481e-06,1.721861190162599e-05
77.254,28.512,3.954403837269638e-06,1.1769341654144228e-05,2.9546463338192552e-05
77.264,28.512,1.6269683328573592e-05,1.1584289495658597e-05,3.700819434016012e-05
77.275,28.512,,8.598039130447432e-06,7.196993465186097e-06
77.285,28.512,,9.71544795902446e-05,1.4364250091603026e-05
77.296,28.512,6.496942660305649e-06,1.008606250252342e-05,1.3781756024400238e-05
77.306,28.512,2.6512311706028413e-06,2.8796252991014626e-06,1.2092082215531264e-05
77.316,28.512,1.284164045500802e-05,,1.2123702617827805e-05
77.327,28.512,5.2450868679443374e-06,1.1384823665139264e-05,2.958453842438757e-05
77.337,28.512,1.0380650564911775e-05,3.574109541659709e-06,2.7664233130053617e-05
76.891,28.522,8.05144190962892e-06,,
76.901,28.522,1.0131539056601468e-05,1.4787558029638603e-05,6.949203816475347e-05
76.911,28.522,2.2241797523747664e-06,,2.4362463591387492e-05
76.922,28.522,5.411944584921002e-06,,2.9861865186830983e-05
76.932,28.522,1.6938539602051603e-06,7.356542482739314e-05,1.0879816727538127e-05
76.943,28.522,3.667312057586969e-06,2.1423593352665197e-05,9.827791473071557e-06
76.953,28.522,1.055247412296012e-05,,2.3649878130527213e-05
76.963,28.522,1.7741703004503506e-06,1.3441515875456387e-05,1.8193639334640466e-05
76.974,28.522,-3.677194399642758e-06,2.546637915656902e-05,3.0594841518905014e-05
76.984,28.522,1.666976277192589e-05,,3.2291587558574975e-05
76.994,28.522,4.309730229579145e-06,1.2868787052866535e-05,2.047532325377688e-05
77.005,28.522,,3.7387683278211625e-06,
77.015,28.522,5.363514901546296e-06,2.838732825694024e-06,1.8879236449720335e-05
77.057,28.522,7.108561931090662e-06,3.1783572921995074e-05,1.310967854806222e-05
77.067,28.522,1.691889110588818e-06,1.0600764653645456e-05,
77.078,28.522,1.5258559869835152e-05,3.990022742073052e-05,1.3061157005722634e-05
77.088,28.522,1.8736396668828093e-05,,2.900577419495676e-05
77.098,28.522,-1.3161892411517329e-06,2.5068487957469188e-05,4.242569411871955e-05
77.109,28.522,1.7659272089076694e-06,1.0683386790333316e-05,
77.119,28.522,6.499654773506336e-06,2.604685141704977e-05,2.442318873363547e-05
77.129,28.522,9.506523383606693e-06,7.788920811435673e-06,3.830554123851471e-05
77.14,28.522,-2.048885107797105e-06,1.0241234122077005e-05,1.918008092616219e-05
77.15,28.522,1.5526104107266292e-05,1.9504435840644877e-05,1.5738867659820244e-05
77.161,28.522,9.465895345783792e-06,-1.0973030839522837e-05,3.2473144528921694e-05
77.171,28.522,-3.0011187845957465e-06,2.799021956434445e-07,2.6238771170028485e-05
77.181,28.522,8.431089554505888e-06,3.109380486421287e-05,
77.192,28.522,9.770876204129308e-06,3.742867920664139e-05,
77.202,28.522,9.396700988872908e-06,5.190190222492674e-06,1.6113470337586477e-05
77.213,28.522,,1.5996447473298758e-05,7.460899269062793e-06
77.223,28.522,1.3454225154418964e-05,1.939911635417957e-05,2.0816376490984112e-05
77.233,28.522,1.6783311366452836e-05,5.044106273999205e-06,
77.244,28.522,1.2614557817869354e-05,1.778975456545595e-05,
77.254,28.522,1.7353603425362962e-06,2.636205317685381e-05,1.4752547031093854e-05
77.264,28.522,,1.9074053852818903e-05,2.4736140403547324e-05
77.275,28.522,4.939903192280326e-06,2.73788973572664e-05,1.569203050166834e-05
77.285,28.522,1.4041805115994066e-05,2.4593477064627223e-05,
77.296,28.522,1.110031644202536e-05,3.1831009437155444e-06,9.621564458939249e-06
77.306,28.522,-1.076463149729534e-06,,4.237241591908969e-05
77.316,28.522,9.702661373012234e-06,1.0328465577913448e-05,7.618702511535957e-06
77.327,28.522,,3.8046167901484296e-05,
77.337,28.522,9.534638593322596e-06,8.388981768803205e-06,3.330599156470271e-06
76.88,28.531,1.97166227735579e-05,3.652738450909965e-05,2.716395101742819e-05
76.891,28.531,5.259884801489534e-06,1.2585882359417155e-05,2.3486742065870203e-05
76.901,28.531,3.1631514048058307e-06,3.170476702507585e-05,2.24670693569351e-05
76.911,28.531,8.362417247553822e-06,0.0001004411969915,3.326722071506083e-05
76.922,28.531,8.654353223391809e-06,1.651122329349164e-05,3.0239718398661356e-05
76.932,28.531,2.541800085964496e-06,3.05258363368921e-05,3.454662873991765e-05
76.943,28.531,-1.8259239595863617e-06,1.7437754650018178e-05,5.609743675449863e-05
76.953,28.531,2.211837090726476e-05,1.4379900676431134e-05,
76.963,28.531,-2.0932468487444567e-06,8.719367542653345e-06,1.5618476027157158e-05
76.974,28.531,2.842120011337101e-06,2.6618528863764368e-05,9.0657158580143e-06
76.984,28.531,7.78685716795735e-06,1.3541914995585104e-05,3.242874299758114e-05
76.994,28.531,2.7946422051172704e-05,-2.7449273147794884e-06,3.110395118710585e-05
77.036,28.531,1.2994068129046354e-05,3.582963836379349e-05,2.3155023882281967e-05
77.046,28.531,7.155864750529872e-06,1.2241736840223894e-05,2.074929761874955e-05
77.057,28.531,6.8958547672082204e-06,,2.080837703033467e-06
77.067,28.531,-1.0898655773416976e-06,,7.512265710829524e-06
