longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.443,5.001325189368799e-05,2.618661710585002e-05,1.9781011360464618e-05,1.0591315003694037e-05,,0.0003445901384111,,,-5.155818598723272e-07,6.61277663311921e-05,-9.255011718778404e-06,2.8521340937004425e-05
77.181,28.443,-8.966033419710584e-06,1.8646876924321987e-05,1.8337271967538984e-06,-2.9888019525969867e-06,,7.871390698710456e-05,,,4.019335847260663e-06,,,1.4182364793668968e-05
77.192,28.443,-5.458062332763802e-06,3.121804547845386e-05,-4.33190416515572e-06,1.5383346180897206e-05,0.0001559365482535,8.636510028736666e-05,,,-3.382224122105981e-06,3.625683893915266e-05,,
77.202,28.443,1.997926119656768e-05,3.262917380197905e-05,1.3175036656321026e-05,1.3220478649600407e-05,5.849664012202993e-05,3.847389234579168e-05,-6.649898409705202e-07,,3.262683549110079e-06,1.7827360352384858e-05,,2.6373030777904205e-05
77.213,28.443,6.83661419316195e-05,2.3155622329795733e-05,9.79466494754888e-06,6.718771032865334e-07,8.87958740349859e-05,6.007071078784065e-06,,,-2.374947371208691e-06,,-3.186914909747429e-05,2.465868237777613e-05
77.223,28.443,-1.2077433893864509e-05,2.347711597394664e-05,1.0463436410645954e-05,2.7298983695800416e-05,,2.2659686749193497e-07,-9.065054655366112e-06,,-4.97626615469926e-07,6.029095675330609e-05,,2.190530904044863e-05
77.233,28.443,-1.0268528058077209e-05,2.826347918016836e-05,2.771873005258385e-05,2.017266524489969e-05,,2.0208910427754745e-05,,,-1.6110093383758797e-06,4.006080416729674e-05,,3.647148696472868e-05
77.244,28.443,-2.270998083986342e-05,2.192221290897578e-05,9.08431593416026e-06,7.275560346897691e-05,2.198565016442444e-05,0.0001622998679522,,,2.488360451025073e-06,1.8296057533007115e-05,,2.450821739330422e-05
77.129,28.453,4.036649625049904e-05,2.344548192922957e-05,9.80783806880936e-06,6.04040251346305e-05,6.407468754332513e-05,5.556265750783496e-05,-6.886378287163097e-06,,-4.085225668859494e-07,4.068932685186155e-05,,
77.14,28.453,8.1028847489506e-05,2.5048735551536083e-05,1.1466179785202256e-05,1.0331340490665752e-05,,8.977498509921134e-05,-8.344045454578009e-06,,2.2738161078450503e-06,2.5546181859681383e-05,,2.1588464733213183e-05
77.15,28.453,-1.2080334272468464e-05,2.3551958292955533e-05,-2.6305986722263697e-08,2.0100773326703347e-05,,8.367857844859827e-06,,,5.869689175597159e-06,1.7702830518828705e-05,,1.5686950064264238e-05
77.161,28.453,-1.866154525487218e-05,2.2928184989723377e-05,1.4501551049761474e-05,2.1175897927605547e-05,4.19910647906363e-05,0.0001358896843157,,,8.785896170593332e-06,2.139116622856818e-05,,1.640895425225608e-05
77.171,28.453,-1.7362117432639934e-05,2.0997007595724423e-05,-7.499028811253083e-07,8.229264381043322e-07,,8.543580770492554e-05,-8.344045454578009e-06,,1.6128969946294092e-06,4.7626217565266415e-05,-3.186914909747429e-05,3.061916140723042e-05
77.181,28.453,-8.45033810037421e-06,,1.651552338444162e-05,1.8218976038042456e-05,,8.45185641082935e-05,-1.400723613187438e-05,,-3.0400640298466897e-06,2.209553895227145e-05,,1.402826455887407e-05
77.192,28.453,-7.821532790330821e-07,2.618661710585002e-05,9.84706093731802e-06,1.4700242900289597e-05,0.0001107356438296,9.931977729138453e-06,,,1.9268441064923536e-08,3.842862133751623e-05,-1.3017106539336964e-05,
77.202,28.453,5.786217570857843e-06,1.8646876924321987e-05,5.741791483160341e-06,3.290044332970865e-06,0.0001244067825609,6.412056973204017e-05,,,9.476912623540557e-07,8.899430395103991e-05,,1.628739119041711e-05
77.213,28.453,-2.568237277955632e-06,3.121804547845386e-05,2.2690253899781965e-05,1.2127557965868618e-05,3.45927728631068e-05,3.102618575212546e-05,,,5.576241619564826e-06,4.381929466035217e-05,-2.772514562821016e-05,2.083235449390486e-05
77.223,28.453,0.0001534009788883,2.233088707725983e-05,-7.877306416048668e-06,1.5344927305704914e-05,,7.536269549746066e-05,1.4747676004844834e-06,,2.2787705802329583e-06,1.4347905562317465e-05,,
77.233,28.453,-1.159577823273139e-05,2.399487493676133e-05,1.1586924301809631e-05,7.342861499637365e-05,3.7089641409693286e-05,2.7953994504059665e-05,,,3.372750597918639e-06,2.6358939066994932e-05,-1.442583652533358e-05,2.465868237777613e-05
77.119,28.463,8.926476584747434e-05,3.27055822708644e-05,1.9001538021257147e-05,6.7228129410068505e-06,3.296445356681943e-05,6.06212233833503e-05,-1.1776841347455049e-05,,4.904439265374094e-06,6.45429827272892e-05,,2.756595677055884e-05
77.129,28.463,0.0001267272164113,3.27055822708644e-05,,1.7188034689752385e-05,2.488445898052305e-05,7.5014446338173e-05,,,1.5348717852248228e-06,1.7288992239627987e-05,-1.3017106539336964e-05,
77.14,28.463,-1.866154525487218e-05,2.5717983589856885e-05,2.784565367619507e-06,4.434639322425937e-06,,8.896212239051238e-05,,,6.677138571831165e-06,2.0895251509500667e-05,-1.3527588635042775e-05,4.5829325244994834e-05
77.15,28.463,-5.458062332763802e-06,3.252148235333152e-05,-4.027032446174417e-06,3.062982841584017e-06,,8.925812289817259e-05,,,4.464521225600038e-06,3.623114025685936e-05,,3.12012925860472e-05
77.161,28.463,-1.3062906873528846e-05,1.86435499927029e-05,,5.808344212709926e-06,,1.2666322618315462e-05,,,4.2866340663749725e-06,3.301489050500095e-05,,2.2062422431190495e-05
77.171,28.463,2.664519524842035e-05,3.759073297260329e-05,-3.640287786765839e-06,1.267440075025661e-05,2.152994420612231e-05,6.165170634631068e-05,5.716187843063381e-07,,3.619087692641188e-06,2.5546181859681383e-05,-1.3649757420353126e-05,1.4573811313312037e-05
77.181,28.463,,,1.5446434190380387e-05,6.845402367616771e-06,0.0001471785944886,0.0001037155161611,,,2.8304048100835644e-06,1.8379952962277457e-05,,1.764590706443414e-05
77.192,28.463,4.954689211444929e-05,2.0997007595724423e-05,4.612506018020213e-06,1.0639305401127784e-05,,5.992325532133691e-05,-2.957399919978343e-05,,1.0503399607841857e-06,3.609038321883418e-05,-2.9305721909622665e-05,
77.202,28.463,5.082831557956524e-05,2.5235458451788872e-05,3.6738965718541294e-06,1.8132366676582024e-05,,3.022601958946325e-05,,,5.865370894753141e-06,,-1.1105873454653192e-05,3.061916140723042e-05
77.213,28.463,6.859470431663794e-06,2.618661710585002e-05,1.5495119441766292e-05,1.1606464795477224e-05,,7.732630911050364e-05,-2.903528911701869e-05,,3.792859160967055e-06,,,1.402826455887407e-05
77.223,28.463,-2.2190755771589465e-05,,,1.1089809049735775e-05,,7.10024032741785e-05,-2.0258383301552385e-05,,-2.126055278495187e-06,4.690486821345985e-05,-1.0775033842946868e-05,1.7080039469874464e-05
77.119,28.473,0.0001250843633897,2.580575346655678e-05,1.6734475138946436e-05,1.5658830307074822e-05,,5.800714916404104e-06,,,-2.374947371208691e-06,4.472077489481308e-05,-5.190795036469353e-06,4.626957161235623e-05
77.129,28.473,-5.458062332763802e-06,,1.1709684258676134e-05,2.703696372918785e-05,,8.580466965213418e-05,-2.5682074920041487e-06,,-1.1868589808727847e-06,2.1390322217484936e-05,-1.5658930351492018e-05,1.9715860616997816e-05
