longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
76.953,28.541,-5.348989816411631e-06,2.2594658730668016e-05,1.0102030501002446e-05,7.068134436849505e-06,,5.103679723106325e-05,,,3.1316546937887324e-06,,,3.371533966856077e-05
76.963,28.541,-1.1207327588635962e-05,2.8238640879862945e-05,4.089508820470655e-06,1.1831106348836329e-05,7.846608787076548e-05,3.62486534868367e-05,,,7.401579864563246e-07,,-8.060581421887036e-06,3.371533966856077e-05
76.974,28.541,-8.263878953584936e-06,2.8338972697383724e-05,6.975758424232481e-06,0.0001550401357235,3.532516348059289e-05,3.121825648122467e-05,-3.610921567087644e-06,,9.62123749559396e-07,2.199192749685608e-05,,2.013276935031172e-05
76.984,28.541,,2.0686951756943017e-05,2.4973189283628017e-05,3.1709318136563525e-05,,1.4220554476196412e-05,,,-6.168529580463655e-07,1.3287895853864027e-05,-1.613755193830002e-05,
76.994,28.541,-7.148038093873765e-06,2.0686951756943017e-05,5.099805548525183e-06,4.47869615527452e-06,4.959761645295657e-05,3.986938463640399e-05,,,-1.1993389534836751e-06,2.5172639652737416e-05,-2.54213809967041e-05,
77.005,28.541,-2.175788176828064e-05,2.539471279305872e-05,-1.597891423443798e-05,2.9889784855186008e-05,,3.421303699724376e-05,,,-1.38213390528108e-05,3.681611269712448e-05,-2.4671575374668464e-05,1.082042854250176e-05
77.015,28.541,-5.875353394912963e-07,,2.29642082558712e-05,3.6820422337768832e-06,,7.469723641406745e-05,,,3.592626640624985e-08,,-1.361001795885386e-05,1.5450634236913174e-05
77.026,28.541,-8.824684300634544e-06,,3.753028067876585e-06,1.7435429981560446e-05,,6.059916995582171e-05,,,-5.182658242119942e-06,,-1.07772038973053e-05,2.0322133423178457e-05
77.036,28.541,,1.7797188775148243e-05,1.6068595869001e-05,2.328443588339724e-05,2.453971865179483e-05,0.0001177598460344,,,-6.087833526180475e-07,5.49115429748781e-05,-3.2733281841501594e-05,1.8265169273945503e-05
77.046,28.541,-1.1781543435063211e-05,3.381543137948029e-05,-1.1913779417227488e-05,1.3415458852250596e-05,,1.906073339341674e-05,-9.507929462415632e-06,,-7.853672286728397e-06,3.8721693272236735e-05,-1.5095539311005268e-05,1.6467864043079317e-05
77.057,28.541,-1.4764787010790316e-05,2.4509974537068047e-05,3.3978597002715105e-06,-2.1203675260039745e-06,7.319883297896013e-05,3.8604510336881503e-05,-9.507929462415632e-06,,1.093037280952558e-05,,-1.0165081221202854e-05,1.4935416402295232e-05
77.067,28.541,5.018939555156976e-05,,-3.3785424875532044e-06,1.4193832612363622e-05,3.680805457406677e-05,6.750441389158368e-05,,,9.265056178264786e-06,1.8741398889687844e-05,-1.3380355994740968e-05,
77.078,28.541,-2.369965295656584e-05,2.7637002858682536e-05,7.46166233511758e-06,1.0406358342152087e-05,3.331335756229237e-05,2.9963437555124983e-05,3.069760623475304e-07,,3.723942199940211e-06,,-3.1874449632596225e-05,1.810946014302317e-05
77.088,28.541,0.0001044036689563,3.161599670420401e-05,1.591753971297294e-05,6.245350050448906e-06,1.4648293472419027e-05,6.679369107587263e-05,-2.141803634003736e-05,,-9.159926435131638e-07,2.262583075207658e-05,-1.6329977370332927e-05,1.802836231945548e-05
77.098,28.541,4.223262658342719e-05,3.161599670420401e-05,5.250889444141649e-06,7.275560346897691e-05,2.692281304916833e-05,5.248022716841661e-05,,,3.4920733469334664e-06,2.2530954083777036e-05,-1.3240055523056071e-05,2.4100698283291425e-05
77.109,28.541,3.352406929479912e-05,,-2.9523194825742397e-05,2.148841667803936e-05,2.8090265914215703e-05,5.164047615835443e-05,,,2.05339415515482e-06,0.0001038951886584,-2.227716686320491e-05,2.082168430206366e-05
77.119,28.541,-9.067799510376062e-06,1.772812902345322e-05,1.858714676927775e-05,1.136473747465061e-05,,5.035222784499638e-05,,,-5.01883368997369e-06,3.236904012737796e-05,-2.189748738601338e-05,2.122225851053372e-05
77.129,28.541,-1.875298949016724e-05,,7.170115623011952e-06,2.323734042875003e-05,3.5274708352517337e-05,0.0001266034378204,,,1.7589627532288432e-06,,-1.4803962585574482e-05,2.382301863690373e-05
77.14,28.541,-1.3040262274444103e-05,2.0337851310614496e-05,4.8137740122911055e-06,1.9476417946862057e-05,,6.121971091488376e-05,,,5.372974101192085e-06,3.440565706114285e-05,,5.377066918299533e-05
77.15,28.541,-6.505377314169891e-06,2.6776686354423877e-05,-2.3622171283932403e-05,1.2176687050668988e-05,,5.412498285295442e-05,,,2.6510176667216e-06,1.432982571714092e-05,-9.154680810752325e-06,1.238248387380736e-05
77.161,28.541,3.257112257415429e-05,,7.239166006911546e-05,1.2665473150264006e-05,0.0001666739553911,6.025717812008224e-05,,,2.530375695641851e-07,0.0001102127498597,-1.2508701729530005e-05,5.15819774591364e-05
77.171,28.541,-1.2633432561415248e-05,2.5368753995280716e-05,6.933526037755655e-06,9.321403013018426e-06,,9.511757525615394e-05,-2.444291203573812e-05,,9.482074347033633e-06,,-2.6975014407071285e-05,2.424683407298289e-05
77.181,28.541,-1.0605907846183982e-05,2.7888620024896227e-05,5.733559646614594e-06,2.000033418880776e-06,0.0001412841957062,0.0001194322539959,,,9.623146979720332e-06,,,1.763803265930619e-05
77.192,28.541,-3.9722845031064935e-06,,5.726936069549993e-05,5.0592530897120014e-05,3.754873978323303e-05,2.2406857169698924e-05,,,2.2494568838737905e-06,1.868724029918667e-05,,2.88865758193424e-05
77.202,28.541,-7.625309990544338e-06,1.6926403986872174e-05,1.6938224689511117e-07,-1.5675882423238363e-06,5.864562263013795e-05,0.0001821628247853,,,-4.832404556509573e-07,,-1.1916879884665832e-05,1.5543655536021106e-05
77.213,28.541,2.458640210534213e-06,,5.871077519259416e-06,2.475610199326184e-05,3.971117621404119e-05,1.6309430066030473e-05,-1.6759442587499507e-05,,6.617913186346414e-07,0.0001615133369341,,1.986328061320819e-05
77.223,28.541,4.9088777487327215e-09,2.9884680770919655e-05,2.0266566934878935e-05,3.7700849588873098e-06,,2.5295454179286025e-05,,,7.005350198596716e-06,8.460457320325077e-05,,3.414166349102743e-05
77.233,28.541,0.0001143254121416,2.309326191607397e-05,1.7237722204299644e-05,1.092746424546931e-05,5.90683521295432e-05,5.149832941242494e-05,,,2.179005605285056e-06,2.367648994550109e-05,-8.856241947796661e-06,1.99050446099136e-05
77.244,28.541,-9.992558261728846e-06,,,1.9595148842199706e-05,,3.385009040357545e-05,,,6.322620265564183e-06,3.216729965060949e-05,,
77.254,28.541,7.565216219518334e-05,2.821668931574095e-05,-8.637623068352696e-06,3.992373967776075e-05,,9.94948495645076e-05,,,1.6760628795964294e-06,,,1.5107582839846144e-05
77.264,28.541,-5.606937065749662e-06,2.112095899065025e-05,8.34232778288424e-05,1.361772865493549e-05,,0.0001897629117593,,,-2.6543964395386865e-06,2.2393443941837177e-05,-2.7395604774937965e-05,2.864785528799985e-05
77.275,28.541,-1.6866251826286316e-06,2.4054059394984503e-05,2.0162033251835965e-05,2.3335544028668664e-05,4.7002729843370616e-05,0.0001307942729908,,,6.47548995402758e-06,2.445336212986149e-05,,2.0927654986735437e-05
77.285,28.541,7.694429223192856e-05,1.9837812942569144e-05,,1.9990427972516045e-05,4.7002729843370616e-05,1.328015059698373e-05,8.206411621358711e-06,,1.329134079242067e-06,2.08241144719068e-05,-2.1525478587136604e-05,4.553807229967788e-05
77.296,28.541,3.9840102772359387e-07,3.761040352401324e-05,5.042718112235889e-05,1.0831281542778017e-05,2.070800110232085e-05,5.56666091142688e-05,-6.9445462713702e-07,,-6.439579010475427e-06,0.0001153437697212,,
77.306,28.541,0.0001065456381184,1.536674244562164e-05,2.6296272608306026e-06,2.0364293959573843e-05,,5.144761598785408e-05,,,3.0721207622264046e-06,2.573700840002857e-05,,1.953523860720452e-05
77.316,28.541,,2.752676846284885e-05,9.311567737313451e-06,5.433670594356954e-05,0.0001250981731573,6.253069841477554e-06,,,3.236629709135741e-06,4.244409501552582e-05,,1.3189004675950857e-05
76.849,28.551,0.0001287789782509,1.879560841189232e-05,-1.1454515060904669e-06,7.45134093449451e-05,3.3195414289366454e-05,1.8170940165873617e-05,,,5.604572379525052e-06,2.290549127792474e-05,,
76.86,28.551,2.934489202743862e-06,,1.873305336630437e-06,8.415910269832239e-05,7.682915747864172e-05,3.428266063565388e-05,,,-7.091729230523924e-07,6.731227040290833e-05,,2.1496201952686533e-05
76.87,28.551,6.861600354568509e-07,,1.4928814380255062e-05,2.597684033389669e-05,2.8764483431587e-05,0.0002404377592029,-3.610921567087644e-06,,-2.4891351131373085e-06,3.095420106546953e-05,,1.9557024643290788e-05
76.88,28.551,5.227731890045106e-05,,-1.6918540950427996e-06,1.1951680789934471e-05,,4.866305607720278e-05,-9.15041982807452e-06,,-3.382224122105981e-06,,-2.772514562821016e-05,2.443368975946214e-05
76.891,28.551,9.103858610615134e-05,2.1132140318513848e-05,1.5022539628262166e-05,2.8131213184678927e-05,,0.0001675340172369,,,9.476912623540557e-07,8.639596489956602e-05,-2.9095212994434405e-06,1.5024073945824055e-05
76.901,28.551,2.8180034860270094e-05,2.8429532903828655e-05,-3.159102925565094e-05,1.5998914022929966e-05,1.7640097212279215e-05,9.968572703655808e-05,-1.0658308383426627e-05,,5.120014520798577e-06,2.5201868993462995e-05,-8.060581421887036e-06,1.6559057257836685e-05
76.911,28.551,-8.988559784484096e-06,2.694606155273505e-05,9.827533176576251e-06,1.3235736332717352e-05,3.2584008295089006e-05,8.613819227321073e-05,1.2902656862934236e-06,,3.935349013772793e-06,0.0001023688309942,-1.9173481632606126e-05,2.2484740838990547e-05
76.922,28.551,0.0002266198425786,2.459097777318675e-05,2.0908470105496235e-05,4.391299171402352e-06,7.594520138809457e-05,8.752432040637359e-05,-1.3038230463280344e-05,,3.1316546937887324e-06,2.643151492520701e-05,,2.6340152544435117e-05
76.932,28.551,-1.2080334272468464e-05,2.881703039747663e-05,3.752268094103784e-05,7.937795089674182e-06,,4.105869447812438e-05,,,2.2787705802329583e-06,2.0856015908066183e-05,,2.69558368017897e-05
76.943,28.551,,2.881703039747663e-05,1.3072082765575033e-05,2.3788683392922397e-05,,5.900236646994017e-05,,,1.0567664503469132e-06,5.276693991618231e-05,-1.442583652533358e-05,1.410401819157414e-05
76.953,28.551,,2.881703039747663e-05,6.309578111540759e-06,7.309351985895773e-06,,1.2561182302306406e-05,-1.1578492376429494e-05,,-2.0829606910410803e-06,,,2.7479980417410843e-05
76.963,28.551,-1.701330256764777e-05,,-5.674144176737173e-07,9.066669008461758e-06,4.524002360994928e-05,1.984855589398649e-05,,,6.044563633622602e-06,,,1.2131861694797408e-05
76.974,28.551,-1.7028367437887937e-05,2.740135278145317e-05,2.375179246882908e-05,4.469437953957822e-06,1.264757156604901e-05,4.945023101754487e-05,,,1.0202828661931562e-06,2.289682743139565e-05,,1.727365452097729e-05
76.984,28.551,-3.474581944828969e-06,2.2594658730668016e-05,9.53559356275946e-06,3.124573777313344e-05,,2.73949044640176e-05,1.7723370547173545e-05,,-1.578818910275004e-06,4.615080979419872e-05,,1.2798095667676536e-05
76.994,28.551,1.997926119656768e-05,2.1378587916842665e-05,,8.247258847404737e-06,0.0001322371681453,0.0003445901384111,2.1036148609709926e-06,,7.08150037098676e-06,,,3.371533966856077e-05
77.005,28.551,-6.489296538347844e-06,3.5071076126769185e-05,2.131695691787172e-05,1.5809639080544002e-05,,0.0002529822231736,,,-2.198635684180772e-06,4.671834904002026e-05,,
77.015,28.551,-2.2440299289883114e-05,2.0686951756943017e-05,1.812712798709981e-05,2.336186116735917e-05,3.532516348059289e-05,0.0001801884645828,,,-7.853672286728397e-06,1.7585016394150443e-05,,
77.026,28.551,-2.0471776224439964e-05,2.0686951756943017e-05,1.5923188811939326e-06,5.694196443073452e-05,1.778632758941967e-05,2.5145291147055104e-05,,,-2.9286152312124614e-06,,-1.6573247194173746e-05,1.4429700058826713e-05
77.036,28.551,1.1656780770863406e-05,,1.5650704881409183e-05,1.9689963664859533e-05,7.846608787076548e-05,3.438787462073378e-05,-2.444291203573812e-05,,-2.641170340211829e-06,1.762109241099097e-05,,1.082042854250176e-05
77.046,28.551,1.558559415570926e-05,1.914056520035956e-05,-2.082805622194428e-06,1.5283840184565634e-05,,2.2794994947616946e-05,,,3.1810905056772758e-06,1.936598346219398e-05,,1.5450634236913174e-05
77.057,28.551,1.3353815120353827e-05,,5.741791483160341e-06,2.1227426714176545e-06,3.29180656990502e-05,7.645277219126001e-05,,,-1.9305844034533948e-06,4.3585419916780666e-05,-6.170376764202956e-06,2.0322133423178457e-05
77.067,28.551,-1.5389137843158096e-05,1.7797188775148243e-05,,1.3266368114273064e-05,,0.0001762160827638,,,-3.40017300004547e-06,5.275889634503983e-05,-2.227716686320491e-05,1.8265169273945503e-05
77.078,28.551,-3.276005827501649e-06,3.381543137948029e-05,-6.332666544039967e-06,2.5609571821405552e-05,,6.967348599573597e-05,-3.714585909619928e-05,,6.699281129840529e-07,,-1.489465284976177e-05,3.197187470505014e-05
77.088,28.551,-1.809974605748721e-06,2.4509974537068047e-05,1.37748111228575e-05,1.4747485693078488e-05,5.472596239997074e-05,5.164962203707546e-05,2.450409510856844e-07,,9.46207728702575e-06,3.391913924133405e-05,-1.2099875675630756e-05,1.4935416402295232e-05
77.098,28.551,-1.2668869203480426e-05,2.6411329599795863e-05,1.4767377251700964e-05,2.4217728423536755e-05,4.265669122105464e-05,3.9201902836794034e-05,-1.6759442587499507e-05,,1.0626993116602534e-06,,-1.4803962585574482e-05,
77.109,28.551,-3.132106485281838e-06,3.161599670420401e-05,2.1115795334480936e-06,1.0994767762895208e-05,3.680805457406677e-05,5.2152878197375685e-05,,,1.101888483390212e-05,3.069414378842339e-05,,1.757241989253089e-05
77.119,28.551,,3.161599670420401e-05,9.972470252250789e-06,-1.3666605127582443e-06,,7.389844540739432e-05,,,2.248055579912034e-06,,-2.5854766136035323e-05,
77.129,28.551,-4.240293037582887e-06,3.161599670420401e-05,,1.2641449757211376e-05,,7.541454397141933e-05,,,-5.727043117076391e-06,1.732739656290505e-05,-2.3172897272161208e-05,2.4100698283291425e-05
77.14,28.551,,2.421988392597996e-05,-1.3006133769977168e-07,1.4467638720816469e-05,3.331335756229237e-05,6.229965947568417e-05,,,2.317961843800731e-06,2.262583075207658e-05,-1.1699639799189754e-05,2.0307434169808403e-05
77.15,28.551,,2.9779686883557588e-05,4.067484951519873e-06,4.012673571196501e-07,4.05302744184155e-05,2.7765203412855044e-05,,,3.931362698494922e-06,0.0001038951886584,-2.1555555576924235e-05,1.4640580957347993e-05
77.161,28.551,,2.955430863949005e-05,1.3181043868826237e-05,7.240446393552702e-06,,6.518968439195305e-05,,,-6.41402209566877e-07,8.186061313608661e-05,-2.325698187632952e-05,1.965269439097028e-05
77.171,28.551,-1.125701510318322e-05,2.0337851310614496e-05,1.0270825441693889e-05,9.350346226710826e-05,2.8090265914215703e-05,0.0002143550518667,,,8.190253311113338e-07,3.936642315238714e-05,-2.144605605280958e-05,1.605352917977143e-05
77.181,28.551,,,3.6576352613337808e-06,2.6718698791228235e-05,,5.458852319861762e-05,,,4.950656148139387e-06,2.125134415109642e-05,-8.856241947796661e-06,1.2500741831900086e-05
77.192,28.551,6.033004683558829e-05,2.381854756094981e-05,9.83095833362313e-06,1.081751543097198e-05,,0.0001456504978705,-6.9445462713702e-07,,-1.7760725313564762e-05,5.354679888114333e-05,-1.42549188240082e-05,5.15819774591364e-05
77.202,28.551,-6.466807462857105e-06,2.3800308554200456e-05,1.3721680261369327e-05,7.165999249991728e-06,,8.886303112376481e-05,,,5.783490905741928e-06,5.608376886812039e-05,,1.8096277926815677e-05
77.213,28.551,-6.230194230738562e-06,2.7888620024896227e-05,2.024006607825868e-05,0.0001041683062794,6.432858208427206e-05,9.274259355152026e-05,,,-1.2330826848483412e-06,,,1.7370008208672516e-05
77.223,28.551,-2.1181371266720816e-05,,-1.3084509191685356e-05,2.143362507922575e-05,1.601110488991253e-05,7.978177745826542e-05,,,-4.2221404328302015e-06,2.116098221449647e-05,,2.462070006004069e-05
77.233,28.551,1.4922808077244554e-05,2.9935377824585885e-05,5.931657142355107e-06,2.4801762265269645e-05,,1.7085101717384532e-05,,,1.3254497389425524e-05,6.871252116980031e-05,,1.5543655536021106e-05
77.244,28.551,,,1.3293258234625682e-05,2.517554457881488e-05,,0.0001145844580605,,,1.472182361794694e-06,8.280689507955685e-05,-1.836321644077543e-05,1.3634257811645512e-05
77.254,28.551,-1.6866251826286316e-06,2.9884680770919655e-05,1.1475101018731948e-05,3.427943374845199e-05,0.0001412841957062,5.213931945036165e-05,6.138920980447438e-06,,4.735869879368693e-06,1.4796848518017214e-05,,1.7682294128462672e-05
77.264,28.551,-1.8994176571141e-05,2.309326191607397e-05,-5.542124199564569e-06,1.169480583484983e-05,2.847772702807561e-05,0.0001533020113129,6.138920980447438e-06,,-3.2082510870168335e-07,2.367648994550109e-05,,1.99050446099136e-05
77.275,28.551,-1.590298597875517e-05,2.309326191607397e-05,-8.268718261206232e-07,7.146459211071488e-06,7.785607886034995e-05,0.0001129545198637,,,3.031772166650626e-06,3.4523505746619776e-05,,1.5107582839846144e-05
77.285,28.551,0.000208769168239,2.821668931574095e-05,7.26567691344826e-07,1.1090755833720324e-05,4.2149924411205575e-05,0.0001118152940762,-9.536734069115482e-06,,-2.84531006400357e-06,2.0795461750822145e-05,,2.2382773749995977e-05
77.296,28.551,-1.874605004559271e-05,2.112095899065025e-05,5.002051238989225e-06,1.2615882951649836e-05,2.599849904072471e-05,3.092965926043689e-05,,,8.564643394493032e-08,7.17451621312648e-05,,
77.306,28.551,0.0001284690952161,2.4054059394984503e-05,2.602283893793356e-05,2.859364394680597e-05,3.4455508284736425e-05,0.0001939289504662,,,1.0994888725690544e-05,2.445336212986149e-05,-1.9171315216226503e-05,2.0927654986735437e-05
77.316,28.551,4.925705070490949e-05,2.457942537148483e-05,2.20457495743176e-05,-4.094450105185388e-06,5.058559327153489e-05,0.0001858001196524,,,2.52245490628411e-06,2.08241144719068e-05,-8.887203875929117e-06,4.553807229967788e-05
76.849,28.561,-5.185840645793861e-09,3.025601290573832e-05,1.61223561008228e-05,0.0001405605871696,,4.189316678093746e-05,1.7723370547173545e-05,,5.347200840333244e-06,3.179013583576307e-05,-2.772514562821016e-05,
76.86,28.561,2.013913035625592e-05,2.980334647872951e-05,7.544630534539465e-06,4.401998467074009e-06,1.981483364943415e-05,0.0001460017228964,-9.11955885385396e-06,,-1.6561053826080752e-06,1.8981998437084258e-05,,2.1618539904011413e-05
76.87,28.561,-4.797003839485114e-06,2.5918589017237537e-05,2.8735090381815095e-05,2.087111715809442e-05,4.6255107008619234e-05,6.903552275616676e-05,2.1036148609709926e-06,,-5.852546564710792e-06,9.319711534772068e-05,,2.228710400231648e-05
76.88,28.561,-3.2609646041237283e-06,1.879560841189232e-05,1.863662873802241e-06,6.933527174624032e-07,1.549821172375232e-05,9.970535757020116e-05,,,8.185156730178278e-06,3.702575486386195e-05,-1.613755193830002e-05,2.1496201952686533e-05
76.891,28.561,-1.2919908840558492e-05,,1.6873516869964078e-05,8.461815014015883e-06,4.882579742115922e-05,0.0002521611459087,,,3.1316546937887324e-06,2.6539784812484868e-05,-1.4134144294075668e-05,
76.901,28.561,-2.197733920183964e-05,2.193650288973004e-05,6.157104053272633e-06,-3.980242126999656e-06,8.716098818695173e-05,0.0003620336938183,-9.507929462415632e-06,,8.330439982273674e-07,3.47873501596041e-05,-1.1731934137060309e-05,1.9557024643290788e-05
76.911,28.561,-1.7590948118595406e-05,,4.53251914223074e-06,9.861499847829691e-07,,0.0001045741300913,3.302519644421409e-06,,2.488360451025073e-06,3.1700499675935134e-05,-1.442583652533358e-05,2.443368975946214e-05
76.922,28.561,-1.8828110114554875e-05,2.244959614472464e-05,-5.474978934216779e-06,1.016364785755286e-05,,,3.069760623475304e-07,,2.62337766798737e-06,,-1.07772038973053e-05,1.5024073945824055e-05
76.932,28.561,-1.7676566130830906e-05,2.8429532903828655e-05,8.72723467182368e-06,2.2135649487609044e-05,7.682915747864172e-05,8.826373959891498e-05,,,9.721181413624436e-06,1.674239683779888e-05,-2.138649142580107e-05,1.581584001542069e-05
76.943,28.561,-9.660965588409454e-06,3.223532985430211e-05,3.594755526137305e-06,2.151305125153158e-05,2.0116014638915655e-05,0.0002707843959797,,,5.352559128368739e-06,0.0001023688309942,-1.7767195458873175e-05,1.7080792531487532e-05
76.953,28.561,0.0001274018868571,2.469425635354128e-05,-5.033290563005721e-06,9.756768122315408e-06,2.9154012736398727e-05,6.589433178305626e-05,,,3.592626640624985e-08,,,2.6340152544435117e-05
76.963,28.561,3.244394747525803e-06,2.881703039747663e-05,1.8541200915933587e-05,1.1244576853641776e-05,,0.0002870618773158,,,8.469456247439666e-07,2.1407764506875537e-05,,2.69558368017897e-05
76.974,28.561,-8.374007848033216e-06,2.881703039747663e-05,2.163815952371806e-05,1.0405103239463642e-05,3.2584008295089006e-05,1.9308716218802147e-05,,,1.271474229724845e-05,2.0856015908066183e-05,,1.410401819157414e-05
76.984,28.561,-9.63738898462907e-07,2.178398972318973e-05,-4.34196908827289e-06,6.175830640131608e-05,3.3422940759919584e-05,2.3103621060727164e-05,,,5.622998742182972e-06,2.8991957151447423e-05,-1.6611105820629746e-05,1.2628377589862794e-05
76.994,28.561,-1.1304544386803173e-05,2.320010753464885e-05,-1.0900654160650449e-05,1.3015517652092967e-05,,0.0002189058141084,-1.6759442587499507e-05,,-1.1383020819266676e-06,1.8483358871890232e-05,-3.1874449632596225e-05,2.0681816749856807e-05
77.005,28.561,-1.4764787010790316e-05,2.2594658730668016e-05,1.2294262887735383e-06,2.821728003254975e-06,,8.543580770492554e-05,,,1.0607875083223917e-05,1.2923193935421295e-05,,4.115475894650445e-05
77.015,28.561,-1.754088771122042e-05,2.8238640879862945e-05,2.873511675716145e-06,1.9685403458424844e-05,,3.0143581170705147e-05,,,1.5789991039127926e-06,2.4014767404878512e-05,-1.6077412510639988e-05,3.187296897522174e-05
77.026,28.561,4.644547971111024e-06,2.8501313863671385e-05,1.6520096323802136e-05,1.30896096379729e-05,,7.469185220543295e-05,,,-5.283536211209139e-06,6.930295785423368e-05,-1.029975373967318e-05,1.7986472812481225e-05
77.036,28.561,-4.941602128383238e-06,2.0686951756943017e-05,1.0478986041562166e-05,-2.468261754984269e-06,,0.0001622998679522,,,3.557832314982079e-06,1.539914774184581e-05,-1.1457163964223582e-05,3.344996366649866e-05
77.046,28.561,-6.6031657297571655e-06,2.355655124119949e-05,7.686117896810174e-06,1.966755917237606e-05,,8.53793098940514e-05,,,6.699281129840529e-07,1.7585016394150443e-05,-1.2099875675630756e-05,
77.057,28.561,4.3565181840676814e-05,2.289164149260614e-05,1.4375380033015972e-06,4.305586116970517e-06,3.532516348059289e-05,0.0001025692981784,,,6.53557265195559e-07,,,
77.067,28.561,-1.357959263259545e-05,2.1442989236675203e-05,1.273266207135748e-05,2.93482680717716e-05,,1.075691125151934e-05,,,2.372014023421798e-06,,-2.7681451683747586e-05,1.5450634236913174e-05
77.078,28.561,-1.875298949016724e-05,,8.818746209726669e-06,2.495107946742792e-05,2.7623607820714824e-05,8.909629832487553e-05,,,-2.6215720936306752e-06,2.4768616640358232e-05,-2.175760891987011e-05,2.0322133423178457e-05
77.088,28.561,-2.1845322407898493e-05,,3.338335091029876e-06,7.655778063053731e-06,1.778632758941967e-05,3.357907189638354e-05,,,1.412006440659752e-07,,,2.0322133423178457e-05
77.098,28.561,2.301266613358166e-05,1.7797188775148243e-05,3.957237368013011e-06,1.8006438040174544e-05,,2.774959102680441e-05,,,7.427356649714056e-06,9.598745236871764e-05,-2.3172897272161208e-05,1.6467864043079317e-05
77.109,28.561,-6.505377314169891e-06,2.4509974537068047e-05,6.018054136802675e-06,2.0778684302058537e-06,3.663914321805351e-05,3.317893424537033e-05,,,-7.049693977023708e-06,4.685046951635741e-05,,1.4935416402295232e-05
77.119,28.561,-1.2633432561415248e-05,2.567899900896009e-05,1.354861888103187e-05,1.112666359404102e-05,7.13292247382924e-05,7.199039828265086e-05,,,3.57962971975212e-06,1.8741398889687844e-05,,1.7224852854269557e-05
77.129,28.561,5.202164902584627e-05,2.6411329599795863e-05,,-2.882380385926808e-06,,1.2518829862528946e-05,,,9.623146979720332e-06,3.8721693272236735e-05,-3.399138904569554e-06,1.7224852854269557e-05
77.14,28.561,8.060895197559148e-05,3.161599670420401e-05,9.004331218420702e-07,6.861341717012692e-06,0.0001839645992731,6.129036046331748e-05,,,-1.144694351751241e-06,6.857522384962067e-05,-1.3972883607493712e-05,1.802836231945548e-05
77.15,28.561,,3.161599670420401e-05,1.0509291314519942e-05,2.632723953865934e-05,,2.3581860659760423e-05,,,5.615698228211841e-06,4.1045666876016185e-05,,1.92495444935048e-05
77.161,28.561,4.393447306938469e-05,2.559483800723683e-05,-1.231157330039423e-05,-2.915812274295604e-06,,7.732360973022878e-05,,,2.3516461169492686e-06,4.951121809426695e-05,,2.180063165724277e-05
77.171,28.561,0.0001185181899927,3.189242852386087e-05,1.220299418491777e-05,1.1615017683652695e-05,5.9633191995089874e-05,7.065862882882357e-05,,,-6.090427859817282e-07,4.951121809426695e-05,-1.5282379536074586e-05,2.122225851053372e-05
77.181,28.561,5.836237687617541e-05,2.6366455131210387e-05,1.6759175196057186e-05,1.1978951988567133e-05,2.692281304916833e-05,3.68858345609624e-05,,,-2.2914634882909013e-06,2.520592170185409e-05,,1.4728917449247092e-05
77.192,28.561,,,1.3028598914388567e-05,8.083761713351123e-06,,0.0001344197371508,,,-3.737782208190765e-06,3.236904012737796e-05,-1.0651709089870565e-05,
77.202,28.561,0.0001269388012588,2.6776686354423877e-05,1.3151345228834543e-05,1.7685420971247368e-05,2.986127401527483e-05,7.216913945740089e-05,,,1.3254497389425524e-05,3.460863808868453e-05,-1.0291535545547958e-05,1.238248387380736e-05
77.213,28.561,,,1.6536212569917552e-05,1.3179996130929794e-05,3.435237886151299e-05,3.385009040357545e-05,,,1.6025741160774487e-06,,-8.470627108181361e-06,1.2500741831900086e-05
77.223,28.561,6.090621172916144e-05,2.5368753995280716e-05,1.8231332433060743e-05,3.721894972841256e-05,,6.911106902407482e-05,,,-2.382297452641069e-06,2.816902633639984e-05,,2.242088521597907e-05
77.233,28.561,-1.6866251826286316e-06,2.6795503799803555e-05,1.6296877220156603e-05,-2.3248653633345384e-06,,5.274406794342213e-05,-1.7690159438643605e-05,,3.73807040432439e-07,,-2.7298476197756827e-05,1.4978149010858031e-05
77.244,28.561,,2.7888620024896227e-05,4.5342026169237215e-06,7.348294457187876e-05,2.106179817928933e-05,0.000187621160876,,,-1.0085428812089958e-06,,-2.4314244001288895e-05,
77.254,28.561,3.9840102772359387e-07,,3.642990122898482e-07,5.203123691899236e-06,,4.647510286304168e-05,,,2.4769396986812357e-06,2.116098221449647e-05,-1.4177594493958168e-05,2.863076224457473e-05
77.264,28.561,-6.72079659125302e-06,2.9935377824585885e-05,1.185485871246783e-05,-2.336052830287372e-06,6.432858208427206e-05,2.807542659866158e-05,,,1.8853293113352263e-06,,-1.9171315216226503e-05,1.986328061320819e-05
77.275,28.561,1.7873013348435052e-05,,7.860203368181828e-06,3.214707976439968e-05,1.601110488991253e-05,1.948407043528277e-05,,,-8.122157737489033e-07,2.0544468497973867e-05,-2.0352292267489247e-05,1.3634257811645512e-05
