longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.463,,-2.9098759114276614e-05,,0.0002940431295428,0.0001941439259098,,,,7.2268180701939855e-06,-6.094433956604917e-06
77.181,28.463,,,,5.3569525334751233e-05,8.728668763069436e-05,,,,1.4266935068008024e-05,
77.192,28.463,,-2.516056883905549e-05,,,0.0001059176429407,,,,1.102546048059594e-05,-7.414086212520488e-06
77.202,28.463,,6.286576535785571e-06,,5.223716289037839e-05,1.0184550774283709e-05,,,,-1.4457324368777336e-06,4.279142740415409e-05
77.213,28.463,,-3.6027649912284687e-06,,4.777599315275438e-05,0.0002669564564712,,,,7.824964995961636e-06,8.667770089232363e-06
77.223,28.463,,-1.0523360288061667e-05,,,8.454942872049287e-05,,,,-3.6593075947166653e-07,1.3547307389671914e-05
77.119,28.473,,-3.329197716084309e-05,,5.881542892893776e-05,-1.5551609976682812e-05,,,,5.563004378927872e-06,-5.153503479959909e-06
77.129,28.473,,-8.006887583178468e-06,,,0.0002300899941474,,,,1.4426075722440146e-05,-1.2297999774091295e-06
77.14,28.473,,,,0.0002557068073656,7.868559623602778e-05,,,,2.9287726647453383e-05,-1.870300002337899e-05
77.15,28.473,,-8.006712050701026e-06,,,0.0001069627105607,,,,-8.329214438163035e-07,9.89657492027618e-05
77.161,28.473,,-3.053975888178684e-05,,,-1.00929783002357e-05,,,,8.008200893527828e-06,4.149810047238134e-05
77.171,28.473,,-1.28064402815653e-05,,,0.0001375890569761,,,,6.544064490299206e-07,-5.991659236315172e-06
77.181,28.473,,-5.848887212778209e-06,,7.444917719112709e-05,1.12222242023563e-05,,,,8.61722401168663e-06,3.663225288619287e-05
77.192,28.473,,6.1476653172576334e-06,,5.719576438423246e-05,3.6501267459243536e-05,,,,,-1.4535851732944138e-05
77.202,28.473,,1.4814398127782624e-05,,,0.0001440359192201,,,,3.34292849402118e-06,1.7960515833692625e-05
77.213,28.473,,4.131425157538615e-06,,,9.253117605112492e-05,,,,1.1106408237537836e-05,-8.584542570133635e-07
77.223,28.473,,-1.553830770717468e-05,,,0.0002260631590615,,,,9.624119229556529e-06,4.608230028679827e-06
77.233,28.473,,2.659292658790946e-05,,,0.0002058571117231,,,,4.1431507270317525e-05,9.012268856167792e-05
77.119,28.482,,,,,0.0001845236402004,,,,2.14128758670995e-05,2.071658400382148e-06
77.129,28.482,,-2.4688632038305517e-05,,0.000227108146646,6.78422802593559e-05,,,,2.3969476387719624e-05,-1.0280689366481963e-06
77.14,28.482,,-4.75209963042289e-05,,,0.0001333777036052,,,,6.709780427627265e-05,-1.3965433936391491e-05
77.15,28.482,,-1.28064402815653e-05,,,0.0001639859110582,,,,0.0001103604372474,-4.466007521841675e-05
77.161,28.482,,6.286576535785571e-06,,,3.8887832488399e-05,,,,-3.280329565313877e-06,0.0002092868671752
77.171,28.482,,-1.2950701602676418e-05,,,0.0001523412356618,,,,7.461037603206933e-05,8.281144982902333e-05
77.181,28.482,,-2.567642331996467e-05,,0.0002622068568598,5.9249687183182687e-05,,,,0.0001460321655031,-3.691530582727864e-05
77.192,28.482,,-2.011605647567194e-05,,,4.817372882826021e-06,,,,4.604402874974767e-06,5.508882532012649e-05
77.202,28.482,,-9.646989383327307e-06,,0.0002442575932946,4.151930988882668e-05,,,,1.7836535334936343e-05,
77.213,28.482,,,,6.704270344926044e-05,2.362067061767448e-05,,,,5.491592219186714e-06,2.267100899189245e-05
77.223,28.482,,-2.0801589926122688e-05,,0.0002940431295428,8.281000191345811e-05,,,,2.2710721168550663e-05,-3.709873271873221e-05
77.233,28.482,,1.1710812032106332e-05,,,0.0001429836993338,,,,7.680901035200804e-05,-3.725619535543956e-05
77.244,28.482,,-5.1244234782643616e-05,,,-1.5932795577100478e-05,,,,5.765613423136529e-06,-3.91354005842004e-05
77.129,28.492,,-4.9675105401547626e-05,,,0.0001941439259098,,,,1.4832538909104189e-05,-3.3543442441441584e-06
77.14,28.492,,6.286576535785571e-06,,,7.290778739843517e-06,,,,-1.1227249387957272e-06,1.3187983313400764e-05
77.15,28.492,,-1.2950701602676418e-05,,5.963218427496031e-05,7.375336736004101e-06,,,,2.6484492991585284e-05,0.0001991420722333
77.161,28.492,,,,4.19876778323669e-05,0.0001066027325578,,,,9.13517942535691e-06,1.5627985703758895e-05
77.171,28.492,,-2.063273495878093e-05,,0.0002335838798899,5.4801323130959645e-05,,,,2.574866266513709e-05,4.8728386900620535e-05
77.181,28.492,,,,,-7.31978980184067e-06,,,,1.659788358665537e-05,-2.4890032364055514e-05
77.192,28.492,,-1.504709871369414e-05,,0.0002557068073656,0.0002847841824404,,,,0.000168468337506,0.0002249659446533
77.202,28.492,,,,6.556338485097513e-05,0.0001182842461275,,,,2.6952844564220868e-05,-3.49036454281304e-05
77.213,28.492,,,,0.0002622068568598,0.0001238834811374,,,,8.305281880893745e-06,9.642518853070214e-05
77.223,28.492,,-3.5449301094558905e-07,,,6.89872249495238e-05,,,,-1.88524131772283e-06,
77.233,28.492,,-4.258908666088246e-05,,7.444917719112709e-05,0.0002625294437166,,,,1.381914353260072e-05,
77.244,28.492,,-2.6084622732014395e-05,,6.704270344926044e-05,4.94099767820444e-05,,,,8.651406460558064e-06,0.0002706511586438
77.254,28.492,,-1.2290160157135688e-05,,5.719576438423246e-05,9.901857265504076e-05,,,,6.258261237235274e-06,-1.8140990505344234e-05
77.264,28.492,,-3.16463629133068e-05,,0.0002781133516691,0.0001621929113753,,,,2.486266748746857e-05,-3.381562692084117e-07
77.275,28.492,,3.275401468272321e-05,,,-3.305460631963797e-05,,,,1.487533882027492e-05,2.1047126210760325e-05
77.306,28.492,,-1.4250258573156316e-06,,0.0002281860943185,0.0002225645148428,,,,1.6125735783134587e-05,-7.720909343333915e-05
77.316,28.492,,,,0.0002281860943185,7.372471009148285e-05,,,,3.349536927998997e-05,
77.327,28.492,,-2.2125066152511863e-06,,0.0003138552128802,0.0001521330559626,,,,4.7047600673977286e-05,4.0740651456872e-05
76.891,28.502,,,,,3.721477696672082e-05,,,,4.356678346084664e-06,-1.196070297737606e-05
77.109,28.502,,,,0.0001330196391791,8.69973810040392e-05,,,,9.735182538861407e-05,0.000273983052466
77.119,28.502,,-1.3281701285450254e-05,,0.0001968033466255,0.0001120141459978,,,,1.099467681342503e-05,0.0002587165799923
77.129,28.502,,,,,0.0001205959342769,,,,5.823963419970824e-06,-3.886696867994033e-05
77.14,28.502,,-2.063273495878093e-05,,6.35006363154389e-05,0.0001192189738503,,,,-1.002050794340903e-06,1.7960515833692625e-05
77.15,28.502,,4.131425157538615e-06,,,-6.7436085373628885e-06,,,,1.2364196663838811e-05,-3.0102175514912236e-05
77.161,28.502,,,,,1.4028420991962776e-05,,,,3.428417767281644e-05,1.9153740140609443e-06
77.171,28.502,,,,,0.0001113457765313,,,,3.0057499316171743e-05,-1.573475128680002e-05
77.181,28.502,,1.4709071365359703e-05,,0.000227108146646,0.0001222108112415,,,,6.706629392283503e-06,4.479858034756035e-06
77.192,28.502,,,,4.19876778323669e-05,3.954675412387587e-05,,,,3.59415753337089e-05,6.336429942166433e-05
77.202,28.502,,,,5.881542892893776e-05,0.0001492400187999,,,,9.316271462012082e-05,0.0002119403652613
77.213,28.502,,-1.7869095245259814e-05,,,0.0001064603929989,,,,8.981711289379746e-05,-6.943481366761262e-06
77.223,28.502,,,,6.344194844132289e-05,6.476530688814819e-05,,,,8.813423846731894e-06,
77.233,28.502,,-3.2037078199209645e-05,,0.0002622068568598,-5.904082172492053e-06,,,,1.1745305528165773e-05,9.479460277361797e-05
77.244,28.502,,,,,7.345905032707378e-05,,,,3.685253250296228e-05,4.404803257784806e-05
77.254,28.502,,-8.500276749145996e-07,,,0.0001464386150473,,,,-7.497948786294728e-07,-7.587783784401836e-06
77.264,28.502,,-7.227368041640148e-05,,6.161624332889915e-05,6.287594442255795e-05,,,,9.891158697428182e-05,-7.804628694429994e-06
77.275,28.502,,,,,0.0001262700243387,,,,5.407048593042418e-05,-9.78994557954138e-06
77.285,28.502,,,,,0.0001518329809186,,,,4.401729893288575e-05,-5.623617653327528e-06
77.296,28.502,,1.314904602622846e-05,,,0.0002244767529191,,,,3.64046536560636e-05,3.518825542414561e-05
77.306,28.502,,-2.2125066152511863e-06,,,4.524720134213567e-05,,,,1.6903608411666937e-05,-2.17950528167421e-05
77.316,28.502,,-8.226652425946668e-06,,,4.875785816693679e-05,,,,-6.877727628307184e-06,
77.327,28.502,,-5.197706923354417e-05,,4.777599315275438e-05,0.0002334493328817,,,,1.745136978570372e-05,
76.891,28.512,,9.595668416295666e-06,,5.4273466957965866e-05,8.49422940518707e-05,,,,-1.2892332961200736e-05,
76.901,28.512,,-2.17682245420292e-05,,5.069544567959383e-05,0.0001287822378799,,,,0.0001328786165686,-1.6021776900743134e-05
76.922,28.512,,-2.542457696108613e-05,,,7.833089512132574e-06,,,,2.2085966975282645e-06,-5.978650369797833e-05
76.932,28.512,,-2.7690281058312397e-05,,0.0002117785916198,6.620150088565424e-05,,,,1.941663504112512e-05,
76.943,28.512,,1.3729706552112477e-05,,6.159152690088376e-05,-1.6932190192164853e-05,,,,-1.3121330994181337e-05,-2.739668900630932e-07
76.953,28.512,,1.9158542272634804e-05,,6.891450175317004e-05,-1.0698681762733031e-06,,,,0.0001559810771141,-4.907029142486863e-05
76.963,28.512,,-1.7744834622135386e-05,,,7.4155701440759e-05,,,,1.3322493032319471e-05,2.828695323842112e-05
77.098,28.512,,-5.848887212778209e-06,,0.0002093742950819,0.0001949298166437,,,,3.279743395978585e-06,0.0002768804260995
77.109,28.512,,-2.711425850066007e-06,,,4.452152643352747e-05,,,,0.00029321105103,
77.119,28.512,,,,6.496032438008115e-05,0.0001145295100286,,,,6.544064490299206e-07,-3.068961814278737e-05
77.129,28.512,,,,0.000204739277251,8.571004582336172e-05,,,,4.494022050494095e-06,1.3547307389671914e-05
77.14,28.512,,-3.717358595167752e-06,,,6.63123864796944e-05,,,,1.535301998956129e-05,8.597054147685412e-06
77.15,28.512,,-2.483100979588926e-05,,0.0001997516374103,6.402514554793015e-05,,,,8.38376217870973e-06,-3.49036454281304e-05
77.161,28.512,,-2.1326541173039004e-06,,0.0001762785977916,6.50895235594362e-05,,,,6.60545083519537e-06,6.602083431062056e-06
77.171,28.512,,-5.1244234782643616e-05,,5.414067345554941e-05,2.690071778488345e-05,,,,9.243288332072552e-06,-1.7535339793539606e-05
77.181,28.512,,8.589343451603781e-06,,,0.0001489236747147,,,,-2.2049057406547945e-06,-7.439700766553869e-06
77.192,28.512,,-2.565088107076008e-05,,0.0001433204015484,6.89872249495238e-05,,,,6.119380122981966e-05,
77.202,28.512,,-2.6084622732014395e-05,,,0.0002559118147473,,,,2.090509406116325e-05,-1.0809309060277885e-05
77.213,28.512,,-3.16463629133068e-05,,,0.0002260955807287,,,,0.0001343918702332,-2.373967981839087e-05
77.223,28.512,,-1.8800405086949468e-05,,4.19876778323669e-05,-2.201883035013452e-05,,,,2.2745739443053026e-06,5.069960025139153e-05
77.233,28.512,,-1.3004010725126136e-05,,5.881542892893776e-05,4.347326466813684e-05,,,,4.726938277599402e-05,-7.587783784401836e-06
77.244,28.512,,,,,1.211802191392053e-05,,,,1.4721331353939604e-05,-1.4835846741334535e-05
77.254,28.512,,3.3763535611797124e-06,,6.344194844132289e-05,-5.009629148844397e-06,,,,6.462929013650864e-05,0.0002338838239666
77.264,28.512,,-2.0008617866551504e-05,,5.744892041548155e-05,6.794818182243034e-05,,,,1.032091495289933e-05,3.030658035640954e-06
77.275,28.512,,-2.4827426386764276e-05,,,0.0001011860367725,,,,9.4928309408715e-06,4.289389835321344e-06
77.285,28.512,,-1.0074108104163317e-05,,,0.0001077798806363,,,,1.823456841520965e-06,3.899882358382456e-06
77.296,28.512,,-6.009551725583151e-06,,6.704270344926044e-05,7.7787772170268e-05,,,,0.0001637411914998,
77.306,28.512,,-1.0081786967930384e-05,,,1.4649256627308205e-05,,,,2.7058022169512697e-06,-1.2194700502732305e-05
77.316,28.512,,,,0.0002781133516691,5.487156886374578e-05,,,,-1.9964957118645543e-06,2.5973185984184965e-06
77.327,28.512,,-3.0492146834149025e-06,,,1.1983892363787165e-05,,,,2.6606996470945887e-05,0.0002297976025147
77.337,28.512,,-3.1483280054089846e-06,,,7.057101174723357e-05,,,,1.3222181223682128e-05,-6.39606369077228e-05
76.891,28.522,,-5.693008915841347e-06,,,0.0003061918832827,,,,1.124967366195051e-05,8.870001329341903e-05
76.901,28.522,,-1.379005243506981e-05,,,1.7967875464819372e-05,,,,1.4773335124118605e-06,5.554794825002318e-06
76.911,28.522,,1.0573134204605594e-05,,,7.071432628436014e-05,,,,-1.011474978440674e-05,6.754253263352439e-06
76.922,28.522,,-3.80612509616185e-05,,5.4273466957965866e-05,0.0001854091096902,,,,6.527448476845166e-06,0.0001820072066038
76.932,28.522,,-9.985069482354447e-06,,5.069544567959383e-05,0.0001238771656062,,,,-1.5671884057155697e-07,0.000323398882756
76.943,28.522,,-6.711416517646285e-06,,5.212154792388901e-05,0.0001580302923684,,,,9.127932571573185e-06,
76.953,28.522,,-1.9306795365992e-05,,0.0001656086096772,4.715607065008953e-05,,,,1.983200854738243e-05,
76.963,28.522,,,,0.0002176277484977,4.724346217699349e-05,,,,1.3452457096718716e-05,-9.643764315114822e-06
76.974,28.522,,1.6836063423397718e-06,,,2.3766970116412267e-05,,,,6.707244028802961e-05,-1.2680134204856586e-05
76.984,28.522,,,,0.0002648367371875,-6.970676167838974e-06,,,,7.424443538184278e-06,-1.3695566849492025e-05
76.994,28.522,,-3.329197716084309e-05,,,2.523040893720463e-05,,,,3.950453901779838e-06,0.0002326490503037
77.005,28.522,,4.080309008713812e-05,,6.887209019623697e-05,5.250455069472082e-05,,,,-1.412279834767105e-05,0.0002582718443591
77.015,28.522,,,,0.0002428794687148,0.0001354117994196,,,,-3.3848144198600494e-07,-4.479546259972267e-05
77.057,28.522,,-1.3281701285450254e-05,,0.0001869846892077,5.224089909461327e-05,,,,9.697335917735472e-05,-1.8628814359544776e-05
77.067,28.522,,-2.7934804165852256e-05,,,-1.022622745949775e-05,,,,-1.0196064295087126e-06,
77.078,28.522,,1.6455578588647768e-06,,5.5287386203417554e-05,3.90657878597267e-05,,,,1.2272138519620056e-05,-3.214626485714689e-05
77.088,28.522,,-2.114341623382643e-05,,5.014645284973085e-05,0.0002993635716848,,,,2.973144148654683e-07,
77.098,28.522,,-1.858554060163442e-05,,0.0002065452281385,9.524581400910392e-05,,,,2.000718450290151e-05,-6.954443961149082e-06
77.109,28.522,,-2.2289963453658856e-05,,,3.5780150938080624e-05,,,,4.586782324622618e-06,-4.102686489204643e-06
77.119,28.522,,-1.203055307996692e-05,,,0.0001812522968975,,,,-1.1998672562185677e-05,-1.6414831407018937e-05
77.129,28.522,,5.169684663997032e-05,,0.0002244527713628,0.0001427195529686,,,,1.410001550539164e-05,2.018251507251989e-05
77.14,28.522,,-5.5518852605018765e-05,,0.0002135243994416,0.0002260631590615,,,,9.125332326220814e-06,0.0002249659446533
77.15,28.522,,,,6.496032438008115e-05,6.476861744886264e-05,,,,-4.9693244363879785e-06,
77.161,28.522,,-3.68267428711988e-05,,0.0001330196391791,-1.5932795577100478e-05,,,,-8.146884624693485e-07,-2.8133827072451822e-06
77.171,28.522,,-3.75999707102892e-06,,0.0001968033466255,5.82450556976255e-05,,,,-2.694597924346453e-06,-6.943481366761262e-06
77.181,28.522,,-3.2037078199209645e-05,,4.8799000069266185e-05,0.0001064603929989,,,,6.235316504898947e-06,1.0122656931343954e-05
77.192,28.522,,,,,0.0002528377517592,,,,5.765613423136529e-06,
77.202,28.522,,,,,0.0001844125945353,,,,3.0393641736736754e-06,6.77894422551617e-05
77.213,28.522,,-1.7060136087820865e-05,,,0.000111255540105,,,,2.487786150595639e-05,1.0814651432156095e-06
77.223,28.522,,2.831960955518298e-06,,0.0001433204015484,5.230253373156302e-05,,,,0.0001436544407624,-5.539347330341116e-05
77.233,28.522,,3.3763535611797124e-06,,0.000227108146646,0.0002238674642285,,,,1.7440619558328763e-05,
77.244,28.522,,-3.375325468368828e-05,,4.19876778323669e-05,7.809370436007157e-05,,,,8.319580047100317e-06,
77.254,28.522,,-3.35969562001992e-05,,0.0002335838798899,8.966088353190571e-05,,,,2.0779125406988896e-06,0.0002732036809902
77.264,28.522,,,,5.881542892893776e-05,5.95446654187981e-05,,,,0.000249308446655,3.899882358382456e-06
77.275,28.522,,-6.009551725583151e-06,,0.0002557068073656,0.0001618344394955,,,,1.647380122449249e-05,7.69335892982781e-05
77.285,28.522,,-1.957930180651601e-05,,0.0002622068568598,4.256254032952711e-05,,,,5.8860547142103314e-05,3.4473472624085844e-05
77.296,28.522,,-1.9321523723192517e-06,,,0.0001696450199233,,,,9.185018279822545e-05,2.6824851374840364e-05
77.306,28.522,,-4.099434590898454e-05,,0.0002442575932946,0.0002117221301887,,,,1.3380596101342236e-05,0.0004200783732812
77.316,28.522,,-2.0026378479087725e-05,,7.444917719112709e-05,7.132715109037235e-05,,,,1.4107173228694592e-05,-1.487753979745321e-05
77.327,28.522,,-2.8235363060957752e-05,,,2.601961386972107e-05,,,,7.950225153763313e-06,3.07572991005145e-05
77.337,28.522,,,,,4.727005216409452e-05,,,,4.771526073454879e-05,9.814746590564027e-06
76.88,28.531,,,,0.0001761314051691,0.0001665333984419,,,,9.569403118803166e-06,0.0002205873170169
76.891,28.531,,-3.619033304858021e-05,,,0.0001128598232753,,,,7.985654519870877e-06,4.142771285842173e-05
76.901,28.531,,-2.547707117628306e-05,,,9.645398677093908e-05,,,,5.370107373892097e-06,-1.0400732719517693e-07
76.911,28.531,,,,4.984977567801252e-05,0.000192116596736,,,,2.367679371673148e-06,0.0001261887955479
76.922,28.531,,-3.354418004164472e-05,,,8.932972559705377e-05,,,,6.026313712936826e-06,-2.117136864399072e-05
76.932,28.531,,7.75856005930109e-06,,,9.887216583592816e-05,,,,1.705699469312094e-05,-2.089530607918277e-05
76.943,28.531,,,,0.0002020614774664,1.8847651517717168e-05,,,,6.201079668244347e-05,0.0002221743488917
76.953,28.531,,-3.651063889265061e-05,,5.4273466957965866e-05,6.37669800198637e-05,,,,3.1949417461873963e-05,-1.2680134204856586e-05
76.963,28.531,,-1.6315583707182668e-05,,0.0002368950226809,5.639432129100896e-05,,,,2.1545699837588472e-06,-7.631509106431622e-06
76.974,28.531,,,,5.212154792388901e-05,3.442419256316498e-05,,,,-1.783834886737168e-05,-2.40400004258845e-05
76.984,28.531,,-3.703219772432931e-05,,0.000321538944263,7.28955928934738e-05,,,,7.316458504647017e-05,-1.8040689610643312e-05
76.994,28.531,,-2.516056883905549e-05,,,2.208729893027339e-05,,,,5.569851509790169e-06,7.865861698519439e-05
77.036,28.531,,1.823758975660894e-05,,,5.915901419939473e-05,,,,1.1461407666502056e-05,-1.5068913853610866e-05
77.046,28.531,,-2.011605647567194e-05,,0.0001534877665108,0.0001258733245776,,,,7.63956177252112e-06,-1.3965433936391491e-05
77.057,28.531,,,,,0.0001667722681304,,,,5.998466349410592e-06,3.222476834707777e-06
77.067,28.531,,1.4224839105736464e-05,,4.776496280101128e-05,2.690602013899479e-05,,,,5.664078707923181e-05,1.5259385008903337e-06
77.078,28.531,,,,0.0001869846892077,5.679235619027168e-05,,,,0.0002277957974001,4.279142740415409e-05
77.088,28.531,,-2.2289963453658856e-05,,0.0001638403482502,0.0001059176429407,,,,-5.7843467402562965e-06,-7.536402699770406e-05
77.098,28.531,,,,0.0001626691810088,0.0001523412356618,,,,1.5520114175160415e-05,2.233627492387313e-05
77.109,28.531,,-3.989371543866582e-05,,,5.62809182156343e-05,,,,9.13517942535691e-06,4.87293937112554e-06
77.119,28.531,,-2.1326541173039004e-06,,,0.0001205495500471,,,,3.428417767281644e-05,2.337461211254777e-07
77.129,28.531,,-1.6725085515645333e-05,,,9.359067917102948e-05,,,,1.659788358665537e-05,
77.14,28.531,,,,7.427228410961106e-05,7.498865306843072e-05,,,,6.488458893727511e-05,-1.1639259355433753e-05
77.15,28.531,,4.840286237595137e-06,,,2.3140137273003347e-06,,,,9.35752977966331e-05,7.170991011662409e-05
77.161,28.531,,,,,0.0002401560486759,,,,3.3858227652672213e-06,0.0001933625753736
77.171,28.531,,,,6.496032438008115e-05,0.0001401757908752,,,,2.8704462238238196e-05,6.829782250861172e-06
77.181,28.531,,-4.264555172994733e-05,,7.362292672041804e-05,3.839371493086219e-05,,,,3.942551848012954e-05,-3.381562692084117e-07
77.192,28.531,,,,0.0001968033466255,9.901857265504076e-05,,,,-7.812917601768277e-07,-1.1901327525265517e-05
77.202,28.531,,5.266676453175023e-06,,0.0001997516374103,0.0001349825615761,,,,-3.9100459616747685e-06,2.616768688312732e-05
77.213,28.531,,-2.148328712792136e-05,,4.8799000069266185e-05,1.4448612091655376e-05,,,,5.77182654524222e-05,-2.0906047211610712e-05
77.223,28.531,,-3.8021949876565486e-05,,0.0001673368969932,0.0002573780366219,,,,1.741345613481826e-06,-2.253126876894385e-05
