longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,,1.903355951071717e-05,8.836858796712477e-06,2.1903255401412025e-05,-3.671937884064391e-05,2.213534935435746e-05,,2.3472957764170133e-05,,,3.608733459259384e-05,3.266697149229003e-06,0.0001020864219754,
77.181,28.414,,0.0004218390095047,1.0162259059143253e-05,1.4274412933446e-05,6.52022754366044e-06,8.786035323282704e-06,,,,,3.904391996911727e-05,3.904093318851665e-06,1.0566296623437664e-05,
77.192,28.414,,0.0001503017410868,1.9401506506255828e-05,2.1831612684763968e-05,9.505020898359362e-06,1.5889835367488558e-06,,,,,2.716179187700618e-05,2.3651052742934557e-06,2.638119622133672e-05,
77.202,28.414,,0.000235441737459,1.1532011740200687e-05,8.597608939453494e-06,8.849712685332634e-06,1.96347991732182e-05,,2.5572406229912303e-05,,,0.0002775380562525,1.2316293577896433e-05,1.0142412065761164e-05,
77.213,28.414,,0.0004833822604268,1.0073948942590503e-05,3.6397119401954114e-05,-3.5201192076783627e-06,2.7207985112909228e-05,,,,,3.053839463973418e-05,5.562679689319339e-06,6.265867705224082e-05,
77.223,28.414,,0.0001911747094709,1.0291123544448055e-05,2.277051135024521e-05,1.0669098628568465e-05,2.6050078304251656e-05,,2.205249256803654e-05,,,1.702271583781112e-05,1.7612148440093733e-05,3.689638958803698e-07,
77.171,28.424,,,2.2977442313276697e-06,5.246253567747772e-05,-1.946169732036651e-06,1.2926642739330418e-05,,,,,,2.870315074687824e-05,6.03622684138827e-05,
77.181,28.424,,0.0001039709386532,,9.507017239229754e-05,6.084852088861226e-07,1.2526073987828568e-05,,5.140441498951986e-05,,,,7.121808721421985e-06,4.379946039989591e-05,
77.192,28.424,,8.049576535995584e-06,1.0291123544448055e-05,2.146866245311685e-05,3.2100033422466367e-06,1.1983317563135644e-05,,1.4551716049027164e-05,,,,5.703978786186781e-06,-1.1024303603335284e-05,
77.202,28.424,,5.104090450913645e-05,6.257833774725441e-06,4.140108103456441e-06,5.943408041275688e-07,-1.332919691776624e-05,,2.6999494366464205e-05,,,1.646609598537907e-05,2.4527511413907632e-05,5.217624493525364e-05,
