longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.129,28.443,-5.182924383007048e-07,1.1091879059677012e-05,8.618202627985738e-06,2.479814838807215e-06,2.683804268599488e-05,1.7487862351117656e-05,-5.498988684848882e-06,9.14781958272215e-06,-7.221506166388281e-06,-2.5177778297802438e-06,1.7954143913812004e-05,-3.4333140774833737e-06,6.302147085079923e-05
77.14,28.443,3.386000116734067e-06,-1.1985313221885008e-06,4.613942655851133e-05,1.2343864000285976e-05,3.9726615796098486e-05,2.523748298699502e-05,2.253884531455697e-06,-1.8647946490091272e-05,-4.430734861671226e-06,-6.507254056487e-06,2.029841380135622e-05,7.804248525644653e-06,3.650415237643756e-05
77.15,28.443,0.0001308414503,2.1995876522851177e-05,2.530607616790803e-06,3.759640094358474e-05,8.837247150950134e-06,1.659941699472256e-05,-5.498988684848882e-06,8.759529919188935e-06,-4.430734861671226e-06,-2.159443511118297e-06,2.128570304194e-05,-3.673513447211008e-06,2.767772457445972e-05
77.161,28.443,3.687356365844608e-05,-3.626757825259119e-05,1.013277596939588e-05,8.954929398896638e-06,9.977385161619168e-06,3.009517240570858e-05,2.4390174075961117e-06,5.295264600135852e-06,-4.430734861671226e-06,-7.023906164249638e-06,2.126348772435449e-05,4.849990091315704e-06,2.276305349369068e-05
77.171,28.443,0.0002415322815068,-5.424924893304706e-06,4.94271125717205e-06,3.065824421355501e-05,1.2756719115714075e-05,2.371463415329345e-05,1.494352090958273e-07,2.4291023237310583e-06,,-6.422989827115089e-06,1.5182693005044712e-06,9.17076067707967e-06,2.229732672276441e-05
77.181,28.443,4.538427731404227e-07,2.203338226536289e-05,1.2110111129004508e-05,4.887890554527985e-06,1.082692324416712e-05,2.4136284991982396e-05,1.7174585082102567e-05,-1.1210319826204795e-05,-1.2813048670068383e-05,-8.522898497176357e-06,-3.677240556498873e-06,-1.5650748537154868e-06,6.322019180515781e-05
77.192,28.443,5.464178229885874e-06,-2.500010850781109e-06,-2.710413173190318e-05,1.0901474524871446e-05,1.157240603788523e-05,4.71269158879295e-05,-4.449231710168533e-06,4.371575869299704e-06,-1.797954973881133e-05,-1.1614603863563389e-05,1.8135582649847493e-05,6.105291049607331e-06,
77.202,28.443,5.142416193848476e-05,1.0294766980223358e-05,-1.372821589029627e-05,1.0091519470734056e-05,1.1113154869235586e-05,3.054866101592779e-05,-1.3273925105750097e-05,-3.611389729485381e-06,-9.31419253902277e-06,-1.0554739674262237e-05,1.906601210066583e-05,3.5673535876412643e-06,6.839736306574196e-05
77.213,28.443,3.979872417403385e-05,8.80961579241557e-06,2.8364972877170658e-06,4.245197851560079e-05,2.862355540855788e-05,1.6885707736946642e-05,,0.0001636660599615,,-1.1458872904768214e-05,1.3302607840159908e-05,6.098467110859929e-06,3.602583456085995e-05
77.223,28.443,7.083886885084212e-06,,-8.586191142967436e-06,2.6432795493747108e-05,5.1550170610426e-05,2.089182089548558e-05,-5.8226655710313935e-06,5.855405561305815e-06,-3.275110066169873e-05,-2.787315906971344e-06,-3.677240556498873e-06,2.4070299332379363e-05,6.0751372075174e-05
