longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.14,28.463,-2.4928973289206624e-05,1.0734906027209943e-05,8.488575076626148e-06,5.586243059951812e-05,,1.0740913239715155e-05,
77.15,28.463,,9.42863516684156e-06,2.6002440790762197e-05,9.189413685817271e-05,-9.957919246517122e-06,1.7049111193045974e-05,
77.161,28.463,2.067178502329625e-05,1.574236921442207e-05,,6.033049430698157e-05,2.168594619433861e-05,1.486487963120453e-05,
77.171,28.463,1.1666495993267745e-05,1.3697494978259783e-05,3.9301644392253365e-06,6.033049430698157e-05,1.4926428093531283e-06,9.691361810837408e-06,
77.181,28.463,0.0001492430455982,6.333383498713374e-05,1.1632029782049358e-05,4.054876626469195e-05,-3.047845666515059e-06,1.486487963120453e-05,
77.192,28.463,,1.9243596398155205e-05,,9.906406921800226e-05,-5.391651029640343e-06,1.2771163710567636e-05,
77.202,28.463,0.0002812170423567,1.248001353815198e-05,,5.965794116491452e-05,-1.6017957022995688e-05,7.139000445022248e-06,
77.213,28.463,0.0003504455089569,,6.693583600281272e-06,1.3449085599859243e-05,-3.6665296647697687e-06,,
77.223,28.463,9.419041452929378e-05,1.3484801456797868e-05,1.0936389571725158e-06,1.789472298696637e-05,1.7220882000401616e-05,1.083179722627392e-05,
77.119,28.473,-6.0496868172776885e-06,1.4771672795177436e-05,5.473997589433566e-06,4.339182851254009e-05,,,
77.129,28.473,2.7564261472434737e-05,1.134377635025885e-05,-1.0065250535262749e-05,1.5096542483661324e-05,,0.0001490229187766,
77.14,28.473,2.3619970306754112e-05,1.6957721527433023e-05,8.50177002575947e-06,2.6065508791361932e-05,9.507968570687808e-06,1.3781471352558585e-05,
77.15,28.473,2.7951393349212594e-05,1.0896781532210298e-05,1.0936389571725158e-06,,2.59202624874888e-06,1.3781471352558585e-05,
77.161,28.473,3.181356441928074e-05,4.473457011044957e-05,,1.1733573956007604e-05,-1.0343545000068843e-05,,
77.171,28.473,-1.88375106517924e-05,1.0734906027209943e-05,,1.24100006360095e-05,2.1381410988396965e-06,8.016976607905235e-06,
77.181,28.473,0.0001728688803268,9.42863516684156e-06,1.7509848476038314e-05,4.632687341654673e-05,-3.6665296647697687e-06,2.661893449840136e-05,
77.192,28.473,2.475981818861328e-05,1.6855314243002795e-05,,2.011905780818779e-05,1.7956266674445942e-05,2.640824459376745e-05,
77.202,28.473,1.2323342161835171e-05,1.3094892892695498e-05,,6.193631998030469e-05,3.367018507560715e-06,,
77.213,28.473,2.07605571631575e-05,1.6882522686501034e-05,-1.3289558182805197e-06,6.992087583057582e-05,-2.0564975784509443e-05,1.29892687255051e-05,
77.223,28.473,8.087062269623857e-06,7.420287147397175e-05,6.036614195181755e-06,6.33512536296621e-05,9.968689482775517e-06,7.429126071656356e-06,
77.233,28.473,1.733031422190834e-05,6.333383498713374e-05,,6.33512536296621e-05,2.517486564102001e-06,0.0001254659582627,
77.119,28.482,3.710904275067151e-05,2.4465662136208263e-05,,2.316793506906833e-05,1.3446724551613445e-06,7.583207479910925e-05,
77.129,28.482,0.0001327078352915,1.326653000432998e-05,,5.746119859395549e-05,-3.047845666515059e-06,,
77.14,28.482,8.931336924433708e-05,2.2757774786441587e-05,1.0357358632973046e-06,4.752584572997876e-05,4.937824633088894e-05,9.09211485122796e-06,
77.15,28.482,2.044641769316513e-05,9.7913907666225e-06,1.0731850125011988e-05,1.013517703540856e-05,,1.215132124343654e-05,
77.161,28.482,-1.9309029539726907e-06,1.4771672795177436e-05,,4.339182851254009e-05,,1.215132124343654e-05,
77.171,28.482,2.475981818861328e-05,1.5820553016965277e-05,1.2326713658694644e-05,2.209539343311917e-05,-1.003727720672032e-05,,
77.181,28.482,0.0001353051629848,9.841914106800688e-06,8.189546861103736e-06,,-2.0564975784509443e-05,,
77.192,28.482,8.28656538942596e-06,0.0001123920301324,-1.011545828077942e-05,2.2307389372144822e-05,-7.618082236149348e-06,,
77.202,28.482,5.046241130912677e-05,4.473457011044957e-05,3.783509555432829e-06,1.7539756299811415e-05,4.7999596972658765e-06,5.550275091081858e-06,
77.213,28.482,0.0001188397000078,2.2071177227189764e-05,1.8237054973724295e-05,,-3.159285142828594e-06,5.550275091081858e-06,
77.223,28.482,0.0002789958380162,1.085037729353644e-05,1.986698862310732e-06,1.111263918573968e-05,-8.505780897394288e-07,9.446684089198245e-06,
77.233,28.482,-7.181336059147725e-06,2.264362956339028e-05,2.2553866074304096e-05,,2.7243856948189205e-06,9.446684089198245e-06,
77.244,28.482,2.7288062483421527e-05,1.9243596398155205e-05,,,4.176074799033813e-05,1.4613374332839156e-05,
77.129,28.492,3.181356441928074e-05,1.504545707575744e-05,2.121490251738578e-05,,3.888206629198976e-05,1.6204116036533378e-05,
77.14,28.492,9.221001528203487e-05,8.686017281434033e-06,,1.8134312995243818e-05,1.0779343028843869e-05,1.6204116036533378e-05,
77.15,28.492,0.0001797002478269,1.644668009248562e-05,1.9342322048032656e-05,2.1566465875366703e-05,1.0808441402332392e-05,0.0001439358165953,
77.161,28.492,,1.7615586330066435e-05,-1.011545828077942e-05,1.052682455338072e-05,-6.342818892335345e-07,1.6204116036533378e-05,
77.171,28.492,8.28656538942596e-06,1.41858708957443e-05,2.2329812054522336e-05,0.0001447176618967,-1.3446412594930734e-05,7.05200864103972e-06,
77.181,28.492,0.00013872065756,1.1881491445819847e-05,-9.310916539106984e-06,7.195098987722304e-06,,0.0001224948937306,
77.192,28.492,0.0002577830164227,2.576104634499643e-05,2.2553866074304096e-05,2.5513012587907724e-05,2.107429099851288e-05,1.4672060387965756e-05,
77.202,28.492,-7.181336059147725e-06,2.301042331964709e-05,-5.683220479113516e-06,5.435600905911997e-05,7.688657206017524e-06,0.0001183988642878,
77.213,28.492,3.335791234349017e-07,9.800295629247556e-06,5.278912794892676e-06,5.131475700181909e-05,,,
77.223,28.492,7.891885616118088e-05,1.2321136637183372e-05,1.5803481801413e-05,6.970631511649117e-05,-1.0850195394596083e-05,,
77.233,28.492,0.0001227252359967,2.214730557170697e-05,6.331359145406168e-06,2.0434437828953375e-05,-1.697167863312643e-05,,
77.244,28.492,4.289144271751866e-06,1.5971078028087504e-05,3.908945927832974e-06,2.061543818854261e-05,-3.033243274330744e-06,5.767842594650574e-06,
77.254,28.492,,1.085037729353644e-05,7.521065981563879e-06,1.111263918573968e-05,3.648151323432103e-05,,
77.264,28.492,4.485171302803792e-05,2.608591239550151e-05,5.167394192540087e-06,5.5801006965339184e-05,5.709373454010347e-06,1.6204116036533378e-05,
77.275,28.492,1.6597583453403786e-05,1.9243596398155205e-05,7.090012786648003e-06,5.5801006965339184e-05,2.425509228487499e-05,1.6204116036533378e-05,
77.306,28.492,1.7432595996069722e-05,,4.962436833011452e-06,3.710777309606783e-05,-1.2544436685857365e-05,1.6204116036533378e-05,
77.316,28.492,0.0002440171083435,1.0732787814049516e-05,1.096381038223626e-05,3.262133395764977e-05,-9.1317378974054e-06,7.595097031298792e-06,
77.327,28.492,1.8952894606627524e-05,6.333383498713374e-05,1.486956193730293e-06,6.017216946929693e-05,,1.215132124343654e-05,
76.891,28.502,0.000106842664536,9.810230949369725e-06,,4.857511612499366e-06,-1.0751456102298109e-05,,
77.109,28.502,4.8245725338347256e-05,8.648712537251413e-06,,7.366514182649553e-05,2.084773768729065e-05,,
77.119,28.502,0.0001093148530344,1.403085479978472e-05,,,,,
77.129,28.502,0.000374697119696,1.4672532415715978e-05,8.41101154946955e-06,1.895541208796203e-05,-6.342818892335345e-07,,
77.14,28.502,2.8423432013369165e-05,1.2773306480085012e-05,-1.3039971236139536e-05,1.8501232261769477e-05,3.392621238162974e-06,1.0604088856780436e-05,
77.15,28.502,6.272665632423013e-05,9.990920261770952e-06,2.1384212232078426e-05,1.2753537703247275e-05,2.4087132715067128e-06,1.0604088856780436e-05,
77.161,28.502,1.69684317370411e-05,7.85412521508988e-06,,5.368174606701359e-05,-9.08529182197526e-06,,
77.171,28.502,2.0959947505616583e-05,1.0915278835454956e-05,,,-1.6676172890583985e-05,9.952565051207785e-06,
77.181,28.502,1.938967216119636e-05,2.230722748208791e-05,-5.683220479113516e-06,2.839823719114065e-05,-8.796660040388815e-06,9.952565051207785e-06,
77.192,28.502,1.5259443898685277e-05,1.326653000432998e-05,2.3100842838630345e-07,7.285210449481383e-05,-1.697167863312643e-05,9.952565051207785e-06,
77.202,28.502,2.7288062483421527e-05,1.7615586330066435e-05,,,,9.32761759031564e-06,
77.213,28.502,3.74228329746984e-05,2.69291613221867e-05,,7.195098987722304e-06,1.8237111362395808e-05,9.32761759031564e-06,
77.223,28.502,,9.101751857087947e-06,1.0359104635426776e-05,7.116334018064663e-05,1.0247159480059054e-05,0.0001439358165953,
77.233,28.502,0.0001292381202802,1.169929419120308e-05,1.096381038223626e-05,1.781258652044926e-05,8.014339073270094e-06,,
77.244,28.502,4.485171302803792e-05,1.2625629096874036e-05,,3.155283775413409e-05,1.028098608912842e-06,0.0001224948937306,
77.254,28.502,6.744662186974892e-06,1.2321136637183372e-05,-6.751566161256051e-06,4.339182851254009e-05,-1.4808834976065557e-06,,
77.264,28.502,2.3685515770921484e-05,1.729618634271901e-05,-9.875833484329632e-07,2.0434437828953375e-05,2.0808856788789853e-05,,
77.275,28.502,-1.191659703181358e-05,2.214730557170697e-05,,3.513549017952755e-05,2.0446013877517544e-06,0.0001183988642878,
77.285,28.502,1.7432595996069722e-05,1.1808771887444893e-05,1.3934868547949009e-05,2.6065508791361932e-05,1.907322075567208e-05,7.583207479910925e-05,
77.296,28.502,1.798279663489666e-05,4.473457011044957e-05,1.0436354386911262e-05,7.57079033064656e-06,-1.785102341500533e-07,,
77.306,28.502,0.000135536014568,1.2194313057989348e-05,,1.663364309933968e-05,2.1528032448259186e-05,,
77.316,28.502,0.0001488211855757,1.3094892892695498e-05,-2.815417701640399e-06,4.4303185859462246e-05,1.573732697579544e-05,5.119428533362225e-05,
77.327,28.502,3.116812513326295e-05,8.956451893027406e-06,3.841041234409204e-06,4.337297923484584e-06,1.428332325303927e-06,8.996296855912078e-06,
76.891,28.512,2.5740800992934965e-05,6.818782367190579e-06,3.9301644392253365e-06,7.068856211844832e-05,,1.513197275926359e-05,
76.901,28.512,8.77415277500404e-06,,1.7917739114636788e-06,1.98516918317182e-05,,2.668476736289449e-05,
76.922,28.512,0.0001315059198532,7.024475507932948e-06,1.0081481605084264e-06,1.412300844094716e-05,,1.0209800166194327e-05,
76.932,28.512,8.929513569455594e-05,2.250062425446231e-05,,,3.6413775887922384e-06,5.170905751583632e-06,
76.943,28.512,,9.753798622114118e-06,7.181201908679213e-06,5.684285497409292e-05,1.3467953067447525e-05,9.949978993972763e-05,
76.953,28.512,3.57219141733367e-05,1.94937783817295e-05,,9.450819197809324e-05,1.822741978685372e-06,1.173421878775116e-05,
76.963,28.512,-1.0820147508638913e-05,1.7090462279156782e-05,,3.9337097405223176e-05,2.000349741138052e-05,1.072581835614983e-05,
