longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.036,28.531,1.5618104953318834e-05,2.713126923481468e-05,1.2111720025131945e-05,2.0101961126783863e-05,,,
77.046,28.531,3.1447718356503174e-05,1.1873143193952274e-05,2.054183369182283e-06,7.068856211844832e-05,3.888206629198976e-05,,
77.057,28.531,7.634325447725132e-05,1.2326207979640458e-05,2.3100842838630345e-07,5.707396485377103e-05,7.078142971295165e-06,,
77.067,28.531,5.56527120352257e-05,1.2929971489938907e-05,,,,1.1554792763490696e-05,
77.078,28.531,-6.5763583734224085e-06,,6.673536972812144e-06,4.438343603396788e-05,1.907823616420501e-06,1.36136295623146e-05,
77.088,28.531,1.7477515939390287e-05,,2.351184093640768e-06,1.5116226677491795e-05,-1.47559048855328e-05,,
77.098,28.531,1.69684317370411e-05,1.4392116099770648e-05,-1.2547651522254457e-06,2.7807915103039704e-05,,4.021322183689335e-06,
77.109,28.531,0.0003560445620678,2.6591918867779896e-05,8.348189112439286e-06,1.812695336411707e-05,1.0460518751642668e-05,1.5643698134226725e-05,
77.119,28.531,0.0001180679464596,1.2845689525420312e-05,-9.626431165088434e-06,,1.86047145689372e-05,1.5643698134226725e-05,
77.129,28.531,1.76912344613811e-05,2.056239645753521e-05,5.167394192540087e-06,,,0.0001104770126403,
77.14,28.531,0.0001279916905332,2.1943396859569475e-05,5.285233419272117e-05,7.901611388660967e-05,2.7045427941629896e-06,1.3352202586247586e-05,
77.15,28.531,2.6154142688028514e-05,9.62844569585286e-06,3.1024044346850133e-06,,-2.7360500098438933e-05,1.3352202586247586e-05,
77.161,28.531,0.0001738202263368,1.592760963831097e-05,-2.3590032469655853e-06,7.824478416296188e-06,8.014339073270094e-06,1.072581835614983e-05,
77.171,28.531,,1.7368718545185402e-05,,,3.4917984521598555e-06,,
77.181,28.531,0.0001068709680112,3.302120967418887e-05,1.0760777513496578e-05,2.437695366097614e-05,4.310452823119704e-06,1.663511102378834e-05,
77.192,28.531,3.102952348399413e-07,1.4498370546789374e-05,3.103583594565862e-06,4.925917164655402e-05,2.255223444080912e-05,6.277015927480534e-05,
77.202,28.531,1.2429003618308345e-05,9.288713954447305e-06,,4.213144711684436e-05,1.3841885447618552e-05,,
77.213,28.531,2.334221062483266e-05,1.505947147961706e-05,6.090238912292989e-06,1.6428546587121673e-05,9.574002888257382e-07,1.2478688404371496e-05,
77.223,28.531,2.447045517328661e-07,1.969227560039144e-05,3.647629910119576e-06,,-2.4305969418492168e-05,1.1960189112869555e-05,
77.233,28.531,,2.487429628672544e-05,7.014835773588857e-06,,2.769350430753548e-05,,
77.244,28.531,4.929579972667852e-06,1.3265466805023609e-05,1.8252467270940544e-06,1.5289411749108694e-05,1.2012999832222704e-05,1.3347852473089006e-05,
77.254,28.531,7.205022120615467e-05,1.2773306480085012e-05,4.796824578079395e-05,1.8134312995243818e-05,2.9481500405381662e-06,,
77.264,28.531,3.116812513326295e-05,9.990920261770952e-06,,1.6527930711163208e-05,,1.6376336134271696e-05,
77.275,28.531,-1.0667972674127668e-05,2.2757774786441587e-05,9.661249350756408e-06,6.789933104300871e-05,,5.915920610277681e-06,
77.285,28.531,2.6484583941055465e-05,8.523434189555701e-06,2.36828304878145e-06,6.071651660022326e-05,-8.315617378684692e-06,1.3347852473089006e-05,
77.296,28.531,1.0027441021520644e-05,1.134377635025885e-05,-2.865834858312155e-06,1.2396808415360285e-05,-5.102237992105074e-06,,
77.306,28.531,6.435193063225597e-05,2.301042331964709e-05,1.0530207873671316e-05,2.13204839383252e-05,1.4007100617163816e-05,,
77.316,28.531,1.594471905264072e-05,1.7008225768222474e-05,,7.195098987722304e-06,-3.427595584071241e-05,,
77.327,28.531,-1.847026578616351e-05,2.4465662136208263e-05,,3.155283775413409e-05,-4.335527592047583e-06,2.40091685554944e-05,
76.87,28.541,3.477009158814326e-05,1.3531977856473532e-05,-2.872706772905076e-06,4.73778709420003e-05,,9.03053442016244e-05,
76.88,28.541,1.0971912161039654e-05,1.2106359463359697e-05,-8.339098371834552e-07,1.5110597814782524e-05,9.503957016931964e-07,0.0001448805996915,
76.891,28.541,,2.184515869885217e-05,2.661846338014584e-06,1.6648185919621028e-05,5.390618753153831e-06,1.4302095223683864e-05,
76.901,28.541,5.957410030532628e-05,1.0183832273469308e-05,1.096381038223626e-05,5.679735841113143e-05,-7.902752258814871e-06,1.2897493434138596e-05,
76.911,28.541,0.0002105562307406,,1.5234157217491884e-05,5.422283720690757e-05,,,
76.922,28.541,,2.9815624657203443e-05,5.473997589433566e-06,2.22402759391116e-05,2.1337559701350983e-06,1.5747200450277887e-05,
76.932,28.541,4.10474194723065e-06,9.88206284091575e-06,1.9342322048032656e-05,2.010943717323244e-05,2.9883311071898788e-05,1.5747200450277887e-05,
76.943,28.541,5.861452154931612e-05,,1.8254929727845592e-06,1.6736290490371175e-05,-6.420872523449361e-06,1.6376336134271696e-05,
76.953,28.541,3.261823076172732e-05,,2.2329812054522336e-05,2.08541259780759e-05,3.367018507560715e-06,0.0001093134997063,
76.963,28.541,,2.364738793403376e-05,,5.664683703798801e-05,-4.866995368502103e-06,,
76.974,28.541,-3.23229164678196e-06,1.542796780995559e-05,,,2.168594619433861e-05,0.0001016669339151,
76.984,28.541,1.5186710697889794e-05,8.371071999135893e-06,5.043828878115164e-06,4.303167588659562e-05,5.367679477785714e-06,4.0875842387322336e-05,
76.994,28.541,4.513676685746759e-05,1.4150328752293715e-05,3.783509555432829e-06,4.849112156080082e-05,2.1914735043537803e-05,,
77.005,28.541,6.999089237069711e-06,1.1551754141692072e-05,-1.2547651522254457e-06,1.300474104937166e-05,2.161866723326966e-05,1.0852323612198234e-05,
77.015,28.541,,1.270518623641692e-05,,3.841041325358674e-05,-1.697167863312643e-05,1.0852323612198234e-05,
77.026,28.541,1.0078447303385474e-06,1.897826587082818e-05,,5.720110857510008e-05,3.888206629198976e-05,1.422360037395265e-05,
77.036,28.541,-2.619324050101568e-06,,-1.090112505153229e-06,1.3523156667361036e-05,4.7999596972658765e-06,6.127604137873277e-05,
77.046,28.541,3.181356441928074e-05,1.494503430876648e-05,,1.7368136468576267e-05,-1.4439915503317025e-05,0.0001017302711261,
77.057,28.541,-7.181336059147725e-06,3.894529436365701e-05,4.579721462505404e-06,0.000120733588119,3.361726339790039e-05,1.422360037395265e-05,
77.067,28.541,0.0001353051629848,2.250062425446231e-05,9.84955477179028e-06,2.0101961126783863e-05,3.83147749971613e-07,1.422360037395265e-05,
77.078,28.541,,1.1698641174007207e-05,3.1024044346850133e-06,1.8596972950035703e-05,-2.8591214231710183e-06,,
77.088,28.541,7.360876770690084e-05,3.561457197065465e-05,1.8936347260023467e-05,0.0001007030514301,2.4690993996046018e-06,,
77.098,28.541,1.5259443898685277e-05,1.9072756913374175e-05,5.285233419272117e-05,1.4424715118366294e-05,-2.655257776496001e-05,,
77.109,28.541,,1.4576524336007424e-05,-1.965053542107853e-07,3.9337097405223176e-05,7.305221060960321e-06,0.0001538348005851,
77.119,28.541,1.963279646588489e-05,2.2997652195044797e-05,6.9048423938511405e-06,1.5116226677491795e-05,7.118072062439751e-06,,
77.129,28.541,3.109870522166602e-05,1.2981911822862456e-05,1.0275408612869796e-07,,1.8237111362395808e-05,1.3983083590574095e-05,
77.14,28.541,2.1641131752403453e-05,,4.8124802560778335e-06,1.3373829460761044e-05,2.476065446899156e-06,,
77.15,28.541,3.2393611036241055e-05,1.2845689525420312e-05,1.7570516774867428e-06,2.1685804313165136e-05,2.683510865608696e-05,9.279183359467424e-06,
77.161,28.541,,9.451194273424337e-06,3.647629910119576e-06,7.042152719805017e-05,-2.617117161207716e-06,9.279183359467424e-06,
77.171,28.541,1.717084705887828e-05,2.056239645753521e-05,3.932137769879773e-05,,7.720268513367046e-06,,
77.181,28.541,-1.1863391591759864e-05,1.3655768270837145e-05,9.395358574693091e-06,,-1.785102341500533e-07,,
77.192,28.541,7.000111054367153e-06,1.592760963831097e-05,,1.347436318610562e-05,,1.207211971632205e-05,
77.202,28.541,1.7432595996069722e-05,1.5703011740697548e-05,,7.824478416296188e-06,-1.1963741144427331e-06,,
77.213,28.541,8.426517160842195e-05,1.7368718545185402e-05,-2.225545330247769e-07,3.11058756778948e-05,,0.0001104770126403,
77.223,28.541,8.651085227029398e-05,3.302120967418887e-05,,6.372939969878644e-05,-1.4328744555314188e-06,4.021322183689335e-06,
77.233,28.541,0.0001441943168174,1.403085479978472e-05,3.759608034670237e-06,,,4.021322183689335e-06,
77.244,28.541,8.638054714538157e-05,1.505947147961706e-05,-3.007359509865637e-06,5.942744974163361e-05,,7.158580501709366e-06,
77.254,28.541,2.916004814323969e-05,1.722373599477578e-05,,0.0001427120732842,-1.3227806903159944e-06,7.158580501709366e-06,
77.264,28.541,2.6484583941055465e-05,1.822357990022283e-05,1.7843965451902475e-06,1.2556673027575016e-05,,1.1554792763490696e-05,
77.275,28.541,1.4985860616434366e-05,,,3.1087809475138783e-05,-3.427595584071241e-05,1.1554792763490696e-05,
77.285,28.541,0.0001279279385926,2.230722748208791e-05,,4.305325637687929e-05,-1.6828060324769467e-05,1.3352202586247586e-05,
77.296,28.541,5.002375837648288e-05,1.2773306480085012e-05,,2.437695366097614e-05,-8.72587747835496e-07,1.3352202586247586e-05,
77.306,28.541,0.000116632450954,1.504545707575744e-05,,1.2753537703247275e-05,9.313390364695806e-06,8.665524546813685e-06,
77.316,28.541,8.604840695625171e-05,1.41858708957443e-05,,1.84877553692786e-05,-7.669243132113479e-06,5.170905751583632e-06,
76.849,28.551,1.7237929569091648e-05,1.0329194083169568e-05,-7.776524398650508e-06,7.148303120629862e-05,-2.2388619527191622e-06,7.886656931077596e-06,
76.86,28.551,2.2550499124918133e-05,1.3931462490290867e-05,4.007701136288233e-06,2.3996284653549083e-05,-4.4276571316004265e-06,1.4269649909692816e-05,
76.87,28.551,1.986026518352446e-06,7.459110292984405e-06,-1.7531590856378898e-05,8.052271004999056e-05,9.063778634299524e-07,1.4269649909692816e-05,
76.88,28.551,1.2004024029010909e-05,,1.7509848476038314e-05,1.2538387636595871e-05,2.324143906662357e-06,1.4269649909692816e-05,
76.891,28.551,5.977060936857015e-05,3.228805508115329e-05,2.054183369182283e-06,1.6518160919076763e-05,2.1337559701350983e-06,8.613706995674875e-06,
76.901,28.551,2.6774065190693364e-05,4.069642454851419e-05,7.090012786648003e-06,1.6518160919076763e-05,1.313123357249424e-05,7.761179404042196e-06,
76.911,28.551,2.429517007840332e-05,1.2106359463359697e-05,1.8237054973724295e-05,4.413289207150228e-05,8.0389145296067e-06,1.4269649909692816e-05,
76.922,28.551,,2.5512767024338245e-05,,2.0635558030335236e-05,-3.6665296647697687e-06,0.0001567162398714,
76.932,28.551,1.4860897579183074e-07,9.18111800274346e-06,1.0359104635426776e-05,2.8867831133538857e-05,4.043368244310841e-05,8.528602847945876e-06,
76.943,28.551,3.452461169217713e-05,1.144956058851676e-05,,5.172612509340979e-05,-5.324694939190522e-06,,
76.953,28.551,3.395867315703072e-05,2.9815624657203443e-05,3.908945927832974e-06,6.580042099813e-05,-2.06983554562612e-06,,
76.963,28.551,1.2935394124724553e-06,,1.486956193730293e-06,1.47852479130961e-05,5.388006320572458e-05,9.03053442016244e-05,
76.974,28.551,2.2310779968393035e-05,9.474292710365262e-06,2.4629900963191176e-07,2.1598836610792205e-05,1.1692559382936452e-06,1.264747970708413e-05,
76.984,28.551,5.470282485475764e-05,1.3671646229340697e-05,,1.6736290490371175e-05,,1.264747970708413e-05,
76.994,28.551,0.0001158150262199,1.185973633255344e-05,,1.3159810805518646e-05,7.053973831716576e-07,,
77.005,28.551,8.931336924433708e-05,1.9286286260467023e-05,6.331359145406168e-06,1.6648185919621028e-05,9.619470802135766e-07,1.2897493434138596e-05,
77.015,28.551,-2.619324050101568e-06,,8.348189112439286e-06,5.590103683061898e-05,1.0779343028843869e-05,8.665524546813685e-06,
77.026,28.551,-6.5763583734224085e-06,1.849239197326824e-05,2.162257078452967e-05,6.187634426169097e-05,1.7956266674445942e-05,,
77.036,28.551,0.0001728688803268,1.3523103916668331e-05,-1.965053542107853e-07,6.81779783917591e-05,2.517486564102001e-06,0.0001016669339151,
77.046,28.551,1.3303843843459616e-05,,-1.965053542107853e-07,1.1802642802649643e-05,9.96817834675312e-06,,
77.057,28.551,2.0959947505616583e-05,1.750583032844588e-05,5.167394192540087e-06,,-2.7360500098438933e-05,5.472638076753356e-05,
77.067,28.551,7.711577200097963e-05,9.753798622114118e-06,,6.474831752711907e-05,-3.166411488564336e-07,,
77.078,28.551,2.53104717558017e-05,8.071117918007076e-06,6.090238912292989e-06,1.3523156667361036e-05,1.200053702632431e-05,,
77.088,28.551,-1.595018147781957e-06,1.2689091818174347e-05,,1.25892402138561e-05,,,
77.098,28.551,,,,,-4.995953077013837e-06,1.0607071999402253e-05,
77.109,28.551,2.170426705561113e-05,1.21683315228438e-05,7.507919235649751e-06,1.8596972950035703e-05,,1.2098058505216612e-05,
77.119,28.551,0.0001072650411515,2.713126923481468e-05,3.2668415315129096e-06,8.519322727806866e-05,7.07829440216301e-06,1.2098058505216612e-05,
77.129,28.551,3.2393611036241055e-05,1.0916992323473096e-05,-7.775644917273894e-06,1.4424715118366294e-05,1.0006958291342016e-05,1.2098058505216612e-05,
77.14,28.551,-1.6791540247140802e-06,1.4576524336007424e-05,7.954495231388137e-06,,1.0784410733322147e-05,1.2098058505216612e-05,
77.15,28.551,1.717084705887828e-05,1.8260107026435435e-05,2.5895158614730462e-05,,,,
77.161,28.551,0.000131487919134,2.2997652195044797e-05,2.09565178010962e-06,3.9337097405223176e-05,,1.5747200450277887e-05,
77.171,28.551,7.049980922602117e-05,1.4392116099770648e-05,9.661249350756408e-06,5.707396485377103e-05,,0.0001538348005851,
77.181,28.551,2.25451985897962e-05,1.2845689525420312e-05,-4.1440084714849945e-06,1.417952444171533e-05,-1.0160923011426348e-05,1.738281935104169e-05,
77.192,28.551,1.798279663489666e-05,,,2.1685804313165136e-05,,,
77.202,28.551,0.0001081171285477,,,1.426765174983302e-05,6.443378879339434e-06,,
77.213,28.551,5.546204647544073e-06,3.282448460595333e-06,,7.068856211844832e-05,-9.52221489569638e-06,9.949978993972763e-05,
77.223,28.551,0.0001108496071537,1.3655768270837145e-05,-5.535557193070417e-06,4.714851820608601e-05,-2.813001856338815e-06,1.738281935104169e-05,
77.233,28.551,-2.218893132521771e-05,1.731066731736064e-05,1.0530207873671316e-05,1.264186175831128e-05,-3.427595584071241e-05,,
77.244,28.551,0.0001011396379908,1.5703011740697548e-05,-6.866136573080439e-06,4.967251879861578e-05,-9.233131095243152e-06,2.219365160271991e-05,
77.254,28.551,8.323610018123873e-06,1.3838502127327956e-05,3.439664624238503e-06,,,1.0383943845226897e-05,
77.264,28.551,2.570479409769177e-05,1.4672532415715978e-05,7.668737453059293e-06,8.57355771586299e-05,-1.710482501948718e-05,,
77.275,28.551,0.0002036044897977,8.648712537251413e-06,,8.57355771586299e-05,1.940672973432811e-06,,
77.285,28.551,2.593344106571749e-05,0.0001086386328097,3.338904934935272e-05,,4.60785167888389e-06,2.668476736289449e-05,
77.296,28.551,2.4546328859287318e-05,1.532863279862795e-05,2.9024788545939373e-06,4.213144711684436e-05,1.467684342060238e-06,1.0852323612198234e-05,
77.306,28.551,0.0002645762870088,7.258581172209233e-05,,6.372939969878644e-05,-1.9009477910003625e-05,8.452638576272875e-05,
77.316,28.551,8.220693416660652e-05,1.5042288396216463e-05,,3.1283223506761715e-05,2.090713678626344e-05,1.0852323612198234e-05,
76.849,28.561,8.984316809801385e-05,6.0521142586367205e-05,8.825049917504657e-07,4.4480151700554416e-05,-1.0343545000068843e-05,2.622511783556547e-05,
76.86,28.561,7.527010438934667e-06,1.404059639753541e-05,5.780236278951634e-06,1.742096537782345e-05,-4.4525099838210735e-06,8.712141425348818e-05,
76.87,28.561,-2.2531437480211025e-06,2.4618686438770965e-05,1.0359104635426776e-05,1.881407843029592e-05,-9.957919246517122e-06,9.003414561448153e-06,
76.88,28.561,0.0001104703114833,1.3400376701611094e-05,2.4629900963191176e-07,,,9.003414561448153e-06,
76.891,28.561,2.046627560048364e-05,1.3931462490290867e-05,,3.164103691233322e-05,-8.34437469166005e-06,9.97572424239479e-05,
76.901,28.561,-2.749600389506668e-05,1.1720761904143728e-05,1.486956193730293e-06,,-1.0973571079375688e-05,,
76.911,28.561,0.0001596009533386,1.2674746358243285e-05,,5.0763090257532895e-05,-8.95873654371826e-06,,
76.922,28.561,1.8134322090190835e-05,1.0235176887363195e-05,6.673536972812144e-06,1.8434147932566702e-05,-2.06983554562612e-06,9.003414561448153e-06,
76.932,28.561,-9.82033361651702e-06,1.535895535198506e-05,3.1024044346850133e-06,0.0001090855439542,2.6928798888548044e-06,1.3049903827777598e-05,
76.943,28.561,1.5186710697889794e-05,7.751714292680845e-06,-1.011545828077942e-05,0.0001310741208726,1.1692559382936452e-06,1.3049903827777598e-05,
76.953,28.561,1.884795346995816e-05,9.14237716642674e-06,9.84955477179028e-06,8.052271004999056e-05,-5.719010914617684e-06,,
76.963,28.561,8.440425153821707e-05,1.3531977856473532e-05,6.331359145406168e-06,1.5110597814782524e-05,-1.421800334355794e-05,,
76.974,28.561,2.76671489700675e-05,1.144956058851676e-05,1.5803481801413e-05,2.680295801837929e-05,-2.4385977667407133e-05,,
76.984,28.561,0.0001496090117143,1.010808136925334e-05,,2.22402759391116e-05,-3.224528200007626e-06,9.003414561448153e-06,
76.994,28.561,1.4178998753777703e-05,2.9736265787505545e-05,8.759823685977608e-06,8.206007805711124e-06,1.0779343028843869e-05,1.1542843822098804e-05,
77.005,28.561,7.634325447725132e-05,9.88206284091575e-06,7.149472821765812e-06,1.5317571524064988e-05,1.7956266674445942e-05,,
77.015,28.561,0.0002812170423567,7.788624316162895e-06,3.388348204680369e-06,2.0813604351133108e-05,-8.796660040388815e-06,,
77.026,28.561,,,7.507919235649751e-06,1.6736290490371175e-05,,,
77.036,28.561,2.0371439859445672e-06,2.364738793403376e-05,1.7570516774867428e-06,5.422283720690757e-05,-3.166411488564336e-07,8.528602847945876e-06,
77.046,28.561,,1.4112617463979404e-05,,1.6218078599194996e-05,4.882698249275563e-06,8.613706995674875e-06,
77.057,28.561,7.023945363471285e-05,8.371071999135893e-06,,9.0545836428646e-06,-8.991022696136497e-06,1.2783230886270758e-05,
77.067,28.561,9.482333553023636e-06,1.849239197326824e-05,2.4325490812771022e-05,5.590103683061898e-05,4.176074799033813e-05,1.32712093545706e-05,
77.078,28.561,1.5062122656672727e-05,,2.6695977339841197e-06,4.252641519997269e-05,,1.32712093545706e-05,
77.088,28.561,2.6154142688028514e-05,0.0001077119013643,-9.959276212612167e-07,,,,
77.098,28.561,3.230984657420777e-05,9.753798622114118e-06,1.2397097179928096e-06,4.849112156080082e-05,5.662235707859509e-06,0.0001016669339151,
77.109,28.561,1.5945710401865654e-05,,5.122304719407112e-05,1.4479147466772702e-05,-3.4500440051488117e-06,,
77.119,28.561,3.433701567701064e-05,1.939633148140274e-05,6.977378234296339e-06,1.3523156667361036e-05,-2.4305969418492168e-05,1.9577229977585372e-05,
77.129,28.561,1.8132453988073397e-05,1.5680208889534697e-05,,1.6648185919621028e-05,-7.738141505342355e-08,0.0001093134997063,
77.14,28.561,9.680808580014856e-05,1.523337596154306e-05,,5.720110857510008e-05,5.9980261539749335e-06,,
77.15,28.561,0.0003678239881992,1.1991681276413146e-05,1.8252467270940544e-06,7.282779552042484e-05,-1.171585381598561e-06,,
77.161,28.561,2.185591438319534e-05,2.713126923481468e-05,,1.4424715118366294e-05,,,
77.171,28.561,7.606362032674951e-06,1.3430740182229783e-05,-3.007359509865637e-06,2.08541259780759e-05,,9.178127584164033e-06,
77.181,28.561,6.82583140587667e-06,1.8260107026435435e-05,,,,4.0875842387322336e-05,
77.192,28.561,1.9707576939254068e-05,1.2981911822862456e-05,3.8451773434644565e-05,1.989844713534694e-05,1.386461553920526e-05,,
77.202,28.561,-2.218893132521771e-05,2.2997652195044797e-05,2.381079139013309e-05,4.811591861653142e-05,-6.961952294659568e-06,,
77.213,28.561,2.094963929266669e-05,1.2845689525420312e-05,,3.9337097405223176e-05,-2.9833456665073754e-06,6.723939441144466e-05,
77.223,28.561,4.375504431664013e-05,1.2245641300978605e-05,,0.000120733588119,,7.886656931077596e-06,
77.233,28.561,8.323610018123873e-06,9.911439519783016e-06,,1.426765174983302e-05,-3.131479843432317e-06,0.0001538348005851,
77.244,28.561,6.623391072935192e-06,1.3043632861808874e-05,5.632188185700216e-05,1.761634848662652e-05,1.3145271623216104e-05,,
77.254,28.561,-2.7062023946200497e-06,2.76005630439613e-05,,9.940198651747778e-05,3.670167643576861e-05,1.0607071999402253e-05,
77.264,28.561,2.962526559713297e-05,,,1.6027861420297995e-05,3.5175680750398897e-06,1.0649118848959915e-05,
77.275,28.561,6.378309626597911e-05,2.1027515686000697e-05,,4.714851820608601e-05,-6.260518148337724e-06,1.0649118848959915e-05,
77.285,28.561,1.2315344974922482e-05,1.7368718545185402e-05,2.650298824846687e-07,7.824478416296188e-06,4.099910438526422e-05,,
77.296,28.561,8.220693416660652e-05,1.0571302482276224e-05,4.784619704878423e-06,9.273331670556216e-06,2.1414653161855316e-08,1.264747970708413e-05,
77.306,28.561,2.5927951355697587e-05,1.1295115655229893e-05,4.463212007976836e-06,7.901611388660967e-05,-4.556044586934149e-06,1.264747970708413e-05,
76.849,28.571,0.0001133530749939,1.912452171382029e-05,6.714264600304887e-06,,-8.34437469166005e-06,8.887342119123787e-06,
76.86,28.571,-8.237001566158142e-06,2.0261210011085492e-05,3.1519250569544965e-06,5.615922418655828e-05,-5.8245277614332736e-06,,
76.87,28.571,-2.749600389506668e-05,1.4033397746970875e-05,1.1632029782049358e-05,1.7475607819505967e-05,2.9883311071898788e-05,8.887342119123787e-06,
76.88,28.571,0.0001562700199428,1.2008910744043533e-05,,2.1247098629828542e-05,-8.714894647710025e-06,1.4937880223442336e-05,
76.891,28.571,0.0002199764421675,1.0710113201639617e-05,3.841041234409204e-06,3.1350209610536695e-05,1.616160830053559e-06,5.401861562859267e-05,
76.901,28.571,1.8134322090190835e-05,6.0521142586367205e-05,,5.415538544184528e-05,-7.127940534701338e-06,1.6832389519549906e-05,
76.911,28.571,1.2935394124724553e-06,2.347160261706449e-05,9.395358574693091e-06,2.643205880303867e-05,,1.6832389519549906e-05,
76.922,28.571,-1.364802869829873e-06,1.1153120794915594e-05,-1.4909409401298037e-05,,2.1381410988396965e-06,1.6832389519549906e-05,
76.932,28.571,4.513676685746759e-05,1.1720761904143728e-05,,4.657925819628872e-05,-1.2308958503126632e-05,,
76.943,28.571,5.470282485475764e-05,1.2674746358243285e-05,,,9.968689482775517e-06,,
76.953,28.571,2.8110168841521954e-06,1.3368330655794123e-05,5.278912794892676e-06,1.2538387636595871e-05,4.937824633088894e-05,2.622511783556547e-05,
76.963,28.571,1.2323342161835171e-05,2.5682704290375117e-05,3.647629910119576e-06,3.393145016161725e-05,-2.655257776496001e-05,1.2885281648777893e-05,
76.974,28.571,4.8245725338347256e-05,2.5512767024338245e-05,6.9048423938511405e-06,2.415806011413224e-05,2.7408398182160454e-06,,
76.984,28.571,3.45997477779747e-07,1.629881444387138e-05,-9.626431165088434e-06,1.8434147932566702e-05,,,
76.994,28.571,,4.069642454851419e-05,3.759608034670237e-06,1.6636298823868856e-05,-2.8591214231710183e-06,1.1314970834064296e-05,
77.005,28.571,9.53392227529548e-05,1.0183832273469308e-05,4.411799181980314e-06,2.680295801837929e-05,2.7045427941629896e-06,,
77.015,28.571,0.0001198788304463,2.28106200665934e-05,-1.0472739830902357e-07,7.148303120629862e-05,4.139391478474863e-07,,
77.026,28.571,5.046241130912677e-05,1.402036923536798e-05,3.031972664757632e-05,4.73778709420003e-05,1.1724288242476175e-06,0.0001543018152005,
77.036,28.571,9.675420733401552e-05,1.2520839845819864e-05,,5.172612509340979e-05,,,
77.046,28.571,8.567171789763961e-06,7.204549183370546e-05,-4.58022714155959e-06,,,1.549304579384625e-05,
77.057,28.571,0.0002789958380162,6.884920821903506e-06,-6.763091278116917e-07,7.387476944131777e-05,,1.3049903827777598e-05,
77.067,28.571,3.109870522166602e-05,7.479704436264001e-06,6.407334694813471e-06,1.6736290490371175e-05,1.8374195860815234e-05,1.549304579384625e-05,
77.078,28.571,6.767183367628604e-05,,2.2142005491332384e-06,,-1.2544436685857365e-05,9.183779184240848e-06,
77.088,28.571,-1.6791540247140802e-06,2.525157469790429e-05,1.1570931746973656e-05,1.417616476828698e-05,,1.549304579384625e-05,
77.098,28.571,2.8108737751608714e-05,1.1551754141692072e-05,3.6562573768605935e-06,5.422283720690757e-05,-7.738141505342355e-08,1.549304579384625e-05,
77.109,28.571,0.0001068709680112,1.4150328752293715e-05,9.537772712064909e-06,1.6518160919076763e-05,,1.549304579384625e-05,
77.119,28.571,2.755105379037559e-05,7.630806794622913e-05,2.339331558687263e-06,1.6518160919076763e-05,-1.171585381598561e-06,1.549304579384625e-05,
77.129,28.571,9.361124102724716e-05,9.753798622114118e-06,6.72926626066328e-06,6.187634426169097e-05,,1.1167920092702843e-05,
77.14,28.571,-4.868259111390216e-06,,3.2561358239036053e-05,0.0001010428750305,6.850151748949429e-06,,
77.15,28.571,1.88176054507494e-05,1.0433961506350896e-05,3.8451773434644565e-05,1.4479147466772702e-05,2.9873326639062725e-05,8.528602847945876e-06,
77.161,28.571,-1.0667972674127668e-05,1.2689091818174347e-05,1.0530207873671316e-05,1.3523156667361036e-05,5.004223112337058e-06,0.0001016669339151,
77.171,28.571,1.9707576939254068e-05,9.990473699872382e-06,3.8301795939332806e-06,1.8596972950035703e-05,-1.3227806903159944e-06,,
77.181,28.571,4.196012781676473e-08,8.350003190571442e-05,8.568373232265003e-06,7.819373422535136e-05,-5.102237992105074e-06,7.761179404042196e-06,
77.192,28.571,0.0001213369250763,3.894529436365701e-05,9.794344805413855e-06,1.4424715118366294e-05,,1.2498829164542258e-05,
77.202,28.571,2.035907891695388e-05,,4.814879503101111e-06,3.841041325358674e-05,2.6192459699814208e-05,,
77.213,28.571,3.726883960553096e-06,1.993847945414018e-05,-8.018563448786153e-07,3.841041325358674e-05,1.727764174574986e-05,0.0001093134997063,
77.223,28.571,4.4848806282971054e-05,3.561457197065465e-05,,,-2.3542743576854266e-07,1.2897493434138596e-05,
77.233,28.571,0.0002782679803203,1.087396412913222e-05,,8.981623068393674e-06,2.734605573095905e-07,1.4302095223683864e-05,
77.244,28.571,1.8960005036205985e-05,2.2997652195044797e-05,3.219104428353603e-06,1.6648185919621028e-05,,,
77.254,28.571,4.834011269849725e-05,1.614278335182462e-05,3.5225941701355623e-06,5.684285497409292e-05,3.0911783142073546e-06,8.982055078377016e-06,
77.264,28.571,,1.0007363016484304e-05,4.457706836547004e-06,2.08541259780759e-05,4.099910438526422e-05,,
77.275,28.571,-1.2520523341663647e-05,1.3043632861808874e-05,6.361208943417296e-05,1.935989348567091e-05,7.706989890721161e-06,1.2083128240192307e-05,
77.285,28.571,4.800239366886672e-06,,4.076303241618008e-07,0.000120733588119,2.54602628046996e-06,6.723939441144466e-05,
77.296,28.571,0.0001362955663353,,,6.742429832229391e-06,,,
76.849,28.58,2.429517007840332e-05,1.0101800398842896e-05,7.149472821765812e-06,8.180069926311262e-06,-1.6676172890583985e-05,1.3305304491950665e-05,
76.86,28.58,0.0002753365261014,2.002111796173267e-05,1.3406526022663456e-06,1.752890966599807e-05,8.933737262850627e-06,1.3957091141492128e-05,
76.87,28.58,3.07983391394373e-05,1.0704468877520412e-05,7.507919235649751e-06,,-7.127940534701338e-06,,
