longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.213,28.463,2.873041751172423e-07,,1.5386640370707028e-06,-1.0919008673226926e-05,1.3661761840921828e-05
77.223,28.463,1.2075939594069496e-05,,6.030246368027292e-06,-5.7500851653458085e-06,-1.134387457568664e-05
77.119,28.473,1.6652509657433257e-05,,9.85193491942482e-06,1.357164637738606e-05,3.9082246416910493e-07
77.129,28.473,2.11736937671958e-06,,1.5331160057030502e-06,-1.1063459169236012e-05,6.006901003274834e-06
77.14,28.473,1.7522384951007552e-05,,9.374030014441814e-06,1.1743168215616606e-05,7.993540407369437e-07
77.15,28.473,0.0001378667366225,,4.742969395010732e-06,2.6552168037596857e-06,-3.2559148621658096e-06
77.161,28.473,0.0001107768985093,,6.744622623955365e-06,1.2017336530334433e-06,1.177313424705062e-05
77.171,28.473,3.4033716929116054e-06,,-3.225548198315664e-06,6.087810106691904e-06,6.181421667861287e-06
77.181,28.473,1.318566228292184e-05,,3.0328940283652628e-06,1.187916950584622e-05,5.316439455782529e-06
77.192,28.473,3.270571323810145e-05,,2.4652820229675854e-06,2.4238570404122584e-05,1.3661761840921828e-05
77.202,28.473,0.0002419317897874,,6.995844614721136e-07,2.46979607254616e-06,1.997969320655102e-06
77.213,28.473,1.4903865121596027e-05,,-5.109237463329919e-06,-2.325750074305688e-06,1.3070074601273518e-05
77.223,28.473,1.7788603145163506e-05,,1.5741357856313698e-05,-6.726077685925702e-07,2.4164771730283974e-06
77.233,28.473,4.2689184738264885e-06,,3.347577148815617e-06,9.067036444321276e-06,9.146067895926537e-06
77.119,28.482,3.838092743535526e-05,,7.517754966102075e-06,1.3446663615468424e-05,9.68676704360405e-06
77.129,28.482,9.179154585581271e-05,,9.91851993603632e-06,1.1122839168820065e-05,8.374436220037751e-06
77.14,28.482,2.1163405108381997e-05,,-2.5220788302249275e-06,3.411872603464872e-05,1.6965559552772902e-05
77.15,28.482,1.4436656783800572e-05,,7.49556306800514e-07,-1.153521907326649e-06,7.298056061699754e-06
77.161,28.482,1.5015270037110897e-05,,2.674588586160098e-06,-8.879070492184837e-07,6.728777407261077e-06
77.171,28.482,2.9406530302367173e-05,,-3.771620413317578e-06,1.724507092148997e-05,8.849935511534568e-06
77.181,28.482,4.8545090976404026e-05,8.998797056847252e-06,1.3972934539197013e-05,3.480456507531926e-05,5.134856564836809e-06
77.192,28.482,-6.794536602683365e-06,3.363960422575474e-05,3.7164634250075328e-06,1.148270439443877e-05,6.285773906711256e-06
77.202,28.482,1.8567008737591092e-05,,4.519962715221482e-07,2.296858656336553e-05,-6.079804279579548e-06
77.213,28.482,9.016566764330491e-06,,3.647293169706245e-06,1.212838924402604e-06,1.1163764611410444e-05
77.223,28.482,1.6430039977421984e-05,,8.934871402743738e-06,1.848821011662949e-05,6.04720980845741e-06
77.233,28.482,7.59288523113355e-05,,5.167927611182677e-06,2.6810817871592008e-05,1.0152539289265404e-05
77.244,28.482,1.2469105058698917e-05,,2.378187900831108e-06,4.3733894017350405e-07,4.021084805572173e-06
77.129,28.492,9.222083463100716e-06,,1.0377546459494624e-05,1.21735120046651e-05,5.856764346390264e-06
77.14,28.492,2.5971139621105976e-05,,1.082310154743027e-05,8.538306246919092e-06,-6.123322009443655e-07
77.15,28.492,2.234271050838288e-05,,5.972914550511632e-06,1.7552574718138203e-05,7.581000772916013e-06
77.161,28.492,2.4928224320319714e-06,,1.5446734323631972e-05,6.0665051933028735e-06,8.033388780859241e-07
77.171,28.492,0.0003517116711009,,9.869366294879e-06,8.362724656763021e-06,9.54467941483017e-06
77.181,28.492,8.286583033623174e-05,,1.1320904377498664e-05,1.9065905689785725e-06,1.3070074601273518e-05
77.192,28.492,3.9816706703277305e-05,,6.039452728145989e-06,-1.7676326024229638e-05,4.821725383408193e-07
77.202,28.492,2.7318892534822226e-05,,1.932536906679161e-05,6.4158930399571545e-06,1.2102755135856569e-05
77.213,28.492,0.0001029988197842,,7.2833208832889795e-06,2.479335671523586e-05,1.2162156963313464e-05
77.223,28.492,6.517901056213304e-05,3.363960422575474e-05,-5.855097697349265e-06,1.31001261252095e-05,3.3638170862104744e-05
77.233,28.492,9.580733603797851e-06,,5.091145339974901e-06,1.137640811066376e-05,7.989543519215658e-06
77.244,28.492,0.0001223608851432,,2.2800466012995457e-06,2.2208500013221052e-05,8.247864570876118e-06
77.254,28.492,1.956860978680197e-05,,1.1668236766126938e-05,8.247389814641792e-06,1.002784938464174e-05
77.264,28.492,0.0001221353450091,,5.243946816335665e-06,3.798975058089127e-06,5.584556106441596e-07
77.275,28.492,7.463624115189304e-06,,7.373746939265402e-06,8.226990757975727e-06,1.978350155695807e-06
