longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
76.984,28.541,2.492826388333924e-05,,1.276003513339674e-05,-1.6838248484418727e-06,9.06011882761959e-06
76.994,28.541,0.0001110739322029,,1.3906633284932468e-05,1.833340684243012e-05,6.855050287413178e-07
77.005,28.541,2.7933927412959747e-05,3.4227094147354364e-05,4.637602614820935e-06,6.854131697764387e-06,1.588043801348249e-06
77.015,28.541,2.2403508410207e-05,,1.704371243249625e-05,2.016349753830582e-05,8.86664474819554e-06
77.026,28.541,2.644374399096705e-05,,5.185468126001069e-06,8.804257163319562e-07,1.6965559552772902e-05
77.036,28.541,1.6542098819627427e-05,,8.86212001205422e-06,2.0706855138996616e-05,-8.448683388451173e-07
77.046,28.541,1.6733443771954626e-05,,1.6956395484157838e-05,8.589933713665232e-06,3.91090361517854e-06
77.057,28.541,1.5228722077154089e-05,,3.7756763049401343e-06,6.642780590482289e-06,8.037311999942176e-06
77.067,28.541,5.2823750593233854e-05,,9.891121408145407e-06,2.1668023691745475e-05,1.1738951798179189e-05
77.078,28.541,4.554096449282952e-05,,-1.502062332292553e-06,4.546450327325147e-06,-1.673215365372016e-06
77.088,28.541,0.0001354845298919,,7.2833208832889795e-06,2.8024962375639006e-05,6.387309440469835e-06
77.098,28.541,6.037834464223124e-05,,3.790697746808291e-06,8.820110451779328e-06,6.04720980845741e-06
77.109,28.541,2.2542706574313343e-05,,1.9035267541767095e-05,4.8068609430629294e-06,1.8392398715150199e-07
77.119,28.541,5.694896026398055e-05,,1.5783745766384527e-05,-5.972053259029053e-06,1.0804404155351222e-05
77.129,28.541,8.128933404805139e-05,,7.466338502126746e-06,9.044001672009472e-06,-5.224547408033686e-07
77.14,28.541,6.313891208264977e-05,,2.285972186655272e-06,9.931864951795433e-06,5.780670107924379e-06
77.15,28.541,4.0553910366725177e-05,,7.868875400163233e-06,2.810391924867872e-05,1.3852243682777043e-05
77.161,28.541,9.397027315571904e-05,,1.0663169632607604e-05,2.344386484764982e-05,4.877454102825141e-06
77.171,28.541,4.029874980915338e-05,,4.5891388822383306e-07,1.3231481716502458e-05,6.131408099463442e-06
77.181,28.541,2.3659104044782e-05,,8.106406312435865e-06,-4.1587225041439524e-07,4.43042381448322e-06
77.192,28.541,-1.7006291486154623e-08,,8.936152880778536e-06,7.343920060520759e-06,4.224811164021958e-06
77.202,28.541,6.211209984030575e-05,,1.6831294260555296e-06,2.306655915162992e-06,4.968497705704067e-06
77.213,28.541,2.0657145796576515e-05,,-3.1910431061987765e-06,1.828706263040658e-05,7.065154477459146e-06
77.223,28.541,,,3.718946345543373e-06,1.1045885912608355e-05,1.0397237019788008e-05
77.233,28.541,0.0003181072243023,,9.637126822781283e-06,1.4884174561302643e-05,9.97993538476294e-06
77.244,28.541,2.201639290433377e-05,,1.3480880625138523e-05,3.0034482279006625e-06,4.144981630815892e-06
77.254,28.541,1.1081822776759507e-05,,6.861181191197829e-06,3.2140146686288062e-06,5.646192221320234e-06
77.264,28.541,0.0001428809482604,,-2.852780482953676e-07,9.446765943721402e-06,1.637756395211909e-05
77.275,28.541,2.5093802832998332e-05,,1.100824306377035e-06,-3.819689936790383e-06,1.4331463660255397e-07
77.285,28.541,0.0001086081101675,,1.8412581994198263e-05,4.276931122149108e-06,9.900298209686298e-06
77.296,28.541,5.288259126245976e-05,,6.137002401374048e-06,-9.909603448932105e-08,1.0225101505056957e-05
77.306,28.541,9.15824857656844e-05,,6.731237590429373e-06,6.513873813673854e-05,-9.50661274146114e-07
77.316,28.541,2.515357846277766e-05,,9.093985681829508e-06,-1.6428161870862823e-06,3.7912134303041967e-06
76.849,28.551,2.1284737158566717e-05,,1.1430021004343873e-05,5.207748472457752e-06,3.3466365039203083e-06
76.86,28.551,7.908852421678603e-05,,-4.43986300524557e-06,7.997170996532077e-07,1.420716944267042e-05
76.87,28.551,0.0001293477544095,,6.532730367325712e-06,4.902737146039726e-06,2.690052497200668e-05
76.88,28.551,1.77686451934278e-05,,5.219275863055373e-06,1.6602312825853005e-05,7.573145467176801e-06
76.891,28.551,4.926468136545736e-06,,3.949150595872197e-06,8.43148518470116e-06,5.493794560607057e-06
76.901,28.551,1.800235258997418e-05,,7.065165391395567e-06,2.0905314158881083e-05,4.498570433497662e-06
76.911,28.551,1.9599041479523294e-05,,5.485510882863309e-06,3.368891839272692e-06,1.2370826880214736e-05
76.922,28.551,0.0001674379309406,,5.396421784098493e-06,7.935866960906424e-06,3.649344762379769e-06
76.932,28.551,6.331798067549244e-05,,4.333010565460427e-06,-3.514615229960328e-07,5.448123374662828e-06
76.943,28.551,2.0513825802481733e-06,,5.832307579112239e-06,1.0567905519565102e-05,6.421889793273294e-06
76.953,28.551,3.1294119253288954e-05,,2.062087105514365e-06,-2.520909447412123e-06,1.056880773830926e-05
76.963,28.551,8.083476859610528e-05,,1.3202356058172882e-05,-1.0842481970030349e-05,6.598334948648699e-06
76.974,28.551,1.7560727428644896e-05,,-5.509446964424569e-06,1.1921935765712988e-05,4.589332547766389e-06
76.984,28.551,3.8434172893175855e-05,,3.813951479969546e-06,4.641063696908532e-06,-4.670420366892358e-06
76.994,28.551,1.9811774109257385e-05,5.387794226408005e-05,-4.779871687787818e-06,1.892230284283869e-05,-2.398692231508903e-07
77.005,28.551,1.3709986887988634e-05,,6.746282906533452e-06,2.574983045633417e-05,1.100032932299655e-05
77.015,28.551,9.027693886309862e-05,,1.6956395484157838e-05,1.9921959392377172e-05,-3.0632214986781043e-08
77.026,28.551,7.072830339893699e-05,,1.1592406963245594e-06,1.482525021856418e-05,-5.576748662861064e-07
77.036,28.551,0.0001057451445376,,8.602687557868194e-06,1.3583034160546958e-05,1.660453199292533e-05
77.046,28.551,2.86613758362364e-05,,3.331717152832425e-06,1.21735120046651e-05,9.07035337149864e-06
77.057,28.551,5.770647112512961e-05,,1.5334015188273042e-05,1.0837406080099754e-05,4.218993126414716e-06
77.067,28.551,1.9567958588595505e-05,,-4.267780866484827e-07,-1.0424984793644398e-05,9.799462532100732e-06
77.078,28.551,9.647965271142311e-07,,1.9035267541767095e-05,2.9126766094123013e-05,-6.003512567076541e-07
77.088,28.551,8.028805314097553e-05,5.146781768416986e-05,2.126839262928115e-06,1.905309727590065e-05,1.0451462003402412e-05
77.098,28.551,2.0651270460803065e-05,,1.679467095527798e-05,7.990566700755153e-06,-1.279010916732659e-06
77.109,28.551,0.000100385666883,,-7.885971058385621e-07,-6.726077685925702e-07,2.9667580747627653e-06
77.119,28.551,0.0003658871573861,,1.47751066492674e-07,2.2639087546849623e-05,2.1601611877031249e-07
77.129,28.551,2.974279414047487e-05,,2.77924209513003e-06,2.088871042360552e-06,2.1474892491823997e-05
77.14,28.551,0.0001991335739148,,1.811535867091152e-06,1.2730765774904285e-05,7.877790267230012e-06
77.15,28.551,1.0732343071140347e-05,,6.799488801334519e-06,1.4160274076857604e-05,1.564759440952912e-05
77.161,28.551,6.511364335892722e-05,,7.614518835907802e-06,9.373948159918656e-06,1.5096939023351297e-05
77.171,28.551,3.162504799547605e-05,,7.626689694006927e-06,1.5433088265126571e-06,7.374301276286133e-06
77.181,28.551,0.0004401876358315,,4.790242655872135e-06,9.288464752899015e-06,1.0299049790774006e-05
77.192,28.551,2.6038613214041103e-05,,-1.699066388027859e-06,1.4623456991103012e-05,4.207203346595634e-06
77.202,28.551,2.153807690774556e-05,6.196647882461548e-05,9.008272172650322e-06,8.287959758490615e-07,1.272655208595097e-05
77.213,28.551,1.468289065087447e-05,,1.7282789599448733e-07,5.580483048106544e-06,9.996527296607384e-06
77.223,28.551,2.247080010420177e-05,,-1.8700167174756643e-06,6.334558293019654e-06,3.439937017901684e-06
77.233,28.551,2.301257154613268e-05,,1.3327859051059932e-05,1.637503009987995e-05,7.324935722863302e-06
77.244,28.551,6.515765107906191e-06,,2.621236944833072e-06,9.88825922831893e-06,1.637756395211909e-05
77.254,28.551,0.0001011471904348,,8.97334120963933e-06,4.264138624421321e-06,1.1199150321772322e-05
77.264,28.551,1.7430422303732485e-05,,3.3980772968789097e-06,2.1567713702097532e-05,2.485737240931485e-05
77.275,28.551,4.977828211849555e-06,,3.884877969539957e-06,1.654530205996707e-05,1.4570875919162065e-06
77.285,28.551,5.507572859642096e-05,,-1.3356323051993968e-06,-4.278998403606238e-06,1.9733195131266257e-06
77.296,28.551,1.9121098375762813e-05,,2.249611497973092e-06,1.905965473270044e-05,8.721271115064155e-06
77.306,28.551,0.0001350276288576,,4.578009338729316e-06,-1.036984940583352e-06,4.3657028072630055e-06
77.316,28.551,0.000407850544434,,5.9440103541419376e-06,2.699604692679713e-06,1.9830442397505976e-05
76.849,28.561,1.5329718735301867e-05,,1.348869682260556e-05,1.3133654647390358e-05,5.953093932475895e-06
76.86,28.561,1.193616753880633e-05,,-6.704727638862096e-06,9.356054761155974e-06,6.647288046224276e-06
76.87,28.561,3.6031742638442665e-05,,-2.3885115751909325e-07,1.013886048895074e-05,-4.990085471945349e-06
76.88,28.561,3.3390864700777456e-05,,3.0529363357345574e-06,1.0195288268732838e-05,-2.731500217123539e-06
76.891,28.561,1.9702301869983785e-05,,3.6034357435710254e-06,1.3108748134982308e-05,1.8238597476738505e-05
76.901,28.561,0.0001059099740814,,4.333010565460427e-06,1.1194381841050928e-05,9.251076335203834e-06
76.911,28.561,2.387521635682788e-05,,4.438424639374716e-06,1.9365825210115872e-05,4.024407189717749e-06
76.922,28.561,2.47422831307631e-05,,1.0349064723413903e-05,-6.742286132066511e-06,3.405135203138343e-06
76.932,28.561,0.000449950544862,,1.3786472663923632e-05,3.2016121167544043e-06,2.4298124117194675e-06
76.943,28.561,3.2894397008931264e-05,,7.714141247561201e-06,3.511954491841607e-05,5.620345291390549e-06
76.953,28.561,3.546550942701288e-05,,4.334476670919685e-06,3.916011792171048e-06,1.0522461707296316e-05
76.963,28.561,8.306117524625733e-05,,1.167754817288369e-05,1.549239459563978e-05,1.282598987017991e-06
76.974,28.561,2.019756539084483e-05,,6.382343599398155e-06,1.5839192428757087e-06,-8.307661119033583e-06
76.984,28.561,4.801783688890282e-06,,-8.960997547546867e-06,2.844621121766977e-06,4.095547410543077e-06
76.994,28.561,2.4438986656605263e-05,,4.171591172053013e-06,1.0331374141969718e-05,4.7705775614304e-06
77.005,28.561,2.0473979020607654e-05,,9.891121408145407e-06,3.25147520925384e-05,1.1096738489868583e-05
77.015,28.561,0.0002609866205602,,-6.658881375187775e-06,1.968391916307155e-05,9.19481499295216e-06
77.026,28.561,8.55358757689828e-06,5.387794226408005e-05,4.714449005405186e-06,6.548017609020462e-06,8.765914571995381e-06
77.036,28.561,2.7110803785035387e-05,,-4.876864295511041e-06,4.751160304294899e-06,3.723713689396391e-06
77.046,28.561,6.450995329032594e-07,,1.6340953834514949e-06,2.29196812142618e-05,-5.899111329199513e-06
77.057,28.561,2.23429760808358e-05,3.4227094147354364e-05,1.8050411654257916e-06,1.232710656040581e-05,9.4472270575352e-06
77.067,28.561,1.1585568245209288e-05,,5.091145339974901e-06,1.797462027752772e-05,3.980013843829511e-06
77.078,28.561,4.431524303072365e-06,,1.805623469408601e-06,2.296858656336553e-05,6.593589660042198e-06
77.088,28.561,0.0002419317897874,,8.142040314851329e-06,-2.325750074305688e-06,4.027052000310505e-06
77.098,28.561,0.000248330150498,,5.3492931328946725e-06,1.1081208867835812e-05,2.7904802664124877e-06
77.109,28.561,2.621264138724655e-05,,1.161722047982039e-05,7.6997766882414e-06,4.4060466279916e-06
77.119,28.561,3.593878545871121e-06,5.146781768416986e-05,1.1552113392099272e-05,4.053528391523287e-05,-1.2669382840613252e-06
77.129,28.561,6.134798240964301e-06,,1.5279219951480627e-05,2.097843389492482e-05,1.837893796619028e-05
77.14,28.561,4.132039521209663e-06,,4.151444954914041e-06,-3.1709777204014244e-07,-1.9007255502856426e-07
77.15,28.561,1.9156484995619397e-05,,-2.275158522024867e-06,-1.5323175830417313e-06,1.528379652881995e-05
77.161,28.561,4.461015578272054e-06,,1.083372626453638e-05,1.642819552216679e-05,-5.554828135245771e-07
77.171,28.561,1.7667211977823172e-06,,3.3778424040065147e-06,1.2646701179619411e-05,-7.37230649860976e-08
77.181,28.561,2.335815406695474e-05,,-4.2469932850508485e-06,-7.449156782968203e-06,-3.070030970775406e-06
77.192,28.561,2.6584295483189635e-05,,2.1994439975969726e-06,2.1624343844450777e-06,9.996527296607384e-06
77.202,28.561,8.788785635260865e-05,,1.7720580217428505e-05,1.7332104107481427e-05,1.1698674825311173e-05
77.213,28.561,3.792538700508885e-05,,-3.14249814437062e-06,-5.18135948368581e-06,2.7244784632785013e-06
77.223,28.561,7.415853906422853e-05,6.196647882461548e-05,7.470726359315449e-06,3.022152213816298e-06,3.690718358484446e-06
77.233,28.561,1.5282364984159358e-05,6.196647882461548e-05,5.340161806088872e-06,-2.258548875033739e-06,1.1199150321772322e-05
77.244,28.561,4.678012555814348e-05,,1.7066175132640637e-05,-9.798592145671137e-06,3.2439853384858e-05
77.254,28.561,0.0001975630730157,,9.253647476725746e-06,1.8449727576808076e-05,4.890773197985254e-06
77.264,28.561,1.278803847526433e-05,,7.994322004378773e-06,1.7103913705796003e-05,1.1842917956528254e-05
77.275,28.561,4.280313987692352e-06,,-2.237767603219254e-06,2.424950253043789e-05,1.8452874428476207e-05
77.285,28.561,1.645654447202105e-05,,1.2818574759876356e-05,1.5824101865291595e-05,1.0647509043337776e-05
77.296,28.561,0.0001035259556374,,1.5036842341942249e-05,-2.7708504148904467e-06,-2.402159907433088e-06
77.306,28.561,0.0001467348047299,,1.0523292985453736e-05,3.938863756047795e-06,6.094156219660363e-07
76.849,28.571,2.0504719941527583e-05,,6.837259206804447e-06,1.218096167576732e-05,4.638172413251596e-06
76.86,28.571,5.768941628048197e-05,,1.6851645341375843e-05,9.989081263483968e-06,1.5214752238534857e-05
76.87,28.571,7.419032044708729e-06,,6.948018835828407e-07,5.4606730373052415e-06,6.424284947570413e-06
76.88,28.571,7.778219151077792e-05,,1.4320718037197366e-05,1.012818029266782e-05,-7.735738449810015e-07
76.891,28.571,7.071210347930901e-06,,2.95078348244715e-06,1.0751029549282975e-05,9.649458661442624e-06
76.901,28.571,1.019437058857875e-05,,1.2803985555365216e-05,-2.5868750526569784e-05,1.0048713193100411e-05
76.911,28.571,7.012976129772142e-05,,6.4854698393901344e-06,9.224627319781575e-06,1.1747527423722204e-05
76.922,28.571,0.0003390118654351,,2.367094111832557e-06,-8.453330337943044e-06,1.16868386612623e-06
76.932,28.571,0.0001018211478367,,9.845832209975924e-06,1.6064155715866946e-05,3.2547882256039884e-06
76.943,28.571,6.955283879506169e-06,,7.930549145385157e-06,4.213929514662596e-06,2.8038668915542075e-06
76.953,28.571,2.031860276474617e-05,,1.3972934539197013e-05,2.157111157430336e-05,6.494882654806133e-06
76.963,28.571,1.3953374036645982e-05,,8.289991455967538e-06,1.880218042060733e-05,1.2094438716303555e-05
76.974,28.571,1.549462103866972e-05,,3.742565240827389e-06,2.349289934500121e-05,2.9642121717188274e-06
76.984,28.571,5.624825280392543e-05,,7.117842415027553e-06,1.3404044693743344e-05,5.004851573175984e-06
76.994,28.571,1.0643897439877035e-05,,3.109082172159105e-05,1.7431459127692506e-05,7.256761364260456e-06
77.005,28.571,0.0001106032796087,,8.292898201034404e-06,1.0884577932301909e-05,9.07035337149864e-06
77.015,28.571,0.0001589001622051,,8.875807907315902e-06,7.914773050288204e-06,4.813758096133824e-06
77.026,28.571,4.403443199407775e-06,,1.7975136870518327e-05,7.335937425523298e-06,-5.359978786145803e-06
77.036,28.571,9.879968274617568e-05,,-1.2424519582054927e-06,5.647264970320975e-06,1.4332793398352806e-05
77.046,28.571,0.0001155227146227,5.387794226408005e-05,6.702684913761914e-07,1.7139860574388877e-05,-5.229244834481506e-06
77.057,28.571,5.1803988753817976e-05,,4.847118475481693e-07,1.4830039617663717e-05,2.698743082873989e-05
77.067,28.571,3.0325354600790888e-05,,1.8611253835842945e-05,2.5187562641804107e-05,-2.290222482770332e-06
77.078,28.571,0.000169933802681,,2.7163307549926685e-06,2.9852073566871692e-05,3.3638170862104744e-05
77.088,28.571,0.0001223767758347,3.4227094147354364e-05,1.0398862286820076e-05,2.3250529920915145e-05,4.229876140016131e-06
77.098,28.571,0.0002915797522291,,6.399643098120578e-06,3.1523031793767586e-05,2.061807754216716e-05
77.109,28.571,4.78882429888472e-06,,-9.170575481221022e-07,1.827818778110668e-05,5.035687536292244e-06
77.119,28.571,2.203623444074765e-05,,3.0156872981024208e-06,9.999513167713305e-06,1.491013063059654e-05
77.129,28.571,9.580733603797851e-06,,-3.1910431061987765e-06,6.687562859042373e-07,5.401112957770238e-06
77.14,28.571,2.5388899302924983e-05,5.146781768416986e-05,4.276811978343176e-06,-8.493790915053978e-07,-5.554828135245771e-07
77.15,28.571,0.0001726322370814,5.146781768416986e-05,3.025851356142084e-06,-3.8004559428372886e-06,1.0888717042689676e-05
77.161,28.571,8.852010068949312e-05,,5.90676336287288e-06,-2.3676983573750482e-07,-3.070030970775406e-06
77.171,28.571,2.2421574612963013e-05,,-2.989529093611054e-06,2.1899299099459316e-05,1.2469320608943237e-05
77.181,28.571,1.627358142286539e-05,,9.862559636530932e-06,1.1045885912608355e-05,7.559900950582232e-06
77.192,28.571,0.0001369994424749,,2.2667429675493622e-06,-8.990462447400205e-06,7.499206276406767e-06
77.202,28.571,3.76457828679122e-05,,-7.280779300344875e-06,1.0302494956704322e-05,1.4299756912805606e-05
77.213,28.571,1.0256502719130369e-05,,1.193836305901641e-05,7.665575139981229e-06,8.207369319279678e-06
77.223,28.571,1.7954153008759022e-05,,1.0870862752199171e-05,2.434920588711975e-06,6.93843776389258e-06
77.233,28.571,2.372183371335268e-05,,8.912000339478254e-06,1.5049042303871827e-05,9.740767382027116e-06
77.244,28.571,0.0001117273277486,,1.2660392712859904e-05,1.654530205996707e-05,1.1842917956528254e-05
77.254,28.571,0.0005515315569937,6.196647882461548e-05,-2.734353756750352e-06,3.443497007538099e-06,1.66508398251608e-05
77.264,28.571,1.936326953000389e-05,,9.729123121360315e-06,4.4924872781848535e-06,1.3614015188068151e-05
77.275,28.571,1.5687292034272105e-05,,1.0523292985453736e-05,4.890208856522804e-06,7.870839908719063e-06
77.285,28.571,1.0447727618156932e-05,,6.181241133162985e-06,-3.0837579743092647e-06,6.79765298627899e-06
77.296,28.571,6.322147964965552e-05,,1.2579758731590118e-05,1.0287886652804444e-05,5.611461801890982e-06
76.849,28.58,9.483230678597464e-05,,5.081370545667596e-06,3.808215114986524e-05,2.1441619537654333e-06
76.86,28.58,0.0003785037843044,,4.202687705401331e-06,,1.8407852621749043e-05
76.87,28.58,9.574215800967067e-05,,1.76397297764197e-05,1.9354581581865204e-06,2.7861993658007123e-05
76.88,28.58,6.0119050431239884e-06,,-4.665026608563494e-06,1.6504858649568632e-05,1.2773271919286344e-05
76.891,28.58,1.7344462321489118e-05,,5.198375674808631e-06,3.818487584794639e-06,9.055873306351714e-06
76.901,28.58,0.000318011152558,,9.817535101319663e-06,1.9709434127435088e-05,-3.951407961721998e-06
76.911,28.58,1.8893379092332907e-05,,3.813951479969546e-06,4.6397867663472425e-06,3.030437710549449e-06
76.922,28.58,1.0580504749668762e-05,,6.3208667597791646e-06,1.2862397852586582e-05,7.043687674013199e-06
76.932,28.58,8.798716407909524e-06,,9.976610272133256e-06,8.823356438369956e-06,3.4069021239702124e-06
76.943,28.58,-5.330064141162438e-07,,1.3227526324044447e-05,1.5839192428757087e-06,3.228512696296093e-06
76.953,28.58,6.364593718899414e-05,,-3.829497927654302e-06,-9.837479410634842e-06,1.2198670447105542e-05
76.963,28.58,8.478410018142313e-05,,6.289503289735876e-06,-1.1216340567443694e-07,1.7002095091811498e-06
76.974,28.58,2.214725100202486e-05,,1.998280276893638e-05,-3.24485245073447e-06,1.9244262148276903e-05
76.984,28.58,5.29870594618842e-05,,1.6340953834514949e-06,1.0221026968793012e-05,1.1392337910365312e-05
76.994,28.58,8.031569450395182e-06,,1.9499675545375794e-06,-5.1228043957962655e-06,4.481022642721655e-06
77.005,28.58,2.341570689168293e-05,,1.840965865085309e-06,2.2124468159745447e-06,1.0100634426635224e-05
77.015,28.58,1.1880237252626102e-05,,7.678886504436377e-06,2.07014600164257e-05,6.04720980845741e-06
77.026,28.58,6.0163736634422094e-05,,5.829997007822385e-06,5.54718826606404e-06,8.526129022357054e-06
77.036,28.58,5.648937076330185e-05,,3.2435291359433904e-06,1.71594183484558e-05,7.748610187263694e-06
77.046,28.58,9.302607213612646e-05,,4.916595571557991e-06,1.4710219147673342e-05,-2.272400706715416e-06
77.057,28.58,4.330311639932916e-05,,9.250060429621954e-06,1.53734417835949e-05,2.1601611877031249e-07
77.067,28.58,7.436102350766305e-06,,-2.632106543387636e-06,-6.743590347468853e-06,1.3417962691164576e-05
77.078,28.58,2.1307314455043525e-05,5.387794226408005e-05,3.4112138109776424e-06,8.420200174441561e-06,4.021084805572173e-06
77.088,28.58,1.6063682778622024e-05,,2.150872660422465e-06,1.528875327494461e-05,4.981453912478173e-06
77.098,28.58,0.0001071562364813,,-1.9719077499757987e-06,6.12909343544743e-06,1.453656113881152e-05
77.109,28.58,0.0001168540911749,3.4227094147354364e-05,6.053690867702244e-06,4.6669347284478135e-06,3.0954079193179496e-06
77.119,28.58,3.99736291001318e-06,,1.3868818314222152e-05,-3.848112555715488e-06,-9.15657710720552e-06
77.129,28.58,1.0599852430459578e-05,,1.7786011085263453e-05,5.283417067403207e-06,-4.537878794508288e-06
77.14,28.58,2.400879566266667e-05,,5.500791758095147e-06,1.1950866792176384e-05,8.835082212499401e-07
77.15,28.58,-1.5124688843570766e-06,,1.100824306377035e-06,8.281971531687304e-06,7.959748472785577e-06
77.161,28.58,2.9746541258646172e-05,,5.484503162733745e-06,-1.587185397511348e-05,1.4272458429331891e-05
77.171,28.58,4.029406773042865e-05,,1.1482824447739404e-05,5.580483048106544e-06,4.348946276877541e-06
77.181,28.58,9.694285108707844e-05,,5.340161806088872e-06,1.369279925711453e-05,8.035723112698179e-06
77.192,28.58,1.2212549336254597e-05,,1.0632506928232033e-05,1.228394921781728e-05,1.6569310901104473e-05
77.202,28.58,1.6131623851833865e-05,,9.489780495641751e-06,1.4979139450588264e-05,5.513902124221204e-06
77.213,28.58,2.2017758965375837e-05,,7.342209300986724e-06,1.6235908333328553e-05,1.72055990788067e-07
77.223,28.58,5.107690230943263e-05,,2.724696742006927e-06,1.824507853598334e-05,2.2934149455977604e-05
77.233,28.58,8.781979704508558e-05,,1.6697182445568617e-06,4.117702701478265e-06,3.061400548176607e-06
77.244,28.58,1.0053557161882054e-05,,4.647154128178954e-06,1.2261081792530604e-05,-3.126398496533511e-06
77.254,28.58,0.0002874407800845,,3.0307101042126305e-06,1.4144118722470012e-05,1.0322323760192376e-05
77.264,28.58,0.0001062339142663,,1.483486448705662e-05,2.4965016564237885e-05,1.6553532987018116e-05
77.275,28.58,7.4624585977289826e-06,,6.597321771550924e-06,1.0140956874238329e-05,3.4247598250658484e-06
77.285,28.58,3.93891787098255e-05,,6.256142569327494e-06,2.7523785320227034e-05,8.878882908902597e-06
77.296,28.58,2.591106567706447e-05,,1.0438904610055031e-05,1.0705402019084431e-05,3.4509419037931366e-06
76.87,28.59,2.349659553146921e-05,,2.884564992200467e-06,1.1702893971232696e-05,1.0122222192876508e-05
76.88,28.59,1.1651180102489889e-05,,2.825379397108918e-06,1.2159181096649265e-05,1.9812121536233462e-05
76.891,28.59,2.125193714164197e-05,,1.122494722949341e-05,1.5240999346133322e-05,8.963234904513229e-06
76.901,28.59,6.876503175590187e-05,,3.362556071806466e-06,1.0474588634679094e-05,6.6299653553869575e-06
76.911,28.59,1.7235239283763804e-05,6.241192750167102e-05,-1.2131594075981411e-06,8.745771992835216e-06,2.653642013683566e-06
76.922,28.59,1.7560727428644896e-05,,1.0144562111236157e-05,-1.228111500495288e-06,1.0190211696681215e-06
76.932,28.59,1.397825326421298e-05,,2.5600720618967895e-05,1.692325713520404e-05,6.345863312162692e-06
76.943,28.59,6.413786468328908e-05,,3.62413675247808e-06,1.5564037312287837e-05,1.7002095091811498e-06
76.953,28.59,7.83676077844575e-05,,1.095348852686584e-05,1.2972722288395744e-05,8.01942587713711e-06
76.963,28.59,7.157692743930966e-05,,9.088018487091176e-06,1.6436777514172718e-05,1.473050633649109e-05
76.974,28.59,0.0001344596676062,,9.967371624952648e-06,1.2996489203942474e-05,1.6736597899580374e-05
76.984,28.59,7.16697513780673e-06,,7.678886504436377e-06,1.8513206669013016e-05,5.619306193693774e-06
76.994,28.59,,,1.2670095657085767e-06,2.063497413473669e-05,6.04720980845741e-06
77.005,28.59,2.3009386495687068e-05,5.001035333407344e-06,-6.216048404894536e-07,2.96337475447217e-06,1.2683787645073608e-05
77.015,28.59,2.5131860184046677e-06,4.054188320878893e-05,6.1096384342818055e-06,2.613605283841025e-05,-2.181458853556251e-07
77.026,28.59,3.9047168684192e-05,,4.57711848866893e-06,1.4830039617663717e-05,3.715357706823852e-06
77.036,28.59,2.48967194238503e-06,,1.9535409592208453e-05,2.558899041105178e-06,4.055447334394557e-06
77.046,28.59,2.0651270460803065e-05,,1.2840293493354691e-05,1.817051088437438e-05,5.562539627135266e-06
77.057,28.59,1.3094218047626782e-05,,9.028976819536185e-06,-3.262081690991181e-06,7.303798611246748e-06
77.067,28.59,1.588158556842245e-05,,2.9642505978699774e-06,1.3404177479969803e-05,2.936176542789326e-06
77.078,28.59,7.301224832190201e-05,,6.584385573660256e-06,-1.4442554174820546e-07,3.78269220391303e-07
77.088,28.59,1.8310889572603628e-05,,1.9020049876417037e-05,-7.220755833259318e-06,1.4711394214828031e-05
77.098,28.59,2.198948095610831e-05,5.387794226408005e-05,1.5200071175058838e-05,-3.581481223591254e-06,1.2918641232317896e-06
77.109,28.59,3.074955657211831e-06,5.387794226408005e-05,-4.2486917664064094e-06,-8.493790915053978e-07,-1.7050848555300038e-07
77.119,28.59,1.929288737301249e-05,,1.0187509360548574e-05,-1.480555738453404e-06,5.755008714913856e-06
77.129,28.59,4.459759293240495e-05,,1.92186143976869e-06,2.441113247186877e-05,8.081247869995423e-06
77.14,28.59,1.993446676351596e-05,,-2.07200309887412e-06,7.741984518361278e-06,6.007079718983732e-06
77.15,28.59,8.606335177319124e-05,,1.078627428796608e-05,7.643933486178867e-09,-6.370843493641587e-06
77.161,28.59,1.7934598872670904e-05,,-1.4862794728287557e-07,6.102295446908101e-05,1.464442721044179e-05
77.171,28.59,7.533854386565508e-06,,2.4659373139002128e-06,1.4703736269439103e-05,1.6569310901104473e-05
77.181,28.59,3.1405324989464134e-05,,1.4818811905570328e-05,-5.173183581064222e-06,7.257436664076522e-06
77.192,28.59,7.307232590392232e-05,5.146781768416986e-05,1.723782224871684e-05,2.7597307052928954e-05,8.211825843318366e-06
77.202,28.59,6.099567144701723e-06,,5.9440103541419376e-06,1.2314740160945805e-05,9.744199815031608e-06
77.213,28.59,6.246051270863973e-06,,9.46448381000664e-07,7.607333373016445e-06,1.1100974916189443e-05
77.223,28.59,4.977828211849555e-06,,7.290990993169544e-07,1.576335125719197e-05,3.209349415556062e-06
77.233,28.59,2.007141119975131e-05,,4.749413164972793e-06,1.5070216250023805e-05,1.0282927178195678e-05
77.244,28.59,3.066020508413203e-05,,1.2916692867293024e-05,4.799348062078934e-06,5.642720680043567e-06
77.254,28.59,1.2010806131002028e-05,,6.256142569327494e-06,4.417224317876389e-06,1.0036343155661598e-05
77.264,28.59,0.0001393129350617,,2.133246744051576e-05,1.5896663171588443e-05,1.3665699952980503e-05
77.275,28.59,0.0001398216263623,,4.648538833862403e-06,2.909507202275563e-06,8.754072382544109e-07
