longitude,latitude,O3_value(mol/m^2)
77.15,28.512,0.1186211109161377
77.161,28.512,0.12574057281017303
77.171,28.512,0.13687258958816528
77.181,28.512,0.11935372650623322
77.192,28.512,0.13342998921871185
77.202,28.512,0.13005496561527252
77.213,28.512,0.1237487718462944
77.223,28.512,0.11786334961652756
77.233,28.512,0.1240692064166069
77.244,28.512,0.1359163224697113
77.254,28.512,0.1176840290427208
77.264,28.512,0.11826510727405548
77.275,28.512,0.1347181797027588
77.285,28.512,0.11919014155864716
77.296,28.512,0.1168677806854248
77.306,28.512,0.13415484130382538
77.316,28.512,0.1160469502210617
77.327,28.512,0.11997644603252411
77.337,28.512,0.12011133879423141
76.891,28.522,0.12464693188667297
76.901,28.522,0.11687017977237701
76.911,28.522,0.12186164408922195
76.922,28.522,0.1168648973107338
76.932,28.522,0.11667157709598541
76.943,28.522,0.11961241066455841
76.953,28.522,0.13489282131195068
76.963,28.522,0.11987441778182983
76.974,28.522,0.1248040720820427
76.984,28.522,
76.994,28.522,0.13716650009155273
77.005,28.522,0.11647067964076996
77.015,28.522,0.11849414557218552
77.057,28.522,0.11645564436912537
77.067,28.522,0.11981175094842911
77.078,28.522,0.12609732151031494
77.088,28.522,0.12615390121936798
77.098,28.522,0.11961374431848526
77.109,28.522,0.13613945245742798
77.119,28.522,0.12159097194671631
77.129,28.522,0.11829692125320435
77.14,28.522,0.12937209010124207
77.15,28.522,0.13084208965301514
77.161,28.522,0.11683899164199829
77.171,28.522,
77.181,28.522,0.1162315383553505
77.192,28.522,0.1272948533296585
77.202,28.522,0.13432905077934265
77.213,28.522,0.12074457854032516
77.223,28.522,
77.233,28.522,0.13222992420196533
77.244,28.522,0.11644531786441803
77.254,28.522,0.11869385093450546
77.264,28.522,0.1188211515545845
77.275,28.522,0.11681079119443893
77.285,28.522,0.12024141103029251
77.296,28.522,0.12910182774066925
77.306,28.522,
77.316,28.522,0.11549986153841019
77.327,28.522,0.12921622395515442
77.337,28.522,0.11789162456989288
76.88,28.531,0.12353052943944931
76.891,28.531,0.12967504560947418
76.901,28.531,0.12422425299882889
76.911,28.531,0.11909161508083344
76.922,28.531,0.1290198117494583
76.932,28.531,0.1248941719532013
76.943,28.531,0.13320070505142212
76.953,28.531,
76.963,28.531,0.11647932231426239
76.974,28.531,0.11814546585083008
76.984,28.531,0.11895579099655151
76.994,28.531,0.12893860042095184
77.036,28.531,0.11700528115034103
77.046,28.531,0.12209317088127136
77.057,28.531,0.12575043737888336
77.067,28.531,0.1264815479516983
77.078,28.531,0.1299949586391449
77.088,28.531,0.12472875416278839
77.098,28.531,0.12470781803131104
77.109,28.531,0.11639291793107986
77.119,28.531,0.12536993622779846
77.129,28.531,0.11669395118951797
77.14,28.531,0.1168769896030426
77.15,28.531,0.13237960636615753
77.161,28.531,0.11946351081132889
77.171,28.531,
77.181,28.531,0.11860653758049011
77.192,28.531,0.11936797946691513
77.202,28.531,0.11896874010562897
77.213,28.531,0.11752447485923767
77.223,28.531,0.12604287266731262
77.233,28.531,0.12015578150749207
77.244,28.531,0.12516061961650848
77.254,28.531,0.12610065937042236
77.264,28.531,0.12485472112894058
77.275,28.531,0.11615189164876938
77.285,28.531,0.11859510093927383
77.296,28.531,0.12489593774080276
77.306,28.531,0.11644405126571655
77.316,28.531,0.13066275417804718
77.327,28.531,0.12878909707069397
76.87,28.541,0.12353471666574478
76.88,28.541,
76.891,28.541,0.11633581668138504
76.901,28.541,0.1160050630569458
76.911,28.541,0.11707664281129837
76.922,28.541,0.11795255541801453
76.932,28.541,
76.943,28.541,0.13463912904262543
76.953,28.541,0.12550683319568634
76.963,28.541,0.11825920641422272
76.974,28.541,0.11968600004911423
76.984,28.541,0.11879576742649078
76.994,28.541,0.13945533335208893
77.005,28.541,
77.015,28.541,0.11734744161367416
77.026,28.541,0.12157051265239716
77.036,28.541,
77.046,28.541,0.11650778353214264
77.057,28.541,0.1253538280725479
77.067,28.541,0.11916311830282211
77.078,28.541,0.12839113175868988
77.088,28.541,0.11687249690294266
77.098,28.541,0.12298896163702011
77.109,28.541,0.11729275435209274
77.119,28.541,0.12293367087841034
77.129,28.541,0.1340862661600113
77.14,28.541,0.1216045692563057
77.15,28.541,0.11864607781171799
77.161,28.541,0.1186053454875946
77.171,28.541,0.1290607750415802
77.181,28.541,0.1175047978758812
77.192,28.541,0.11465319246053696
77.202,28.541,0.13296082615852356
77.213,28.541,0.12412400543689728
77.223,28.541,0.13650664687156677
77.233,28.541,
77.244,28.541,0.12032445520162582
77.254,28.541,0.126808762550354
77.264,28.541,0.11686094850301743
77.275,28.541,0.11772254854440689
77.285,28.541,0.13264165818691254
77.296,28.541,0.11619506776332855
77.306,28.541,0.12023914605379105
77.316,28.541,0.13643653690814972
76.849,28.551,0.11984795331954956
76.86,28.551,0.11494999378919601
76.87,28.551,0.12255319952964783
76.88,28.551,0.12197010219097137
76.891,28.551,0.12443126738071442
76.901,28.551,0.13055191934108734
76.911,28.551,0.11930879205465317
76.922,28.551,0.13540370762348175
76.932,28.551,0.12005767226219177
76.943,28.551,0.12268175184726715
76.953,28.551,0.12754032015800476
76.963,28.551,0.13453321158885956
76.974,28.551,0.13723288476467133
76.984,28.551,
76.994,28.551,0.13706612586975098
77.005,28.551,
77.015,28.551,0.12466243654489517
77.026,28.551,0.12067720293998718
77.036,28.551,0.11643406003713608
77.046,28.551,0.13670946657657623
77.057,28.551,0.12578976154327393
77.067,28.551,0.11781372129917145
77.078,28.551,0.1254412978887558
77.088,28.551,0.12424925714731216
77.098,28.551,0.12278878688812256
77.109,28.551,0.11917740106582642
77.119,28.551,0.13687258958816528
77.129,28.551,0.12922826409339905
77.14,28.551,0.13632315397262573
77.15,28.551,0.11684565246105194
77.161,28.551,0.12151557952165604
77.171,28.551,0.1213730126619339
77.181,28.551,0.12083569914102554
77.192,28.551,0.12916353344917297
77.202,28.551,0.11764519661664963
77.213,28.551,0.12557409703731537
77.223,28.551,0.1188211515545845
77.233,28.551,0.11681079119443893
77.244,28.551,0.11614998430013657
77.254,28.551,0.12591922283172607
77.264,28.551,
77.275,28.551,0.12201449275016785
77.285,28.551,0.11747723072767258
77.296,28.551,0.11606606841087341
77.306,28.551,0.11561135202646255
77.316,28.551,0.11770191788673401
76.849,28.561,0.12543274462223053
76.86,28.561,0.11928334832191467
76.87,28.561,0.13008129596710205
76.88,28.561,0.11978636682033539
76.891,28.561,0.12046422809362411
76.901,28.561,
76.911,28.561,0.11700765043497086
76.922,28.561,0.11533237248659134
76.932,28.561,0.11837904900312424
76.943,28.561,0.11800755560398102
76.953,28.561,0.13034863770008087
76.963,28.561,0.12735140323638916
76.974,28.561,0.12073157727718353
76.984,28.561,0.11755381524562836
76.994,28.561,0.11757174134254456
77.005,28.561,0.11635761708021164
77.015,28.561,0.11982685327529907
77.026,28.561,0.1312873512506485
77.036,28.561,0.127543643116951
77.046,28.561,0.12881030142307281
77.057,28.561,0.12087158113718033
77.067,28.561,0.12341196089982986
77.078,28.561,0.12312215566635132
77.088,28.561,0.11735545843839645
77.098,28.561,0.11731205135583878
77.109,28.561,0.1216045692563057
77.119,28.561,0.11946351081132889
77.129,28.561,0.11645302176475525
77.14,28.561,0.11873599886894226
77.15,28.561,0.1350208818912506
77.161,28.561,0.11813388019800186
77.171,28.561,0.13036707043647766
77.181,28.561,0.11717527359724045
77.192,28.561,0.11606698483228683
77.202,28.561,0.12442164123058319
77.213,28.561,0.12610065937042236
77.223,28.561,0.1202913448214531
77.233,28.561,0.12492317706346512
77.244,28.561,0.11899621784687042
77.254,28.561,0.1255597472190857
77.264,28.561,0.12611930072307587
77.275,28.561,0.12369781732559204
77.285,28.561,0.12560208141803741
77.296,28.561,0.11862495541572571
77.306,28.561,0.1216263622045517
76.849,28.571,0.13225902616977692
76.86,28.571,
76.87,28.571,0.13429215550422668
76.88,28.571,0.11641120910644531
76.891,28.571,0.11877162754535675
76.901,28.571,0.11765997856855392
76.911,28.571,0.11884265393018723
76.922,28.571,0.11913720518350601
76.932,28.571,0.13045094907283783
76.943,28.571,0.12579111754894257
76.953,28.571,0.12473925948143005
76.963,28.571,0.13625310361385345
76.974,28.571,0.1291094571352005
76.984,28.571,0.11841921508312225
76.994,28.571,0.11846919357776642
77.005,28.571,0.11400202661752701
77.015,28.571,0.12092757225036621
77.026,28.571,0.12619030475616455
77.036,28.571,0.1169871985912323
77.046,28.571,0.13296595215797424
77.057,28.571,0.1256459355354309
77.067,28.571,0.12134358286857605
77.078,28.571,0.12384869158267975
77.088,28.571,
77.098,28.571,0.11915025860071182
77.109,28.571,0.12060967087745667
77.119,28.571,0.12498967349529266
77.129,28.571,0.13369329273700714
77.14,28.571,0.1359163224697113
77.15,28.571,0.12290861457586288
77.161,28.571,0.12493390589952469
77.171,28.571,0.12116851657629013
77.181,28.571,0.13555669784545898
77.192,28.571,0.11577315628528595
77.202,28.571,0.11454199999570847
77.213,28.571,0.13601934909820557
77.223,28.571,0.11928204447031021
77.233,28.571,0.12479117512702942
77.244,28.571,0.12018439918756485
77.254,28.571,0.12137382477521896
77.264,28.571,0.13082604110240936
77.275,28.571,0.11769409477710724
77.285,28.571,0.12032108008861542
77.296,28.571,0.12867586314678192
76.849,28.58,0.12425485998392105
76.86,28.58,0.11929003149271011
76.87,28.58,0.1272299885749817
76.88,28.58,0.11864118278026581
76.891,28.58,0.1328837275505066
76.901,28.58,0.1252565085887909
76.911,28.58,0.12624992430210114
76.922,28.58,0.11647067964076996
76.932,28.58,0.12060846388339996
76.943,28.58,0.12320081144571304
76.953,28.58,0.1252056509256363
76.963,28.58,0.12084351480007172
76.974,28.58,0.12340317666530609
76.984,28.58,0.1244879961013794
76.994,28.58,0.11977416276931763
77.005,28.58,0.12734991312026978
77.015,28.58,0.1353423148393631
77.026,28.58,
77.036,28.58,0.11755820363759995
77.046,28.58,0.13046252727508545
77.057,28.58,0.11669395118951797
77.067,28.58,0.11821478605270386
77.078,28.58,0.11685977876186371
77.088,28.58,0.12440402060747147
77.098,28.58,0.1268792301416397
77.109,28.58,0.1251000314950943
77.119,28.58,0.1262466162443161
77.129,28.58,0.12698253989219666
77.14,28.58,0.11835639178752899
77.15,28.58,0.11633715778589249
77.161,28.58,0.12465958297252655
77.171,28.58,0.13022620975971222
77.181,28.58,0.1298060268163681
77.192,28.58,0.12381748855113983
77.202,28.58,
77.213,28.58,0.11858146637678146
77.223,28.58,
77.233,28.58,0.13475584983825684
77.244,28.58,0.11761963367462158
77.254,28.58,0.11606606841087341
77.264,28.58,0.1251761019229889
77.275,28.58,0.11639638245105743
77.285,28.58,0.11759106814861298
77.296,28.58,0.12599942088127136
76.87,28.59,0.11622380465269089
76.88,28.59,0.1350332498550415
76.891,28.59,0.13144215941429138
76.901,28.59,0.11800755560398102
76.911,28.59,0.1183304637670517
76.922,28.59,0.13723288476467133
76.932,28.59,0.12979762256145477
76.943,28.59,0.13456927239894867
76.953,28.59,
76.963,28.59,0.11635761708021164
76.974,28.59,0.12105954438447952
76.984,28.59,0.12751246988773346
76.994,28.59,0.13670946657657623
77.005,28.59,0.13086874783039093
77.015,28.59,0.11830899119377136
77.026,28.59,0.1256459355354309
77.036,28.59,0.1203339695930481
77.046,28.59,0.11729461699724197
77.057,28.59,0.11885066330432892
77.067,28.59,0.12650303542613983
77.078,28.59,0.12467681616544724
77.088,28.59,0.12498967349529266
77.098,28.59,0.12594833970069885
77.109,28.59,0.11637487262487411
77.119,28.59,0.1191774383187294
77.129,28.59,0.11635572463274002
77.14,28.59,0.11641568690538406
77.15,28.59,0.12999996542930603
77.161,28.59,
77.171,28.59,0.1212923675775528
77.181,28.59,0.13758887350559235
77.192,28.59,0.11689510941505432
77.202,28.59,0.11573147028684616
77.213,28.59,
77.223,28.59,0.12075933814048767
77.233,28.59,0.12875249981880188
77.244,28.59,0.12372428923845291
77.254,28.59,
77.264,28.59,0.11832044273614883
77.275,28.59,0.11499353498220444
77.285,28.59,
77.296,28.59,0.12556502223014832
77.306,28.59,0.11702338606119156
76.88,28.6,0.12981447577476501
76.891,28.6,0.12009098380804062
76.901,28.6,0.13508187234401703
76.911,28.6,0.12190042436122894
76.922,28.6,0.11633779853582382
76.932,28.6,0.11970261484384537
76.943,28.6,0.12061469256877899
76.953,28.6,
76.963,28.6,0.1180393174290657
76.974,28.6,0.11660704761743546
76.984,28.6,0.13715825974941254
76.994,28.6,0.12258398532867432
77.005,28.6,0.11888951808214188
77.015,28.6,0.12260894477367401
77.026,28.6,0.12814946472644806
77.036,28.6,0.11917740106582642
77.046,28.6,0.11584603786468506
77.057,28.6,0.11790747940540314
77.067,28.6,0.13432905077934265
77.078,28.6,0.12937265634536743
77.088,28.6,0.13083942234516144
77.098,28.6,0.1293369084596634
77.109,28.6,0.13445784151554108
77.119,28.6,0.11677086353302002
77.129,28.6,0.12465958297252655
77.14,28.6,0.11730920523405075
77.15,28.6,0.11721913516521454
77.161,28.6,0.12929415702819824
77.171,28.6,0.1168677806854248
77.181,28.6,
77.192,28.6,0.11815201491117477
77.202,28.6,0.12528790533542633
77.213,28.6,0.12650445103645325
77.223,28.6,0.12581875920295715
77.233,28.6,0.12129808962345123
77.244,28.6,0.11770191788673401
77.254,28.6,0.11871947348117828
77.264,28.6,0.11783917993307114
77.275,28.6,0.12033244967460632
77.285,28.6,0.11636555939912796
77.296,28.6,0.11708959192037582
77.306,28.6,0.12091528624296188
77.316,28.6,0.11706586927175522
77.327,28.6,0.1385088711977005
76.88,28.61,0.11807405948638916
76.891,28.61,0.11738727241754532
76.901,28.61,0.11591034382581711
76.911,28.61,0.11810736358165741
76.922,28.61,0.11866779625415802
76.932,28.61,0.11674513667821884
76.943,28.61,0.12105954438447952
76.953,28.61,0.1305692344903946
76.963,28.61,0.11838550120592117
76.974,28.61,0.12560027837753296
76.984,28.61,0.12087158113718033
76.994,28.61,0.12651194632053375
77.005,28.61,0.12429771572351456
77.015,28.61,0.11979765444993973
77.026,28.61,0.13879798352718353
77.036,28.61,0.12608173489570618
77.046,28.61,0.12588611245155334
77.057,28.61,0.1268792301416397
77.067,28.61,0.12155045568943024
77.078,28.61,0.12537536025047302
77.088,28.61,0.13036707043647766
77.098,28.61,
77.109,28.61,0.13296082615852356
77.119,28.61,0.12119266390800476
77.129,28.61,0.13555669784545898
77.14,28.61,0.12098592519760132
77.15,28.61,0.11622633039951324
77.161,28.61,0.13080918788909912
77.171,28.61,0.12074247747659683
77.181,28.61,0.1202959269285202
77.192,28.61,0.12075933814048767
77.202,28.61,0.11974529922008514
77.213,28.61,0.13409344851970673
77.223,28.61,0.13906288146972656
77.233,28.61,0.1292102038860321
77.244,28.61,0.12985268235206604
77.254,28.61,0.11872198432683945
77.264,28.61,
77.275,28.61,0.11600123345851898
77.285,28.61,0.11484944075345993
77.296,28.61,0.13594657182693481
77.306,28.61,0.1373610645532608
77.316,28.61,0.11958818137645721
77.327,28.61,0.12246716767549515
77.337,28.61,0.12256116420030594
76.891,28.619,0.12202215939760208
76.901,28.619,0.12425588071346283
76.911,28.619,0.118595652282238
76.922,28.619,0.11718395352363586
76.932,28.619,0.11650778353214264
76.943,28.619,0.12865330278873444
76.953,28.619,0.12621697783470154
76.963,28.619,0.11596976220607758
76.974,28.619,0.12466449290513992
76.984,28.619,
76.994,28.619,0.13387887179851532
77.005,28.619,0.1246328204870224
77.015,28.619,0.11727248132228851
77.026,28.619,0.12015634030103683
77.036,28.619,0.12447701394557953
77.046,28.619,0.1251000314950943
77.057,28.619,0.11962338536977768
77.067,28.619,0.1175047978758812
77.078,28.619,
77.088,28.619,0.1347181797027588
77.098,28.619,0.11899549514055252
77.109,28.619,0.11943180114030838
77.119,28.619,0.12871092557907104
77.129,28.619,0.12685233354568481
77.14,28.619,
77.15,28.619,0.11655158549547195
77.161,28.619,0.12284361571073532
77.171,28.619,0.1253839135169983
77.181,28.619,0.12317793071269989
77.192,28.619,0.12009289115667343
77.202,28.619,0.1268160194158554
77.213,28.619,0.12869565188884735
77.223,28.619,
77.233,28.619,0.12112913280725479
77.244,28.619,0.1254175454378128
77.254,28.619,0.1322540044784546
77.264,28.619,0.13060863316059113
77.275,28.619,0.12742547690868378
77.285,28.619,0.13104276359081268
77.296,28.619,0.13858002424240112
77.306,28.619,0.13029509782791138
77.316,28.619,0.11833679676055908
77.327,28.619,0.11790049076080322
77.337,28.619,0.12415171414613724
76.891,28.629,0.13049393892288208
76.911,28.629,0.1212446391582489
76.922,28.629,0.13708503544330597
76.953,28.629,0.11681912839412689
76.963,28.629,0.1262180209159851
76.974,28.629,0.12461894005537033
76.984,28.629,0.11777468025684357
76.994,28.629,0.12037364393472672
77.005,28.629,0.11584603786468506
77.015,28.629,0.12010953575372696
77.026,28.629,0.1356382668018341
77.036,28.629,0.11684565246105194
77.046,28.629,0.12698253989219666
77.057,28.629,0.11542443931102753
77.067,28.629,0.12093789875507355
77.078,28.629,0.11650431901216507
77.088,28.629,0.11659436672925949
77.098,28.629,0.1190696433186531
77.109,28.629,0.1262386441230774
77.119,28.629,0.12555073201656342
77.129,28.629,0.13758887350559235
77.14,28.629,0.11647603660821915
77.15,28.629,0.121176578104496
77.161,28.629,0.124470055103302
77.171,28.629,0.11747723072767258
77.181,28.629,0.12294943630695343
77.192,28.629,0.11862495541572571
77.202,28.629,0.12024100869894028
77.213,28.629,0.11641281843185425
77.223,28.629,0.11631026118993759
77.233,28.629,0.12706351280212402
77.244,28.629,0.11839424818754196
77.254,28.629,0.13151708245277405
77.264,28.629,0.11846891045570374
77.275,28.629,0.11654070764780045
