longitude,latitude,O3_value(mol/m^2)
77.171,28.414,0.1252962201833725
77.181,28.414,0.12319156527519226
77.192,28.414,0.12825502455234528
77.202,28.414,0.1261095255613327
77.213,28.414,0.12812434136867523
77.223,28.414,0.12190618366003036
77.171,28.424,
77.181,28.424,0.12651477754116058
77.192,28.424,0.12536601722240448
77.202,28.424,0.12471678107976913
77.213,28.424,0.1271887868642807
77.223,28.424,0.123897485435009
77.233,28.424,0.12761929631233215
77.244,28.424,0.1302887499332428
77.161,28.434,0.13332326710224152
77.171,28.434,0.1264808624982834
77.181,28.434,0.12688502669334412
77.192,28.434,0.12754660844802856
77.202,28.434,0.12454038113355637
77.213,28.434,0.12369710952043533
77.223,28.434,0.1264798939228058
77.233,28.434,0.12570619583129883
77.244,28.434,0.12879842519760132
77.129,28.443,0.12433131784200668
77.14,28.443,0.13025011122226715
77.15,28.443,0.12400094419717789
77.161,28.443,0.12991532683372498
77.171,28.443,0.12304235994815826
77.181,28.443,
77.192,28.443,0.13023114204406738
77.202,28.443,0.12449497729539871
77.213,28.443,0.1268683671951294
77.223,28.443,0.13138613104820251
77.233,28.443,0.12922923266887665
77.244,28.443,0.128021240234375
77.129,28.453,0.12580715119838715
77.14,28.453,0.12819857895374298
77.15,28.453,0.12499144673347473
77.161,28.453,0.12511862814426422
77.171,28.453,0.12691368162631989
77.181,28.453,0.12501408159732819
77.192,28.453,
77.202,28.453,0.12642113864421844
77.213,28.453,0.12181734293699265
77.223,28.453,0.12753060460090637
77.233,28.453,0.12320304661989212
77.119,28.463,0.12971799075603485
77.129,28.463,0.12540531158447266
77.14,28.463,0.12217672914266586
77.15,28.463,0.12775419652462006
77.161,28.463,0.1258317232131958
77.171,28.463,0.12746018171310425
77.181,28.463,0.1304274946451187
77.192,28.463,0.1302887499332428
77.202,28.463,0.12612688541412354
77.213,28.463,0.12703754007816315
77.223,28.463,0.12414854019880295
77.119,28.473,0.12301934510469437
77.129,28.473,0.12345052510499954
77.14,28.473,
77.15,28.473,0.13157379627227783
77.161,28.473,0.12449497729539871
77.171,28.473,0.12419300526380539
77.181,28.473,
77.192,28.473,0.13190364837646484
77.202,28.473,
77.213,28.473,0.12668560445308685
77.223,28.473,
77.233,28.473,0.12984508275985718
77.119,28.482,
