longitude,latitude,So2_value(mol/m^2),So2_value(mol/m^2)
81.3830032348634,17.80261039733898,,-1.46456632137415e-05
81.3830032348634,17.942639182595755,0.000305328547256,5.232873081695288e-05
81.3830032348634,18.08266796785253,0.0001109903096221,-0.0001758359139785
81.3830032348634,18.222696753109304,8.320750202983618e-05,8.25327806524001e-05
81.3830032348634,18.36272553836608,0.0003734462952706,
81.3830032348634,18.50275432362285,,0.0005389697616919
81.3830032348634,18.642783108879627,3.129406468360685e-05,
81.3830032348634,18.7828118941364,-6.195194146130234e-05,0.0004005128866992
81.3830032348634,18.922840679393172,0.0003884528705384,0.0006256835185922
81.3830032348634,19.062869464649957,,
81.3830032348634,19.202898249906728,7.019796612439677e-05,0.0007934435270726
81.3830032348634,19.342927035163505,0.0003130085242446,
81.3830032348634,19.48295582042028,2.7210031475988217e-05,0.0002580494037829
81.3830032348634,19.62298460567705,0.0006405307212844,0.000220875852392
81.3830032348634,19.763013390933825,0.0001140128224506,-6.49252106086351e-05
81.3830032348634,19.9030421761906,-0.0001186062290798,
81.3830032348634,20.043070961447373,-0.0007822436746209,0.0001083030001609
81.3830032348634,20.183099746704148,0.000590004667174,
81.3830032348634,20.32312853196092,,-0.000429554056609
81.3830032348634,20.463157317217696,,
81.3830032348634,20.60318610247447,,0.0003382353752385
81.3830032348634,20.743214887731245,-7.367796933976933e-05,0.0004517149354796
81.3830032348634,20.88324367298802,-0.0001330090453848,-0.0005110421334393
81.3830032348634,21.0232724582448,0.0004043916705995,-4.846190131502226e-05
81.3830032348634,21.16330124350157,,0.0004299560096114
81.3830032348634,21.303330028758342,0.0001802132464945,
81.3830032348634,21.44335881401512,,0.0002075269876513
81.3830032348634,21.58338759927189,-5.139824133948423e-05,-0.0002159180148737
81.3830032348634,21.72341638452867,,
81.3830032348634,21.863445169785443,-0.0006374098011292,
81.3830032348634,22.003473955042217,,0.0003388032200746
81.3830032348634,22.14350274029899,9.643006342230363e-05,
81.3830032348634,22.28353152555577,,
81.3830032348634,22.42356031081254,-0.0001991429453482,0.0002928036265075
81.3830032348634,22.563589096069315,-2.1711222871090285e-05,0.0004333518154453
81.5230032348634,17.80261039733898,0.0004926662077195,-0.0005345534300431
81.5230032348634,17.942639182595755,-0.0002795771870296,0.0004932308220304
81.5230032348634,18.08266796785253,-0.0002014506753766,
81.5230032348634,18.222696753109304,3.137084058835171e-05,
81.5230032348634,18.36272553836608,,9.350239452032838e-06
81.5230032348634,18.50275432362285,0.0032817386090755,0.0001259620330529
81.5230032348634,18.642783108879627,,-0.0004809786623809
81.5230032348634,18.7828118941364,-9.327974839834496e-05,
81.5230032348634,18.922840679393172,-0.0001488468114985,-0.0007174122147262
81.5230032348634,19.062869464649957,0.0001915841712616,-0.0001569896849105
81.5230032348634,19.202898249906728,0.000677740375977,0.0004136185452807
81.5230032348634,19.342927035163505,0.0001228582841577,0.0001761105086188
81.5230032348634,19.48295582042028,3.111293335678056e-05,0.0004547671414911
81.5230032348634,19.62298460567705,-0.0001403924252372,-0.0007024918450042
81.5230032348634,19.763013390933825,0.001333154621534,0.0005176280392333
81.5230032348634,19.9030421761906,,-9.539409802528098e-05
81.5230032348634,20.043070961447373,0.0003967129450757,-1.7030495655490085e-05
81.5230032348634,20.183099746704148,,-2.7865447918884456e-05
81.5230032348634,20.32312853196092,,-0.000356094999006
81.5230032348634,20.463157317217696,0.0002691358968149,0.0004842499911319
81.5230032348634,20.60318610247447,2.0235473130014725e-05,
81.5230032348634,20.743214887731245,3.874165122397244e-05,6.291642057476565e-05
81.5230032348634,20.88324367298802,7.951690349727869e-05,-0.0002551484212744
81.5230032348634,21.0232724582448,-0.000190169957932,0.0006934092962183
81.5230032348634,21.16330124350157,0.0002603013417683,
81.5230032348634,21.303330028758342,-9.056525595951824e-05,
81.5230032348634,21.44335881401512,-0.0010947494301944,-0.0003456830454524
81.5230032348634,21.58338759927189,-4.339904262451455e-05,-0.0001832760463003
81.5230032348634,21.72341638452867,,-0.0003890476073138
81.5230032348634,21.863445169785443,-3.2286894565913826e-05,
81.5230032348634,22.003473955042217,,0.0001875791494967
81.5230032348634,22.14350274029899,0.0002374865434831,-3.571248852196618e-09
81.5230032348634,22.28353152555577,-0.0003540808102115,-9.028302156366408e-05
81.5230032348634,22.42356031081254,,1.1509659088915214e-05
81.5230032348634,22.563589096069315,-0.0002078446705127,0.0003677172062452
81.6630032348634,17.80261039733898,-0.0001994932536035,-1.0614133316266816e-05
81.6630032348634,17.942639182595755,-0.0005783655215054,0.0014666250208392
81.6630032348634,18.08266796785253,7.179164094850421e-05,-0.0001502476516179
81.6630032348634,18.222696753109304,0.0001840428594732,
81.6630032348634,18.36272553836608,2.416775532765314e-05,-0.000169904451468
81.6630032348634,18.50275432362285,0.0002405722771072,0.0003083862247876
81.6630032348634,18.642783108879627,-0.0003162091015838,-0.0004702795413322
81.6630032348634,18.7828118941364,,0.0003887646598741
81.6630032348634,18.922840679393172,-0.0009818219114094,-0.0003691413730848
81.6630032348634,19.062869464649957,0.0004803800256922,-0.0002115265669999
81.6630032348634,19.202898249906728,,
81.6630032348634,19.342927035163505,,0.0006144600920379
81.6630032348634,19.48295582042028,0.000147584156366,
81.6630032348634,19.62298460567705,,-0.0002096836396958
81.6630032348634,19.763013390933825,-0.0004627212765626,5.2862709708279e-05
81.6630032348634,19.9030421761906,,-0.0001447630638722
81.6630032348634,20.043070961447373,0.0001341134047834,0.0001497429038863
81.6630032348634,20.183099746704148,,-0.0009810490300878
