longitude,latitude,So2_value(mol/m^2)
74.0543060302735,11.574480056762807,
74.0543060302735,11.714901281862954,0.0023202479351311
74.0543060302735,11.855322506963098,4.634658398572356e-05
74.0543060302735,11.99574373206324,0.0010215762304142
74.0543060302735,12.136164957163386,3.024490251846146e-05
74.0543060302735,12.27658618226353,0.0009315959177911
74.0543060302735,12.417007407363675,7.149569864850491e-05
74.0543060302735,12.55742863246382,8.832916500978172e-05
74.0543060302735,12.697849857563964,-8.459945092909038e-05
74.0543060302735,12.838271082664107,0.0001304290199186
74.0543060302735,12.978692307764252,-0.0001403482601745
74.0543060302735,13.119113532864397,0.0001028745973599
74.0543060302735,13.25953475796454,-0.0007135169580578
74.0543060302735,13.399955983064684,-0.0007732438971288
74.0543060302735,13.540377208164829,6.615100573981181e-05
74.0543060302735,13.680798433264972,-4.242252089170506e-06
74.0543060302735,13.821219658365118,-3.842876685666852e-05
74.0543060302735,13.96164088346526,-0.0002793864405248
74.0543060302735,14.102062108565406,8.181425982911605e-06
74.0543060302735,14.24248333366555,0.000173082051333
74.0543060302735,14.382904558765697,-5.0333706894889474e-05
74.0543060302735,14.52332578386584,
74.0543060302735,14.663747008965984,-0.000131068052724
74.0543060302735,14.804168234066127,-3.5417251638136804e-05
74.0543060302735,14.944589459166272,0.0002208510704804
74.0543060302735,15.085010684266416,-0.0012433773372322
74.0543060302735,15.22543190936656,-0.0001171499388874
74.0543060302735,15.365853134466704,-9.094116830965504e-05
74.0543060302735,15.506274359566849,-0.0002465174475219
74.0543060302735,15.646695584666992,-0.0001520592777524
74.0543060302735,15.787116809767138,-0.0001370218669762
74.0543060302735,15.927538034867284,
74.0543060302735,16.067959259967427,-0.0003349182370584
74.0543060302735,16.208380485067572,
74.0543060302735,16.348801710167713,-9.2764625151176e-05
74.0543060302735,16.48922293526786,0.0022085204254835
74.0543060302735,16.629644160368002,0.0007793043623678
74.0543060302735,16.770065385468147,-0.0003024233155883
74.0543060302735,16.91048661056829,-0.0007643781136721
74.0543060302735,17.050907835668436,2.6396581233711917e-05
74.0543060302735,17.19132906076858,0.0001036418252624
74.0543060302735,17.331750285868726,-0.0008366230758838
74.0543060302735,17.47217151096887,-0.0001486255059717
74.0543060302735,17.612592736069015,-4.993439870304428e-05
74.0543060302735,17.75301396116916,0.0007318894495256
74.0543060302735,17.8934351862693,0.0002909030299633
74.0543060302735,18.033856411369445,-0.0009444517199881
74.0543060302735,18.17427763646959,
74.0543060302735,18.31469886156973,-0.0003979289031121
74.0543060302735,18.45512008666988,0.0001875724847195
74.1943060302735,11.574480056762807,1.9508710465743206e-05
74.1943060302735,11.714901281862954,-0.000572514720261
74.1943060302735,11.855322506963098,-0.0001538335927762
74.1943060302735,11.99574373206324,0.0002536257670726
74.1943060302735,12.136164957163386,4.302031811675988e-05
74.1943060302735,12.27658618226353,-0.000117251285701
74.1943060302735,12.417007407363675,0.0004856840532738
74.1943060302735,12.55742863246382,-5.870008862984832e-06
74.1943060302735,12.697849857563964,-0.0001560002856422
74.1943060302735,12.838271082664107,0.0001039993294398
74.1943060302735,12.978692307764252,0.0002803166862577
74.1943060302735,13.119113532864397,-2.17920260183746e-05
74.1943060302735,13.25953475796454,-5.715020961361006e-06
74.1943060302735,13.399955983064684,0.000154809342348
74.1943060302735,13.540377208164829,0.0002889018214773
74.1943060302735,13.680798433264972,8.250110840890557e-05
74.1943060302735,13.821219658365118,-0.0024301486555486
74.1943060302735,13.96164088346526,3.2320509490091354e-05
74.1943060302735,14.102062108565406,
74.1943060302735,14.24248333366555,-0.000275731756119
74.1943060302735,14.382904558765697,
74.1943060302735,14.52332578386584,0.00018229521811
74.1943060302735,14.663747008965984,0.0003088820376433
74.1943060302735,14.804168234066127,-8.511519990861416e-05
74.1943060302735,14.944589459166272,8.188468200387433e-05
74.1943060302735,15.085010684266416,0.0001022862561512
74.1943060302735,15.22543190936656,-6.379081605700776e-05
74.1943060302735,15.365853134466704,0.0001082118978956
74.1943060302735,15.506274359566849,-0.0001416017184965
74.1943060302735,15.646695584666992,0.0001581024989718
74.1943060302735,15.787116809767138,0.000349017267581
74.1943060302735,15.927538034867284,9.47551234276034e-05
74.1943060302735,16.067959259967427,-0.0002979497076012
74.1943060302735,16.208380485067572,0.000107681065856
74.1943060302735,16.348801710167713,-9.70917462836951e-05
74.1943060302735,16.48922293526786,0.0002403112448519
74.1943060302735,16.629644160368002,4.482901931623928e-05
74.1943060302735,16.770065385468147,9.61389159783721e-05
74.1943060302735,16.91048661056829,0.0009213925804942
74.1943060302735,17.050907835668436,-2.641773608047515e-05
74.1943060302735,17.19132906076858,-0.0008196136914193
74.1943060302735,17.331750285868726,-0.000221857058932
74.1943060302735,17.47217151096887,0.0002791947044897
74.1943060302735,17.612592736069015,-0.0004720261495094
74.1943060302735,17.75301396116916,3.234674295526929e-05
74.1943060302735,17.8934351862693,-0.0001193667339975
74.1943060302735,18.033856411369445,6.89064254402183e-05
74.1943060302735,18.17427763646959,-0.0003922386385966
74.1943060302735,18.31469886156973,5.14764578838367e-05
74.1943060302735,18.45512008666988,
74.3343060302735,11.574480056762807,9.386317833559588e-05
74.3343060302735,11.714901281862954,-0.0002351650473428
74.3343060302735,11.855322506963098,-0.0003025913320016
74.3343060302735,11.99574373206324,-5.532837894861586e-05
74.3343060302735,12.136164957163386,0.0001118274522013
74.3343060302735,12.27658618226353,9.905068873194978e-05
74.3343060302735,12.417007407363675,0.000183127092896
74.3343060302735,12.55742863246382,-0.0006251466693356
74.3343060302735,12.697849857563964,0.0001746131893014
