longitude,latitude,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-27,2023-09-28,2023-09-29,2023-09-30
81.3830032348634,17.80261039733898,2.63159327005269e-05,1.429630719940178e-05,7.361806638073176e-05,5.235888693277957e-06,3.5954763006884605e-05,3.841619400191121e-05,,,,1.7717775335768238e-05,-6.850299996585818e-06,1.4505743820336647e-05,2.436901741020847e-05,3.80285246137646e-06,1.0579645277175588e-05,2.4651857529534027e-05,4.832216654904187e-05,6.212529569893377e-06,2.727047831285745e-05,8.455183888145257e-06,-2.4361092982871924e-06,1.5498389984713867e-05,2.874472011171747e-05,-1.7162125004688278e-05,1.589433850313071e-05,7.588993412355194e-06,8.633885045128409e-06,2.180502269766293e-05,1.614992470422294e-05
81.3830032348634,17.942639182595755,2.832578684319742e-05,3.4564334782771766e-05,,,,9.626655810279772e-06,1.351486935163848e-05,6.473378107330063e-06,1.0324596587452106e-05,5.674026397173293e-06,5.545994554267963e-06,1.6616731954854913e-05,2.482521449564956e-05,2.1674339222954583e-05,6.626727554248646e-05,3.270402885391377e-05,8.791982509137597e-06,1.6380958186346106e-05,4.109607289137784e-06,3.5626615044748178e-06,2.3620375941391103e-05,-1.546449226452751e-07,2.429455525998492e-05,-8.160055585904047e-06,1.6405590940848924e-05,5.496456287801266e-05,1.8194214135291983e-05,1.6564570614718832e-05,9.96626476990059e-06
81.3830032348634,18.08266796785253,1.535768387839198e-05,2.6940188035951e-05,2.65986382146366e-05,2.188778125855606e-06,,2.209763079008553e-05,,1.126935694628628e-05,-1.555513335915748e-07,3.886237755068578e-05,1.2400681953295134e-05,1.397375399392331e-05,8.122745498440054e-07,1.1979944247286768e-05,1.3332754861039575e-05,3.522331826388836e-05,9.579026482242624e-06,5.962132127024233e-05,8.15141561361088e-07,1.948833642018144e-06,3.120316978311166e-05,4.871566034125863e-06,2.543145274103153e-05,1.4719017599418294e-05,1.673647034294845e-06,2.4773074983386323e-05,9.37281674850965e-06,1.2488343600125518e-05,1.492940282332711e-05
81.3830032348634,18.222696753109304,1.2385375157464296e-05,,1.3323384337127209e-05,4.346757176421079e-09,4.539475048659369e-05,1.9716677343240008e-05,-1.6636498912703246e-05,1.6050647900556214e-05,1.7723452401696704e-05,1.4052243386686314e-05,3.3903947951330338e-06,2.8483795176725835e-05,1.2993481504963713e-05,2.612373464216944e-05,1.3005810615140945e-05,1.609560172255442e-06,1.304129182244651e-05,1.0292045772075651e-05,1.824203900469001e-05,1.175141915155109e-05,2.864561065507587e-05,2.695053126444691e-06,2.2981741494731978e-05,3.3452804927947e-05,6.754960850230418e-06,5.093716026749462e-06,4.779183655045927e-06,1.576966133143287e-05,3.036805901501793e-05
81.3830032348634,18.36272553836608,1.2643538866541348e-05,2.039955143118277e-05,3.565216684364714e-05,6.1423297665896825e-06,4.1814741962298285e-06,6.82009613228729e-06,9.214201782015152e-06,-7.310430305551563e-07,5.1648936505444e-07,1.4209812434273772e-05,-1.7291560652665794e-05,-3.206939436495304e-05,1.9868222807417624e-05,2.794445754261688e-05,3.337305679451674e-05,1.0394443961558864e-05,,7.364900284301257e-06,2.4726115952944383e-05,4.651314156944864e-05,4.815453212358989e-05,1.7543017747811973e-05,1.905268072732724e-05,1.4998493497841991e-05,1.3871349437977187e-05,1.5081162928254344e-05,4.13830166507978e-05,3.601604112191126e-05,3.292966357548721e-05
81.3830032348634,18.50275432362285,1.4818753697909416e-05,2.573169876995962e-05,2.188134749303572e-05,1.814530151023064e-06,1.7738873793859966e-05,1.370339759887429e-05,,6.074242264730856e-06,1.3701552234124392e-05,1.3675459740625229e-05,-1.6218002656387398e-06,2.1285675757098943e-05,4.869976237387164e-06,2.00552476599114e-05,1.0734388524724636e-05,1.675410931056831e-05,1.739989238558337e-05,-1.9443846213107463e-06,2.91246051347116e-05,1.5764742784085684e-05,2.3013248210190795e-05,4.175749381829519e-06,2.2309830455924384e-05,2.266782212245744e-05,4.429451291798614e-05,1.2915887964481954e-05,3.2534888305235654e-05,1.515643725724658e-05,1.980970409931615e-05
81.3830032348634,18.642783108879627,1.2574244465213267e-05,1.894865272333845e-05,2.925135231635068e-05,1.2000097058262329e-06,1.0692434443626553e-05,2.225544085376896e-05,3.5638811823446304e-05,-7.55059409129899e-06,1.113194684876362e-05,4.649005404644413e-06,9.950299499905668e-06,1.3337982636585366e-05,-2.056093819646776e-07,1.0816074791364372e-05,-2.2687659750886272e-08,,4.4609208998736e-05,9.998417226597668e-06,1.7895441487780772e-05,4.671040005632676e-05,2.207517172791995e-05,1.0733449926192408e-05,1.7971324268728495e-05,3.1782219593878835e-05,1.7182817828143016e-05,1.730235635477584e-05,-1.014980261970777e-05,3.852564259432256e-05,2.0146455426584e-05
81.3830032348634,18.7828118941364,1.9264982256572694e-05,1.3762911294179505e-05,2.5832432584138587e-05,7.285674655577168e-06,-6.767866125301225e-06,-6.750961745183305e-08,1.124888331105467e-05,1.478629383200314e-05,9.53680955717573e-06,4.494792301557027e-05,5.334221441444242e-06,2.193821092077997e-05,1.4691790056531318e-05,1.4684074812976178e-05,7.889411790529266e-06,,2.01435832423158e-05,9.044346370501444e-06,2.022822263825219e-05,-2.689162101887632e-05,2.7133286494063213e-05,1.5504940165556036e-05,1.4446348359342664e-05,-1.737344632601889e-06,1.7860698790173046e-05,2.0169585695839487e-05,9.982650226447731e-06,4.026812894153409e-05,1.715467260510195e-05
81.3830032348634,18.92284067939317,9.116023647948168e-06,5.92602118558716e-05,1.804769090085756e-05,1.1112560969195329e-05,7.915696187410504e-06,1.9847615476464853e-05,5.799267000838881e-06,2.3246746422955766e-05,8.641952263133135e-06,3.3252817956963554e-05,-1.035750665323576e-05,2.6447694835951552e-05,3.50131667801179e-05,1.6415169739047997e-05,9.8849614005303e-06,1.51554213516647e-05,2.893390592362266e-05,1.4198452845448628e-05,3.673816900118254e-05,1.2710196642728988e-05,-2.477920304500003e-07,1.4466703760263044e-05,1.9636132492451e-05,-3.879588348354446e-07,1.2599221008713355e-05,7.883250873419456e-06,-4.13098632634501e-06,1.6335639884346165e-05,1.3887408385926392e-05
81.3830032348634,19.06286946464996,,,3.649378777481616e-05,-1.3058175909463898e-06,9.115628017752895e-06,2.8075644877390005e-05,,-1.0025108167610595e-05,1.4779549019294793e-05,,1.854683068813756e-05,1.6754793250584044e-05,5.253957169770729e-06,1.0508661034691611e-05,1.2679030987783337e-05,4.897931830782909e-06,1.4992312571848744e-05,1.8937140339403413e-05,1.4485940482700244e-05,3.984273462265264e-06,5.722883543057833e-06,2.711857632675673e-05,2.797476736304816e-05,-1.2975343452126252e-05,1.411652374372352e-05,4.287022238713689e-05,3.268708678660914e-05,1.4458342775469646e-05,8.04765113571193e-06
