longitude,latitude,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-27,2023-09-28,2023-09-29,2023-09-30
85.8263626098634,21.539445877075195,2.476758891134523e-05,3.79830198653508e-05,3.090637983405031e-05,1.344617885479238e-06,2.5004137569339943e-05,1.3068835869489703e-05,8.5188685261528e-06,-3.894893325195881e-06,1.8545304101280635e-06,3.767336602322757e-05,8.343142326339148e-06,,8.60819545778213e-06,1.1630036169663072e-05,1.6765196050982922e-05,4.3823929445352405e-06,5.208371931075817e-06,9.164155926555397e-06,4.3597454350674525e-05,2.6941899704979733e-05,-5.796801474389213e-07,-8.31484157970408e-07,1.494183834438445e-05,2.4289289285661653e-05,2.4321263481397185e-05,8.682091902301181e-06,-3.836316864180844e-06,,1.2319106645009016e-05
85.8263626098634,21.66033067094519,,4.194120992906392e-05,2.072489405691158e-05,-5.710407549486263e-06,1.0171354006160982e-05,2.2121235815575343e-05,2.3231214072438888e-05,-7.5686756417781e-08,9.723417861096095e-06,2.6459039872861467e-05,5.153281017555855e-05,,9.65553135756636e-06,4.556246040010592e-06,2.5890942197293043e-05,3.5411712815403007e-06,1.7638323697610758e-05,7.808559530531056e-06,2.1336411009542644e-05,9.093435437534936e-06,4.803149931831285e-05,1.8948347815239688e-06,4.359579179435968e-05,2.2892156266607344e-05,4.7093753892113455e-06,1.467902256990783e-05,3.190426286892034e-05,1.9967641492257823e-05,1.3098358977003954e-05
85.8263626098634,21.78121546481518,,,,,8.519526090822183e-06,4.475448076846078e-05,,,-5.6642629715497606e-06,9.133039384323638e-06,-1.739537765388377e-05,4.689426532422658e-06,1.899606286315248e-05,-6.237118213903159e-06,1.3701518582820428e-05,,1.6724123270250857e-05,1.2744596460834146e-05,6.125836807768792e-05,1.7703969206195325e-05,-3.133269956379081e-06,1.281026356991788e-06,1.0038901564257683e-05,8.853270264808089e-05,1.2657787010539325e-05,-2.595302248664666e-06,-6.146210125734797e-06,3.604870471463073e-06,6.433035196096171e-06
85.8263626098634,21.902100258685174,3.4573393350001425e-05,1.6354693798348308e-05,3.400605055503547e-05,1.214060375787085e-06,9.702451279736124e-06,2.725746344367508e-05,6.302025576587766e-05,2.8431197733880254e-06,-2.113121081492864e-05,5.7233373809140176e-05,7.071654636092717e-06,2.802107883326244e-05,-3.065701719151548e-07,2.105785461026244e-05,1.834043359849602e-05,1.092368438548874e-05,1.0655495316314044e-05,1.235802483279258e-05,1.440675350750098e-05,-1.3824831512465607e-05,1.274634814762976e-05,6.444147857109783e-06,1.3288184163684493e-05,1.1684914170473348e-05,2.538283115427476e-05,2.377114651608281e-05,9.489272088103462e-06,3.774886499741115e-05,3.3739328500814736e-05
85.8263626098634,22.022985052555168,2.8361077056615613e-05,3.1389593004860217e-06,,-3.6296717098593945e-06,4.8274374421453103e-05,8.242552212323062e-06,,9.569583880875143e-07,1.7600468709133565e-05,,1.853896901593544e-05,,1.7262376786675304e-05,1.731792144710198e-05,-2.937519809620426e-07,7.664429176656995e-06,-5.57507410121616e-05,9.251571100321598e-06,0.0001281338190892,1.1183570677530952e-05,2.5956062017939985e-05,1.0199991265835706e-05,2.9308062948985025e-05,7.004733924986795e-05,1.97263161680894e-05,2.280936314491555e-05,6.537427452713018e-06,1.9208837329642847e-05,1.7538863176014274e-05
85.8263626098634,22.14386984642516,1.1779011401813476e-05,1.462757518311264e-05,1.862592216639314e-05,-1.693097328825388e-05,,1.2574108041008005e-05,1.945502299349755e-05,5.070149654784473e-06,3.486136392893968e-06,,-8.008013537619263e-06,,-5.414814950199798e-06,1.1162514056195503e-05,3.194277269358281e-06,1.821427395043429e-05,4.500677448504576e-07,6.964459657865518e-07,3.623132579377853e-05,7.27342057871283e-06,1.045987346515176e-06,3.659863068605773e-05,2.038885031652171e-05,6.53158031127532e-06,8.950725714385044e-06,,1.1825010915345048e-05,2.248395276183146e-06,3.618778237068909e-06
85.8263626098634,22.264754640295152,,2.3256914573721588e-05,,2.515570849936921e-05,,2.224361742264591e-05,5.749590400228044e-06,8.786519174464047e-06,7.603695394209353e-06,1.9029144823434763e-05,1.3453030078380834e-05,1.9994102331111208e-05,-2.4466255581501173e-06,6.053762263036333e-06,,2.022525950451381e-05,9.725520612846594e-06,1.1949241525144316e-05,1.5206728676275816e-05,5.2639970817836e-06,2.2146237824927084e-05,1.8715943951974623e-05,1.7058227967936546e-05,7.522294254158623e-06,1.2794256690540353e-05,2.942047467513476e-05,1.950973819475621e-05,2.4116448912536725e-05,8.101048479147721e-06
85.8263626098634,22.385639434165142,1.2610742487595417e-05,,2.096958451147657e-05,-4.724827704194468e-06,,5.234402851783671e-05,,,,1.3283739463076928e-05,4.518248533713631e-05,-7.65881338793406e-07,-2.900523440985125e-06,5.75560079596471e-06,2.110428977175616e-05,8.636361599201337e-06,1.7642923921812326e-05,1.1559546692296864e-05,1.0475468116055708e-05,2.9088896553730592e-05,2.143880010407884e-05,7.638829629286192e-06,1.8767432266031392e-05,5.291730758472113e-06,2.2219266611500643e-05,1.715647340461146e-05,3.458290666458197e-05,7.984880539879669e-06,1.283628535020398e-05
85.8263626098634,22.50652422803514,2.2468935640063137e-05,1.3574342574429463e-06,1.677572618064005e-05,9.101023351831827e-06,3.278075382695533e-05,5.1750241254922e-05,2.0091056285309605e-06,1.3118064998707268e-05,-5.508819867827697e-06,7.906573955551721e-06,5.267483174975496e-06,2.7787969884229824e-05,-5.011402777199692e-07,7.73233659856487e-06,1.4124122571956832e-05,,-3.938968802685849e-06,5.717715339415008e-06,1.9352684830664657e-05,1.4436005585594104e-05,7.509297574870288e-06,5.849700755788945e-05,4.806285687664058e-06,2.429871165077202e-05,4.041945885546738e-06,8.838790563459042e-06,5.32674584974302e-06,5.977028649795102e-06,9.650177162257023e-06
85.8263626098634,22.62740902190513,,1.6237028830801137e-05,1.6462678104289807e-05,7.185967660916504e-06,1.065238939190749e-05,1.1942863238800784e-05,1.405532384524122e-05,,9.520863386569545e-06,,5.781858817499597e-06,1.2682017768383956e-05,2.129653876181692e-05,2.898955244745593e-05,7.444724815286463e-06,,-2.804303767334204e-05,4.139872544328682e-06,2.701467929000501e-05,1.223100844072178e-05,4.104120307601988e-05,6.663264230155619e-06,1.3173034858482424e-05,9.077684808289632e-06,2.3134658476919867e-05,-2.46266267822648e-06,1.490339946030872e-05,1.0300119356543291e-05,2.7462407160783187e-05
