date,threshold_value
2023-09-01,0.00017658423147917863
2023-09-02,7.952505485247068e-05
2023-09-03,6.927133235396383e-05
2023-09-04,0.00013657411532829638
2023-09-05,0.00012302181441437937
2023-09-06,0.0001818741282644733
2023-09-07,0.00011176978693448373
2023-09-08,0.0001358773893155415
2023-09-09,0.00014316677055605109
2023-09-10,0.00016428724793112896
2023-09-11,0.00012341724017399068
2023-09-12,0.00016850085720743674
2023-09-13,0.00012135318435474303
2023-09-14,0.00012731660712828117
2023-09-15,0.00014340078939701782
2023-09-16,0.00010009581368341528
2023-09-17,6.847244566964479e-05
2023-09-18,9.945379713425067e-05
2023-09-19,0.00014958907665407368
2023-09-20,0.000135263754334312
2023-09-21,0.0002054368962268077
2023-09-22,0.00012448127788121719
2023-09-23,0.00019689438805627066
2023-09-24,0.00014182730716339966
2023-09-25,0.00019105315903546812
2023-09-26,0.00016088956039432225
2023-09-27,8.141192612033656e-05
2023-09-28,0.00020220824235409597
2023-09-29,0.00016440441951914189
2023-09-30,0.0001692426503502316
