date,threshold_value
2023-09-01,0.027905018114046526
2023-09-02,0.037531095268790574
2023-09-03,0.034247517305290597
2023-09-04,0.03580968642599906
2023-09-05,0.03278348675725613
2023-09-06,0.030525567834895746
2023-09-07,0.03151896612703972
2023-09-08,0.027027420247353273
2023-09-09,0.029120239502892532
2023-09-10,0.033075704311049316
2023-09-11,0.03021715040873093
2023-09-12,0.031035251390031656
2023-09-13,0.03177935154973592
2023-09-14,0.036071898791495874
2023-09-15,0.035361690826462046
2023-09-16,0.031165214323666986
2023-09-17,0.028760908978626588
2023-09-18,0.031016513417125635
2023-09-19,0.028023517754720204
2023-09-20,0.0337789298312491
2023-09-21,0.029232919831219048
2023-09-22,0.028620599632532374
2023-09-23,0.032618045839617395
2023-09-24,0.030477956645517862
2023-09-25,0.027605957249489624
2023-09-26,0.033875780311046176
2023-09-27,0.029839924639771264
2023-09-28,0.03126919374099512
2023-09-29,0.02699410273211091
2023-09-30,0.026142021012630433
