date,threshold_value
2023-09-01,0.025399097336401878
2023-09-02,0.029811300012154523
2023-09-03,0.02693052808282284
2023-09-04,0.028511463543489435
2023-09-05,0.028268839468917093
2023-09-06,0.025436024568225864
2023-09-07,0.027760292196186313
2023-09-08,0.028870191297800066
2023-09-09,0.027898337724308126
2023-09-10,0.02863505624532695
2023-09-11,0.028644766110107082
2023-09-12,0.030226547449249082
2023-09-13,0.030867041822142862
2023-09-14,0.029338714012638028
2023-09-15,0.029856309941310777
2023-09-16,0.030815790577534773
2023-09-17,0.03173069071573798
2023-09-18,0.030823576249480716
2023-09-19,0.029969751745103305
2023-09-20,0.030910574390779752
2023-09-21,0.029219151000349438
2023-09-22,0.028634635987103155
2023-09-23,0.028310924369191737
2023-09-24,0.03113159662633696
2023-09-25,0.027482792507397526
2023-09-26,0.029719172402083712
2023-09-27,0.02936784529009514
2023-09-28,0.029168738321802435
2023-09-29,0.028889508349330753
2023-09-30,0.02905575703221454
