longitude,latitude,No2_value(mol/m^2)
77.171,28.414,1.2494458133005537e-05
77.181,28.414,1.242887356056599e-05
77.192,28.414,1.3131523701304104e-05
77.202,28.414,1.775519376678858e-05
77.213,28.414,1.2118357517465483e-05
77.223,28.414,3.188134360243566e-05
77.171,28.424,
77.181,28.424,1.19565174827585e-05
77.192,28.424,5.0948434363817796e-05
77.202,28.424,9.39826622925466e-06
77.213,28.424,2.046867621174897e-06
77.223,28.424,3.7764166336273775e-05
77.233,28.424,9.323023732576985e-06
77.244,28.424,
77.161,28.434,
77.171,28.434,1.2713428077404387e-05
77.181,28.434,
77.192,28.434,
77.202,28.434,1.098401662602555e-05
77.213,28.434,
77.223,28.434,8.894856364349835e-06
77.233,28.434,8.492817869409919e-06
77.244,28.434,1.4519762771669775e-05
77.129,28.443,1.1351460670994129e-05
77.14,28.443,4.0846611227607355e-05
77.15,28.443,1.6870184481376782e-05
77.161,28.443,1.002011867967667e-05
77.171,28.443,1.7833164747571573e-05
77.181,28.443,2.930443770310376e-05
77.192,28.443,1.6747408153605647e-05
77.202,28.443,
77.213,28.443,1.5101330973266158e-05
77.223,28.443,3.169616684317589e-05
77.233,28.443,3.5324570490047336e-05
77.244,28.443,
77.129,28.453,1.9104418242932297e-05
77.14,28.453,1.5043703569972422e-05
77.15,28.453,
77.161,28.453,1.2655456885113381e-05
77.171,28.453,8.443211845587939e-05
77.181,28.453,
77.192,28.453,
77.202,28.453,3.2030035072239116e-05
77.213,28.453,
77.223,28.453,8.444591003353707e-06
77.233,28.453,1.3819757441524416e-05
77.119,28.463,1.7537895473651588e-05
77.129,28.463,4.017226819996722e-05
77.14,28.463,3.1922772905090824e-05
77.15,28.463,1.767070534697268e-05
77.161,28.463,9.723336006572936e-06
77.171,28.463,
77.181,28.463,8.894856364349835e-06
77.192,28.463,1.4533586181642022e-05
77.202,28.463,
77.213,28.463,8.063940185820684e-06
77.223,28.463,
77.119,28.473,4.942658961226698e-06
77.129,28.473,4.827921657124534e-05
77.14,28.473,2.6842577426577918e-05
77.15,28.473,1.098401662602555e-05
77.161,28.473,2.1220301277935505e-05
77.171,28.473,
77.181,28.473,
77.192,28.473,1.3366692655836232e-05
77.202,28.473,1.5343253835453652e-05
77.213,28.473,
77.223,28.473,1.4484140592685435e-05
77.233,28.473,4.555441773845814e-05
77.119,28.482,1.3215845683589578e-05
77.129,28.482,1.4326621567306574e-05
77.14,28.482,3.2929445296758786e-05
77.15,28.482,2.0818577468162403e-05
77.161,28.482,5.512463303602999e-06
77.171,28.482,2.2209444068721496e-05
77.181,28.482,5.5297969083767384e-06
77.192,28.482,
77.202,28.482,1.0553630090726074e-05
77.213,28.482,1.89076872629812e-05
77.223,28.482,7.586659194203094e-06
77.233,28.482,1.7131667846115306e-05
77.244,28.482,
77.129,28.492,1.6022409909055568e-05
77.14,28.492,3.251811676818761e-06
77.15,28.492,1.5265621186699718e-05
77.161,28.492,8.842050192470197e-06
77.171,28.492,1.0330427357985172e-05
77.181,28.492,2.871190918085631e-05
77.192,28.492,2.1278896383591928e-05
77.202,28.492,8.97964127943851e-06
77.213,28.492,1.1121863281005062e-05
77.223,28.492,1.3568049325840548e-05
77.233,28.492,4.060141145600937e-05
77.244,28.492,
77.254,28.492,1.9361871181899915e-06
77.264,28.492,6.467485036409926e-06
77.275,28.492,1.4218790965969674e-05
77.306,28.492,1.4708616618008818e-05
77.316,28.492,1.6331214283127338e-05
77.327,28.492,2.4009726985241286e-05
76.891,28.502,1.3196392501413357e-05
77.109,28.502,3.188134360243566e-05
77.119,28.502,1.9428693121881224e-05
77.129,28.502,
77.14,28.502,1.5038776837172918e-05
77.15,28.502,2.178351496695541e-05
77.161,28.502,1.6614769265288487e-05
77.171,28.502,1.1854573131131474e-05
77.181,28.502,1.1792791156040039e-05
77.192,28.502,1.4839398318144958e-05
77.202,28.502,1.131037060986273e-05
77.213,28.502,5.6374274208792485e-06
77.223,28.502,1.2514331501733977e-05
77.233,28.502,1.7032763935276307e-05
77.244,28.502,9.00024770089658e-06
77.254,28.502,2.1196057787165046e-05
77.264,28.502,1.5557096048723906e-05
77.275,28.502,8.25501138024265e-06
77.285,28.502,8.68756978888996e-06
77.296,28.502,1.9978191630798392e-05
77.306,28.502,1.8413169527775608e-05
77.316,28.502,
77.327,28.502,3.488274523988366e-05
76.891,28.512,
76.901,28.512,-3.5192065297451336e-06
76.922,28.512,-1.0499824156795512e-06
76.932,28.512,6.048316663509468e-06
76.943,28.512,9.176645107800141e-06
76.953,28.512,6.544981442857534e-05
76.963,28.512,1.3861811567039695e-05
77.098,28.512,3.2929445296758786e-05
77.109,28.512,4.1251903894590214e-05
77.119,28.512,1.5200160305539612e-05
77.129,28.512,8.492817869409919e-06
77.14,28.512,1.3061577192274854e-05
77.15,28.512,
77.161,28.512,1.6228785170824267e-05
77.171,28.512,4.9688237595546525e-06
77.181,28.512,2.0936362489010207e-05
77.192,28.512,
77.202,28.512,3.517387085594237e-05
77.213,28.512,1.431673899787711e-05
77.223,28.512,-9.580894584360067e-07
77.233,28.512,-2.901672075950046e-07
77.244,28.512,
77.254,28.512,3.4692191547947004e-05
77.264,28.512,2.6680394512368366e-05
77.275,28.512,2.6717450964497402e-05
77.285,28.512,7.080082468746696e-06
77.296,28.512,7.0887285801291e-06
77.306,28.512,1.4103023204370402e-05
77.316,28.512,1.201629129354842e-05
77.327,28.512,1.7874557670438662e-05
77.337,28.512,1.546017301734537e-05
76.891,28.522,5.296842209645547e-05
76.901,28.522,1.1386172445781995e-05
76.911,28.522,1.5611845810781233e-05
76.922,28.522,3.954163548769429e-05
76.932,28.522,2.2742806322639808e-05
76.943,28.522,3.49648944393266e-05
76.953,28.522,5.138135293236701e-06
76.963,28.522,2.160301482945215e-05
76.974,28.522,6.6600814534467645e-06
76.984,28.522,1.7421414668206125e-05
76.994,28.522,1.6465135558973998e-05
77.005,28.522,
77.015,28.522,1.3817673789162654e-05
77.057,28.522,3.0544641049345955e-05
77.067,28.522,
77.078,28.522,
77.088,28.522,2.7305944968247786e-05
77.098,28.522,
77.109,28.522,1.576354588905815e-05
77.119,28.522,1.8884513337980025e-05
77.129,28.522,1.4519762771669775e-05
77.14,28.522,1.9875622456311248e-05
77.15,28.522,2.6113088097190484e-05
77.161,28.522,
77.171,28.522,7.586659194203094e-06
77.181,28.522,5.386311840993585e-06
77.192,28.522,9.831607712840196e-06
