longitude,latitude,No2_value(mol/m^2)
77.285,28.522,1.805484680517111e-05
77.296,28.522,4.7127355173870455e-06
77.306,28.522,9.266616871173028e-06
77.316,28.522,
77.327,28.522,
77.337,28.522,
76.88,28.531,9.276546734326985e-06
76.891,28.531,1.1158338566019665e-05
76.901,28.531,-2.765153294603806e-05
76.911,28.531,1.865371086751111e-05
76.922,28.531,
76.932,28.531,
76.943,28.531,2.198835863964632e-05
76.953,28.531,
76.963,28.531,4.25798725700588e-06
76.974,28.531,7.912604814919177e-06
76.984,28.531,-1.552426397211093e-06
76.994,28.531,2.8215608836035244e-05
77.036,28.531,
77.046,28.531,1.1940525837417226e-05
77.057,28.531,2.3737598894513212e-05
77.067,28.531,4.8887959565036e-06
77.078,28.531,2.543339360272512e-05
77.088,28.531,2.0432313249330036e-05
77.098,28.531,2.4747985662543215e-05
77.109,28.531,1.9360901205800474e-05
77.119,28.531,2.7398786187404767e-05
77.129,28.531,2.2988115233602002e-05
77.14,28.531,1.4430624105443712e-05
77.15,28.531,-6.356819540087599e-06
77.161,28.531,6.482869594037766e-06
77.171,28.531,2.30817349802237e-05
77.181,28.531,-1.3718697118747514e-05
77.192,28.531,
77.202,28.531,2.1384765204857104e-05
77.213,28.531,2.4261553335236385e-05
77.223,28.531,
77.233,28.531,3.7997756408003625e-06
77.244,28.531,8.494510439049918e-06
77.254,28.531,6.1801242736692075e-06
77.264,28.531,3.30667280650232e-05
77.275,28.531,
77.285,28.531,-5.122369657328818e-06
77.296,28.531,-3.536484291544184e-05
77.306,28.531,-4.393142262415495e-06
77.316,28.531,1.8575035483081592e-06
77.327,28.531,2.19103731069481e-05
76.87,28.541,
76.88,28.541,
76.891,28.541,8.672612239024602e-06
76.901,28.541,
76.911,28.541,
76.922,28.541,8.325318049173802e-06
76.932,28.541,5.8458640523895156e-06
76.943,28.541,5.526828317670152e-06
76.953,28.541,
76.963,28.541,-3.316297079436481e-05
76.974,28.541,
76.984,28.541,1.597215850779321e-05
76.994,28.541,
77.005,28.541,
77.015,28.541,2.358255733270198e-05
77.026,28.541,
77.036,28.541,1.8486653061700054e-05
77.046,28.541,2.4790069801383652e-05
77.057,28.541,2.200568087573629e-05
77.067,28.541,9.82188885245705e-06
77.078,28.541,7.615295544383116e-06
77.088,28.541,6.994414889049949e-06
77.098,28.541,
77.109,28.541,1.5474390238523483e-05
77.119,28.541,
77.129,28.541,
77.14,28.541,
77.15,28.541,
77.161,28.541,1.9207598597859032e-05
77.171,28.541,3.291195025667548e-05
77.181,28.541,1.061932198354043e-05
77.192,28.541,-2.1787400328321382e-05
77.202,28.541,1.696461004030425e-05
77.213,28.541,
77.223,28.541,3.169562842231244e-05
77.233,28.541,2.5485120204393752e-05
77.244,28.541,1.1017703400284518e-05
77.254,28.541,7.814145646989346e-06
77.264,28.541,8.386881745536812e-06
77.275,28.541,3.529087916831486e-05
77.285,28.541,
77.296,28.541,7.925787031126674e-06
77.306,28.541,1.0838616617547814e-05
77.316,28.541,2.4013734218897298e-05
76.849,28.551,
76.86,28.551,1.074368083209265e-05
76.87,28.551,-3.1719850085210055e-05
76.88,28.551,1.900857205328066e-05
76.891,28.551,1.1917718438780867e-05
76.901,28.551,
76.911,28.551,2.2582632936973823e-06
76.922,28.551,1.8425153029966168e-05
76.932,28.551,
76.943,28.551,
76.953,28.551,
76.963,28.551,1.665441959630698e-05
76.974,28.551,
76.984,28.551,4.388754859974142e-06
76.994,28.551,8.438293548351794e-07
77.005,28.551,1.2590599908435252e-05
77.015,28.551,4.854298458667472e-05
77.026,28.551,
77.036,28.551,4.864980837737676e-06
77.046,28.551,4.852639449381968e-06
77.057,28.551,1.4592268598789815e-05
77.067,28.551,2.027079972322099e-05
77.078,28.551,2.2939033442526124e-05
77.088,28.551,5.504910859599477e-06
77.098,28.551,2.208063961006701e-05
77.109,28.551,1.0141729035240132e-05
77.119,28.551,
77.129,28.551,
77.14,28.551,1.2211061402922496e-05
77.15,28.551,
77.161,28.551,
77.171,28.551,
77.181,28.551,
77.192,28.551,
77.202,28.551,
77.213,28.551,
77.223,28.551,8.943819921114482e-06
77.233,28.551,1.7687272702460177e-05
77.244,28.551,
77.254,28.551,1.9130697182845324e-05
77.264,28.551,
77.275,28.551,1.4484990970231593e-05
77.285,28.551,1.1311259186186362e-05
77.296,28.551,5.111900918564061e-06
77.306,28.551,-1.6100202628877014e-06
77.316,28.551,-3.4515862353146076e-05
76.849,28.561,1.4291837032942567e-05
76.86,28.561,
76.87,28.561,
76.88,28.561,5.984955805615755e-06
76.891,28.561,
76.901,28.561,
76.911,28.561,6.051648142602062e-06
76.922,28.561,
76.932,28.561,1.1350759450579062e-05
76.943,28.561,
76.953,28.561,3.678246139315888e-05
76.963,28.561,
76.974,28.561,
76.984,28.561,2.43577469518641e-05
76.994,28.561,
77.005,28.561,
77.015,28.561,
77.026,28.561,
77.036,28.561,
77.046,28.561,
77.057,28.561,
77.067,28.561,2.2680496840621345e-05
77.078,28.561,
77.088,28.561,1.996142600546591e-05
77.098,28.561,
77.109,28.561,-1.4304382602858823e-05
77.119,28.561,
77.129,28.561,-1.0096994628838729e-05
77.14,28.561,-1.3718697118747514e-05
77.15,28.561,
77.161,28.561,-5.26263238498359e-06
77.171,28.561,6.064401077310322e-06
77.181,28.561,2.775553184619639e-05
