longitude,latitude,Co_value(mol/m^2)
85.8263626098634,21.539445877075195,
85.8263626098634,21.66033067094519,
85.8263626098634,21.78121546481518,0.025125404819846153
85.8263626098634,21.902100258685174,
85.8263626098634,22.022985052555168,0.029828479513525963
85.8263626098634,22.14386984642516,
85.8263626098634,22.264754640295152,0.03556949645280838
85.8263626098634,22.385639434165142,
85.8263626098634,22.50652422803514,
85.8263626098634,22.62740902190513,0.02592659182846546
85.8263626098634,22.748293815775124,
85.8263626098634,22.86917860964512,0.026175606995821
85.8263626098634,22.990063403515112,0.03363782912492752
85.8263626098634,23.110948197385103,
85.8263626098634,23.231832991255096,
85.8263626098634,23.35271778512509,
85.8263626098634,23.473602578995084,
85.8263626098634,23.594487372865075,0.037459831684827805
85.8263626098634,23.71537216673507,
85.8263626098634,23.836256960605063,0.03228629380464554
85.8263626098634,23.957141754475053,
85.8263626098634,24.078026548345047,
85.8263626098634,24.19891134221504,0.035212211310863495
85.8263626098634,24.319796136085035,0.04144728183746338
85.8263626098634,24.440680929955025,
85.8263626098634,24.56156572382502,0.02816496603190899
85.8263626098634,24.682450517695013,0.02793745882809162
85.8263626098634,24.803335311565007,
85.8263626098634,24.924220105435,0.04150237888097763
85.8263626098634,25.04510489930499,
85.8263626098634,25.165989693174986,
85.8263626098634,25.286874487044976,
85.8263626098634,25.40775928091497,
85.8263626098634,25.528644074784964,
85.8263626098634,25.649528868654954,0.027271544560790062
85.8263626098634,25.77041366252495,
85.8263626098634,25.891298456394946,
85.8263626098634,26.012183250264936,0.028097281232476234
85.8263626098634,26.13306804413493,
85.8263626098634,26.25395283800492,
85.8263626098634,26.374837631874914,
85.8263626098634,26.49572242574491,0.029966380447149277
85.8263626098634,26.6166072196149,
85.8263626098634,26.737492013484893,0.03291914984583855
85.8263626098634,26.858376807354887,
85.8263626098634,26.97926160122488,
85.8263626098634,27.10014639509487,
85.8263626098634,27.221031188964865,0.039025675505399704
85.9463626098634,21.539445877075195,0.02975102886557579
85.9463626098634,21.66033067094519,
85.9463626098634,21.78121546481518,0.03686216473579407
85.9463626098634,21.902100258685174,0.030688226222991943
85.9463626098634,22.022985052555168,0.030505400151014328
85.9463626098634,22.14386984642516,
85.9463626098634,22.264754640295152,0.03433976322412491
85.9463626098634,22.385639434165142,
85.9463626098634,22.50652422803514,
85.9463626098634,22.62740902190513,
85.9463626098634,22.748293815775124,
85.9463626098634,22.86917860964512,0.02903118170797825
85.9463626098634,22.990063403515112,
85.9463626098634,23.110948197385103,
85.9463626098634,23.231832991255096,0.033228278160095215
85.9463626098634,23.35271778512509,
85.9463626098634,23.473602578995084,
85.9463626098634,23.594487372865075,0.035831522196531296
85.9463626098634,23.71537216673507,
85.9463626098634,23.836256960605063,
85.9463626098634,23.957141754475053,0.02912638522684574
85.9463626098634,24.078026548345047,
85.9463626098634,24.19891134221504,
85.9463626098634,24.319796136085035,
85.9463626098634,24.440680929955025,0.02578706666827202
85.9463626098634,24.56156572382502,
85.9463626098634,24.682450517695013,0.03294407203793526
85.9463626098634,24.803335311565007,0.03841138258576393
85.9463626098634,24.924220105435,0.0377199687063694
85.9463626098634,25.04510489930499,
85.9463626098634,25.165989693174986,0.02807592786848545
85.9463626098634,25.286874487044976,
85.9463626098634,25.40775928091497,0.02585107460618019
85.9463626098634,25.528644074784964,
85.9463626098634,25.649528868654954,
85.9463626098634,25.77041366252495,
85.9463626098634,25.891298456394946,0.026306863874197006
85.9463626098634,26.012183250264936,
85.9463626098634,26.13306804413493,0.027170073240995407
85.9463626098634,26.25395283800492,0.03120419941842556
85.9463626098634,26.374837631874914,0.029401959851384163
85.9463626098634,26.49572242574491,
85.9463626098634,26.6166072196149,
85.9463626098634,26.737492013484893,
85.9463626098634,26.858376807354887,
85.9463626098634,26.97926160122488,0.029836585745215416
85.9463626098634,27.10014639509487,0.028956599533557892
85.9463626098634,27.221031188964865,0.027775254100561142
86.0663626098634,21.539445877075195,0.035889435559511185
86.0663626098634,21.66033067094519,0.035238463431596756
86.0663626098634,21.78121546481518,
86.0663626098634,21.902100258685174,0.032591771334409714
86.0663626098634,22.022985052555168,0.032497093081474304
86.0663626098634,22.14386984642516,0.03621286898851395
86.0663626098634,22.264754640295152,0.030856631696224213
86.0663626098634,22.385639434165142,
86.0663626098634,22.50652422803514,0.03542672470211983
86.0663626098634,22.62740902190513,
86.0663626098634,22.748293815775124,0.036713868379592896
86.0663626098634,22.86917860964512,
86.0663626098634,22.990063403515112,0.03355919569730759
86.0663626098634,23.110948197385103,
86.0663626098634,23.231832991255096,0.0380391888320446
86.0663626098634,23.35271778512509,
86.0663626098634,23.473602578995084,
86.0663626098634,23.594487372865075,0.025475673377513885
86.0663626098634,23.71537216673507,
86.0663626098634,23.836256960605063,0.033689942210912704
86.0663626098634,23.957141754475053,
86.0663626098634,24.078026548345047,
86.0663626098634,24.19891134221504,
86.0663626098634,24.319796136085035,
86.0663626098634,24.440680929955025,0.03119690530002117
86.0663626098634,24.56156572382502,
86.0663626098634,24.682450517695013,0.03392354026436806
86.0663626098634,24.803335311565007,
86.0663626098634,24.924220105435,
86.0663626098634,25.04510489930499,
86.0663626098634,25.165989693174986,0.03433426842093468
86.0663626098634,25.286874487044976,
86.0663626098634,25.40775928091497,
86.0663626098634,25.528644074784964,
86.0663626098634,25.649528868654954,
86.0663626098634,25.77041366252495,
86.0663626098634,25.891298456394946,
86.0663626098634,26.012183250264936,0.03295416384935379
86.0663626098634,26.13306804413493,
86.0663626098634,26.25395283800492,
86.0663626098634,26.374837631874914,0.028158973902463913
86.0663626098634,26.49572242574491,0.029918543994426727
86.0663626098634,26.6166072196149,0.033343154937028885
86.0663626098634,26.737492013484893,0.02955464832484722
86.0663626098634,26.858376807354887,0.0226138923317194
86.0663626098634,26.97926160122488,
86.0663626098634,27.10014639509487,
86.0663626098634,27.221031188964865,0.027751324698328972
86.18636260986341,21.539445877075195,0.02645973488688469
86.18636260986341,21.66033067094519,
86.18636260986341,21.78121546481518,0.03762383386492729
86.18636260986341,21.902100258685174,0.033282916992902756
86.18636260986341,22.022985052555168,0.031131776049733162
86.18636260986341,22.14386984642516,0.037538133561611176
86.18636260986341,22.264754640295152,0.030714156106114388
86.18636260986341,22.385639434165142,0.020300358533859253
86.18636260986341,22.50652422803514,
86.18636260986341,22.62740902190513,0.028012869879603386
86.18636260986341,22.748293815775124,
86.18636260986341,22.86917860964512,
86.18636260986341,22.990063403515112,0.036560386419296265
86.18636260986341,23.110948197385103,
86.18636260986341,23.231832991255096,
86.18636260986341,23.35271778512509,0.0347050204873085
86.18636260986341,23.473602578995084,
86.18636260986341,23.594487372865075,0.03224189579486847
86.18636260986341,23.71537216673507,0.029548650607466698
86.18636260986341,23.836256960605063,0.03255661576986313
86.18636260986341,23.957141754475053,0.03284858912229538
86.18636260986341,24.078026548345047,
86.18636260986341,24.19891134221504,0.036560364067554474
86.18636260986341,24.319796136085035,0.03235160931944847
86.18636260986341,24.440680929955025,
86.18636260986341,24.56156572382502,
86.18636260986341,24.682450517695013,
86.18636260986341,24.803335311565007,0.03386784717440605
86.18636260986341,24.924220105435,
86.18636260986341,25.04510489930499,
86.18636260986341,25.165989693174986,0.023499950766563416
86.18636260986341,25.286874487044976,
