longitude,latitude,So2_value(mol/m^2),So2_value(mol/m^2),So2_value(mol/m^2)
68.18624877929699,20.120798110961918,0.0001385337382089,1.3953647794551216e-05,-5.882093319087289e-05
68.18624877929699,20.26407909393311,5.60782864340581e-05,,-0.0001814778952393
68.18624877929699,20.407360076904304,0.000239099987084,0.000377263437258,-2.8730368285323493e-05
68.18624877929699,20.5506410598755,-0.0001610442268429,-8.97399295354262e-05,-0.0003068124351557
68.18624877929699,20.69392204284669,-2.7182488338439725e-05,,-0.0003380792913958
68.18624877929699,20.837203025817885,0.0002054011565633,-0.0001292994129471,
68.18624877929699,20.98048400878908,2.806176098602009e-06,-0.0003512093971949,
68.18624877929699,21.123764991760275,0.0005989279597997,,-0.0002127351617673
68.18624877929699,21.26704597473147,8.326287934323773e-05,5.243204941507429e-05,5.260330362943933e-05
68.18624877929699,21.410326957702665,-0.0004998826188966,-8.596998100074416e-07,-0.0001419987820554
68.18624877929699,21.55360794067386,0.0002072703355224,0.0001776247954694,
68.18624877929699,21.69688892364505,0.0002068208705168,,-4.2894273065030575e-05
68.18624877929699,21.840169906616246,1.3050938832748216e-05,4.190356321487343e-06,-0.0001024351513478
68.18624877929699,21.98345088958744,,-0.0001541980745969,1.4891398677718826e-05
68.18624877929699,22.12673187255864,-0.0001300991280004,0.0006020164000801,
68.18624877929699,22.27001285552983,,0.0009860567515715,0.0001356195716653
68.18624877929699,22.413293838501023,-1.0112089654512603e-07,,-0.0001740492443786
68.18624877929699,22.55657482147222,0.0002811283920891,-0.0004050210409332,-0.0004759117146022
68.18624877929699,22.699855804443416,,,-0.0003322364354971
68.18624877929699,22.84313678741461,-0.0005213182303123,-0.0004951906739734,
68.18624877929699,22.98641777038581,2.90587377094198e-06,-0.0001248904882231,
68.18624877929699,23.129698753357,0.0007228308822959,0.0003431836667004,0.0003576645103748
68.18624877929699,23.272979736328196,-1.2521605640358756e-05,-0.0002918714017141,-5.44817048648838e-05
68.18624877929699,23.416260719299387,-0.0004161311371717,0.0003474299155641,-0.0004120758094359
68.18624877929699,23.559541702270582,0.000122028417536,0.0006254831096157,-0.0003430923679843
68.18624877929699,23.702822685241777,0.0004670338821597,-0.0001112450263462,
68.18624877929699,23.84610366821297,,,-6.550122861881391e-07
68.18624877929699,23.989384651184167,-0.000289557443466,4.180058749625459e-05,-0.0004963309620507
68.18624877929699,24.13266563415536,0.0004380679747555,,0.0002413389884168
68.18624877929699,24.27594661712656,8.646477363072336e-05,-0.0002368052228121,
68.18624877929699,24.41922760009775,2.583470086392481e-05,-2.781120929284953e-05,-0.0001961231173481
68.18624877929699,24.562508583068944,0.0001956824271474,0.0005320562631823,
68.18624877929699,24.70578956604014,,-0.0006694631301797,
68.32624877929699,20.120798110961918,0.0002740890777204,-0.000507861142978,-0.0002290809061378
68.32624877929699,20.26407909393311,,,
68.32624877929699,20.407360076904304,,0.0006235572509467,-0.0001548979926155
68.32624877929699,20.5506410598755,0.0003229673893656,0.0003636160399764,-0.0003030936350114
68.32624877929699,20.69392204284669,5.0804170314222574e-05,,
68.32624877929699,20.837203025817885,-3.521461258060299e-05,,2.7120908271172084e-05
68.32624877929699,20.98048400878908,,3.504766937112436e-05,
68.32624877929699,21.123764991760275,,9.093590051634236e-05,-8.118964615277946e-05
68.32624877929699,21.26704597473147,0.0006022443994879,,-0.0002433063928037
68.32624877929699,21.410326957702665,6.384348580468213e-06,,0.0001350359525531
68.32624877929699,21.55360794067386,0.0002759649360086,5.224399865255691e-05,
68.32624877929699,21.69688892364505,2.0262057660147548e-05,-0.0007362443138845,
68.32624877929699,21.840169906616246,-0.0001671529753366,,0.0007069479324854
68.32624877929699,21.98345088958744,-0.0002869069576263,0.0002033427736023,-0.0002602635067887
68.32624877929699,22.12673187255864,-2.51765304710716e-05,0.000563550798688,0.0001073854364221
68.32624877929699,22.27001285552983,-8.391810115426779e-05,,-0.0001968901924556
68.32624877929699,22.413293838501023,-0.0002057679957943,0.0003081429749727,-0.0004448195104487
68.32624877929699,22.55657482147222,,-0.0003500728926155,0.0003358740650583
68.32624877929699,22.699855804443416,,,0.0002520517155062
68.32624877929699,22.84313678741461,0.0004653737705666,-0.0002302646171301,2.6843144951271825e-05
68.32624877929699,22.98641777038581,-0.0003005711769219,0.0003177663311362,-0.0002543208538554
68.32624877929699,23.129698753357,,-2.5761199140106328e-05,
68.32624877929699,23.272979736328196,0.0001572623441461,-0.0001246879255631,-0.0003274857008364
68.32624877929699,23.416260719299387,,-0.0005081322160549,
68.32624877929699,23.559541702270582,,,
68.32624877929699,23.702822685241777,,-0.0001197408346342,-0.0013820066815242
68.32624877929699,23.84610366821297,8.978816367744002e-06,,1.88698286365252e-05
68.32624877929699,23.989384651184167,-0.0003790359769482,,-0.0001638069370528
68.32624877929699,24.13266563415536,-0.0001269518688786,-0.0001965345727512,1.815844552766066e-05
68.32624877929699,24.27594661712656,0.0003854411479551,-0.0002564119349699,
68.32624877929699,24.41922760009775,,,-0.0001987154391827
68.32624877929699,24.562508583068944,0.000174158878508,-2.9354954676819037e-05,
68.32624877929699,24.70578956604014,,,
68.46624877929699,20.120798110961918,4.630287367035635e-05,-0.0001274202368222,-7.856050797272474e-05
68.46624877929699,20.26407909393311,,,
68.46624877929699,20.407360076904304,,0.0001241676654899,-0.0002050523034995
68.46624877929699,20.5506410598755,0.0001901023206301,,-0.0001227136526722
68.46624877929699,20.69392204284669,0.0005557877011597,0.0001426684175385,-4.285347313270904e-05
68.46624877929699,20.837203025817885,,3.707025098265149e-05,
68.46624877929699,20.98048400878908,0.0001013316286844,-0.0002001240936806,-0.0003507872461341
68.46624877929699,21.123764991760275,,-0.0002211396058555,-0.0001557208743179
68.46624877929699,21.26704597473147,0.0002363239909755,-0.0001406641385983,0.0002636878343764
68.46624877929699,21.410326957702665,0.0001755360426614,0.000308695656713,
68.46624877929699,21.55360794067386,,-0.0001651867205509,-0.0001908701378852
68.46624877929699,21.69688892364505,-0.0002790930157061,-0.0003101439797319,-3.85382281820057e-06
68.46624877929699,21.840169906616246,0.000300608575344,-0.0016495845047757,-0.0002729588304646
68.46624877929699,21.98345088958744,-0.0005263691418804,,0.0004503817472141
68.46624877929699,22.12673187255864,9.839959966484456e-05,0.0001437714672647,
68.46624877929699,22.27001285552983,-0.0001500464422861,0.0008568137418478,8.828636782709509e-05
68.46624877929699,22.413293838501023,,0.0002291611308464,
68.46624877929699,22.55657482147222,0.000353538634954,-0.0003581010387279,0.0005052291671745
68.46624877929699,22.699855804443416,0.0001061923467204,0.0002994668320752,
68.46624877929699,22.84313678741461,0.0003377678804099,0.0004200579132884,-0.0002686435182113
68.46624877929699,22.98641777038581,,-0.0002503280702512,7.655596709810197e-05
68.46624877929699,23.129698753357,0.0001119019798352,0.0001263990707229,-0.000257048261119
68.46624877929699,23.272979736328196,0.0011976003879681,,
68.46624877929699,23.416260719299387,-0.0002502201823517,,
68.46624877929699,23.559541702270582,-0.0001013787405099,,0.0002714915608521
68.46624877929699,23.702822685241777,,,5.289958062348887e-05
68.46624877929699,23.84610366821297,3.943187039112672e-05,,1.1229689334868452e-05
68.46624877929699,23.989384651184167,-0.0002579287684056,-0.000160006689839,-2.855352795450017e-05
68.46624877929699,24.13266563415536,-0.000828165677376,,-0.0001312491076532
68.46624877929699,24.27594661712656,0.0004293206147849,-1.3947809748060536e-05,-0.0003657968482002
68.46624877929699,24.41922760009775,0.0003236768534407,-0.0012273661559447,-0.0004918908234685
68.46624877929699,24.562508583068944,-0.0001120141168939,-0.0002921499253716,
68.46624877929699,24.70578956604014,-4.544249350146856e-06,0.0007454626611433,-0.0005846574204042
68.60624877929699,20.120798110961918,-0.0008566281758248,,-1.7507802112959325e-05
68.60624877929699,20.26407909393311,-2.244400275230873e-05,-8.989784691948444e-05,
68.60624877929699,20.407360076904304,-6.242405652301386e-05,6.907980423420668e-05,-0.0001288068160647
68.60624877929699,20.5506410598755,-0.0004189993196632,2.2369029466062784e-05,-0.0001995922939386
68.60624877929699,20.69392204284669,-0.0004482479416765,,-0.0001980274537345
68.60624877929699,20.837203025817885,-0.0003599355113692,-0.0001877356990007,-0.0003882439050357
68.60624877929699,20.98048400878908,0.0002280464977957,-0.0001697875850368,
68.60624877929699,21.123764991760275,-0.000549157266505,-8.489489846397191e-05,-0.0001064494936144
68.60624877929699,21.26704597473147,-7.372382970061153e-05,0.0001227529137395,
68.60624877929699,21.410326957702665,0.0001832416601246,,-0.0004334989353083
68.60624877929699,21.55360794067386,-0.0006934513221494,-0.0001028530896292,0.0001028006299748
68.60624877929699,21.69688892364505,,,-0.0003833081864286
68.60624877929699,21.840169906616246,0.0002888418966904,0.0006390504422597,4.655822340282612e-05
68.60624877929699,21.98345088958744,-0.0002337643818464,1.4026441021997016e-05,
68.60624877929699,22.12673187255864,-0.0001173739947262,-0.000216034357436,0.000336102239089
68.60624877929699,22.27001285552983,0.0001350745151285,0.0001541439996799,
68.60624877929699,22.413293838501023,0.0001129316879087,0.0001863756478996,0.0006776256486773
68.60624877929699,22.55657482147222,-0.0003781465056817,0.0001754520926624,3.987383024650626e-05
68.60624877929699,22.699855804443416,-0.0003237349446862,0.0003008901549037,
68.60624877929699,22.84313678741461,5.621534000965767e-05,3.5302717151353136e-05,-0.0001349350495729
68.60624877929699,22.98641777038581,2.9219971111160703e-05,0.000203708288609,
68.60624877929699,23.129698753357,8.596262341598049e-05,-0.0002560343127697,-7.535067561548203e-05
68.60624877929699,23.272979736328196,0.000225965239224,,-0.0003587715327739
68.60624877929699,23.416260719299387,-0.0001204188374686,1.2003006304439625e-05,
68.60624877929699,23.559541702270582,-0.0005272169946692,,
68.60624877929699,23.702822685241777,0.0004398096352815,-1.1063861165894195e-05,0.0001733664394123
68.60624877929699,23.84610366821297,-7.199413084890693e-05,-6.54354807920754e-05,-0.0001324602781096
68.60624877929699,23.989384651184167,-4.094701216672547e-05,-0.0002741027856245,-0.0003502843319438
68.60624877929699,24.13266563415536,1.2130212780903094e-06,-0.0001502213854109,-4.401735168357845e-06
68.60624877929699,24.27594661712656,0.0002946004387922,-0.0001554641930852,3.808569454122335e-05
68.60624877929699,24.41922760009775,0.0001932365557877,-1.908059675770346e-05,-0.0004959448706358
68.60624877929699,24.562508583068944,0.0001369240053463,-0.0004653738578781,
68.60624877929699,24.70578956604014,-0.0004071461444254,-0.0002810706209857,0.0003928068617824
68.74624877929699,20.120798110961918,-0.000233896629652,,
