longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
72.6506958007813,15.60459995269781,5.06956848767004e-06,3.2783555070636794e-05
72.6506958007813,15.79933929443365,-6.09887820246513e-06,1.6241830962826498e-05
72.6506958007813,15.99407863616949,1.7581585780135356e-05,
72.6506958007813,16.18881797790533,6.037349066900788e-06,-7.693434781685937e-06
72.6506958007813,16.38355731964117,2.0113355276407677e-05,4.145475486438954e-06
72.6506958007813,16.57829666137701,1.7705327991279773e-05,
72.6506958007813,16.77303600311285,1.587522820045706e-05,
72.6506958007813,16.96777534484869,7.089791324688122e-06,
72.6506958007813,17.16251468658453,1.81611849257024e-05,1.180760136776371e-05
72.6506958007813,17.357254028320366,1.3202951777202545e-05,1.5586647350573912e-05
72.6506958007813,17.551993370056206,1.7276792277698405e-05,-0.0001163963752333
72.6506958007813,17.746732711792045,-1.3954146425021463e-06,-1.4403582099475898e-05
72.6506958007813,17.941472053527885,1.5433937733178027e-05,3.5355794807401253e-06
72.6506958007813,18.136211395263725,-3.773904381887405e-06,
72.6506958007813,18.330950736999565,1.0884676839850729e-06,7.561667644040426e-06
72.6506958007813,18.525690078735405,6.349783234327333e-06,1.136610717367148e-05
72.6506958007813,18.720429420471245,1.4615973668696824e-05,9.338916242995763e-06
72.6506958007813,18.915168762207085,,
72.6506958007813,19.109908103942924,3.0308081022667466e-06,9.200359272654168e-06
72.6506958007813,19.304647445678764,6.58970350286836e-07,4.976526724931318e-06
72.6506958007813,19.499386787414604,4.273595550330356e-06,
72.6506958007813,19.694126129150444,5.195518951950362e-06,2.070470327453222e-05
72.6506958007813,19.88886547088628,,
72.6506958007813,20.08360481262212,9.142985391008552e-07,
72.6506958007813,20.27834415435796,1.5667639672756195e-05,2.88617993646767e-05
72.6506958007813,20.4730834960938,1.5605541193508543e-05,1.257634357898496e-05
72.6506958007813,20.66782283782964,9.018444870889653e-07,1.2323592954999183e-06
72.6506958007813,20.86256217956548,-2.438413275740458e-06,7.495162208215333e-06
72.6506958007813,21.05730152130132,3.140742137475172e-06,5.160159162187483e-07
