longitude,latitude,Co_value(mol/m^2),Co_value(mol/m^2)
68.18624877929699,20.120798110961918,,
68.18624877929699,20.26407909393311,,0.0216053389012813
68.18624877929699,20.407360076904304,,0.0302611421793699
68.18624877929699,20.5506410598755,,
68.18624877929699,20.69392204284669,0.0281170345842838,
68.18624877929699,20.837203025817885,,0.0317381247878074
68.18624877929699,20.98048400878908,,
68.18624877929699,21.123764991760275,0.0284095555543899,0.02742275968194
68.18624877929699,21.26704597473147,0.02836699411273,
68.18624877929699,21.410326957702665,,
68.18624877929699,21.55360794067386,0.0302911736071109,
68.18624877929699,21.69688892364505,0.0273369140923023,0.019289705902338
68.18624877929699,21.840169906616246,,
68.18624877929699,21.98345088958744,,0.0251909140497446
68.18624877929699,22.12673187255864,,
68.18624877929699,22.27001285552983,,
68.18624877929699,22.413293838501023,,
68.18624877929699,22.55657482147222,0.0287328902631998,0.0300387274473905
68.18624877929699,22.699855804443416,0.0264032687991857,
68.18624877929699,22.84313678741461,0.0291484836488962,
68.18624877929699,22.98641777038581,,0.0360203869640827
68.18624877929699,23.129698753357,0.0275924075394868,
68.18624877929699,23.272979736328196,,
68.18624877929699,23.416260719299387,0.0273464191704988,
68.18624877929699,23.559541702270582,0.0263909138739109,
68.18624877929699,23.702822685241777,0.0286784674972295,
68.18624877929699,23.84610366821297,0.0273621100932359,
68.18624877929699,23.989384651184167,,
68.18624877929699,24.13266563415536,0.0271437373012304,
68.18624877929699,24.27594661712656,,
68.18624877929699,24.41922760009775,,
68.18624877929699,24.562508583068944,0.0318600498139858,
68.18624877929699,24.70578956604014,0.026650384068489,0.0290374513715505
68.32624877929699,20.120798110961918,,0.0196207500994205
68.32624877929699,20.26407909393311,,0.02181938290596
68.32624877929699,20.407360076904304,0.0244170129299163,0.0227429717779159
68.32624877929699,20.5506410598755,0.0256487745791673,
68.32624877929699,20.69392204284669,0.0281270090490579,
68.32624877929699,20.837203025817885,,
68.32624877929699,20.98048400878908,,
68.32624877929699,21.123764991760275,,
68.32624877929699,21.26704597473147,0.0214109104126691,
68.32624877929699,21.410326957702665,,0.0248703379184007
68.32624877929699,21.55360794067386,0.0261736176908016,
68.32624877929699,21.69688892364505,,0.0282948091626167
68.32624877929699,21.840169906616246,,
68.32624877929699,21.98345088958744,0.029384134337306,
68.32624877929699,22.12673187255864,0.0288789737969636,
68.32624877929699,22.27001285552983,0.026554886251688,0.0361616611480712
68.32624877929699,22.413293838501023,,
68.32624877929699,22.55657482147222,0.0264429617673158,0.0295333787798881
68.32624877929699,22.699855804443416,,
68.32624877929699,22.84313678741461,,
68.32624877929699,22.98641777038581,,
68.32624877929699,23.129698753357,0.0273755956441164,0.0281136520206928
68.32624877929699,23.272979736328196,,
68.32624877929699,23.416260719299387,,
68.32624877929699,23.559541702270582,,
68.32624877929699,23.702822685241777,,
68.32624877929699,23.84610366821297,,
68.32624877929699,23.989384651184167,,
68.32624877929699,24.13266563415536,,
68.32624877929699,24.27594661712656,,0.0288743693381547
68.32624877929699,24.41922760009775,,
68.32624877929699,24.562508583068944,0.0293635781854391,0.030102614313364
68.32624877929699,24.70578956604014,0.029228838160634,0.025965929031372
68.46624877929699,20.120798110961918,0.0256540607661008,
68.46624877929699,20.26407909393311,,
68.46624877929699,20.407360076904304,0.0245997365564107,
68.46624877929699,20.5506410598755,,0.0161094199866056
68.46624877929699,20.69392204284669,0.025179361924529,0.0194712150841951
68.46624877929699,20.837203025817885,0.0276578720659017,
68.46624877929699,20.98048400878908,0.0202543605118989,0.0244066547602415
68.46624877929699,21.123764991760275,0.0270932186394929,0.0305206980556249
68.46624877929699,21.26704597473147,0.0288815069943666,0.0408364720642566
68.46624877929699,21.410326957702665,,
68.46624877929699,21.55360794067386,0.0269354600459337,
68.46624877929699,21.69688892364505,0.0242715682834386,
68.46624877929699,21.840169906616246,,
68.46624877929699,21.98345088958744,0.0241494197398424,
68.46624877929699,22.12673187255864,0.0299620553851127,
68.46624877929699,22.27001285552983,,
68.46624877929699,22.413293838501023,,0.0191381480544805
68.46624877929699,22.55657482147222,0.0284980162978172,
68.46624877929699,22.699855804443416,,
68.46624877929699,22.84313678741461,,
