longitude,latitude,Co_value(mol/m^2),Co_value(mol/m^2),Co_value(mol/m^2)
68.18624877929699,20.120798110961918,,0.0266056284308433,
68.18624877929699,20.26407909393311,0.037837166339159,0.0304400008171796,0.0289857778698205
68.18624877929699,20.407360076904304,,,0.0235199369490146
68.18624877929699,20.5506410598755,,0.0292503051459789,0.0234687998890876
68.18624877929699,20.69392204284669,0.0272581428289413,,0.0267070177942514
68.18624877929699,20.837203025817885,0.0298685729503631,0.0333612635731697,0.0254015643149614
68.18624877929699,20.98048400878908,,,
68.18624877929699,21.123764991760275,0.031499870121479,0.0298639182001352,0.0329896435141563
68.18624877929699,21.26704597473147,,0.0307172760367393,
68.18624877929699,21.410326957702665,0.0320902690291404,,0.0340913422405719
68.18624877929699,21.55360794067386,,0.0313069410622119,0.0292699504643678
68.18624877929699,21.69688892364505,,,0.0326681956648826
68.18624877929699,21.840169906616246,0.0313632525503635,0.0299379285424947,
68.18624877929699,21.98345088958744,0.0292136650532484,,0.0236980039626359
68.18624877929699,22.12673187255864,,0.0369306355714798,0.0235557965934276
68.18624877929699,22.27001285552983,,0.0356345437467098,0.0281055718660354
68.18624877929699,22.413293838501023,0.032965749502182,0.0345899388194084,0.0266276914626359
68.18624877929699,22.55657482147222,,0.0275119040161371,0.0340801551938056
68.18624877929699,22.699855804443416,,,0.0327267497777938
68.18624877929699,22.84313678741461,0.0285054557025432,0.0335777550935745,0.0220416560769081
68.18624877929699,22.98641777038581,,0.0304624512791633,0.0345753990113735
68.18624877929699,23.129698753357,0.0304228141903877,,0.0283481627702713
68.18624877929699,23.272979736328196,,,
68.18624877929699,23.416260719299387,0.0283504761755466,0.0346577577292919,
68.18624877929699,23.559541702270582,,0.0324965752661228,
68.18624877929699,23.702822685241777,0.0353141650557518,0.0385131165385246,
68.18624877929699,23.84610366821297,0.0288294684141874,0.0380871966481208,
68.18624877929699,23.989384651184167,,0.0334095545113086,
68.18624877929699,24.13266563415536,0.0332814790308475,,0.0323249101638793
