longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2),O3_value(mol/m^2)
76.83291625976568,28.408460617065373,0.1146668568253517,0.1266692578792572,0.1273906379938125
76.83291625976568,28.42206208365299,0.1165842041373252,0.1487345099449157,0.1261228173971176
76.83291625976568,28.435663550240605,0.1163514405488967,0.1271688938140869,0.1242733672261238
76.83291625976568,28.44926501682822,0.1216223686933517,0.146540880203247,0.1197069659829139
76.83291625976568,28.46286648341584,0.1157303750514984,0.1258196234703064,0.1233953833580017
76.83291625976568,28.476467950003453,0.11495953053236,0.145008385181427,0.1226183250546455
76.83291625976568,28.49006941659107,0.1191114261746406,0.1308795809745788,0.1243338286876678
76.83291625976568,28.503670883178685,0.1149669960141182,0.1301255524158477,0.1254212409257888
76.83291625976568,28.5172723497663,0.1209762468934059,0.151563286781311,0.1201363652944564
76.83291625976568,28.53087381635392,0.115046814084053,0.1262306720018386,0.1234684810042381
76.83291625976568,28.544475282941534,0.1237057298421859,0.1417185813188552,0.1232164576649665
76.83291625976568,28.55807674952915,0.1226321309804916,0.1275398433208465,0.1248928382992744
76.83291625976568,28.57167821611677,0.1151806861162185,0.1309856921434402,0.1213345453143119
76.83291625976568,28.585279682704385,0.1156639084219932,0.1319172233343124,0.1216299906373024
76.83291625976568,28.598881149292,0.1179984807968139,0.1413114964962005,0.1236167699098587
76.83291625976568,28.61248261587961,0.1154001951217651,0.1274384111166,0.1229928359389305
76.83291625976568,28.62608408246723,0.1188840568065643,0.1461473703384399,0.1247553601861
76.83291625976568,28.63968554905485,0.125524491071701,0.1260958909988403,0.1253126859664917
76.83291625976568,28.653287015642466,0.1139668449759483,0.1316891312599182,0.1214738115668296
76.83291625976568,28.66688848223008,0.1151930391788482,0.1359996646642685,0.1235484033823013
76.83291625976568,28.68048994881769,0.1212414875626564,0.1508608758449554,0.1254155933856964
76.83291625976568,28.69409141540531,0.1163050979375839,0.1524941027164459,0.1198984757065773
76.83291625976568,28.707692881992926,0.1209844201803207,0.1419425755739212,0.121175892651081
76.83291625976568,28.721294348580543,0.117667868733406,0.1290209293365478,0.12282595038414
76.83291625976568,28.73489581516816,0.1180504709482193,0.1391089707612991,0.1261090785264969
76.83291625976568,28.74849728175577,0.1264301687479019,0.1481026113033294,0.128228560090065
76.83291625976568,28.76209874834339,0.1232911795377731,0.1239312887191772,0.1260277926921844
76.83291625976568,28.775700214931007,0.1175227835774421,0.12872114777565,
76.83291625976568,28.789301681518623,0.1157924905419349,0.1405704468488693,0.120943583548069
76.83291625976568,28.80290314810624,0.1155501082539558,0.1397162526845932,0.1199417561292648
76.83291625976568,28.81650461469385,0.1202320158481597,0.1516246795654297,
76.83291625976568,28.83010608128147,0.1188042163848877,0.1314959526062011,
76.83291625976568,28.843707547869087,0.1180474981665611,0.1290810853242874,0.1227608919143676
76.83291625976568,28.857309014456703,0.1152774468064308,0.1410073637962341,0.1239082813262939
76.83291625976568,28.87091048104432,,0.1554293483495712,0.1224551126360893
76.83291625976568,28.884511947631932,0.1156822741031646,0.1335382163524627,0.1255110800266266
76.84631625976569,28.408460617065373,0.1256103813648224,0.1217476949095726,0.1217289939522743
76.84631625976569,28.42206208365299,0.1187148168683052,0.1272124797105789,0.1220425143837928
76.84631625976569,28.435663550240605,0.1175282597541809,0.1339549869298935,0.1232595816254615
76.84631625976569,28.44926501682822,0.119243137538433,0.1269578039646148,0.1222681254148483
76.84631625976569,28.46286648341584,0.1205655932426452,0.1570691913366317,0.1207392513751983
76.84631625976569,28.476467950003453,,0.1494382470846176,0.1224600970745086
76.84631625976569,28.49006941659107,0.1173072308301925,0.1320636123418808,0.1226720288395881
76.84631625976569,28.503670883178685,0.1145311370491981,0.1493701785802841,0.1247748881578445
76.84631625976569,28.5172723497663,0.1165287494659423,0.1247988641262054,0.120690569281578
76.84631625976569,28.53087381635392,0.1207134276628494,0.1478175520896911,0.12049101293087
76.84631625976569,28.544475282941534,0.1197096705436706,0.1404977887868881,0.1247615590691566
76.84631625976569,28.55807674952915,0.1213290989398956,0.1351633369922638,0.1244813576340675
76.84631625976569,28.57167821611677,0.1162423640489578,0.1273996233940124,0.1224052160978317
76.84631625976569,28.585279682704385,,0.1346259862184524,0.1244102641940116
76.84631625976569,28.598881149292,,0.12444868683815,0.1252730786800384
76.84631625976569,28.61248261587961,0.1214375719428062,0.1493795812129974,0.1193640828132629
76.84631625976569,28.62608408246723,,0.1464828252792358,0.1264684349298477
76.84631625976569,28.63968554905485,,0.1556291580200195,0.1204525008797645
76.84631625976569,28.653287015642466,0.1157067939639091,0.1456269770860672,0.1261903941631317
76.84631625976569,28.66688848223008,,0.1361236572265625,0.1226127073168754
76.84631625976569,28.68048994881769,0.117596186697483,0.1461768001317978,0.126885637640953
76.84631625976569,28.69409141540531,0.1156694814562797,0.1333294212818145,0.1238529980182647
76.84631625976569,28.707692881992926,0.116201139986515,0.1445612162351608,0.1210688352584838
76.84631625976569,28.721294348580543,0.1199294030666351,0.1488343924283981,0.1250100582838058
76.84631625976569,28.73489581516816,0.1249902248382568,0.1484199315309524,0.1243225336074829
76.84631625976569,28.74849728175577,0.1156198605895042,0.12467922270298,0.1223924309015274
76.84631625976569,28.76209874834339,,0.1369621008634567,0.127716526389122
76.84631625976569,28.775700214931007,0.1155174449086189,0.1385135948657989,
76.84631625976569,28.789301681518623,0.1195254325866699,0.1439151316881179,0.1207673922181129
76.84631625976569,28.80290314810624,0.1202012449502945,0.1319264024496078,0.1244704872369766
