longitude,latitude,So2_value(mol/m^2),So2_value(mol/m^2)
85.8263626098634,21.539445877075195,-0.0010392263066023,
85.8263626098634,21.66033067094519,,0.0001492800947744
85.8263626098634,21.78121546481518,-0.0002038951497524,
85.8263626098634,21.902100258685174,-0.0002784554380923,
85.8263626098634,22.022985052555168,0.0007355774869211,-0.0003262403479311
85.8263626098634,22.14386984642516,,
85.8263626098634,22.264754640295152,,
85.8263626098634,22.385639434165142,-0.0001138520456152,
85.8263626098634,22.50652422803514,-0.000236449210206,0.0002963535371236
85.8263626098634,22.62740902190513,,-5.291065826895647e-05
85.8263626098634,22.748293815775124,-3.5191126244171755e-06,0.0002239791938336
85.8263626098634,22.86917860964512,-0.0002204706834163,
85.8263626098634,22.990063403515112,-0.0002842674439307,
85.8263626098634,23.110948197385103,-0.0001347127254121,2.064574255200569e-05
85.8263626098634,23.231832991255096,-0.0002366414410062,
85.8263626098634,23.35271778512509,-0.0004694208037108,
85.8263626098634,23.473602578995084,0.0002071125782094,-5.527949906536378e-05
85.8263626098634,23.594487372865075,0.0007010007393546,0.0004052645817864
85.8263626098634,23.71537216673507,0.0006083041080273,
85.8263626098634,23.836256960605063,,-1.971386154764332e-06
85.8263626098634,23.957141754475053,0.0008585422183386,8.496104419464245e-05
85.8263626098634,24.078026548345047,,0.0001137733343057
85.8263626098634,24.19891134221504,6.660017970716581e-05,-0.0001273583911824
85.8263626098634,24.319796136085035,0.000522137444932,-0.0005040311953052
85.8263626098634,24.440680929955025,-0.0004015673475805,-6.354953075060621e-05
85.8263626098634,24.56156572382502,0.0004635524237528,
85.8263626098634,24.682450517695013,,-0.0003466535999905
85.8263626098634,24.803335311565007,-0.0001954582548933,
85.8263626098634,24.924220105435,-2.940765079983976e-05,9.862401202553885e-05
85.8263626098634,25.04510489930499,,
85.8263626098634,25.165989693174986,0.001465180539526,
85.8263626098634,25.286874487044976,,0.0002066396846203
85.8263626098634,25.40775928091497,-6.276238855207339e-05,
85.8263626098634,25.528644074784964,0.0005210507079027,1.853347202995792e-05
85.8263626098634,25.649528868654954,1.6625273929093964e-05,-6.545049109263346e-05
85.8263626098634,25.77041366252495,0.0198509078472852,-6.047155329724774e-05
85.8263626098634,25.891298456394946,,-0.000379753881134
85.8263626098634,26.012183250264936,-0.0002782092778943,0.0002726728271227
85.8263626098634,26.13306804413493,,-0.0001164018467534
85.8263626098634,26.25395283800492,,
85.8263626098634,26.374837631874914,,0.0001670386409386
85.8263626098634,26.49572242574491,-0.0002493740466888,
85.8263626098634,26.6166072196149,-0.0010505217360332,-0.0003063469484914
85.8263626098634,26.737492013484893,,
85.8263626098634,26.858376807354887,0.0001119551161536,-0.0001893433800432
85.8263626098634,26.97926160122488,-0.0001016732130665,0.000322926120134
85.8263626098634,27.10014639509487,-0.0003426795010454,0.0001736402628012
85.8263626098634,27.221031188964865,-9.50171088334173e-05,9.956520807463676e-05
85.9463626098634,21.539445877075195,,0.0001752380776451
85.9463626098634,21.66033067094519,,
85.9463626098634,21.78121546481518,-0.0006765682483091,0.0009192729485221
85.9463626098634,21.902100258685174,0.0001124495174735,0.0004354743286967
85.9463626098634,22.022985052555168,,-0.0002141717559425
85.9463626098634,22.14386984642516,,-1.84957571036648e-05
85.9463626098634,22.264754640295152,-0.0002467994054313,-0.0011742437491193
85.9463626098634,22.385639434165142,-4.8334302846342325e-05,0.0002091497299261
85.9463626098634,22.50652422803514,-6.123336061136797e-05,
85.9463626098634,22.62740902190513,-0.0003488791116978,0.0001981063542189
85.9463626098634,22.748293815775124,,7.416943844873458e-05
85.9463626098634,22.86917860964512,,0.0001330205850536
85.9463626098634,22.990063403515112,-8.36785911815241e-05,7.347423525061458e-05
85.9463626098634,23.110948197385103,,
85.9463626098634,23.231832991255096,-0.0004006683302577,-0.000429943553172
85.9463626098634,23.35271778512509,-0.0002843275724444,
85.9463626098634,23.473602578995084,6.10277675150428e-05,0.0001230512425536
85.9463626098634,23.594487372865075,0.0003424305468797,0.0003768001915886
85.9463626098634,23.71537216673507,,8.597403939347714e-05
85.9463626098634,23.836256960605063,,0.0003643229429144
85.9463626098634,23.957141754475053,,9.783817949937657e-05
85.9463626098634,24.078026548345047,-0.000325017463183,4.361197909474868e-07
85.9463626098634,24.19891134221504,-0.0001167991867987,-0.0001126052229665
85.9463626098634,24.319796136085035,-0.0002716520393732,-0.000171586201759
85.9463626098634,24.440680929955025,0.000908596557565,-0.0001006834500003
85.9463626098634,24.56156572382502,0.0007195185753516,0.0007113190949894
85.9463626098634,24.682450517695013,-0.0007793943514116,-0.0002322599757462
85.9463626098634,24.803335311565007,7.8759272582829e-05,
85.9463626098634,24.924220105435,-0.0002462044649291,-0.0002879201783798
85.9463626098634,25.04510489930499,0.0001685689203441,0.0004168632440268
85.9463626098634,25.165989693174986,,-6.786939047742635e-05
85.9463626098634,25.286874487044976,,0.0001604643621249
85.9463626098634,25.40775928091497,0.0004924863460473,-0.0002633078256621
85.9463626098634,25.528644074784964,0.0009464583708904,
85.9463626098634,25.649528868654954,0.0002296791353728,-0.0013322641607373
85.9463626098634,25.77041366252495,,-0.0001065761243808
85.9463626098634,25.891298456394946,,-0.0002429586602374
85.9463626098634,26.012183250264936,,-0.0007866802625358
85.9463626098634,26.13306804413493,,
85.9463626098634,26.25395283800492,,
85.9463626098634,26.374837631874914,-0.0001284183526877,2.6891191737377085e-05
85.9463626098634,26.49572242574491,-0.0004796113935299,-0.0002655077259987
85.9463626098634,26.6166072196149,-0.0007282549631781,0.0002257853775518
85.9463626098634,26.737492013484893,0.0003510742972139,
85.9463626098634,26.858376807354887,3.542888953234069e-05,
85.9463626098634,26.97926160122488,,-0.0006030608783476
85.9463626098634,27.10014639509487,-0.0004164877173025,
85.9463626098634,27.221031188964865,-0.0004978410433977,-0.0001776002609403
86.0663626098634,21.539445877075195,0.0003108719538431,0.0001313421234954
86.0663626098634,21.66033067094519,-0.0003099023888353,6.412236689357087e-05
86.0663626098634,21.78121546481518,-5.417107240646146e-05,0.0004231534549035
86.0663626098634,21.902100258685174,,-0.0008026206633076
86.0663626098634,22.022985052555168,0.0001198246172862,2.6988702302332968e-05
86.0663626098634,22.14386984642516,-7.385858771158382e-05,0.0002902015403378
86.0663626098634,22.264754640295152,-0.0007740613655187,-0.0002274422440677
86.0663626098634,22.385639434165142,,0.0002688314125407
86.0663626098634,22.50652422803514,6.517726433230564e-05,
86.0663626098634,22.62740902190513,-0.0002601862943265,0.0010845677461475
86.0663626098634,22.748293815775124,0.0001209008914884,0.0001740691222948
86.0663626098634,22.86917860964512,0.0005493435892276,-0.0001199608959723
86.0663626098634,22.990063403515112,4.385592183098197e-05,-6.895143997098785e-06
86.0663626098634,23.110948197385103,,-8.689702372066677e-05
86.0663626098634,23.231832991255096,,0.000174935121322
86.0663626098634,23.35271778512509,4.57113219454186e-06,0.0005677173612639
86.0663626098634,23.473602578995084,0.0003754289646167,0.0001397293090121
86.0663626098634,23.594487372865075,-2.1676514734281227e-05,
86.0663626098634,23.71537216673507,4.705163519247435e-05,
86.0663626098634,23.836256960605063,,-0.000183539581485
86.0663626098634,23.957141754475053,-0.0011847845744341,-1.2580438124132344e-05
86.0663626098634,24.078026548345047,0.0008008036529645,-0.000162357406225
86.0663626098634,24.19891134221504,0.0003327034355606,
86.0663626098634,24.319796136085035,,-0.0002978423435706
86.0663626098634,24.440680929955025,-0.0007825981010682,-0.0001258364936802
86.0663626098634,24.56156572382502,6.703845429001376e-05,
86.0663626098634,24.682450517695013,,-0.0003317752853035
86.0663626098634,24.803335311565007,,
86.0663626098634,24.924220105435,3.2096057111630216e-05,-8.343631634488702e-05
86.0663626098634,25.04510489930499,-0.0002679691533558,5.498458631336689e-05
86.0663626098634,25.165989693174986,-0.0002738544135354,4.624966095434502e-05
86.0663626098634,25.286874487044976,,0.0001287755003431
86.0663626098634,25.40775928091497,0.0002177278365707,
86.0663626098634,25.528644074784964,,
86.0663626098634,25.649528868654954,0.0001447199610993,5.034616151533555e-06
86.0663626098634,25.77041366252495,,-0.0001668589102337
86.0663626098634,25.891298456394946,-8.49947173264809e-05,-0.0001679346314631
86.0663626098634,26.012183250264936,-0.0001539627264719,0.0001711618242552
86.0663626098634,26.13306804413493,0.0002133897651219,0.0002059087710222
86.0663626098634,26.25395283800492,,-9.599381883163003e-06
86.0663626098634,26.374837631874914,-0.0006808446487411,
86.0663626098634,26.49572242574491,0.0006818631663918,0.0005074578220956
86.0663626098634,26.6166072196149,,
86.0663626098634,26.737492013484893,,4.639230974134989e-05
86.0663626098634,26.858376807354887,-0.0002749245031736,0.0006086967187002
86.0663626098634,26.97926160122488,,-4.264559720468242e-06
86.0663626098634,27.10014639509487,0.0003824280865956,-0.0003649900318123
86.0663626098634,27.221031188964865,0.0003684193652588,
86.18636260986341,21.539445877075195,0.0005257902084849,
86.18636260986341,21.66033067094519,-0.0005436342908069,0.0001605161232873
86.18636260986341,21.78121546481518,0.0002642160106915,-0.000199141271878
86.18636260986341,21.902100258685174,0.000117208721349,0.0001391556579619
86.18636260986341,22.022985052555168,,0.0003149463445879
86.18636260986341,22.14386984642516,-0.0003029626095667,
86.18636260986341,22.264754640295152,,-0.000881013169419
86.18636260986341,22.385639434165142,,-0.0006102545303292
86.18636260986341,22.50652422803514,0.0001598876842763,0.0001740729640005
86.18636260986341,22.62740902190513,,0.0001400997862219
86.18636260986341,22.748293815775124,,-3.709617521963082e-05
86.18636260986341,22.86917860964512,,7.40939358365722e-05
86.18636260986341,22.990063403515112,-4.937302219332196e-05,-5.67025963391643e-05
86.18636260986341,23.110948197385103,-8.930708281695843e-05,0.0002009490126511
86.18636260986341,23.231832991255096,,-3.790971823036671e-05
86.18636260986341,23.35271778512509,,
86.18636260986341,23.473602578995084,0.0005827624117955,
86.18636260986341,23.594487372865075,,-0.0003167976101394
86.18636260986341,23.71537216673507,6.809799378970638e-05,5.582750873145415e-06
