longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2)
76.994,28.541,0.1238384395837783,
77.005,28.541,0.1187930405139923,0.1248794347047805
77.015,28.541,0.1217318475246429,0.1247591152787208
77.026,28.541,0.1192554906010627,0.1234813034534454
77.036,28.541,0.1168769598007202,0.1205756887793541
77.046,28.541,,0.1250737011432647
77.057,28.541,0.1185410022735595,0.1248086616396904
77.067,28.541,0.1169238984584808,
77.078,28.541,,0.1242108047008514
77.088,28.541,0.1242015957832336,0.1218334883451461
77.098,28.541,0.1236031875014305,0.1239818707108497
77.109,28.541,0.117181085050106,0.125918835401535
77.119,28.541,0.1207391843199729,0.1235887631773948
77.129,28.541,0.1163835898041725,0.1248982921242713
77.14,28.541,0.1218502074480056,0.122033916413784
77.15,28.541,0.1180942878127098,0.1231617853045463
77.161,28.541,0.1213896200060844,0.1217719614505767
77.171,28.541,,0.1241640374064445
77.181,28.541,0.1218669638037681,0.1385488212108612
77.192,28.541,0.1180779486894607,0.1385156512260437
77.202,28.541,0.1163837686181068,0.1301819831132888
77.213,28.541,0.1197051778435707,0.1380478292703628
77.223,28.541,0.1226134449243545,0.1231793612241745
77.233,28.541,0.1208576560020446,
77.244,28.541,0.1234593018889427,0.1274933218955993
77.254,28.541,0.1198852360248565,0.1255891919136047
77.264,28.541,0.1231517866253852,0.1213310807943344
77.275,28.541,0.1170000657439231,0.1357659846544265
77.285,28.541,0.124242290854454,0.1281185299158096
77.296,28.541,0.1168441697955131,0.1246265619993209
77.306,28.541,0.1173710823059082,0.1256372183561325
77.316,28.541,0.1216157302260398,
76.849,28.551,0.1151850149035453,
76.86,28.551,0.1234158053994178,0.1220278292894363
76.87,28.551,0.124138705432415,0.125218003988266
76.88,28.551,0.1195322200655937,0.1214581280946731
76.891,28.551,0.1232359111309051,0.122546449303627
76.901,28.551,0.1230240017175674,0.1241862475872039
76.911,28.551,0.1212375834584236,0.1242174208164215
76.922,28.551,0.1225682571530342,0.1211476847529411
76.932,28.551,0.1221354976296424,0.1199465468525886
76.943,28.551,0.1161438897252082,0.1250420808792114
76.953,28.551,0.1164525002241134,0.1244408562779426
76.963,28.551,0.1215971186757087,0.1246754750609397
76.974,28.551,0.1178347170352935,0.1243122071027755
76.984,28.551,,0.1252020746469497
76.994,28.551,0.1207557395100593,0.1202006861567497
77.005,28.551,0.1183763369917869,0.1244412437081337
77.015,28.551,0.1209005266427993,0.1247398555278778
77.026,28.551,0.1159316897392273,
77.036,28.551,,0.1240852400660514
77.046,28.551,0.1227584481239318,0.1223409324884414
77.057,28.551,,0.1228335201740264
77.067,28.551,0.1192822456359863,0.1361005306243896
77.078,28.551,0.1228426769375801,0.122695580124855
77.088,28.551,0.1171687990427017,0.1240257695317268
77.098,28.551,0.123759813606739,0.1238375455141067
77.109,28.551,0.1221421733498573,0.1250998973846435
77.119,28.551,0.1157050132751464,0.119903914630413
77.129,28.551,0.1232937946915626,0.1300069391727447
77.14,28.551,,0.1242122575640678
77.15,28.551,0.1162775531411171,0.1214772462844848
77.161,28.551,0.1234666779637336,0.1217941641807556
77.171,28.551,0.1208884492516517,0.120842806994915
77.181,28.551,0.1242314949631691,0.1266107708215713
77.192,28.551,0.1174686849117279,0.1256725192070007
77.202,28.551,0.1175238639116287,0.1235454827547073
77.213,28.551,0.1158187985420227,0.1309633105993271
77.223,28.551,,0.121701531112194
77.233,28.551,0.1232418268918991,0.1233043298125267
77.244,28.551,0.1176071316003799,
77.254,28.551,0.1230694055557251,0.121663749217987
77.264,28.551,0.1199202090501785,0.1261521726846695
77.275,28.551,0.1214659512042999,0.1245753839612007
77.285,28.551,0.1221398934721946,0.1240900009870529
77.296,28.551,,0.1240985170006752
77.306,28.551,0.1227710470557212,0.1247150972485542
77.316,28.551,0.1224294602870941,0.1239595711231231
