longitude,latitude,Co_value(mol/m^2)
74.0543060302735,11.574480056762807,
74.0543060302735,11.714901281862954,0.0357769541442394
74.0543060302735,11.855322506963098,0.0275076068937778
74.0543060302735,11.99574373206324,
74.0543060302735,12.136164957163386,0.0387262776494026
74.0543060302735,12.27658618226353,
74.0543060302735,12.417007407363675,
74.0543060302735,12.55742863246382,0.0317800231277942
74.0543060302735,12.697849857563964,0.0338809117674827
74.0543060302735,12.838271082664107,
74.0543060302735,12.978692307764252,0.0306328255683183
74.0543060302735,13.119113532864397,0.0214683264493942
74.0543060302735,13.25953475796454,
74.0543060302735,13.399955983064684,
74.0543060302735,13.540377208164829,
74.0543060302735,13.680798433264972,
74.0543060302735,13.821219658365118,0.0278801452368497
74.0543060302735,13.96164088346526,
74.0543060302735,14.102062108565406,0.026793198660016
74.0543060302735,14.24248333366555,0.0272033736109733
74.0543060302735,14.382904558765697,0.0356584750115871
74.0543060302735,14.52332578386584,0.0259503200650215
74.0543060302735,14.663747008965984,0.0315358974039554
74.0543060302735,14.804168234066127,
74.0543060302735,14.944589459166272,0.0313711278140544
74.0543060302735,15.085010684266416,
74.0543060302735,15.22543190936656,0.0358540043234825
74.0543060302735,15.365853134466704,0.0317582301795482
74.0543060302735,15.506274359566849,
74.0543060302735,15.646695584666992,0.0356164388358593
74.0543060302735,15.787116809767138,
74.0543060302735,15.927538034867284,0.0240520294755697
74.0543060302735,16.067959259967427,0.026612227782607
74.0543060302735,16.208380485067572,
74.0543060302735,16.348801710167713,0.0286913681775331
74.0543060302735,16.48922293526786,0.0303225759416818
74.0543060302735,16.629644160368002,
74.0543060302735,16.770065385468147,0.0253082569688558
74.0543060302735,16.91048661056829,0.0277311094105243
74.0543060302735,17.050907835668436,0.030834088101983
74.0543060302735,17.19132906076858,0.0272882282733917
74.0543060302735,17.331750285868726,
74.0543060302735,17.47217151096887,0.0275269374251365
74.0543060302735,17.612592736069015,0.0306011755019426
74.0543060302735,17.75301396116916,
74.0543060302735,17.8934351862693,0.0342843644320964
74.0543060302735,18.033856411369445,
74.0543060302735,18.17427763646959,0.0266220867633819
74.0543060302735,18.31469886156973,
74.0543060302735,18.45512008666988,0.0306024067103862
74.1943060302735,11.574480056762807,
74.1943060302735,11.714901281862954,0.0315266549587249
74.1943060302735,11.855322506963098,0.0307244826108217
74.1943060302735,11.99574373206324,
74.1943060302735,12.136164957163386,0.0265592560172081
74.1943060302735,12.27658618226353,
74.1943060302735,12.417007407363675,
74.1943060302735,12.55742863246382,
74.1943060302735,12.697849857563964,0.0289448760449886
74.1943060302735,12.838271082664107,
74.1943060302735,12.978692307764252,
74.1943060302735,13.119113532864397,
74.1943060302735,13.25953475796454,0.0314582735300064
74.1943060302735,13.399955983064684,
74.1943060302735,13.540377208164829,0.0309995394200086
74.1943060302735,13.680798433264972,
74.1943060302735,13.821219658365118,
74.1943060302735,13.96164088346526,
74.1943060302735,14.102062108565406,0.0350876785814762
74.1943060302735,14.24248333366555,
74.1943060302735,14.382904558765697,
74.1943060302735,14.52332578386584,
74.1943060302735,14.663747008965984,
74.1943060302735,14.804168234066127,
74.1943060302735,14.944589459166272,
74.1943060302735,15.085010684266416,
74.1943060302735,15.22543190936656,0.0292871054261922
74.1943060302735,15.365853134466704,0.0348000936210155
74.1943060302735,15.506274359566849,0.0271684471517801
74.1943060302735,15.646695584666992,0.0361283607780933
74.1943060302735,15.787116809767138,0.025838254019618
74.1943060302735,15.927538034867284,
74.1943060302735,16.067959259967427,0.0306178219616413
74.1943060302735,16.208380485067572,
74.1943060302735,16.348801710167713,
74.1943060302735,16.48922293526786,0.0310196653008461
74.1943060302735,16.629644160368002,0.0308279599994421
74.1943060302735,16.770065385468147,0.0304992627352476
74.1943060302735,16.91048661056829,0.0272741187363863
74.1943060302735,17.050907835668436,0.0285688508301973
74.1943060302735,17.19132906076858,0.0275975745171308
74.1943060302735,17.331750285868726,
74.1943060302735,17.47217151096887,0.0326315909624099
74.1943060302735,17.612592736069015,
74.1943060302735,17.75301396116916,0.0286108553409576
74.1943060302735,17.8934351862693,0.0308143943548202
74.1943060302735,18.033856411369445,0.0278265327215194
74.1943060302735,18.17427763646959,0.0305490680038929
74.1943060302735,18.31469886156973,0.0368315316736698
74.1943060302735,18.45512008666988,0.0342435203492641
74.3343060302735,11.574480056762807,0.028136521577835
74.3343060302735,11.714901281862954,
74.3343060302735,11.855322506963098,0.0332113914191722
74.3343060302735,11.99574373206324,
74.3343060302735,12.136164957163386,
74.3343060302735,12.27658618226353,
74.3343060302735,12.417007407363675,0.0219736583530902
74.3343060302735,12.55742863246382,0.027657862752676
74.3343060302735,12.697849857563964,
74.3343060302735,12.838271082664107,
74.3343060302735,12.978692307764252,
74.3343060302735,13.119113532864397,
74.3343060302735,13.25953475796454,
74.3343060302735,13.399955983064684,
74.3343060302735,13.540377208164829,
74.3343060302735,13.680798433264972,
74.3343060302735,13.821219658365118,
74.3343060302735,13.96164088346526,0.0265194792300462
74.3343060302735,14.102062108565406,0.0321394428610801
74.3343060302735,14.24248333366555,0.0192576479166746
74.3343060302735,14.382904558765697,0.0225268583744764
74.3343060302735,14.52332578386584,0.0290345381945371
74.3343060302735,14.663747008965984,0.033905204385519
74.3343060302735,14.804168234066127,0.0269897244870662
74.3343060302735,14.944589459166272,0.0284001138061285
74.3343060302735,15.085010684266416,0.0259674657136201
74.3343060302735,15.22543190936656,
74.3343060302735,15.365853134466704,0.0335702411830425
74.3343060302735,15.506274359566849,0.026896309107542
74.3343060302735,15.646695584666992,0.024143174290657
