longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
76.84631625976569,28.789301681518623,1.670458550506737e-05,1.9116188923362643e-05
76.84631625976569,28.80290314810624,-1.4918496162863448e-05,1.601024814590346e-05
76.84631625976569,28.81650461469385,3.3843982691905694e-06,
76.84631625976569,28.83010608128147,5.545688509300817e-06,7.352402462856844e-06
76.84631625976569,28.843707547869087,1.0816177564265672e-05,9.076320566236973e-06
76.84631625976569,28.857309014456703,-1.7517108972242568e-06,
76.84631625976569,28.87091048104432,9.165560186374933e-06,1.831003464758396e-05
76.84631625976569,28.884511947631932,1.414254802512005e-05,0.0001062489754986
76.85971625976569,28.408460617065373,-7.654425644432195e-07,1.6908772522583604e-05
76.85971625976569,28.42206208365299,7.469626325473655e-06,6.610755463043461e-06
76.85971625976569,28.435663550240605,1.671738937147893e-05,
76.85971625976569,28.44926501682822,4.408372205944033e-06,3.575440132408403e-05
76.85971625976569,28.46286648341584,6.6466877797211055e-06,2.02845021703979e-05
76.85971625976569,28.476467950003453,,7.833263225620613e-06
76.85971625976569,28.49006941659107,5.640832750941627e-05,1.104308194044279e-05
76.85971625976569,28.503670883178685,-1.0658993232937064e-05,2.909268187067937e-05
76.85971625976569,28.5172723497663,1.4499547432933468e-05,2.89444942609407e-05
76.85971625976569,28.53087381635392,7.927192200440913e-06,2.8076980015612207e-05
76.85971625976569,28.544475282941534,,1.4146815374260768e-05
76.85971625976569,28.55807674952915,7.471830940630753e-06,1.4640183508163318e-05
76.85971625976569,28.57167821611677,2.896920523198787e-05,
76.85971625976569,28.585279682704385,6.342976848827675e-05,
76.85971625976569,28.598881149292,1.0191416549787393e-05,2.96359012281755e-05
76.85971625976569,28.61248261587961,5.108050117996754e-06,-5.4681909205100965e-06
76.85971625976569,28.62608408246723,7.163801910792245e-06,2.719307849474717e-05
76.85971625976569,28.63968554905485,1.595469075255096e-05,1.7732274500303902e-05
76.85971625976569,28.653287015642466,1.3454945246849093e-06,1.7420936273992993e-05
76.85971625976569,28.66688848223008,1.5246688235492911e-05,3.6033758078701794e-05
76.85971625976569,28.68048994881769,1.4343669135996606e-05,
76.85971625976569,28.69409141540531,-1.2157802302681375e-05,1.1720683687599376e-05
76.85971625976569,28.707692881992926,-2.257060486954288e-06,1.970078119484242e-05
76.85971625976569,28.721294348580543,8.31948455015663e-06,1.7836422557593323e-05
76.85971625976569,28.73489581516816,-9.74147224042099e-06,1.625297409191262e-05
76.85971625976569,28.74849728175577,3.3760873066057684e-06,1.0782424396893475e-05
76.85971625976569,28.76209874834339,,1.0240232768410353e-05
