longitude,latitude,Co_value(mol/m^2),Co_value(mol/m^2)
76.83291625976568,28.408460617065373,0.0281324964016675,0.0368655435740947
76.83291625976568,28.42206208365299,,0.0209755077958107
76.83291625976568,28.435663550240605,0.0258988179266452,
76.83291625976568,28.44926501682822,,
76.83291625976568,28.46286648341584,,
76.83291625976568,28.476467950003453,0.0289089251309633,0.0402444489300251
76.83291625976568,28.49006941659107,,0.0397977903485298
76.83291625976568,28.503670883178685,,0.0358773618936538
76.83291625976568,28.5172723497663,,
76.83291625976568,28.53087381635392,0.03695073351264,
76.83291625976568,28.544475282941534,,0.0335153490304946
76.83291625976568,28.55807674952915,,0.0243356768041849
76.83291625976568,28.57167821611677,0.0244454070925712,0.0333625078201293
76.83291625976568,28.585279682704385,,
76.83291625976568,28.598881149292,,0.0368064120411872
76.83291625976568,28.61248261587961,,
76.83291625976568,28.62608408246723,,0.0332462154328823
76.83291625976568,28.63968554905485,0.0313650444149971,
76.83291625976568,28.653287015642466,,0.0353227816522121
76.83291625976568,28.66688848223008,0.0292434487491846,0.0333193838596344
76.83291625976568,28.68048994881769,0.032174427062273,
76.83291625976568,28.69409141540531,0.0324595123529434,
76.83291625976568,28.707692881992926,,0.0372843258082866
76.83291625976568,28.721294348580543,,0.0324033759534359
76.83291625976568,28.73489581516816,0.034281600266695,0.0351261794567108
76.83291625976568,28.74849728175577,,
76.83291625976568,28.76209874834339,,0.0294775664806365
76.83291625976568,28.775700214931007,,
76.83291625976568,28.789301681518623,,
76.83291625976568,28.80290314810624,0.0362678803503513,
76.83291625976568,28.81650461469385,,
76.83291625976568,28.83010608128147,,
76.83291625976568,28.843707547869087,,0.0310558155179023
76.83291625976568,28.857309014456703,,
76.83291625976568,28.87091048104432,0.0323081836104393,0.0382362157106399
76.83291625976568,28.884511947631932,,0.0380253009498119
76.84631625976569,28.408460617065373,,0.0351548418402671
76.84631625976569,28.42206208365299,0.0365070700645446,
76.84631625976569,28.435663550240605,,
76.84631625976569,28.44926501682822,,
76.84631625976569,28.46286648341584,,0.0352096781134605
76.84631625976569,28.476467950003453,0.026658322662115,
76.84631625976569,28.49006941659107,,0.0335814803838729
76.84631625976569,28.503670883178685,,
76.84631625976569,28.5172723497663,,0.0377862006425857
76.84631625976569,28.53087381635392,,0.0316619835793972
76.84631625976569,28.544475282941534,0.0630584508180618,0.0337596423923969
76.84631625976569,28.55807674952915,0.0302097368985414,
76.84631625976569,28.57167821611677,0.0322349332273006,0.0241316575556993
76.84631625976569,28.585279682704385,0.034800685942173,
76.84631625976569,28.598881149292,,0.0329284071922302
76.84631625976569,28.61248261587961,0.0412358529865741,0.032813798636198
76.84631625976569,28.62608408246723,,
76.84631625976569,28.63968554905485,,0.035869650542736
76.84631625976569,28.653287015642466,,0.0358330756425857
76.84631625976569,28.66688848223008,,
76.84631625976569,28.68048994881769,,0.0340801887214183
76.84631625976569,28.69409141540531,,
76.84631625976569,28.707692881992926,0.0358640886843204,
76.84631625976569,28.721294348580543,0.0423644334077835,
76.84631625976569,28.73489581516816,,
76.84631625976569,28.74849728175577,,0.0293020643293857
76.84631625976569,28.76209874834339,0.0377787128090858,0.0358829647302627
76.84631625976569,28.775700214931007,,0.0402397811412811
76.84631625976569,28.789301681518623,0.0279197506606578,
76.84631625976569,28.80290314810624,0.0349314399063587,0.0348115786910057
76.84631625976569,28.81650461469385,,
76.84631625976569,28.83010608128147,,0.0312461610883474
76.84631625976569,28.843707547869087,0.0346240773797035,0.0377712473273277
76.84631625976569,28.857309014456703,,
76.84631625976569,28.87091048104432,0.0260062254965305,0.0301792491227388
76.84631625976569,28.884511947631932,0.0377917923033237,
76.85971625976569,28.408460617065373,,0.033095046877861
76.85971625976569,28.42206208365299,,0.0350059233605861
76.85971625976569,28.435663550240605,0.0316424183547496,0.0309337079524993
76.85971625976569,28.44926501682822,0.0280666332691907,
76.85971625976569,28.46286648341584,0.0274242274463176,0.0347486473619937
76.85971625976569,28.476467950003453,0.0391751565039157,0.0304576177150011
76.85971625976569,28.49006941659107,,0.0415446795523166
76.85971625976569,28.503670883178685,,0.0462524406611919
76.85971625976569,28.5172723497663,,0.0321359820663929
76.85971625976569,28.53087381635392,,0.0335077010095119
76.85971625976569,28.544475282941534,0.0299201514571905,0.0348885953426361
76.85971625976569,28.55807674952915,0.0356729626655578,
76.85971625976569,28.57167821611677,,0.0290085766464471
76.85971625976569,28.585279682704385,,
76.85971625976569,28.598881149292,0.0365477316081523,
76.85971625976569,28.61248261587961,,0.0318835824728012
76.85971625976569,28.62608408246723,,
76.85971625976569,28.63968554905485,0.0336943566799163,0.0353268384933471
76.85971625976569,28.653287015642466,0.046153225004673,0.0372021347284317
76.85971625976569,28.66688848223008,0.030462447553873,0.0418970808386802
76.85971625976569,28.68048994881769,0.0329879224300384,
76.85971625976569,28.69409141540531,,
76.85971625976569,28.707692881992926,,
76.85971625976569,28.721294348580543,,
76.85971625976569,28.73489581516816,0.0396441854536533,0.0220920648425817
76.85971625976569,28.74849728175577,0.0395652279257774,
76.85971625976569,28.76209874834339,0.0283470172435045,
76.85971625976569,28.775700214931007,,
76.85971625976569,28.789301681518623,0.0342126563191413,
76.85971625976569,28.80290314810624,,0.0235439520329237
76.85971625976569,28.81650461469385,,0.0360312536358833
76.85971625976569,28.83010608128147,0.033301692456007,0.0352748893201351
76.85971625976569,28.843707547869087,,0.0327466316521167
76.85971625976569,28.857309014456703,0.0284012202173471,0.0339973494410514
76.85971625976569,28.87091048104432,,0.0421231351792812
76.85971625976569,28.884511947631932,,0.0356311686336994
76.8731162597657,28.408460617065373,,
76.8731162597657,28.42206208365299,,0.0401172898709774
76.8731162597657,28.435663550240605,,0.0360003374516963
76.8731162597657,28.44926501682822,0.0278120338916778,
76.8731162597657,28.46286648341584,0.0351497158408165,0.0400326028466224
76.8731162597657,28.476467950003453,,0.0374191999435424
76.8731162597657,28.49006941659107,,0.0319858603179454
76.8731162597657,28.503670883178685,,
76.8731162597657,28.5172723497663,,0.0352489426732063
76.8731162597657,28.53087381635392,0.0243272129446268,0.035476978868246
76.8731162597657,28.544475282941534,,0.0370664782822132
76.8731162597657,28.55807674952915,,
76.8731162597657,28.57167821611677,0.039171352982521,
76.8731162597657,28.585279682704385,0.0345394052565097,
76.8731162597657,28.598881149292,,0.0382566154003143
76.8731162597657,28.61248261587961,0.0350912362337112,
76.8731162597657,28.62608408246723,,0.032825481146574
76.8731162597657,28.63968554905485,,0.0348499529063701
76.8731162597657,28.653287015642466,,0.0262368209660053
76.8731162597657,28.66688848223008,,
76.8731162597657,28.68048994881769,,0.0409763231873512
76.8731162597657,28.69409141540531,0.0352727621793746,
76.8731162597657,28.707692881992926,0.0323971919715404,0.0384243242442607
76.8731162597657,28.721294348580543,,
76.8731162597657,28.73489581516816,,0.0407379008829593
76.8731162597657,28.74849728175577,,0.0234923176467418
76.8731162597657,28.76209874834339,,0.0375384837388992
76.8731162597657,28.775700214931007,,0.021777968853712
76.8731162597657,28.789301681518623,,0.0384209975600242
76.8731162597657,28.80290314810624,0.0410685539245605,0.0375832058489322
76.8731162597657,28.81650461469385,0.0407947935163974,0.0306163448840379
76.8731162597657,28.83010608128147,,0.0413674898445606
76.8731162597657,28.843707547869087,,0.0362708382308483
76.8731162597657,28.857309014456703,,
76.8731162597657,28.87091048104432,,0.037212073802948
76.8731162597657,28.884511947631932,0.0319756269454956,0.0369914472103118
76.8865162597657,28.408460617065373,,0.0330067463219165
76.8865162597657,28.42206208365299,0.0345486178994178,
76.8865162597657,28.435663550240605,,
76.8865162597657,28.44926501682822,,
76.8865162597657,28.46286648341584,,0.0362245328724384
76.8865162597657,28.476467950003453,,
76.8865162597657,28.49006941659107,,
76.8865162597657,28.503670883178685,,
76.8865162597657,28.5172723497663,0.0323147885501384,
76.8865162597657,28.53087381635392,,0.0331814102828502
76.8865162597657,28.544475282941534,,
76.8865162597657,28.55807674952915,0.0307769700884819,
76.8865162597657,28.57167821611677,,
76.8865162597657,28.585279682704385,,0.033980555832386
76.8865162597657,28.598881149292,0.0298445634543895,0.0478051044046878
76.8865162597657,28.61248261587961,,0.0354392565786838
76.8865162597657,28.62608408246723,,0.0318591110408306
76.8865162597657,28.63968554905485,,0.0306799970567226
76.8865162597657,28.653287015642466,,0.0307387728244066
76.8865162597657,28.66688848223008,,
76.8865162597657,28.68048994881769,,0.0383366309106349
76.8865162597657,28.69409141540531,,0.0349928177893161
76.8865162597657,28.707692881992926,,
76.8865162597657,28.721294348580543,0.0341311246156692,
76.8865162597657,28.73489581516816,0.026576928794384,0.035955186933279
76.8865162597657,28.74849728175577,0.038754928857088,
76.8865162597657,28.76209874834339,,0.0332622863352298
76.8865162597657,28.775700214931007,,
76.8865162597657,28.789301681518623,0.0338169485330581,
76.8865162597657,28.80290314810624,,
76.8865162597657,28.81650461469385,,0.0240246895700693
76.8865162597657,28.83010608128147,,0.0391648858785629
76.8865162597657,28.843707547869087,,0.0380253009498119
76.8865162597657,28.857309014456703,,0.0363231711089611
76.8865162597657,28.87091048104432,,
76.8865162597657,28.884511947631932,,
76.8999162597657,28.408460617065373,,0.0348171629011631
76.8999162597657,28.42206208365299,,0.042360033839941
76.8999162597657,28.435663550240605,0.0274242274463176,0.0355422906577587
76.8999162597657,28.44926501682822,0.0350614301860332,0.0368368476629257
76.8999162597657,28.46286648341584,,
76.8999162597657,28.476467950003453,,0.0278101619333028
76.8999162597657,28.49006941659107,,
76.8999162597657,28.503670883178685,,
76.8999162597657,28.5172723497663,,0.0378893800079822
76.8999162597657,28.53087381635392,0.0310741737484931,0.0253999084234237
76.8999162597657,28.544475282941534,0.0237080752849578,0.0328726470470428
76.8999162597657,28.55807674952915,,0.0472979433834552
76.8999162597657,28.57167821611677,,0.032813798636198
76.8999162597657,28.585279682704385,,0.0356585569679737
76.8999162597657,28.598881149292,,0.0330034792423248
76.8999162597657,28.61248261587961,,
76.8999162597657,28.62608408246723,0.0334083326160907,0.0410377867519855
76.8999162597657,28.63968554905485,,0.0399718843400478
76.8999162597657,28.653287015642466,,0.036317691206932
76.8999162597657,28.66688848223008,,0.0335012935101985
76.8999162597657,28.68048994881769,0.0304383113980293,0.0355716757476329
76.8999162597657,28.69409141540531,0.0305470079183578,0.0348383747041225
76.8999162597657,28.707692881992926,,0.035014484077692
76.8999162597657,28.721294348580543,0.0618247538805007,0.0343777425587177
76.8999162597657,28.73489581516816,,
76.8999162597657,28.74849728175577,0.0249978899955749,
76.8999162597657,28.76209874834339,,
76.8999162597657,28.775700214931007,,
76.8999162597657,28.789301681518623,,0.0210434217005968
76.8999162597657,28.80290314810624,0.033301692456007,0.0266185440123081
76.8999162597657,28.81650461469385,,0.0426161438226699
76.8999162597657,28.83010608128147,,
76.8999162597657,28.843707547869087,,0.0392547585070133
76.8999162597657,28.857309014456703,,
76.8999162597657,28.87091048104432,,
76.8999162597657,28.884511947631932,0.0352491028606891,
76.91331625976571,28.408460617065373,,0.0372832454741001
76.91331625976571,28.42206208365299,,
76.91331625976571,28.435663550240605,0.0351497158408165,
76.91331625976571,28.44926501682822,,
76.91331625976571,28.46286648341584,0.0275271870195865,0.0462524406611919
76.91331625976571,28.476467950003453,,
76.91331625976571,28.49006941659107,,0.0460083596408367
76.91331625976571,28.503670883178685,0.0243272129446268,0.035928837954998
76.91331625976571,28.5172723497663,,
76.91331625976571,28.53087381635392,0.0399560630321502,0.0317164547741413
76.91331625976571,28.544475282941534,,0.0347364619374275
76.91331625976571,28.55807674952915,,0.0236529856920242
76.91331625976571,28.57167821611677,,
76.91331625976571,28.585279682704385,,
76.91331625976571,28.598881149292,,0.0255877617746591
76.91331625976571,28.61248261587961,0.02936945669353,0.0435905158519744
76.91331625976571,28.62608408246723,,0.0324427299201488
76.91331625976571,28.63968554905485,,0.0317527838051319
76.91331625976571,28.653287015642466,0.0260316636413335,
76.91331625976571,28.66688848223008,,0.0345152094960212
76.91331625976571,28.68048994881769,0.0343009978532791,0.0363936237990856
76.91331625976571,28.69409141540531,0.0313183404505252,0.0336309932172298
76.91331625976571,28.707692881992926,0.0298256073147058,0.0336569361388683
76.91331625976571,28.721294348580543,,0.0326807871460914
76.91331625976571,28.73489581516816,0.0295358896255493,
76.91331625976571,28.74849728175577,,0.0318212583661079
76.91331625976571,28.76209874834339,0.0297090876847505,
76.91331625976571,28.775700214931007,,0.03128058090806
76.91331625976571,28.789301681518623,,0.0356400981545448
76.91331625976571,28.80290314810624,,
76.91331625976571,28.81650461469385,0.0354672409594059,0.0331780239939689
76.91331625976571,28.83010608128147,,0.0421231351792812
76.91331625976571,28.843707547869087,,0.0329763256013393
76.91331625976571,28.857309014456703,,0.0310728568583726
76.91331625976571,28.87091048104432,0.0344548858702182,0.0365612022578716
76.91331625976571,28.884511947631932,0.0370510220527648,0.0243393816053867
76.92671625976571,28.408460617065373,0.0284288078546524,
76.92671625976571,28.42206208365299,,0.030758174136281
76.92671625976571,28.435663550240605,,0.0367010124027729
76.92671625976571,28.44926501682822,,0.0362668484449386
76.92671625976571,28.46286648341584,,
76.92671625976571,28.476467950003453,0.033429991453886,0.03190853074193
76.92671625976571,28.49006941659107,,0.0324219316244125
76.92671625976571,28.503670883178685,,
76.92671625976571,28.5172723497663,,0.0363624989986419
76.92671625976571,28.53087381635392,,
