longitude,latitude,Hcho_value(mol/m^2),Hcho_value(mol/m^2),Hcho_value(mol/m^2)
74.0543060302735,11.574480056762807,9.964044693333562e-06,1.7171845684060827e-05,1.3476981621352024e-05
74.0543060302735,11.714901281862954,3.2969761377898976e-05,-0.0001201651684823,6.724359263898805e-05
74.0543060302735,11.855322506963098,,0.0001356503053102,0.0001155502832261
74.0543060302735,11.99574373206324,,1.652729588386137e-05,0.0002427043509669
74.0543060302735,12.136164957163386,5.159056308912113e-05,8.76884296303615e-05,0.0001103144240914
74.0543060302735,12.27658618226353,0.0002133197558578,5.657951260218397e-05,0.0001638137182453
74.0543060302735,12.417007407363675,,6.253460742300376e-05,
74.0543060302735,12.55742863246382,0.0002609821385703,-7.348693179665133e-05,0.0003071539103984
74.0543060302735,12.697849857563964,2.843339098035358e-05,0.0001796542928786,0.000321722269291
74.0543060302735,12.838271082664107,5.261763362796046e-05,,
74.0543060302735,12.978692307764252,-6.480583397205919e-05,4.173913112026639e-05,
74.0543060302735,13.119113532864397,0.0005173255340196,7.975645712576807e-05,
74.0543060302735,13.25953475796454,0.0004754299588967,5.873340342077427e-06,2.768728336377535e-05
74.0543060302735,13.399955983064684,-6.381796993082389e-05,0.0001540152879897,7.88178585935384e-05
74.0543060302735,13.540377208164829,0.0004636806552298,-2.9600258130813017e-05,0.0002402379323029
74.0543060302735,13.680798433264972,0.0002085362066281,-8.151179645210505e-05,8.272083505289629e-05
74.0543060302735,13.821219658365118,-7.789834853610955e-06,0.0002062276762444,
74.0543060302735,13.96164088346526,-1.8696262486628257e-05,5.053061249782331e-05,1.4059942259336822e-05
74.0543060302735,14.102062108565406,-4.293957317713648e-06,0.0001385770010529,4.494205495575443e-05
74.0543060302735,14.24248333366555,0.0001804658968467,0.000117296098324,4.658251418732107e-05
74.0543060302735,14.382904558765697,0.0008365394896827,,0.0001672791986493
74.0543060302735,14.52332578386584,8.620709559181705e-05,,0.0001640381960896
74.0543060302735,14.663747008965984,0.0003395592211745,0.0001474163873353,1.3129730177752208e-05
74.0543060302735,14.804168234066127,-4.2200623283861205e-05,-1.9335828255862e-05,0.0003246817213948
74.0543060302735,14.944589459166272,,,1.3829763929606995e-06
74.0543060302735,15.085010684266416,5.277356831356883e-05,1.140730432780401e-06,0.0001199212056235
74.0543060302735,15.22543190936656,-0.0001020639829221,8.737474126974121e-05,0.0002079831756418
74.0543060302735,15.365853134466704,6.86899948050268e-05,-9.902555029839276e-05,9.63483762461692e-05
74.0543060302735,15.506274359566849,-2.2654851363768103e-06,-9.460439287067857e-06,0.0001890085404738
74.0543060302735,15.646695584666992,9.937067079590634e-05,8.956649980973452e-05,0.0003019030264113
74.0543060302735,15.787116809767138,4.2071766074514017e-05,-4.137892756261863e-05,-1.1850203009089457e-05
74.0543060302735,15.927538034867284,3.024607758561615e-05,9.063716424861924e-05,
74.0543060302735,16.067959259967427,,,0.0001260305143659
74.0543060302735,16.208380485067572,0.0001102750902646,,9.548394154990092e-05
74.0543060302735,16.348801710167713,0.0001801481266738,,
74.0543060302735,16.48922293526786,0.0001672000507824,4.215350418235175e-05,0.0001750881783664
74.0543060302735,16.629644160368002,-8.594584505772218e-05,6.894318357808515e-05,0.0001065638498403
74.0543060302735,16.770065385468147,3.8591948396060616e-05,-1.2999848877370823e-05,0.0002257672895211
74.0543060302735,16.91048661056829,0.0003084225172642,1.2017862900393084e-05,8.229714148910716e-05
74.0543060302735,17.050907835668436,0.0003143669164273,4.428056286087667e-07,
74.0543060302735,17.19132906076858,0.0001312261883867,-0.0001574469206389,0.0001026544923661
74.0543060302735,17.331750285868726,,-6.927607955731219e-06,0.0001768437068676
74.0543060302735,17.47217151096887,-8.410947339143604e-05,4.049292329000309e-06,0.0002126766048604
74.0543060302735,17.612592736069015,5.8348203310742974e-05,7.532571180490777e-05,0.0001681153808021
74.0543060302735,17.75301396116916,0.000128392202896,,
74.0543060302735,17.8934351862693,,-7.431810900015989e-06,9.647813385527115e-06
74.0543060302735,18.033856411369445,0.0005510676419362,0.0001509201392764,9.500563464825972e-05
74.0543060302735,18.17427763646959,0.0001078044224414,,
74.0543060302735,18.31469886156973,-8.945164154283702e-05,0.0001970743905985,
74.0543060302735,18.45512008666988,2.0020459487568587e-05,4.330660885898397e-05,1.168422500086308e-06
74.1943060302735,11.574480056762807,0.0001954195613507,1.1983250260527711e-05,6.103116538724862e-05
74.1943060302735,11.714901281862954,0.0001198579702759,3.189415292581543e-05,-0.000136079324875
74.1943060302735,11.855322506963098,4.7513949539279565e-05,8.638668077765033e-05,0.0001179182363557
74.1943060302735,11.99574373206324,,2.0316951122367755e-05,
74.1943060302735,12.136164957163386,-7.936534530017525e-05,,0.0001897815673146
74.1943060302735,12.27658618226353,0.0001949944416992,,
74.1943060302735,12.417007407363675,,,5.14931307407096e-05
74.1943060302735,12.55742863246382,8.08745899121277e-05,8.188483479898423e-05,0.0002190321101807
74.1943060302735,12.697849857563964,,-9.8383090517018e-05,0.0002094625524478
74.1943060302735,12.838271082664107,-7.818360609235242e-05,,
74.1943060302735,12.978692307764252,0.000268345902441,-9.408161713508888e-05,0.0001123384063248
74.1943060302735,13.119113532864397,,2.8159458452137187e-05,
74.1943060302735,13.25953475796454,0.0001329009101027,0.0002097270771628,0.0001082799280993
74.1943060302735,13.399955983064684,,0.0001636922679608,9.065863559953868e-05
74.1943060302735,13.540377208164829,,0.0001237305841641,4.594997517415322e-05
74.1943060302735,13.680798433264972,0.0002229546371381,0.000273348938208,0.0001393421989632
74.1943060302735,13.821219658365118,,-8.800147770671174e-05,3.44409272656776e-05
74.1943060302735,13.96164088346526,3.300161915831268e-05,0.0001062025912688,8.258363232016563e-05
74.1943060302735,14.102062108565406,0.0001536289637442,,6.522363401018083e-05
74.1943060302735,14.24248333366555,8.598934073233977e-05,-0.0001183635904453,0.0001956084161065
74.1943060302735,14.382904558765697,1.7191647202707827e-05,-3.910588930011727e-05,0.0002575142425484
74.1943060302735,14.52332578386584,,0.0001355330314254,5.6843182392185554e-05
74.1943060302735,14.663747008965984,0.0001884040830191,8.960073319030926e-05,0.000129468855448
74.1943060302735,14.804168234066127,-7.527731213485822e-06,0.0002068122121272,2.740738636930473e-05
74.1943060302735,14.944589459166272,0.0002601264277473,-7.888919208198786e-05,4.964106847182848e-05
74.1943060302735,15.085010684266416,0.0001142680703196,0.0002091141504934,-7.997073407750577e-05
74.1943060302735,15.22543190936656,,0.0001768977235769,9.90187909337692e-05
74.1943060302735,15.365853134466704,2.991082874359563e-05,0.0001578326628077,
74.1943060302735,15.506274359566849,0.0003424774040468,5.821313243359327e-05,0.0003383878793101
74.1943060302735,15.646695584666992,1.0538452443142887e-05,-4.090527363587171e-05,9.197441249853e-05
74.1943060302735,15.787116809767138,3.747411392396316e-05,0.0001600090035935,1.7285379726672545e-05
74.1943060302735,15.927538034867284,,0.0001063824165612,7.171558536356315e-05
74.1943060302735,16.067959259967427,-0.000114592105092,1.1933798305108212e-05,7.729489880148321e-06
74.1943060302735,16.208380485067572,0.0001387038064422,-0.000110839602712,0.0001404839276801
74.1943060302735,16.348801710167713,0.0001344283809885,0.0002025205467361,0.000122307028505
74.1943060302735,16.48922293526786,0.0001266485924134,1.985927519854158e-05,0.0001045456301653
74.1943060302735,16.629644160368002,4.1611736378399655e-05,0.0001078882414731,0.0001330160739598
74.1943060302735,16.770065385468147,1.1936595910810864e-05,0.0002283504436491,0.0002205467608291
74.1943060302735,16.91048661056829,4.206238736514933e-05,6.197851325850934e-05,0.0002171595988329
74.1943060302735,17.050907835668436,,,0.0001650035119382
74.1943060302735,17.19132906076858,,-0.0001447704416932,
74.1943060302735,17.331750285868726,9.651597065385432e-05,3.703307083924301e-05,
74.1943060302735,17.47217151096887,-3.674684921861626e-05,,
74.1943060302735,17.612592736069015,1.1044156053685583e-05,8.516130037605762e-05,
74.1943060302735,17.75301396116916,3.675565676530823e-05,-8.306631207233295e-05,4.907200491288677e-05
74.1943060302735,17.8934351862693,0.0001421146589564,0.0001301947195315,
74.1943060302735,18.033856411369445,1.5930558220134117e-05,0.0001777703146217,0.0001438077015336
74.1943060302735,18.17427763646959,,9.414629312232135e-05,-7.542734238086268e-05
74.1943060302735,18.31469886156973,0.0001521119993412,0.0001049465645337,
74.1943060302735,18.45512008666988,0.0001777209545252,-0.0001222346472786,0.0001252534711966
74.3343060302735,11.574480056762807,-1.7596508769202046e-05,-9.572973795002326e-05,0.0001112774334615
74.3343060302735,11.714901281862954,-9.807616879697888e-05,0.0002197649737354,2.0398014385136776e-05
74.3343060302735,11.855322506963098,,,0.0002699896576814
74.3343060302735,11.99574373206324,,1.2886890544905327e-05,
74.3343060302735,12.136164957163386,-4.015845479443669e-05,3.762850610655733e-05,
74.3343060302735,12.27658618226353,0.0002647965739015,0.000119452313811,
74.3343060302735,12.417007407363675,-0.0002471069456078,0.0003212149313185,0.00031998558552
74.3343060302735,12.55742863246382,-9.433962077309845e-06,-4.370155875221826e-05,0.000159216710017
