longitude,latitude,Hcho_value(mol/m^2),Hcho_value(mol/m^2)
85.8263626098634,21.539445877075195,0.0001918281923281,0.0001232209906447
85.8263626098634,21.66033067094519,5.170653821551241e-05,9.301337559008972e-05
85.8263626098634,21.78121546481518,0.0002701865741983,-1.684435488868985e-07
85.8263626098634,21.902100258685174,0.0001898787450045,0.0001432414719602
85.8263626098634,22.022985052555168,6.267321441555396e-05,0.0016082902438938
85.8263626098634,22.14386984642516,0.0004924903623759,0.0001222942810272
85.8263626098634,22.264754640295152,,-4.268314660293981e-05
85.8263626098634,22.385639434165142,9.71335030044429e-05,5.990417776047252e-05
85.8263626098634,22.50652422803514,8.901437104213983e-05,-2.1743542674812488e-05
85.8263626098634,22.62740902190513,9.735213097883388e-05,0.0001233154616784
85.8263626098634,22.748293815775124,0.0003266810090281,
85.8263626098634,22.86917860964512,1.6260300981230102e-05,0.0001742222375469
85.8263626098634,22.990063403515112,-1.3504100024874788e-05,
85.8263626098634,23.110948197385103,0.000151100961375,-0.0004322292224969
85.8263626098634,23.231832991255096,,0.0005976288230158
85.8263626098634,23.35271778512509,0.0006329136667773,0.0001397086161887
85.8263626098634,23.473602578995084,0.0001045434182742,0.0001823085040086
85.8263626098634,23.594487372865075,0.0009658373892307,0.0002867038710974
85.8263626098634,23.71537216673507,0.0001718256826279,0.0003144091460853
85.8263626098634,23.836256960605063,0.0001171417461591,
85.8263626098634,23.957141754475053,0.000259248772636,0.0001794550189515
85.8263626098634,24.078026548345047,,9.23717670957558e-05
85.8263626098634,24.19891134221504,7.673103391425684e-05,8.301314665004611e-05
85.8263626098634,24.319796136085035,0.0008703177445568,0.0001982764661079
85.8263626098634,24.440680929955025,0.000491285638418,-5.7517241657478735e-05
85.8263626098634,24.56156572382502,3.0234503356041387e-05,0.000205327727599
85.8263626098634,24.682450517695013,-3.572021523723379e-05,0.0001889308186946
85.8263626098634,24.803335311565007,0.0002259832835989,
85.8263626098634,24.924220105435,6.568521348526701e-05,-0.0002082798018818
