longitude,latitude,Hcho_value(mol/m^2),Hcho_value(mol/m^2),Hcho_value(mol/m^2)
85.8263626098634,21.539445877075195,0.0001507520209997,-3.710946475621313e-05,0.000147104205098
85.8263626098634,21.66033067094519,,,0.000110345914436
85.8263626098634,21.78121546481518,,7.871777779655531e-05,
85.8263626098634,21.902100258685174,8.92547977855429e-05,0.0002872664772439,-0.0001228534674737
85.8263626098634,22.022985052555168,-2.386271626164671e-05,-8.518413778801914e-06,0.0001312979729846
85.8263626098634,22.14386984642516,9.794019570108504e-05,0.0002704033686313,2.4272915197798284e-06
85.8263626098634,22.264754640295152,,,0.0001631431805435
85.8263626098634,22.385639434165142,-1.6244757716776803e-05,0.0002450789324939,
85.8263626098634,22.50652422803514,8.858500950736925e-05,0.0001842664642026,0.0003474020923022
85.8263626098634,22.62740902190513,0.0001085131225408,,0.0001488688430981
85.8263626098634,22.748293815775124,,0.000209552803426,0.000133770154207
85.8263626098634,22.86917860964512,,0.0002705131773836,0.0002742134092841
85.8263626098634,22.990063403515112,,0.0006019858410581,5.754696758231148e-05
85.8263626098634,23.110948197385103,4.261054709786549e-05,5.0713741075014696e-05,8.712938142707571e-05
85.8263626098634,23.231832991255096,0.0001512408052803,0.000196144246729,0.000214603554923
85.8263626098634,23.35271778512509,-6.493263208540156e-05,0.0001146423819591,
85.8263626098634,23.473602578995084,0.0001082455855794,0.0004992125905118,-4.6850007493048906e-05
85.8263626098634,23.594487372865075,,-3.085410980929737e-06,7.997640932444483e-05
85.8263626098634,23.71537216673507,0.0003447372291702,0.0002122617443092,0.000180420174729
85.8263626098634,23.836256960605063,-1.5252006051014178e-05,,0.0002420061209704
85.8263626098634,23.957141754475053,0.0002154018293367,,0.000322144391248
85.8263626098634,24.078026548345047,0.0002131266373908,-0.0001511192094767,
85.8263626098634,24.19891134221504,0.00025887490483,4.799247108167037e-05,
85.8263626098634,24.319796136085035,0.0003337835369165,0.0001199985927087,
85.8263626098634,24.440680929955025,0.000257628824329,0.0002119162672897,0.0003333872882649
85.8263626098634,24.56156572382502,5.010390304960311e-05,,0.0001191502306028
85.8263626098634,24.682450517695013,0.0003398862318135,,0.0002958885161206
85.8263626098634,24.803335311565007,0.0001160019164672,0.0001783578045433,6.552462582476437e-05
85.8263626098634,24.924220105435,3.0925803002901375e-05,0.000197844201466,
85.8263626098634,25.04510489930499,0.0001690700300969,2.419232805550564e-05,
85.8263626098634,25.165989693174986,3.1614687031833455e-05,,
85.8263626098634,25.286874487044976,,-8.748241384637367e-07,0.0001303573953919
85.8263626098634,25.40775928091497,,1.878301372926217e-05,-2.5545894459355623e-05
85.8263626098634,25.528644074784964,,,
85.8263626098634,25.649528868654954,,0.0020320513285696,0.0001024687007884
85.8263626098634,25.77041366252495,,0.0001984828995773,7.290331268450245e-05
85.8263626098634,25.891298456394946,,,8.651883399579674e-05
85.8263626098634,26.012183250264936,0.0002212940453318,3.9094611565815285e-05,6.325091135295224e-07
85.8263626098634,26.13306804413493,0.0001727565104374,,0.0001015458183246
85.8263626098634,26.25395283800492,-4.911508585792035e-05,0.0001789554517017,7.128404831746593e-05
85.8263626098634,26.374837631874914,,2.5845451091299765e-05,
85.8263626098634,26.49572242574491,-1.4127313079370651e-05,7.067082333378494e-05,0.000225483381655
85.8263626098634,26.6166072196149,,0.0001732076343614,
85.8263626098634,26.737492013484893,,,0.0002792566083371
85.8263626098634,26.858376807354887,-2.765267163340468e-05,-7.81992421252653e-05,7.395199645543471e-05
85.8263626098634,26.97926160122488,0.0003482360043562,,0.0002308432158315
85.8263626098634,27.10014639509487,0.0004384151252452,0.0001264778402401,8.477650226268452e-06
85.8263626098634,27.221031188964865,,,5.1492439524736255e-05
85.9463626098634,21.539445877075195,-5.593447713181377e-05,,-6.23044979874976e-06
85.9463626098634,21.66033067094519,0.0002425969141768,9.341384429717436e-05,0.0001396643492626
85.9463626098634,21.78121546481518,4.704566890723072e-05,0.0001438054750906,0.000320961815305
85.9463626098634,21.902100258685174,,0.0001217150929733,
85.9463626098634,22.022985052555168,-0.0001070036378223,0.0001604255085112,0.0010029400000348
85.9463626098634,22.14386984642516,,3.750138421310112e-05,
85.9463626098634,22.264754640295152,0.0003382363938726,3.4560733183752745e-05,8.692262053955346e-05
85.9463626098634,22.385639434165142,0.0002113942609867,0.0002042420674115,2.6807963877217844e-05
85.9463626098634,22.50652422803514,,0.0008534403168596,4.929908755002543e-05
85.9463626098634,22.62740902190513,,,0.0002067180175799
85.9463626098634,22.748293815775124,0.0001344961201539,0.0004512751183938,0.0002166472550015
85.9463626098634,22.86917860964512,8.88435824890621e-05,0.0001278029958484,
85.9463626098634,22.990063403515112,-1.6490754205733538e-05,0.0002958983241114,0.0001096261039492
85.9463626098634,23.110948197385103,0.0001899650669656,-8.711707778275013e-06,9.51677247940097e-06
85.9463626098634,23.231832991255096,-0.0003532636037562,5.257159136817791e-05,
85.9463626098634,23.35271778512509,,0.0005860878736712,0.0001124814880313
85.9463626098634,23.473602578995084,4.058641934534535e-05,0.0002209334488725,0.0002241127804154
85.9463626098634,23.594487372865075,-0.0001772870746208,,0.0003016119590029
85.9463626098634,23.71537216673507,2.97923106700182e-05,,
85.9463626098634,23.836256960605063,0.0001130622113123,0.0001820179604692,
85.9463626098634,23.957141754475053,,-1.4424114851863123e-05,
85.9463626098634,24.078026548345047,,-9.875481919152662e-05,0.0002368392597418
85.9463626098634,24.19891134221504,0.000187595069292,0.0002891157928388,8.907672599889338e-05
85.9463626098634,24.319796136085035,0.0001524700055597,,1.4393308447324673e-05
85.9463626098634,24.440680929955025,-3.2328575798601378e-06,-0.0001052518564392,4.948937930748798e-05
85.9463626098634,24.56156572382502,3.1520183256361634e-05,,
85.9463626098634,24.682450517695013,,,6.688184657832608e-05
85.9463626098634,24.803335311565007,,8.103800792014226e-05,3.2854306482477114e-05
85.9463626098634,24.924220105435,,8.374269964406267e-05,6.833030784036964e-05
85.9463626098634,25.04510489930499,0.000302505592117,0.0002047044690698,
85.9463626098634,25.165989693174986,-7.295628893189132e-05,2.6463270842214115e-05,-4.780096060130745e-05
85.9463626098634,25.286874487044976,5.2608418627642095e-05,-0.0001299458090215,-0.0001238652621395
