longitude,latitude,Co_value(mol/m^2),Co_value(mol/m^2),Co_value(mol/m^2)
76.22574615478533,8.076525688171444,,0.0302069801837205,0.0307258162647485
76.22574615478533,8.21655300336012,0.0270898733288049,,
76.22574615478533,8.356580318548797,,,
76.22574615478533,8.496607633737474,,,
76.22574615478533,8.636634948926151,0.0278011057525873,,
76.22574615478533,8.776662264114828,,,0.0306796971708536
76.22574615478533,8.916689579303505,,,0.0381160862743854
76.22574615478533,9.05671689449218,,,0.0312878526747226
76.22574615478533,9.196744209680856,,,0.0279479380697011
76.22574615478533,9.336771524869532,0.031440433114767,,0.0338043831288814
76.22574615478533,9.47679884005821,,,
76.22574615478533,9.616826155246889,,0.0266858395189046,0.0321908667683601
76.22574615478533,9.756853470435564,,0.0312771275639534,0.0286251623183488
76.22574615478533,9.89688078562424,,,0.0308821350336074
76.22574615478533,10.036908100812918,,,0.0314080342650413
76.22574615478533,10.176935416001594,,,0.0409262031316757
76.22574615478533,10.316962731190271,,,
76.22574615478533,10.456990046378948,,,0.0291685797274112
76.22574615478533,10.597017361567625,0.0297593660652637,,0.0322039872407913
76.22574615478533,10.737044676756302,,,0.0295883677899837
76.22574615478533,10.877071991944977,,,
76.22574615478533,11.017099307133654,,,
76.22574615478533,11.15712662232233,,0.0272301472723484,
76.22574615478533,11.297153937511007,0.0314583852887153,0.030424565076828,0.0292472578585147
76.22574615478533,11.437181252699684,0.0290597528219223,0.02306411229074,0.0260389614850282
76.22574615478533,11.57720856788836,0.0284444186836481,0.0272701531648635,0.0302674509584903
76.22574615478533,11.717235883077038,,,0.0297345835715532
76.22574615478533,11.857263198265716,,0.0253822766244411,0.0291692148894071
76.22574615478533,11.997290513454391,0.0274593029171228,0.0240690428763628,0.0309342313557863
76.22574615478533,12.137317828643068,0.0266687497496604,0.0238270126283168,0.0334312990307807
76.22574615478533,12.277345143831743,0.0301661994308233,0.033809658139944,0.0275718905031681
76.22574615478533,12.41737245902042,0.0311643108725547,,0.0315977670252323
76.22574615478533,12.5573997742091,0.0275485441088676,0.0319711454212665,0.0305756106972694
76.22574615478533,12.697427089397774,,0.0312344841659069,0.0293499138206243
76.22574615478533,12.837454404586452,,0.0285741593688726,
76.22574615478533,12.977481719775128,0.027946988120675,0.0257932115346193,0.0301237367093563
76.22574615478533,13.117509034963804,0.0259057041257619,0.0322754643857479,
76.22574615478533,13.25753635015248,0.0256591886281967,,0.0298078525811433
76.22574615478533,13.397563665341158,0.0293369218707084,0.0263792891055345,0.0310444682836532
76.22574615478533,13.537590980529837,,0.0295005980879068,
76.36574615478533,8.076525688171444,0.0247624143958091,,
76.36574615478533,8.21655300336012,0.0297735705971717,0.032679259777069,0.0276154056191444
76.36574615478533,8.356580318548797,,,0.0284695606678724
76.36574615478533,8.496607633737474,0.029000075533986,,0.0323944017291069
76.36574615478533,8.636634948926151,,,0.0289022345095872
76.36574615478533,8.776662264114828,,,0.0298819597810506
76.36574615478533,8.916689579303505,,,
76.36574615478533,9.05671689449218,0.0277638118714094,0.033587384968996,0.0330314263701438
76.36574615478533,9.196744209680856,,,
76.36574615478533,9.336771524869532,,,
76.36574615478533,9.47679884005821,,,0.031382717192173
76.36574615478533,9.616826155246889,0.0250926930457353,0.031452789902687,0.0320885963737964
76.36574615478533,9.756853470435564,,,0.0311676636338233
76.36574615478533,9.89688078562424,,0.0292792730033397,
76.36574615478533,10.036908100812918,,,0.0328781232237815
76.36574615478533,10.176935416001594,0.0292633417993783,,0.0276930574327707
76.36574615478533,10.316962731190271,0.0300731547176837,,0.031212942674756
76.36574615478533,10.456990046378948,0.0287046991288661,0.0236726980656385,
76.36574615478533,10.597017361567625,,0.0237298402935266,0.0293577071279287
76.36574615478533,10.737044676756302,0.02885795943439,0.026933891698718,0.034210629761219
76.36574615478533,10.877071991944977,0.0301135759800672,,
76.36574615478533,11.017099307133654,,,0.0213132910430431
76.36574615478533,11.15712662232233,0.032536756247282,0.0266422778367996,
76.36574615478533,11.297153937511007,0.0313042253255844,0.0268448106944561,0.0266808196902275
76.36574615478533,11.437181252699684,0.0198320057243108,,
76.36574615478533,11.57720856788836,0.0286650881171226,0.0308577679097652,
76.36574615478533,11.717235883077038,,,0.0256104078143835
76.36574615478533,11.857263198265716,,0.0287381205707788,
76.36574615478533,11.997290513454391,0.0307705346494913,0.0266454573720693,
76.36574615478533,12.137317828643068,0.0266224890947341,0.0300981495529413,
76.36574615478533,12.277345143831743,0.0300353206694126,,0.0366362929344177
76.36574615478533,12.41737245902042,,0.0233701542019844,0.0353076942265033
76.36574615478533,12.5573997742091,,,
76.36574615478533,12.697427089397774,0.0297846272587776,,0.02799678966403
76.36574615478533,12.837454404586452,0.0314842462539672,,0.0324525125324726
76.36574615478533,12.977481719775128,,0.026143392547965,0.0310755353420972
76.36574615478533,13.117509034963804,0.0279451441019773,0.0240768976509571,
76.36574615478533,13.25753635015248,,,0.027380172163248
76.36574615478533,13.397563665341158,0.0283606927841901,0.0267393197864294,0.0316491797566413
76.36574615478533,13.537590980529837,0.0305546373128891,,0.0322619937360286
76.50574615478533,8.076525688171444,,,0.0275886803865432
76.50574615478533,8.21655300336012,,,0.0339453853666782
76.50574615478533,8.356580318548797,,0.0266434233635664,
76.50574615478533,8.496607633737474,,0.0260692425072193,
76.50574615478533,8.636634948926151,,0.0294589772820472,0.0330044403672218
76.50574615478533,8.776662264114828,,,0.0277319643646478
76.50574615478533,8.916689579303505,,,0.0324223563075065
76.50574615478533,9.05671689449218,,,0.0312841199338436
