date,threshold_value
2023-09-01,0.00017629414310712046
2023-09-02,0.00012004215777581867
2023-09-03,8.663630844715848e-05
2023-09-04,0.0001393538950619126
2023-09-05,0.00012154726669199315
2023-09-06,0.0002112973517644728
2023-09-07,0.00015537282857367265
2023-09-08,0.00016429975678415853
2023-09-09,0.00013090196534969707
2023-09-10,0.00017051868760222552
2023-09-11,0.00012017950328865943
2023-09-12,0.00020306871426181515
2023-09-13,0.0001810685543945398
2023-09-14,0.000152421857309979
2023-09-15,0.0002232924417106868
2023-09-16,0.00010791036219238984
2023-09-17,7.17141991270752e-05
2023-09-18,0.00010766897189968596
2023-09-19,8.735139801413612e-05
2023-09-20,0.00023030558228397962
2023-09-21,0.00029976239957065035
2023-09-22,0.00011705633327052031
2023-09-23,0.00022281421559051026
2023-09-24,0.00019444459855493212
2023-09-25,0.00014019439985110276
2023-09-26,0.00015315002949724548
2023-09-27,9.671235628439828e-05
2023-09-28,0.00020494878151207317
2023-09-29,0.00018278199493402422
2023-09-30,0.0001731250366170207
