longitude,latitude,Hcho_value(mol/m^2)
72.6506958007813,15.60459995269781,0.0001714104437269
72.6506958007813,15.79933929443365,0.0001290719519602
72.6506958007813,15.99407863616949,0.0001069707141141
72.6506958007813,16.18881797790533,
72.6506958007813,16.38355731964117,
72.6506958007813,16.57829666137701,-5.404283456300618e-06
72.6506958007813,16.77303600311285,2.01653856493067e-05
72.6506958007813,16.96777534484869,-3.547054438968189e-05
72.6506958007813,17.16251468658453,0.0010724330786615
72.6506958007813,17.357254028320366,
72.6506958007813,17.551993370056206,0.0002746129757724
72.6506958007813,17.746732711792045,8.879235247150064e-05
72.6506958007813,17.941472053527885,1.8949125660583377e-05
72.6506958007813,18.136211395263725,0.0001187652087537
72.6506958007813,18.330950736999565,
72.6506958007813,18.525690078735405,0.0001569543092045
72.6506958007813,18.720429420471245,0.000140109390486
72.6506958007813,18.915168762207085,4.670258203987032e-05
72.6506958007813,19.109908103942924,0.0002542823494877
72.6506958007813,19.304647445678764,5.786401379737072e-05
72.6506958007813,19.499386787414604,6.93928450345993e-05
72.6506958007813,19.694126129150444,0.0002776678593363
72.6506958007813,19.88886547088628,
72.6506958007813,20.08360481262212,0.0003014969697687
72.6506958007813,20.27834415435796,0.0002749752893578
72.6506958007813,20.4730834960938,
72.6506958007813,20.66782283782964,
72.6506958007813,20.86256217956548,4.370312308310531e-05
72.6506958007813,21.05730152130132,6.818884867243469e-05
72.6506958007813,21.25204086303716,
72.6506958007813,21.446780204773,0.0001903203519759
72.6506958007813,21.64151954650884,0.0001123900292441
72.6506958007813,21.83625888824468,0.0002341612271266
72.6506958007813,22.03099822998052,3.988663956988603e-05
72.8406958007813,15.60459995269781,0.0001884628436528
72.8406958007813,15.79933929443365,0.0002905182773247
72.8406958007813,15.99407863616949,-0.0006351447082124
72.8406958007813,16.18881797790533,0.0004322422901168
72.8406958007813,16.38355731964117,0.000112043628178
72.8406958007813,16.57829666137701,-5.287465683068149e-05
72.8406958007813,16.77303600311285,0.0001176638543256
72.8406958007813,16.96777534484869,-6.96308707119897e-05
72.8406958007813,17.16251468658453,4.065413668286055e-05
72.8406958007813,17.357254028320366,0.0001541815145174
72.8406958007813,17.551993370056206,0.0001256607210962
72.8406958007813,17.746732711792045,
72.8406958007813,17.941472053527885,0.0002086821623379
72.8406958007813,18.136211395263725,4.0012520912569016e-05
72.8406958007813,18.330950736999565,-2.1892026779823937e-05
72.8406958007813,18.525690078735405,0.0001436695602023
72.8406958007813,18.720429420471245,9.79466494754888e-06
72.8406958007813,18.915168762207085,3.602641299949028e-05
72.8406958007813,19.109908103942924,0.0003306076105218
72.8406958007813,19.304647445678764,0.0001607135491212
72.8406958007813,19.499386787414604,
72.8406958007813,19.694126129150444,9.689108264865354e-05
72.8406958007813,19.88886547088628,0.000111190303869
72.8406958007813,20.08360481262212,8.525744487997144e-05
72.8406958007813,20.27834415435796,
72.8406958007813,20.4730834960938,
72.8406958007813,20.66782283782964,0.0001274655369343
72.8406958007813,20.86256217956548,
72.8406958007813,21.05730152130132,0.0001175836368929
72.8406958007813,21.25204086303716,0.0002432933688396
72.8406958007813,21.446780204773,0.0003290630411356
72.8406958007813,21.64151954650884,4.858145985053852e-05
72.8406958007813,21.83625888824468,0.000118899391964
72.8406958007813,22.03099822998052,0.00023447717831
73.0306958007813,15.60459995269781,9.929697262123228e-05
73.0306958007813,15.79933929443365,0.0002189854130847
73.0306958007813,15.99407863616949,
73.0306958007813,16.18881797790533,0.0003783354768529
73.0306958007813,16.38355731964117,0.0002071419730782
73.0306958007813,16.57829666137701,8.707289816811681e-05
73.0306958007813,16.77303600311285,0.0007005157531239
73.0306958007813,16.96777534484869,
73.0306958007813,17.16251468658453,8.965097367763519e-05
73.0306958007813,17.357254028320366,5.165105176274665e-05
73.0306958007813,17.551993370056206,
73.0306958007813,17.746732711792045,8.751025598030537e-05
73.0306958007813,17.941472053527885,8.182622696040198e-05
73.0306958007813,18.136211395263725,0.0001220839476445
73.0306958007813,18.330950736999565,2.6609533961163837e-05
73.0306958007813,18.525690078735405,
73.0306958007813,18.720429420471245,
73.0306958007813,18.915168762207085,0.0001421026681782
73.0306958007813,19.109908103942924,0.0003059284936171
73.0306958007813,19.304647445678764,0.0001154748606495
73.0306958007813,19.499386787414604,7.534337055403739e-05
73.0306958007813,19.694126129150444,
73.0306958007813,19.88886547088628,0.00075752614066
73.0306958007813,20.08360481262212,-0.0001198183526867
73.0306958007813,20.27834415435796,-4.0046521462500095e-05
73.0306958007813,20.4730834960938,7.883112994022667e-05
73.0306958007813,20.66782283782964,0.0001797864679247
73.0306958007813,20.86256217956548,
73.0306958007813,21.05730152130132,0.0001109063596231
73.0306958007813,21.25204086303716,
73.0306958007813,21.446780204773,5.62222849112004e-05
73.0306958007813,21.64151954650884,6.444975588237867e-05
73.0306958007813,21.83625888824468,0.0003384941956028
73.0306958007813,22.03099822998052,9.755898645380512e-05
73.2206958007813,15.60459995269781,
73.2206958007813,15.79933929443365,0.0002878211671486
73.2206958007813,15.99407863616949,0.0003761241969186
73.2206958007813,16.18881797790533,0.0002935187076218
73.2206958007813,16.38355731964117,5.0153412303188816e-05
73.2206958007813,16.57829666137701,7.43297568988055e-05
73.2206958007813,16.77303600311285,2.847629730240442e-05
73.2206958007813,16.96777534484869,0.000113883310405
73.2206958007813,17.16251468658453,7.294628449017182e-05
73.2206958007813,17.357254028320366,6.159816985018551e-05
73.2206958007813,17.551993370056206,
73.2206958007813,17.746732711792045,4.998549047741108e-05
73.2206958007813,17.941472053527885,
73.2206958007813,18.136211395263725,0.0002702586061786
73.2206958007813,18.330950736999565,0.0005733988946303
73.2206958007813,18.525690078735405,0.0001777038560248
73.2206958007813,18.720429420471245,-0.0002586594200693
73.2206958007813,18.915168762207085,0.0001812026603147
73.2206958007813,19.109908103942924,
73.2206958007813,19.304647445678764,
73.2206958007813,19.499386787414604,0.0001700822176644
73.2206958007813,19.694126129150444,0.0003774489159695
73.2206958007813,19.88886547088628,6.662622763542458e-05
73.2206958007813,20.08360481262212,0.0001341271272394
73.2206958007813,20.27834415435796,-2.991715336975176e-05
73.2206958007813,20.4730834960938,
73.2206958007813,20.66782283782964,0.0001079602443496
73.2206958007813,20.86256217956548,
73.2206958007813,21.05730152130132,0.0002198811562266
73.2206958007813,21.25204086303716,0.0001886453246697
73.2206958007813,21.446780204773,0.0001769590890035
73.2206958007813,21.64151954650884,5.953315121587366e-05
73.2206958007813,21.83625888824468,0.0002270725235575
73.2206958007813,22.03099822998052,0.0003618988848756
73.4106958007813,15.60459995269781,0.0001636828383198
73.4106958007813,15.79933929443365,6.27070403425023e-05
73.4106958007813,15.99407863616949,5.592634261120111e-05
73.4106958007813,16.18881797790533,
73.4106958007813,16.38355731964117,-9.076436072064098e-06
73.4106958007813,16.57829666137701,-7.778396684443578e-05
73.4106958007813,16.77303600311285,0.0002116089890478
73.4106958007813,16.96777534484869,0.0001692886580713
73.4106958007813,17.16251468658453,4.751759479404427e-05
73.4106958007813,17.357254028320366,0.0001050643477356
73.4106958007813,17.551993370056206,
73.4106958007813,17.746732711792045,
73.4106958007813,17.941472053527885,0.0002309837727807
73.4106958007813,18.136211395263725,0.0001805820356821
73.4106958007813,18.330950736999565,-9.4705155788688e-06
73.4106958007813,18.525690078735405,0.0001144523193943
73.4106958007813,18.720429420471245,8.625311602372676e-05
73.4106958007813,18.915168762207085,1.6503727238159627e-05
73.4106958007813,19.109908103942924,0.0001208996109198
73.4106958007813,19.304647445678764,0.0002294858422828
73.4106958007813,19.499386787414604,8.662381878821179e-05
73.4106958007813,19.694126129150444,0.0003059071314055
73.4106958007813,19.88886547088628,0.0001790051610441
73.4106958007813,20.08360481262212,
73.4106958007813,20.27834415435796,0.0001061377770383
73.4106958007813,20.4730834960938,
73.4106958007813,20.66782283782964,0.0001463387743569
73.4106958007813,20.86256217956548,0.0001156941361841
73.4106958007813,21.05730152130132,3.4874334232881665e-05
