date,threshold_value
2023-09-01,8.579421523285769e-05
2023-09-02,0.00012889812933547488
2023-09-03,0.00014140151353631692
2023-09-04,6.514745231416388e-05
2023-09-05,5.523712105890367e-05
2023-09-06,7.235165103915248e-05
2023-09-07,0.000131653356406495
2023-09-08,6.109700817145922e-05
2023-09-09,7.955442328975125e-05
2023-09-10,9.739898811785229e-05
2023-09-11,7.423107914003653e-05
2023-09-12,7.947169173130415e-05
2023-09-13,0.00013094059493618836
2023-09-14,8.896985585825414e-05
2023-09-15,0.00011503630508651725
2023-09-16,9.09367942691433e-05
2023-09-17,0.000102218330867481
2023-09-18,0.00010591206725478938
2023-09-19,9.7286755596621e-05
2023-09-20,0.00012088694282734802
2023-09-21,8.743467899999572e-05
2023-09-22,7.124380502704226e-05
2023-09-23,7.911282021718413e-05
2023-09-24,0.00013646981633727825
2023-09-25,0.00010230079568203512
2023-09-26,9.712076536244496e-05
2023-09-27,0.00012445909136926837
2023-09-28,8.959818610326438e-05
2023-09-29,9.703379547630301e-05
2023-09-30,9.792908915743331e-05
