date,threshold_value
2023-09-01,0.12206500548844514
2023-09-02,0.12598972826665655
2023-09-03,0.12263094044599543
2023-09-04,0.12057496612205312
2023-09-05,0.1259736456756545
2023-09-06,0.12608226937969233
2023-09-07,0.12704807173679852
2023-09-08,0.12676933384370367
2023-09-09,0.13184304884488474
2023-09-10,0.12072590221635628
2023-09-11,0.12508698070202315
2023-09-12,0.12467752666095669
2023-09-13,0.13045851124888394
2023-09-14,0.13584761002104404
2023-09-15,0.12738065168452564
2023-09-16,0.14164637645302788
2023-09-17,0.1260177050005787
2023-09-18,0.12880584875060602
2023-09-19,0.12448799412326654
2023-09-20,0.13740954286037496
2023-09-21,0.12309406722080388
2023-09-22,0.1425441475296715
2023-09-23,0.12440510404041191
2023-09-24,0.12111982994792811
2023-09-25,0.12496032148127434
2023-09-26,0.11979412579155979
2023-09-27,0.1266027412367113
2023-09-28,0.1252436741572065
2023-09-29,0.12339130060258996
