longitude,latitude,Co_value(mol/m^2),Co_value(mol/m^2),Co_value(mol/m^2)
81.3830032348634,17.80261039733898,0.0354919731616973,,
81.3830032348634,17.942639182595755,0.0294420104473829,,
81.3830032348634,18.08266796785253,,0.027161356061697,0.0302262436598539
81.3830032348634,18.222696753109304,0.0314862802624702,0.0303492005914449,
81.3830032348634,18.36272553836608,0.0340345650911331,0.0281168483197689,
81.3830032348634,18.50275432362285,0.0293454993516206,,
81.3830032348634,18.642783108879627,,0.0337909497320652,
81.3830032348634,18.7828118941364,,,0.0295026544481515
81.3830032348634,18.922840679393172,,,
81.3830032348634,19.062869464649957,,0.0242996402084827,
81.3830032348634,19.202898249906728,0.0245228875428438,,
81.3830032348634,19.342927035163505,,,0.0344298295676708
81.3830032348634,19.48295582042028,0.0237374641001224,,0.0413713455200195
81.3830032348634,19.62298460567705,0.0293500516563653,0.0274141766130924,
81.3830032348634,19.763013390933825,,0.029910609126091,0.0224401671439409
81.3830032348634,19.9030421761906,,0.0300320256501436,
81.3830032348634,20.043070961447373,0.0216906554996967,,
81.3830032348634,20.183099746704148,,0.0207227785140275,
81.3830032348634,20.32312853196092,0.0333497859537601,0.0333043523132801,
81.3830032348634,20.463157317217696,,,
81.3830032348634,20.60318610247447,0.031695507466793,,
81.3830032348634,20.743214887731245,,0.020990066230297,
81.3830032348634,20.88324367298802,0.0328026823699474,0.0307889841496944,
81.3830032348634,21.0232724582448,,,
81.3830032348634,21.16330124350157,0.0234953742474317,,
81.3830032348634,21.303330028758342,0.0377296842634677,0.0295806135982275,
81.3830032348634,21.44335881401512,0.0247591584920883,,
81.3830032348634,21.58338759927189,,0.0301684327423572,
81.3830032348634,21.72341638452867,,,
81.3830032348634,21.863445169785443,,,
81.3830032348634,22.003473955042217,0.0368591509759426,0.0322489701211452,
81.3830032348634,22.14350274029899,,,0.0205669403076171
81.3830032348634,22.28353152555577,0.0272922944277524,0.0287223923951387,0.0364614278078079
81.3830032348634,22.42356031081254,0.0349613279104232,0.0285588633269071,
81.3830032348634,22.563589096069315,0.0377763137221336,,0.0440228693187236
81.5230032348634,17.80261039733898,0.0288700982928276,,
81.5230032348634,17.942639182595755,0.0373163260519504,0.0335247851908206,0.035356618463993
81.5230032348634,18.08266796785253,,0.0283676944673061,
81.5230032348634,18.222696753109304,,,
81.5230032348634,18.36272553836608,0.028911106288433,,
81.5230032348634,18.50275432362285,0.034616719931364,0.029297424480319,
81.5230032348634,18.642783108879627,,0.0215033870190382,
81.5230032348634,18.7828118941364,0.0254986267536878,,
81.5230032348634,18.922840679393172,0.0270756930112838,0.0326901972293853,0.0315863862633705
81.5230032348634,19.062869464649957,0.0282074958086013,0.0315175615251064,
81.5230032348634,19.202898249906728,,,0.03376305103302
81.5230032348634,19.342927035163505,,0.0349523462355136,0.0345558002591133
81.5230032348634,19.48295582042028,0.0254731364548206,0.0297707039862871,0.0312810763716697
81.5230032348634,19.62298460567705,0.0357301793992519,0.029700381681323,
81.5230032348634,19.763013390933825,,0.0406410694122314,0.0309977978467941
81.5230032348634,19.9030421761906,0.0296555142849683,0.0277995150536298,0.0374873466789722
81.5230032348634,20.043070961447373,,,
81.5230032348634,20.183099746704148,0.0252052433788776,0.0323560163378715,
81.5230032348634,20.32312853196092,0.0242956914007663,,
81.5230032348634,20.463157317217696,0.0325469262897968,0.0286567453294992,
81.5230032348634,20.60318610247447,,0.0253000222146511,
81.5230032348634,20.743214887731245,0.0323126204311847,,
81.5230032348634,20.88324367298802,0.0354092940688133,0.0268405266106128,
81.5230032348634,21.0232724582448,,0.0277033019810915,0.0257353838533163
81.5230032348634,21.16330124350157,,,0.0244232211261987
81.5230032348634,21.303330028758342,0.0288655776530504,0.0327823795378208,
81.5230032348634,21.44335881401512,,,0.0329542756080627
81.5230032348634,21.58338759927189,,,
81.5230032348634,21.72341638452867,,0.0321084670722484,
81.5230032348634,21.863445169785443,0.0374114550650119,,
81.5230032348634,22.003473955042217,0.0317623242735862,,
81.5230032348634,22.14350274029899,0.0239100567996501,0.0357793234288692,0.034597985446453
81.5230032348634,22.28353152555577,0.0253734905272722,0.0280400607734918,
81.5230032348634,22.42356031081254,,0.0290055572986602,0.038391888141632
81.5230032348634,22.563589096069315,,,
81.6630032348634,17.80261039733898,0.0227275043725967,,0.0392425768077373
81.6630032348634,17.942639182595755,,0.0282767936587333,
81.6630032348634,18.08266796785253,0.0307664293795824,0.0314800255000591,
81.6630032348634,18.222696753109304,0.031184758991003,,
81.6630032348634,18.36272553836608,0.0340587645769119,0.0195525083690881,0.0372531600296497
81.6630032348634,18.50275432362285,,0.0288558509200811,
81.6630032348634,18.642783108879627,0.024042984470725,,0.0262200385332107
81.6630032348634,18.7828118941364,,0.0304406564682722,
81.6630032348634,18.922840679393172,,0.0306545086205005,
81.6630032348634,19.062869464649957,0.0266825538128614,0.0337550491094589,
81.6630032348634,19.202898249906728,0.0344247408211231,,
81.6630032348634,19.342927035163505,0.0297181401401758,,
81.6630032348634,19.48295582042028,,0.0302199218422174,0.0288486313074827
81.6630032348634,19.62298460567705,,,
81.6630032348634,19.763013390933825,,0.0305407438427209,0.0477049313485622
81.6630032348634,19.9030421761906,,0.0357227027416229,
81.6630032348634,20.043070961447373,,0.028518384322524,
81.6630032348634,20.183099746704148,0.0302430037409067,0.029866112396121,
81.6630032348634,20.32312853196092,,0.040782630443573,
81.6630032348634,20.463157317217696,0.0297506842762231,,
81.6630032348634,20.60318610247447,0.0348657891154289,0.0288285110145807,0.0375783555209636
81.6630032348634,20.743214887731245,0.0324787572026252,,
81.6630032348634,20.88324367298802,0.0322836712002754,,
